案件ID,顧客名,サービス区分,担当部門,契約月,売上金額,直接原価,間接原価配賦,担当者工数h,完了フラグ
A-0030,松本グループ,保守サポート,営業部,2024-03,378517,124591,32880,163,未完了
A-0031,林テクノ,保守サポート,開発部,2024-01,690341,310114,43443,119,未完了
A-0032,加藤工業,受託開発,CS部,2024-01,2890647,1391989,327654,370,未完了
A-0033,橋本デジタル,研修・教育,開発部,2024-03,568508,189129,49776,78,未完了
A-0034,橋本デジタル,SaaS利用料,開発部,2024-03,192788,30142,7407,185,完了
A-0035,田中製造,保守サポート,コンサル部,2024-02,765095,256088,54373,11,未完了
A-0036,林テクノ,受託開発,CS部,2024-01,4087697,2298027,345308,493,完了
A-0037,山口イノベ,研修・教育,開発部,2024-02,157643,45079,8145,196,完了
A-0038,加藤工業,保守サポート,営業部,2024-03,470858,191179,44903,218,完了
A-0039,木村システム,受託開発,営業部,2024-01,2004586,1197365,187002,486,未完了
A-0040,伊藤通信,受託開発,CS部,2024-01,824845,512821,73326,428,未完了
A-0041,加藤工業,保守サポート,CS部,2024-01,792094,228618,57926,452,完了
A-0042,池田ネットワーク,保守サポート,CS部,2024-03,662262,209427,40466,459,未完了
A-0043,伊藤通信,受託開発,CS部,2024-01,4145385,2152024,462032,233,完了
A-0044,田中製造,コンサルティング,営業部,2024-02,203546,82229,26921,361,完了
A-0045,松本グループ,保守サポート,コンサル部,2024-01,429164,164231,27889,470,未完了
A-0046,木村システム,研修・教育,CS部,2024-03,290973,98768,21001,108,未完了
A-0047,山口イノベ,コンサルティング,営業部,2024-03,1051601,430722,105177,156,完了
A-0048,林テクノ,コンサルティング,CS部,2024-02,1616893,554174,192292,471,完了
A-0049,石川メディア,SaaS利用料,CS部,2024-03,98961,26094,5942,354,未完了
A-0050,株式会社山田商事,受託開発,営業部,2024-01,2553888,1651822,266756,403,完了
A-0051,山口イノベ,コンサルティング,コンサル部,2024-03,1706480,749606,204393,134,完了
A-0052,加藤工業,SaaS利用料,開発部,2024-02,471585,137510,23917,35,完了
A-0053,林テクノ,SaaS利用料,コンサル部,2024-01,343037,75156,23327,466,未完了
A-0054,林テクノ,研修・教育,コンサル部,2024-03,469889,174939,31953,394,完了
A-0055,加藤工業,保守サポート,コンサル部,2024-03,561239,149007,40088,149,未完了
A-0056,渡辺フード,保守サポート,開発部,2024-01,501641,195032,44273,42,未完了
A-0057,林テクノ,コンサルティング,CS部,2024-03,330580,112849,38613,473,完了
A-0058,株式会社山田商事,研修・教育,コンサル部,2024-02,236559,82960,19903,498,未完了
A-0059,加藤工業,研修・教育,営業部,2024-02,308503,91665,20223,352,未完了
A-0060,石川メディア,受託開発,コンサル部,2024-01,726210,458518,75290,349,完了
A-0061,林テクノ,SaaS利用料,コンサル部,2024-01,76363,11609,3290,242,未完了
A-0062,木村システム,保守サポート,コンサル部,2024-02,185884,63955,16722,36,未完了
A-0063,田中製造,受託開発,開発部,2024-03,2574362,1261108,208047,88,完了
A-0064,伊藤通信,受託開発,コンサル部,2024-03,2328419,1264347,210139,198,完了
A-0065,山本企業,研修・教育,開発部,2024-01,383397,78648,23953,356,未完了
A-0066,山口イノベ,コンサルティング,営業部,2024-01,413702,181796,46360,360,完了
A-0067,橋本デジタル,研修・教育,開発部,2024-02,426827,116999,29979,184,完了
A-0068,木村システム,コンサルティング,コンサル部,2024-01,1532918,733217,181481,88,未完了
A-0069,橋本デジタル,受託開発,CS部,2024-03,4399643,2363113,480621,147,未完了
A-0070,林テクノ,受託開発,開発部,2024-02,4398257,2480484,469415,182,完了
A-0071,清水ソリューション,コンサルティング,CS部,2024-01,944121,433886,107264,460,未完了
A-0072,小林商会,研修・教育,開発部,2024-03,206540,71052,14363,398,完了
A-0073,株式会社山田商事,コンサルティング,コンサル部,2024-02,817056,281328,104314,166,未完了
A-0074,橋本デジタル,コンサルティング,CS部,2024-02,937800,413167,103942,138,完了
A-0075,伊藤通信,SaaS利用料,営業部,2024-02,449606,107020,16932,388,未完了
A-0076,小林商会,保守サポート,CS部,2024-01,338533,109067,24405,372,完了
A-0077,橋本デジタル,保守サポート,開発部,2024-01,232413,87753,20943,62,完了
A-0078,清水ソリューション,研修・教育,CS部,2024-02,258628,61261,13462,491,未完了
A-0079,清水ソリューション,SaaS利用料,開発部,2024-02,352525,79631,11331,86,未完了
A-0080,橋本デジタル,SaaS利用料,営業部,2024-01,367885,80649,20136,407,未完了
A-0081,山口イノベ,コンサルティング,コンサル部,2024-02,840428,347706,86067,388,完了
A-0082,鈴木物産,受託開発,営業部,2024-02,2512134,1217788,208513,11,未完了
A-0083,田中製造,コンサルティング,コンサル部,2024-02,804199,354966,103033,242,完了
A-0084,山口イノベ,受託開発,CS部,2024-03,4066324,1923189,361871,86,未完了
A-0085,中村サービス,受託開発,開発部,2024-01,2921041,1571025,288446,165,未完了
A-0086,鈴木物産,保守サポート,コンサル部,2024-02,141797,60672,12674,319,未完了
A-0087,山口イノベ,SaaS利用料,開発部,2024-01,60876,18257,3463,147,完了
A-0088,林テクノ,受託開発,コンサル部,2024-03,2022441,1313351,197057,426,未完了
A-0089,木村システム,SaaS利用料,コンサル部,2024-02,218326,51094,14040,178,未完了
A-0090,井上コーポ,コンサルティング,CS部,2024-03,276959,108281,31180,175,完了
A-0091,橋本デジタル,コンサルティング,開発部,2024-03,1066642,331555,128783,328,未完了
A-0092,吉田産業,コンサルティング,開発部,2024-01,474754,230509,55795,367,未完了
A-0093,石川メディア,SaaS利用料,開発部,2024-03,422130,55584,21964,292,未完了
A-0094,林テクノ,SaaS利用料,営業部,2024-01,389586,103796,19453,376,未完了
A-0095,清水ソリューション,研修・教育,CS部,2024-02,207785,60539,11591,107,完了
A-0096,松本グループ,SaaS利用料,CS部,2024-02,190075,50200,7852,162,未完了
A-0097,清水ソリューション,受託開発,コンサル部,2024-03,3288708,1842937,334583,243,未完了
A-0098,井上コーポ,受託開発,営業部,2024-03,3945831,1810068,433205,371,未完了
A-0099,田中製造,コンサルティング,営業部,2024-02,1253380,618004,141982,61,未完了
A-0100,渡辺フード,SaaS利用料,コンサル部,2024-01,393293,115624,12975,410,未完了
A-0101,鈴木物産,保守サポート,コンサル部,2024-03,659543,215012,47926,377,未完了
A-0102,鈴木物産,研修・教育,開発部,2024-03,410910,138427,25268,126,完了
A-0103,伊藤通信,コンサルティング,開発部,2024-03,548892,240853,74724,33,未完了
A-0104,佐々木HD,SaaS利用料,CS部,2024-02,126320,18801,5871,359,完了
A-0105,石川メディア,受託開発,営業部,2024-01,2520226,1384948,260405,128,未完了
A-0106,株式会社山田商事,保守サポート,コンサル部,2024-02,401603,154826,26633,236,未完了
A-0107,木村システム,研修・教育,CS部,2024-03,319513,117919,18521,206,未完了
A-0108,山口イノベ,SaaS利用料,営業部,2024-02,351366,55928,20369,21,未完了
A-0109,田中製造,保守サポート,開発部,2024-03,620856,258628,59675,407,完了
A-0110,小林商会,研修・教育,CS部,2024-01,211400,70935,16666,347,完了
A-0111,林テクノ,SaaS利用料,開発部,2024-02,353863,61208,12475,475,未完了
A-0112,小林商会,保守サポート,コンサル部,2024-01,665610,283078,49677,266,未完了
A-0113,山本企業,受託開発,CS部,2024-02,1466113,797076,121704,396,完了
A-0114,井上コーポ,コンサルティング,CS部,2024-01,754609,307363,89188,354,未完了
A-0115,佐々木HD,研修・教育,コンサル部,2024-03,433808,107048,22124,462,未完了
A-0116,鈴木物産,研修・教育,営業部,2024-03,556781,189425,42298,69,完了
A-0117,清水ソリューション,SaaS利用料,開発部,2024-02,100956,14836,5199,208,未完了
A-0118,渡辺フード,保守サポート,コンサル部,2024-03,786735,212264,62603,218,未完了
A-0119,林テクノ,SaaS利用料,CS部,2024-01,173791,47113,5904,361,未完了
A-0120,井上コーポ,研修・教育,CS部,2024-01,179514,70664,15790,431,未完了
A-0121,石川メディア,SaaS利用料,営業部,2024-03,76517,19692,3040,74,完了
A-0122,小林商会,SaaS利用料,営業部,2024-03,222259,56647,13679,315,完了
A-0123,橋本デジタル,保守サポート,営業部,2024-01,282973,76964,26785,77,完了
A-0124,松本グループ,保守サポート,営業部,2024-03,282710,85681,18396,225,完了
A-0125,佐々木HD,SaaS利用料,コンサル部,2024-02,361251,44004,18118,494,完了
A-0126,株式会社山田商事,研修・教育,CS部,2024-02,331124,122336,22202,65,未完了
A-0127,松本グループ,コンサルティング,開発部,2024-01,511078,160037,56729,334,未完了
A-0128,池田ネットワーク,コンサルティング,CS部,2024-02,1102193,352520,141159,446,完了
A-0129,木村システム,コンサルティング,コンサル部,2024-01,1935223,756091,225723,58,未完了
A-0130,吉田産業,コンサルティング,CS部,2024-03,520107,227476,61877,56,完了
A-0131,佐々木HD,SaaS利用料,コンサル部,2024-01,341698,38268,23326,297,未完了
A-0132,木村システム,SaaS利用料,コンサル部,2024-02,200800,44192,8848,305,完了
A-0133,伊藤通信,受託開発,コンサル部,2024-01,3583325,1694830,326594,125,未完了
A-0134,吉田産業,研修・教育,開発部,2024-03,174589,44459,14053,481,未完了
A-0135,渡辺フード,保守サポート,開発部,2024-01,789275,260584,51835,334,完了
A-0136,木村システム,SaaS利用料,営業部,2024-02,228727,30073,9713,176,完了
A-0137,石川メディア,SaaS利用料,営業部,2024-01,403353,46916,19249,227,未完了
A-0138,吉田産業,研修・教育,コンサル部,2024-02,475807,143916,30359,66,未完了
A-0139,山本企業,研修・教育,コンサル部,2024-03,195615,54586,14470,13,完了
A-0140,吉田産業,保守サポート,営業部,2024-01,444061,121671,35478,230,完了
A-0141,加藤工業,受託開発,コンサル部,2024-03,3470969,1611970,397323,31,未完了
A-0142,松本グループ,SaaS利用料,コンサル部,2024-01,275068,59051,16058,223,未完了
A-0143,松本グループ,SaaS利用料,コンサル部,2024-01,470123,136111,22755,363,未完了
A-0144,加藤工業,SaaS利用料,コンサル部,2024-01,358738,64605,11890,455,未完了
A-0145,中村サービス,保守サポート,営業部,2024-02,635280,239274,51600,109,未完了
A-0146,伊藤通信,保守サポート,営業部,2024-01,368402,106635,30981,399,完了
A-0147,山口イノベ,受託開発,コンサル部,2024-02,4265690,2500661,491756,339,未完了
A-0148,鈴木物産,保守サポート,営業部,2024-02,563688,212102,51776,312,完了
A-0149,林テクノ,保守サポート,開発部,2024-02,139434,36444,13004,49,完了
A-0150,山口イノベ,研修・教育,コンサル部,2024-02,580292,207955,49809,240,完了
A-0151,渡辺フード,保守サポート,コンサル部,2024-03,572407,154950,54931,185,完了
A-0152,加藤工業,研修・教育,営業部,2024-01,599562,172604,42514,91,未完了
A-0153,木村システム,保守サポート,CS部,2024-02,726928,189345,61960,181,完了
A-0154,井上コーポ,保守サポート,開発部,2024-03,364236,143780,31419,474,完了
A-0155,渡辺フード,保守サポート,開発部,2024-03,425301,188637,37400,210,完了
A-0156,橋本デジタル,研修・教育,開発部,2024-02,417375,149558,34444,353,完了
A-0157,佐々木HD,コンサルティング,CS部,2024-01,578038,283373,65705,402,未完了
A-0158,渡辺フード,受託開発,営業部,2024-01,2981283,1845073,250563,404,完了
A-0159,井上コーポ,保守サポート,営業部,2024-03,270128,77302,23693,329,完了
A-0160,佐々木HD,コンサルティング,開発部,2024-02,1131552,477649,147209,411,未完了
A-0161,清水ソリューション,受託開発,営業部,2024-02,3585673,2099990,368667,235,未完了
A-0162,池田ネットワーク,保守サポート,コンサル部,2024-03,269930,111583,24847,80,未完了
A-0163,橋本デジタル,SaaS利用料,コンサル部,2024-02,422978,113856,27090,155,完了
A-0164,池田ネットワーク,受託開発,CS部,2024-02,4169785,1952888,485447,428,未完了
A-0165,田中製造,保守サポート,開発部,2024-02,626392,203447,47259,51,未完了
A-0166,伊藤通信,受託開発,開発部,2024-02,1725150,823793,157808,434,未完了
A-0167,石川メディア,受託開発,コンサル部,2024-02,1164593,528493,103213,86,未完了
A-0168,山本企業,SaaS利用料,CS部,2024-01,75034,11081,4168,328,未完了
A-0169,石川メディア,SaaS利用料,開発部,2024-02,58616,13270,3106,377,完了
A-0170,石川メディア,保守サポート,コンサル部,2024-01,352249,128265,23774,352,完了
A-0171,池田ネットワーク,研修・教育,CS部,2024-01,345985,123614,24324,20,未完了
A-0172,井上コーポ,コンサルティング,開発部,2024-03,731943,328981,83649,44,未完了
A-0173,松本グループ,受託開発,開発部,2024-03,871914,453796,81560,339,完了
A-0174,中村サービス,コンサルティング,コンサル部,2024-03,332331,147292,45776,28,未完了
A-0175,田中製造,受託開発,開発部,2024-01,3101105,1715148,370783,288,未完了
A-0176,小林商会,保守サポート,開発部,2024-03,474314,200363,29365,345,未完了
A-0177,木村システム,保守サポート,開発部,2024-02,561097,240669,42343,105,未完了
A-0178,吉田産業,コンサルティング,CS部,2024-03,1724800,663875,202188,431,完了
A-0179,伊藤通信,研修・教育,CS部,2024-02,251924,83685,15684,318,未完了
A-0180,林テクノ,受託開発,コンサル部,2024-02,3457481,1981033,336750,337,完了
