プロジェクトID,クライアント,種別,部署,月度,売上高,直接費,間接費,工数,完了
C-2134,橋本デジタル,SaaS利用料,CS部,2024-03,232502,39407,14559,125,完了
C-2135,株式会社山田商事,コンサルティング,コンサル部,2024-03,567074,216297,59122,47,未完了
C-2136,吉田産業,保守サポート,開発部,2024-03,702819,210865,54616,203,未完了
C-2137,林テクノ,受託開発,CS部,2024-02,729434,398558,65877,205,完了
C-2138,佐々木HD,受託開発,CS部,2024-02,4993373,2256728,565684,137,未完了
C-2139,松本グループ,SaaS利用料,コンサル部,2024-03,340744,97547,16717,191,完了
C-2140,小林商会,研修・教育,CS部,2024-01,466459,111919,37044,456,未完了
C-2141,加藤工業,受託開発,営業部,2024-01,3486574,1677736,293805,481,完了
C-2142,田中製造,コンサルティング,開発部,2024-03,978455,414995,117114,461,未完了
C-2143,吉田産業,コンサルティング,営業部,2024-03,665762,299615,69991,279,未完了
C-2144,佐々木HD,コンサルティング,開発部,2024-03,1639356,746203,193915,71,未完了
C-2145,小林商会,保守サポート,開発部,2024-01,709231,191598,52812,451,未完了
C-2146,吉田産業,受託開発,CS部,2024-01,3378101,1767371,337643,117,未完了
C-2147,吉田産業,保守サポート,CS部,2024-02,288627,105141,28623,361,完了
C-2148,橋本デジタル,SaaS利用料,CS部,2024-01,498952,87903,17879,388,完了
C-2149,木村システム,コンサルティング,開発部,2024-01,482007,240575,64577,274,未完了
C-2150,橋本デジタル,コンサルティング,CS部,2024-02,300053,113924,38293,40,完了
C-2151,伊藤通信,保守サポート,コンサル部,2024-03,450912,136154,33553,295,未完了
C-2152,伊藤通信,保守サポート,開発部,2024-02,734992,212994,61030,342,完了
C-2153,池田ネットワーク,保守サポート,CS部,2024-02,568640,243336,42786,156,未完了
C-2154,松本グループ,受託開発,営業部,2024-03,3895479,2414340,322755,92,未完了
C-2155,山本企業,受託開発,CS部,2024-02,3817319,1924881,373318,451,未完了
C-2156,中村サービス,研修・教育,コンサル部,2024-02,527853,108009,41758,348,未完了
C-2157,井上コーポ,SaaS利用料,営業部,2024-01,100097,11286,6521,290,完了
C-2158,鈴木物産,SaaS利用料,コンサル部,2024-03,187600,41951,6260,486,未完了
C-2159,山本企業,保守サポート,営業部,2024-01,756912,208364,61362,97,完了
C-2160,清水ソリューション,SaaS利用料,CS部,2024-02,333421,95682,17318,79,完了
C-2161,山口イノベ,研修・教育,コンサル部,2024-03,354443,116242,25289,475,未完了
C-2162,林テクノ,コンサルティング,営業部,2024-01,967103,369859,102734,15,完了
C-2163,山本企業,研修・教育,営業部,2024-02,360545,72708,31325,494,未完了
C-2164,山本企業,保守サポート,開発部,2024-02,342446,140181,28056,106,未完了
C-2165,加藤工業,研修・教育,コンサル部,2024-02,454833,158019,29832,203,完了
C-2166,加藤工業,保守サポート,開発部,2024-02,743003,305756,64927,155,未完了
C-2167,中村サービス,コンサルティング,営業部,2024-01,807325,260016,95436,241,未完了
C-2168,松本グループ,研修・教育,コンサル部,2024-01,159770,33539,11407,105,完了
C-2169,林テクノ,保守サポート,CS部,2024-01,344119,92237,20849,121,未完了
C-2170,佐々木HD,コンサルティング,CS部,2024-02,1661578,761476,188107,441,完了
