ApplicationDate,AppID,Department,SelectionMethod,Region,Result,Score,InterviewFlag,DeclineReason
2024-01-18,APP-0304,体育系,AO,大阪,Fail,93,0,成績不足
2024-01-17,APP-0305,体育系,AO,名古屋,Pass,86,1,
2024-01-18,APP-0306,理系,AO,仙台,Pass,70,0,
2024-01-15,APP-0307,文系,AO,大阪,Fail,81,1,書類不備
2024-01-15,APP-0308,文系,推薦,大阪,Pass,79,1,
2024-01-18,APP-0309,体育系,AO,名古屋,Fail,75,1,成績不足
2024-01-07,APP-0310,文系,一般,福岡,Pass,54,1,
2024-01-02,APP-0311,文系,推薦,東京,Pass,61,0,
2024-01-14,APP-0312,芸術系,推薦,福岡,Fail,74,1,書類不備
2024-01-18,APP-0313,理系,AO,名古屋,Pass,84,1,
2024-01-05,APP-0314,理系,一般,東京,Fail,79,0,書類不備
2024-01-14,APP-0315,体育系,一般,大阪,Pass,59,1,
2024-01-04,APP-0316,文系,AO,福岡,Fail,51,1,成績不足
2024-01-04,APP-0317,文系,推薦,仙台,Fail,53,1,成績不足
2024-01-13,APP-0318,体育系,一般,仙台,Pass,99,1,
2024-01-17,APP-0319,芸術系,一般,仙台,Pass,88,0,
2024-01-11,APP-0320,理系,推薦,大阪,Fail,83,1,面接低評価
