社員番号,運転者名,所属,乗務日付,出発時刻,到着時刻,休憩h,走行km,運行種別
DRV012,ドライバー12,名古屋営業所,2024-01-01,08:15,17:56,0.6,99.2,市内配送
DRV029,ドライバー29,大阪営業所,2024-01-18,08:15,17:43,0.5,46.3,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-16,06:30,20:47,1.2,339.1,長距離
DRV023,ドライバー23,大阪営業所,2024-01-26,08:00,20:03,1.6,575.2,長距離
DRV025,ドライバー25,東京営業所,2024-01-17,08:00,20:56,1.9,418.7,長距離
DRV004,ドライバー04,東京営業所,2024-01-11,07:15,19:10,1.1,227.9,中距離
DRV016,ドライバー16,東京営業所,2024-01-06,10:30,19:10,0.8,42.3,市内配送
DRV010,ドライバー10,東京営業所,2024-01-10,07:15,17:26,1.0,96.4,市内配送
DRV013,ドライバー13,東京営業所,2024-01-25,10:00,18:32,0.7,86.6,市内配送
DRV020,ドライバー20,大阪営業所,2024-01-19,06:45,19:06,1.7,371.4,長距離
DRV011,ドライバー11,大阪営業所,2024-01-29,06:30,19:36,1.3,374.9,長距離
DRV003,ドライバー03,名古屋営業所,2024-01-26,06:00,15:11,1.1,183.9,中距離
DRV006,ドライバー06,名古屋営業所,2024-01-16,09:30,19:08,0.6,63.6,市内配送
DRV028,ドライバー28,東京営業所,2024-01-25,07:15,18:03,1.3,106.7,中距離
DRV001,ドライバー01,東京営業所,2024-01-31,06:00,16:22,1.4,132.2,中距離
DRV003,ドライバー03,名古屋営業所,2024-01-29,06:30,17:52,1.2,196.5,中距離
DRV001,ドライバー01,東京営業所,2024-01-21,07:45,17:22,0.8,141.1,中距離
DRV007,ドライバー07,東京営業所,2024-01-18,10:30,22:08,1.0,119.2,中距離
DRV013,ドライバー13,東京営業所,2024-01-27,09:15,18:28,0.8,117.5,中距離
DRV027,ドライバー27,名古屋営業所,2024-01-20,09:15,17:32,0.6,74.7,市内配送
DRV003,ドライバー03,名古屋営業所,2024-01-04,08:45,19:38,1.4,153.0,中距離
DRV021,ドライバー21,名古屋営業所,2024-01-06,08:45,19:13,1.1,152.7,中距離
DRV015,ドライバー15,名古屋営業所,2024-01-27,08:00,17:36,1.3,119.3,中距離
DRV022,ドライバー22,東京営業所,2024-01-18,09:15,20:27,1.4,263.7,中距離
DRV014,ドライバー14,大阪営業所,2024-01-22,09:15,18:40,0.5,93.2,市内配送
DRV023,ドライバー23,大阪営業所,2024-01-19,10:15,22:33,1.8,351.9,長距離
DRV006,ドライバー06,名古屋営業所,2024-01-26,07:15,15:22,0.5,77.8,市内配送
DRV007,ドライバー07,東京営業所,2024-01-21,07:30,16:27,0.9,86.5,市内配送
DRV003,ドライバー03,名古屋営業所,2024-01-13,10:30,22:55,1.1,283.4,中距離
DRV001,ドライバー01,東京営業所,2024-01-20,10:45,19:05,0.6,69.7,市内配送
DRV019,ドライバー19,東京営業所,2024-01-31,06:00,15:41,0.6,50.0,市内配送
DRV018,ドライバー18,名古屋営業所,2024-01-29,09:30,18:38,0.7,72.6,市内配送
DRV002,ドライバー02,大阪営業所,2024-01-13,07:45,19:50,1.9,399.4,長距離
DRV008,ドライバー08,大阪営業所,2024-01-16,08:30,20:33,1.8,390.9,長距離
DRV009,ドライバー09,名古屋営業所,2024-01-28,06:15,14:39,1.0,61.0,市内配送
DRV027,ドライバー27,名古屋営業所,2024-01-24,09:00,18:45,0.9,264.8,中距離
DRV024,ドライバー24,名古屋営業所,2024-01-17,08:00,19:03,0.9,162.2,中距離
DRV017,ドライバー17,大阪営業所,2024-01-25,10:00,19:41,1.4,140.1,中距離
DRV002,ドライバー02,大阪営業所,2024-01-15,06:30,20:15,1.3,547.1,長距離
DRV017,ドライバー17,大阪営業所,2024-01-30,06:00,15:58,1.1,189.2,中距離
DRV028,ドライバー28,東京営業所,2024-01-18,08:30,18:09,1.4,249.8,中距離
DRV023,ドライバー23,大阪営業所,2024-01-01,09:00,21:24,1.6,589.5,長距離
DRV028,ドライバー28,東京営業所,2024-01-08,07:30,21:07,1.5,559.4,長距離
DRV025,ドライバー25,東京営業所,2024-01-16,07:15,17:03,0.5,47.7,市内配送
DRV026,ドライバー26,大阪営業所,2024-01-23,08:45,19:26,0.9,62.1,市内配送
DRV007,ドライバー07,東京営業所,2024-01-22,10:45,22:05,0.8,299.9,中距離
DRV027,ドライバー27,名古屋営業所,2024-01-18,10:30,19:23,0.6,34.5,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-28,08:30,18:28,1.0,75.6,市内配送
DRV007,ドライバー07,東京営業所,2024-01-25,07:00,21:00,1.8,480.0,長距離
DRV022,ドライバー22,東京営業所,2024-01-05,06:45,19:44,0.9,183.7,中距離
DRV013,ドライバー13,東京営業所,2024-01-19,10:15,19:16,0.9,78.0,市内配送
DRV021,ドライバー21,名古屋営業所,2024-01-30,08:30,19:02,0.9,91.4,市内配送
DRV006,ドライバー06,名古屋営業所,2024-01-16,07:30,19:24,1.2,282.5,中距離
DRV022,ドライバー22,東京営業所,2024-01-21,06:15,15:18,0.9,51.5,市内配送
DRV026,ドライバー26,大阪営業所,2024-01-12,08:30,17:53,0.6,33.8,市内配送
DRV021,ドライバー21,名古屋営業所,2024-01-31,10:00,20:53,0.9,124.0,中距離
DRV022,ドライバー22,東京営業所,2024-01-10,09:00,21:29,0.9,298.5,中距離
DRV011,ドライバー11,大阪営業所,2024-01-19,09:15,19:30,1.3,255.8,中距離
DRV016,ドライバー16,東京営業所,2024-01-06,08:00,17:01,1.0,252.2,中距離
DRV006,ドライバー06,名古屋営業所,2024-01-06,09:00,18:31,1.1,185.9,中距離
DRV014,ドライバー14,大阪営業所,2024-01-13,06:00,15:36,0.9,96.5,市内配送
DRV029,ドライバー29,大阪営業所,2024-01-27,10:15,19:19,0.8,246.7,中距離
DRV008,ドライバー08,大阪営業所,2024-01-12,08:15,16:33,0.8,51.4,市内配送
DRV003,ドライバー03,名古屋営業所,2024-01-10,08:45,18:56,0.8,53.6,市内配送
DRV029,ドライバー29,大阪営業所,2024-01-05,08:45,17:49,0.6,96.4,市内配送
DRV030,ドライバー30,名古屋営業所,2024-01-01,07:15,17:25,0.6,81.4,市内配送
DRV019,ドライバー19,東京営業所,2024-01-04,08:00,18:30,1.2,254.2,中距離
DRV020,ドライバー20,大阪営業所,2024-01-02,06:00,18:07,1.1,433.3,長距離
DRV004,ドライバー04,東京営業所,2024-01-16,07:15,19:01,1.2,160.2,中距離
DRV022,ドライバー22,東京営業所,2024-01-17,08:15,21:17,1.9,453.5,長距離
DRV020,ドライバー20,大阪営業所,2024-01-04,06:45,19:14,1.2,378.9,長距離
DRV017,ドライバー17,大阪営業所,2024-01-12,09:30,17:58,0.8,93.7,市内配送
DRV023,ドライバー23,大阪営業所,2024-01-11,07:00,15:02,0.5,37.7,市内配送
DRV019,ドライバー19,東京営業所,2024-01-05,06:00,16:10,0.6,47.9,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-10,08:45,17:57,1.4,274.8,中距離
DRV028,ドライバー28,東京営業所,2024-01-26,08:45,20:42,0.8,251.6,中距離
DRV002,ドライバー02,大阪営業所,2024-01-05,07:30,20:23,1.4,486.5,長距離
DRV029,ドライバー29,大阪営業所,2024-01-12,08:15,16:35,0.7,62.0,市内配送
DRV027,ドライバー27,名古屋営業所,2024-01-28,09:45,21:20,1.3,122.6,中距離
DRV023,ドライバー23,大阪営業所,2024-01-31,07:00,16:14,0.8,86.2,市内配送
DRV022,ドライバー22,東京営業所,2024-01-20,09:30,20:56,1.4,276.0,中距離
DRV024,ドライバー24,名古屋営業所,2024-01-05,09:45,18:05,0.7,33.2,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-01,10:15,21:11,0.8,53.7,市内配送
DRV017,ドライバー17,大阪営業所,2024-01-20,06:45,16:44,0.6,54.2,市内配送
DRV022,ドライバー22,東京営業所,2024-01-05,10:00,18:02,1.0,65.4,市内配送
DRV016,ドライバー16,東京営業所,2024-01-28,07:00,17:15,0.7,53.2,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-08,10:45,23:45,1.2,437.7,長距離
DRV026,ドライバー26,大阪営業所,2024-01-03,09:45,20:00,1.5,249.0,中距離
DRV001,ドライバー01,東京営業所,2024-01-14,06:00,20:03,1.8,589.0,長距離
DRV021,ドライバー21,名古屋営業所,2024-01-17,10:15,21:52,1.1,168.2,中距離
DRV027,ドライバー27,名古屋営業所,2024-01-08,09:30,22:54,1.6,441.9,長距離
DRV022,ドライバー22,東京営業所,2024-01-15,06:00,18:02,0.9,168.3,中距離
DRV027,ドライバー27,名古屋営業所,2024-01-26,08:30,18:36,0.5,41.5,市内配送
DRV005,ドライバー05,大阪営業所,2024-01-24,09:00,17:45,0.6,38.5,市内配送
DRV028,ドライバー28,東京営業所,2024-01-15,07:30,16:55,1.1,285.3,中距離
DRV027,ドライバー27,名古屋営業所,2024-01-04,09:45,19:43,1.0,39.4,市内配送
DRV016,ドライバー16,東京営業所,2024-01-24,06:45,20:50,1.5,452.5,長距離
DRV030,ドライバー30,名古屋営業所,2024-01-23,10:15,20:26,0.6,57.1,市内配送
DRV020,ドライバー20,大阪営業所,2024-01-11,10:45,20:00,0.8,78.5,市内配送
DRV008,ドライバー08,大阪営業所,2024-01-31,08:30,19:18,0.9,182.5,中距離
DRV023,ドライバー23,大阪営業所,2024-01-17,08:30,18:38,1.0,74.3,市内配送
DRV007,ドライバー07,東京営業所,2024-01-23,08:30,22:48,1.1,513.1,長距離
DRV006,ドライバー06,名古屋営業所,2024-01-23,08:00,20:02,1.2,216.6,中距離
DRV022,ドライバー22,東京営業所,2024-01-22,10:30,21:07,0.7,30.9,市内配送
DRV004,ドライバー04,東京営業所,2024-01-05,06:00,18:29,1.8,348.3,長距離
DRV010,ドライバー10,東京営業所,2024-01-05,06:30,15:06,0.8,55.1,市内配送
DRV015,ドライバー15,名古屋営業所,2024-01-28,10:15,00:06,1.6,371.3,長距離
DRV026,ドライバー26,大阪営業所,2024-01-23,08:00,18:46,0.7,97.0,市内配送
DRV022,ドライバー22,東京営業所,2024-01-18,06:00,17:58,0.9,273.8,中距離
DRV028,ドライバー28,東京営業所,2024-01-27,07:30,17:45,0.8,72.2,市内配送
DRV025,ドライバー25,東京営業所,2024-01-07,08:45,17:16,0.8,43.1,市内配送
DRV006,ドライバー06,名古屋営業所,2024-01-04,09:00,18:17,0.8,39.1,市内配送
DRV019,ドライバー19,東京営業所,2024-01-01,08:45,18:52,0.6,40.8,市内配送
DRV011,ドライバー11,大阪営業所,2024-01-25,10:30,21:27,1.2,171.6,中距離
DRV026,ドライバー26,大阪営業所,2024-01-17,07:15,16:48,0.9,41.2,市内配送
DRV018,ドライバー18,名古屋営業所,2024-01-03,08:15,20:47,1.2,166.2,中距離
DRV010,ドライバー10,東京営業所,2024-01-25,10:45,01:14,1.8,594.3,長距離
DRV001,ドライバー01,東京営業所,2024-01-12,09:15,23:30,1.6,486.3,長距離
DRV002,ドライバー02,大阪営業所,2024-01-11,09:00,18:09,0.8,49.8,市内配送
DRV030,ドライバー30,名古屋営業所,2024-01-25,08:45,19:41,1.0,230.3,中距離
DRV011,ドライバー11,大阪営業所,2024-01-31,06:15,19:08,1.3,206.6,中距離
DRV021,ドライバー21,名古屋営業所,2024-01-22,07:45,21:50,1.2,548.6,長距離
DRV029,ドライバー29,大阪営業所,2024-01-25,09:00,19:14,0.6,62.1,市内配送
DRV011,ドライバー11,大阪営業所,2024-01-03,06:15,20:14,1.6,472.5,長距離
DRV008,ドライバー08,大阪営業所,2024-01-14,09:45,19:38,0.7,31.2,市内配送
DRV022,ドライバー22,東京営業所,2024-01-01,10:00,23:53,1.6,510.3,長距離
DRV003,ドライバー03,名古屋営業所,2024-01-17,06:30,18:38,1.0,117.3,中距離
DRV025,ドライバー25,東京営業所,2024-01-13,09:00,18:25,0.8,39.5,市内配送
DRV013,ドライバー13,東京営業所,2024-01-28,10:30,21:22,0.6,77.4,市内配送
DRV030,ドライバー30,名古屋営業所,2024-01-28,08:00,17:39,0.8,38.6,市内配送
DRV001,ドライバー01,東京営業所,2024-01-13,10:00,20:13,1.3,280.7,中距離
DRV012,ドライバー12,名古屋営業所,2024-01-29,10:15,22:39,1.2,550.4,長距離
DRV007,ドライバー07,東京営業所,2024-01-22,10:00,00:07,1.9,598.3,長距離
DRV015,ドライバー15,名古屋営業所,2024-01-03,08:00,16:45,0.6,70.6,市内配送
DRV011,ドライバー11,大阪営業所,2024-01-22,07:00,17:08,0.8,138.7,中距離
DRV016,ドライバー16,東京営業所,2024-01-20,08:15,19:30,1.0,163.3,中距離
DRV014,ドライバー14,大阪営業所,2024-01-11,07:15,21:01,1.6,383.0,長距離
DRV012,ドライバー12,名古屋営業所,2024-01-24,08:45,21:54,1.4,391.6,長距離
DRV018,ドライバー18,名古屋営業所,2024-01-21,10:00,00:06,1.9,342.0,長距離
DRV018,ドライバー18,名古屋営業所,2024-01-24,06:00,20:13,1.8,489.5,長距離
DRV027,ドライバー27,名古屋営業所,2024-01-13,10:15,22:52,1.2,208.7,中距離
DRV018,ドライバー18,名古屋営業所,2024-01-25,07:30,18:04,1.4,217.9,中距離
DRV028,ドライバー28,東京営業所,2024-01-15,10:00,20:35,1.1,232.5,中距離
DRV028,ドライバー28,東京営業所,2024-01-20,07:15,16:35,0.6,96.4,市内配送
DRV022,ドライバー22,東京営業所,2024-01-05,09:30,17:37,0.9,46.2,市内配送
DRV009,ドライバー09,名古屋営業所,2024-01-02,07:30,18:03,1.4,276.3,中距離
DRV002,ドライバー02,大阪営業所,2024-01-11,06:30,17:00,0.6,68.1,市内配送
DRV006,ドライバー06,名古屋営業所,2024-01-13,08:00,19:03,1.0,281.4,中距離
DRV017,ドライバー17,大阪営業所,2024-01-27,08:45,20:55,1.4,101.3,中距離
DRV029,ドライバー29,大阪営業所,2024-01-06,07:00,20:17,1.3,345.1,長距離
DRV006,ドライバー06,名古屋営業所,2024-01-23,06:15,16:54,1.0,122.7,中距離
DRV022,ドライバー22,東京営業所,2024-01-07,10:15,21:50,1.1,148.7,中距離
DRV005,ドライバー05,大阪営業所,2024-01-06,07:00,19:33,0.9,133.3,中距離
DRV030,ドライバー30,名古屋営業所,2024-01-31,09:00,23:11,1.7,546.4,長距離
DRV003,ドライバー03,名古屋営業所,2024-01-20,09:45,22:10,1.8,480.3,長距離
DRV026,ドライバー26,大阪営業所,2024-01-25,07:30,17:10,1.3,284.5,中距離
DRV020,ドライバー20,大阪営業所,2024-01-08,09:45,19:16,0.8,204.5,中距離
DRV030,ドライバー30,名古屋営業所,2024-01-14,07:00,16:42,1.4,220.0,中距離
DRV029,ドライバー29,大阪営業所,2024-01-17,06:00,15:26,0.6,72.2,市内配送
DRV027,ドライバー27,名古屋営業所,2024-01-31,09:45,22:40,1.0,458.9,長距離
DRV008,ドライバー08,大阪営業所,2024-01-16,09:30,19:16,0.9,83.3,市内配送
DRV023,ドライバー23,大阪営業所,2024-01-14,07:30,18:24,0.9,271.8,中距離
DRV010,ドライバー10,東京営業所,2024-01-18,09:30,19:15,1.3,257.9,中距離
DRV019,ドライバー19,東京営業所,2024-01-17,06:45,18:22,1.3,163.2,中距離
DRV012,ドライバー12,名古屋営業所,2024-01-14,10:30,23:09,1.5,469.4,長距離
DRV020,ドライバー20,大阪営業所,2024-01-22,09:15,19:54,1.3,196.5,中距離
DRV012,ドライバー12,名古屋営業所,2024-01-16,08:30,19:48,1.3,179.6,中距離
DRV005,ドライバー05,大阪営業所,2024-01-22,06:15,15:35,0.8,41.3,市内配送
DRV007,ドライバー07,東京営業所,2024-01-26,08:00,17:38,1.5,101.1,中距離
DRV003,ドライバー03,名古屋営業所,2024-01-16,10:45,19:00,0.6,56.0,市内配送
DRV020,ドライバー20,大阪営業所,2024-01-13,09:30,23:16,1.6,583.7,長距離
DRV027,ドライバー27,名古屋営業所,2024-01-16,09:00,21:30,1.7,541.2,長距離
DRV010,ドライバー10,東京営業所,2024-01-26,10:15,23:47,1.7,407.9,長距離
DRV021,ドライバー21,名古屋営業所,2024-01-06,06:30,20:26,1.4,418.5,長距離
DRV019,ドライバー19,東京営業所,2024-01-01,06:00,19:22,1.7,467.7,長距離
DRV019,ドライバー19,東京営業所,2024-01-31,08:15,19:40,0.9,285.9,中距離
DRV019,ドライバー19,東京営業所,2024-01-06,09:00,22:23,1.5,402.0,長距離
