ResponseDate,CustomerCode,ServiceType,Agent,OverallSat,ResponseSpeed,Quality,CostPerf,NPS
2024-04-09,C0185,導入支援,伊藤,1,3,3,4,3
2024-12-17,C0186,研修,鈴木,4,2,1,2,1
2024-06-28,C0187,導入支援,佐藤,4,1,3,3,1
2024-11-12,C0188,研修,伊藤,3,3,2,2,5
2024-05-07,C0189,研修,佐藤,1,2,2,2,7
2024-01-15,C0190,ITサポート,鈴木,5,5,3,4,8
2024-05-27,C0191,コンサルティング,伊藤,1,1,3,4,7
2024-01-09,C0192,研修,高橋,4,5,1,2,5
2024-05-03,C0193,ITサポート,高橋,4,5,3,2,8
2024-02-07,C0194,研修,佐藤,2,4,5,1,1
2024-11-07,C0195,研修,佐藤,3,2,2,3,3
2024-10-02,C0196,保守,伊藤,3,1,3,2,10
2024-03-19,C0197,研修,鈴木,2,3,5,5,1
2024-04-12,C0198,研修,佐藤,5,5,2,2,10
2024-05-12,C0199,研修,伊藤,3,5,1,1,1
2024-10-17,C0200,ITサポート,伊藤,3,2,5,4,9
2024-10-22,C0201,ITサポート,高橋,5,3,3,4,3
2024-04-07,C0202,導入支援,鈴木,4,1,1,2,7
2024-03-26,C0203,導入支援,高橋,4,2,3,5,2
2024-12-27,C0204,保守,鈴木,3,4,2,3,8
2024-03-07,C0205,研修,田中,3,2,4,1,4
2024-12-06,C0206,導入支援,佐藤,2,1,1,3,6
2024-06-24,C0207,研修,高橋,2,2,3,5,5
2024-02-06,C0208,コンサルティング,佐藤,4,5,4,4,4
2024-09-09,C0209,導入支援,田中,1,4,5,4,3
2024-05-01,C0210,コンサルティング,伊藤,3,1,1,3,7
2024-10-10,C0211,研修,高橋,3,5,1,1,6
2024-11-17,C0212,コンサルティング,鈴木,3,4,3,1,6
2024-03-15,C0213,ITサポート,伊藤,5,2,3,5,4
2024-08-01,C0214,ITサポート,高橋,5,4,5,3,9
2024-03-09,C0215,研修,田中,2,1,4,3,5
2024-10-23,C0216,研修,鈴木,2,2,5,5,6
2024-12-12,C0217,研修,田中,1,1,2,3,7
2024-06-23,C0218,研修,高橋,2,5,5,2,5
2024-12-15,C0219,研修,鈴木,2,4,5,3,9
2024-07-20,C0220,保守,伊藤,5,5,4,5,4
2024-04-04,C0221,導入支援,田中,3,3,1,4,9
2024-08-03,C0222,保守,田中,5,4,3,5,9
2024-06-10,C0223,コンサルティング,田中,5,4,2,5,10
2024-01-16,C0224,研修,高橋,2,2,1,5,1
2024-09-07,C0225,コンサルティング,田中,4,3,4,2,6
2024-09-12,C0226,コンサルティング,高橋,5,5,4,1,2
2024-10-04,C0227,研修,佐藤,5,3,4,5,6
2024-11-19,C0228,保守,佐藤,4,5,3,5,5
2024-07-23,C0229,保守,伊藤,4,2,2,3,8
2024-11-02,C0230,保守,佐藤,3,3,2,4,5
2024-05-25,C0231,導入支援,鈴木,5,3,3,1,9
2024-07-02,C0232,研修,高橋,4,3,2,3,0
2024-01-14,C0233,保守,田中,3,4,3,4,3
2024-06-03,C0234,コンサルティング,伊藤,3,5,3,2,1
2024-07-15,C0235,研修,伊藤,2,2,1,5,3
2024-12-01,C0236,コンサルティング,田中,1,4,3,4,1
2024-05-05,C0237,コンサルティング,田中,5,2,4,4,7
2024-10-26,C0238,コンサルティング,鈴木,3,3,1,1,10
2024-08-22,C0239,研修,佐藤,5,1,2,4,2
2024-09-05,C0240,ITサポート,高橋,4,2,3,1,0
2024-06-11,C0241,保守,伊藤,5,1,3,3,7
2024-08-04,C0242,研修,伊藤,4,2,5,4,4
2024-04-08,C0243,コンサルティング,田中,3,2,4,3,2
2024-01-25,C0244,ITサポート,鈴木,3,5,2,2,9
2024-06-04,C0245,導入支援,高橋,5,3,1,4,10
2024-12-20,C0246,ITサポート,佐藤,2,4,3,2,0
2024-11-15,C0247,保守,高橋,2,4,3,3,4
2024-08-17,C0248,研修,伊藤,1,3,3,2,0
2024-10-11,C0249,ITサポート,高橋,3,2,4,5,4
2024-07-09,C0250,ITサポート,鈴木,3,5,2,2,2
2024-04-25,C0251,導入支援,佐藤,4,5,3,4,8
2024-08-18,C0252,導入支援,伊藤,2,2,5,1,8
2024-09-25,C0253,導入支援,伊藤,3,1,5,1,0
2024-12-28,C0254,研修,伊藤,2,5,5,2,2
2024-01-06,C0255,保守,伊藤,4,1,2,5,7
2024-01-04,C0256,ITサポート,伊藤,4,1,4,2,8
2024-10-18,C0257,導入支援,高橋,5,1,5,4,10
2024-01-26,C0258,保守,田中,4,3,1,2,9
2024-11-14,C0259,ITサポート,田中,4,3,1,5,0
2024-02-01,C0260,ITサポート,高橋,1,3,4,2,2
2024-09-28,C0261,導入支援,鈴木,4,4,4,4,1
2024-04-03,C0262,研修,佐藤,3,1,2,5,6
2024-02-03,C0263,研修,佐藤,2,1,1,3,7
2024-04-13,C0264,研修,高橋,5,4,2,2,7
2024-05-20,C0265,保守,佐藤,3,2,1,1,10
2024-06-17,C0266,導入支援,伊藤,1,2,2,1,1
2024-07-05,C0267,研修,田中,4,5,1,2,0
2024-09-14,C0268,導入支援,高橋,2,5,2,1,2
2024-03-17,C0269,研修,鈴木,2,5,3,5,9
2024-10-13,C0270,保守,佐藤,3,2,5,2,6
2024-02-16,C0271,保守,鈴木,1,5,5,2,10
2024-05-10,C0272,導入支援,伊藤,4,1,3,4,8
2024-12-07,C0273,保守,高橋,4,2,3,4,2
2024-11-18,C0274,研修,高橋,2,2,3,2,7
2024-11-10,C0275,ITサポート,伊藤,4,4,5,5,2
2024-05-02,C0276,導入支援,佐藤,3,2,3,1,7
2024-05-08,C0277,保守,田中,5,2,1,3,6
2024-10-25,C0278,研修,伊藤,1,1,2,5,10
2024-06-26,C0279,研修,佐藤,4,2,3,3,0
2024-11-22,C0280,コンサルティング,佐藤,1,4,2,5,3
