日付,倉庫名,品目コード,品目名,カテゴリ,在庫数量,最低在庫数,単価,入庫数量,出庫数量
2024/01/26,東京第1倉庫,ITM-7688,食用油18L,食料品,12,4,3200,6,4
2024/01/28,東京第1倉庫,ITM-5767,手袋L,衣料品,147,69,320,10,11
2024/01/14,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,42,10,4500,3,2
2024/01/06,東京第1倉庫,ITM-5638,砂糖50kg,食料品,10,5,6000,3,2
2024/01/10,東京第1倉庫,ITM-1949,洗剤業務用,日用品,33,8,2800,1,4
2024/01/12,東京第1倉庫,ITM-4662,グリース缶,工業用品,24,10,1800,0,0
2024/01/09,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,36,23,1500,13,5
2024/01/24,東京第1倉庫,ITM-7704,コネクタC,電子部品,88,32,450,18,6
2024/01/09,東京第1倉庫,ITM-5638,砂糖50kg,食料品,15,3,6000,1,2
2024/01/14,東京第1倉庫,ITM-7688,食用油18L,食料品,12,6,3200,2,4
2024/01/10,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,5,2,6800,1,1
2024/01/22,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,80,18,1500,9,4
2024/01/07,東京第1倉庫,ITM-5767,手袋L,衣料品,188,64,320,43,13
2024/01/17,東京第1倉庫,ITM-5767,手袋L,衣料品,32,46,320,42,21
2024/01/03,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,38,15,1500,1,3
2024/01/16,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,537,145,120,98,63
2024/01/13,東京第1倉庫,ITM-1949,洗剤業務用,日用品,12,13,2800,12,1
2024/01/25,東京第1倉庫,ITM-8517,作業着M,衣料品,10,2,4200,0,2
2024/01/08,東京第1倉庫,ITM-5638,砂糖50kg,食料品,15,3,6000,4,2
2024/01/25,東京第1倉庫,ITM-5767,手袋L,衣料品,185,72,320,58,35
2024/01/15,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,75,22,1500,8,12
2024/01/25,東京第1倉庫,ITM-4662,グリース缶,工業用品,17,9,1800,4,1
2024/01/09,東京第1倉庫,ITM-4064,ケーブル10m,電子部品,2,9,2200,3,1
2024/01/23,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,49,14,1500,14,6
2024/01/02,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,115,22,1200,0,12
2024/01/16,東京第1倉庫,ITM-7688,食用油18L,食料品,27,5,3200,6,3
2024/01/18,東京第1倉庫,ITM-1974,切削油5L,工業用品,15,7,2500,3,0
2024/01/13,東京第1倉庫,ITM-7704,コネクタC,電子部品,141,34,450,19,17
2024/01/01,東京第1倉庫,ITM-5767,手袋L,衣料品,41,62,320,27,8
2024/01/28,東京第1倉庫,ITM-8517,作業着M,衣料品,7,2,4200,2,1
2024/01/25,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,6,2,6800,0,1
2024/01/01,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,575,199,120,10,96
2024/01/01,東京第1倉庫,ITM-1949,洗剤業務用,日用品,29,14,2800,7,1
2024/01/19,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,53,27,1200,19,3
2024/01/25,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,9,17,1200,18,6
2024/01/13,東京第1倉庫,ITM-1949,洗剤業務用,日用品,29,12,2800,11,4
2024/01/28,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,270,179,120,136,54
2024/01/22,東京第1倉庫,ITM-2526,基板A型,電子部品,6,1,15000,1,0
2024/01/14,東京第1倉庫,ITM-7704,コネクタC,電子部品,123,34,450,30,20
2024/01/09,東京第1倉庫,ITM-1974,切削油5L,工業用品,26,7,2500,4,2
2024/01/11,東京第1倉庫,ITM-1949,洗剤業務用,日用品,50,10,2800,9,6
2024/01/11,東京第1倉庫,ITM-5638,砂糖50kg,食料品,10,5,6000,2,2
2024/01/09,東京第1倉庫,ITM-1974,切削油5L,工業用品,20,7,2500,1,0
2024/01/08,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,7,2,6800,2,1
2024/01/15,東京第1倉庫,ITM-5571,コメ25kg,食料品,37,12,8000,11,7
2024/01/18,東京第1倉庫,ITM-4662,グリース缶,工業用品,24,8,1800,7,2
2024/01/10,東京第1倉庫,ITM-4784,センサーB型,電子部品,4,1,8500,2,0
2024/01/07,東京第1倉庫,ITM-2536,トイレットペーパー,日用品,88,17,1500,16,9
2024/01/10,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,24,7,4500,8,1
2024/01/09,東京第1倉庫,ITM-5571,コメ25kg,食料品,31,15,8000,15,1
2024/01/28,東京第1倉庫,ITM-7688,食用油18L,食料品,13,5,3200,0,2
2024/01/28,東京第1倉庫,ITM-8517,作業着M,衣料品,5,3,4200,0,0
2024/01/05,東京第1倉庫,ITM-4662,グリース缶,工業用品,31,6,1800,6,4
2024/01/20,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,704,177,120,76,75
2024/01/14,東京第1倉庫,ITM-2526,基板A型,電子部品,7,1,15000,0,0
2024/01/09,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,19,7,4500,6,3
2024/01/23,東京第1倉庫,ITM-4662,グリース缶,工業用品,36,7,1800,7,0
2024/01/22,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,92,28,1200,6,13
2024/01/04,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,663,164,120,18,7
2024/01/06,東京第1倉庫,ITM-4064,ケーブル10m,電子部品,20,7,2200,6,2
2024/01/17,東京第1倉庫,ITM-4662,グリース缶,工業用品,41,8,1800,5,4
2024/01/09,東京第1倉庫,ITM-5571,コメ25kg,食料品,68,12,8000,0,10
2024/01/27,東京第1倉庫,ITM-2526,基板A型,電子部品,5,1,15000,1,1
2024/01/06,東京第1倉庫,ITM-4662,グリース缶,工業用品,17,9,1800,5,3
2024/01/11,東京第1倉庫,ITM-2526,基板A型,電子部品,5,1,15000,1,1
2024/01/27,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,411,145,120,103,65
2024/01/27,東京第1倉庫,ITM-5638,砂糖50kg,食料品,12,4,6000,3,3
2024/01/25,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,23,7,4500,7,0
2024/01/01,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,256,170,120,104,11
2024/01/08,東京第1倉庫,ITM-5638,砂糖50kg,食料品,9,5,6000,2,2
2024/01/14,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,7,1,6800,2,0
2024/01/28,東京第1倉庫,ITM-7688,食用油18L,食料品,16,7,3200,6,4
2024/01/09,東京第1倉庫,ITM-7688,食用油18L,食料品,21,6,3200,5,3
2024/01/28,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,84,24,1200,17,12
2024/01/15,東京第1倉庫,ITM-4784,センサーB型,電子部品,7,3,8500,1,0
2024/01/11,東京第1倉庫,ITM-5767,手袋L,衣料品,297,76,320,50,9
2024/01/16,東京第1倉庫,ITM-2385,小麦粉20kg,食料品,41,9,4500,7,0
2024/01/17,東京第1倉庫,ITM-8517,作業着M,衣料品,11,3,4200,1,0
2024/01/16,東京第1倉庫,ITM-4064,ケーブル10m,電子部品,14,8,2200,5,5
2024/01/28,東京第1倉庫,ITM-4662,グリース缶,工業用品,41,11,1800,7,6
2024/01/18,東京第1倉庫,ITM-5571,コメ25kg,食料品,39,12,8000,7,1
2024/01/14,東京第1倉庫,ITM-5571,コメ25kg,食料品,70,14,8000,1,5
2024/01/26,東京第1倉庫,ITM-7688,食用油18L,食料品,14,5,3200,3,4
2024/01/22,東京第1倉庫,ITM-1949,洗剤業務用,日用品,35,9,2800,10,3
2024/01/16,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,479,123,120,2,59
2024/01/10,東京第1倉庫,ITM-9464,ボルトM6×50,工業用品,743,107,120,76,81
2024/01/14,東京第1倉庫,ITM-7704,コネクタC,電子部品,88,36,450,15,3
2024/01/08,東京第1倉庫,ITM-5767,手袋L,衣料品,239,54,320,1,25
2024/01/09,東京第1倉庫,ITM-5571,コメ25kg,食料品,66,19,8000,9,3
2024/01/20,東京第1倉庫,ITM-4784,センサーB型,電子部品,9,2,8500,2,0
2024/01/21,東京第1倉庫,ITM-5571,コメ25kg,食料品,53,13,8000,4,1
2024/01/10,東京第1倉庫,ITM-7704,コネクタC,電子部品,103,23,450,11,16
2024/01/17,東京第1倉庫,ITM-4784,センサーB型,電子部品,7,2,8500,1,1
2024/01/26,東京第1倉庫,ITM-5638,砂糖50kg,食料品,21,5,6000,3,2
2024/01/03,東京第1倉庫,ITM-8517,作業着M,衣料品,8,2,4200,2,2
2024/01/13,東京第1倉庫,ITM-2526,基板A型,電子部品,5,1,15000,1,0
2024/01/21,東京第1倉庫,ITM-5638,砂糖50kg,食料品,13,5,6000,1,0
2024/01/02,東京第1倉庫,ITM-7704,コネクタC,電子部品,103,22,450,12,14
2024/01/12,東京第1倉庫,ITM-4662,グリース缶,工業用品,41,9,1800,1,6
2024/01/16,東京第1倉庫,ITM-4662,グリース缶,工業用品,35,11,1800,3,3
2024/01/15,東京第1倉庫,ITM-4211,ティッシュ箱,日用品,83,17,1200,20,11
2024/01/02,東京第1倉庫,ITM-5054,安全靴26cm,衣料品,10,1,6800,1,0
