日付,倉庫名,品目コード,品目名,カテゴリ,在庫数量,最低在庫数,単価,入庫数量,出庫数量
2024/01/07,福岡倉庫,ITM-5571,コメ25kg,食料品,73,12,8000,15,1
2024/01/10,福岡倉庫,ITM-5054,安全靴26cm,衣料品,4,2,6800,2,1
2024/01/06,福岡倉庫,ITM-7704,コネクタC,電子部品,76,27,450,14,8
2024/01/08,福岡倉庫,ITM-2526,基板A型,電子部品,2,1,15000,1,1
2024/01/25,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,659,155,120,107,68
2024/01/22,福岡倉庫,ITM-5767,手袋L,衣料品,115,75,320,57,2
2024/01/17,福岡倉庫,ITM-1974,切削油5L,工業用品,22,7,2500,0,3
2024/01/06,福岡倉庫,ITM-1949,洗剤業務用,日用品,36,14,2800,10,6
2024/01/07,福岡倉庫,ITM-2536,トイレットペーパー,日用品,84,15,1500,2,1
2024/01/13,福岡倉庫,ITM-4662,グリース缶,工業用品,30,9,1800,0,6
2024/01/23,福岡倉庫,ITM-1974,切削油5L,工業用品,18,6,2500,1,4
2024/01/19,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,300,192,120,73,68
2024/01/12,福岡倉庫,ITM-5054,安全靴26cm,衣料品,8,2,6800,0,0
2024/01/09,福岡倉庫,ITM-8517,作業着M,衣料品,9,3,4200,3,1
2024/01/23,福岡倉庫,ITM-1949,洗剤業務用,日用品,55,13,2800,0,5
2024/01/27,福岡倉庫,ITM-4064,ケーブル10m,電子部品,29,6,2200,1,1
2024/01/05,福岡倉庫,ITM-7704,コネクタC,電子部品,122,35,450,19,20
2024/01/03,福岡倉庫,ITM-4211,ティッシュ箱,日用品,99,19,1200,24,16
2024/01/28,福岡倉庫,ITM-2526,基板A型,電子部品,4,1,15000,1,0
2024/01/25,福岡倉庫,ITM-1974,切削油5L,工業用品,26,4,2500,6,0
2024/01/08,福岡倉庫,ITM-5638,砂糖50kg,食料品,10,3,6000,2,3
2024/01/17,福岡倉庫,ITM-5767,手袋L,衣料品,148,76,320,31,38
2024/01/15,福岡倉庫,ITM-4211,ティッシュ箱,日用品,53,25,1200,8,2
2024/01/10,福岡倉庫,ITM-5638,砂糖50kg,食料品,19,3,6000,1,1
2024/01/21,福岡倉庫,ITM-2536,トイレットペーパー,日用品,60,14,1500,0,7
2024/01/05,福岡倉庫,ITM-2536,トイレットペーパー,日用品,66,21,1500,9,11
2024/01/23,福岡倉庫,ITM-7704,コネクタC,電子部品,95,37,450,6,14
2024/01/10,福岡倉庫,ITM-1974,切削油5L,工業用品,20,5,2500,5,2
2024/01/18,福岡倉庫,ITM-1974,切削油5L,工業用品,19,5,2500,2,2
2024/01/21,福岡倉庫,ITM-4064,ケーブル10m,電子部品,34,6,2200,4,1
2024/01/05,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,651,189,120,103,84
2024/01/11,福岡倉庫,ITM-2536,トイレットペーパー,日用品,47,12,1500,13,6
2024/01/13,福岡倉庫,ITM-2385,小麦粉20kg,食料品,35,8,4500,7,5
2024/01/12,福岡倉庫,ITM-4662,グリース缶,工業用品,41,11,1800,2,2
2024/01/04,福岡倉庫,ITM-8517,作業着M,衣料品,10,3,4200,1,2
2024/01/11,福岡倉庫,ITM-2385,小麦粉20kg,食料品,24,8,4500,5,2
2024/01/09,福岡倉庫,ITM-4662,グリース缶,工業用品,16,8,1800,9,4
2024/01/20,福岡倉庫,ITM-5638,砂糖50kg,食料品,20,5,6000,3,2
2024/01/14,福岡倉庫,ITM-2385,小麦粉20kg,食料品,27,6,4500,9,3
2024/01/05,福岡倉庫,ITM-4784,センサーB型,電子部品,9,2,8500,0,1
2024/01/21,福岡倉庫,ITM-5571,コメ25kg,食料品,63,14,8000,5,7
2024/01/26,福岡倉庫,ITM-2385,小麦粉20kg,食料品,27,9,4500,7,3
2024/01/01,福岡倉庫,ITM-2385,小麦粉20kg,食料品,41,10,4500,8,1
2024/01/01,福岡倉庫,ITM-2385,小麦粉20kg,食料品,24,7,4500,1,3
2024/01/17,福岡倉庫,ITM-4662,グリース缶,工業用品,23,7,1800,4,3
2024/01/24,福岡倉庫,ITM-1974,切削油5L,工業用品,23,6,2500,1,2
2024/01/16,福岡倉庫,ITM-4784,センサーB型,電子部品,10,1,8500,0,0
2024/01/08,福岡倉庫,ITM-1949,洗剤業務用,日用品,26,13,2800,5,0
2024/01/13,福岡倉庫,ITM-2526,基板A型,電子部品,0,1,15000,0,0
2024/01/23,福岡倉庫,ITM-5638,砂糖50kg,食料品,11,4,6000,1,1
2024/01/23,福岡倉庫,ITM-7688,食用油18L,食料品,20,5,3200,4,4
2024/01/23,福岡倉庫,ITM-4211,ティッシュ箱,日用品,97,29,1200,3,9
2024/01/04,福岡倉庫,ITM-5638,砂糖50kg,食料品,11,3,6000,4,1
2024/01/12,福岡倉庫,ITM-5054,安全靴26cm,衣料品,11,1,6800,2,1
2024/01/11,福岡倉庫,ITM-1949,洗剤業務用,日用品,1,8,2800,9,1
2024/01/05,福岡倉庫,ITM-5571,コメ25kg,食料品,37,17,8000,7,7
2024/01/10,福岡倉庫,ITM-7704,コネクタC,電子部品,137,21,450,27,9
2024/01/12,福岡倉庫,ITM-7704,コネクタC,電子部品,2,34,450,0,0
2024/01/22,福岡倉庫,ITM-4211,ティッシュ箱,日用品,89,21,1200,23,2
2024/01/12,福岡倉庫,ITM-4784,センサーB型,電子部品,7,1,8500,1,1
2024/01/26,福岡倉庫,ITM-5767,手袋L,衣料品,126,75,320,46,3
2024/01/28,福岡倉庫,ITM-1949,洗剤業務用,日用品,52,11,2800,10,7
2024/01/06,福岡倉庫,ITM-4662,グリース缶,工業用品,40,10,1800,2,3
2024/01/16,福岡倉庫,ITM-5638,砂糖50kg,食料品,2,4,6000,0,2
2024/01/28,福岡倉庫,ITM-1974,切削油5L,工業用品,29,6,2500,5,2
2024/01/17,福岡倉庫,ITM-1974,切削油5L,工業用品,5,6,2500,5,1
2024/01/16,福岡倉庫,ITM-7704,コネクタC,電子部品,139,22,450,19,1
2024/01/01,福岡倉庫,ITM-2536,トイレットペーパー,日用品,82,22,1500,2,12
2024/01/16,福岡倉庫,ITM-4784,センサーB型,電子部品,8,2,8500,2,1
2024/01/13,福岡倉庫,ITM-1949,洗剤業務用,日用品,37,11,2800,7,7
2024/01/11,福岡倉庫,ITM-5638,砂糖50kg,食料品,3,5,6000,3,0
2024/01/18,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,731,182,120,77,65
2024/01/18,福岡倉庫,ITM-2536,トイレットペーパー,日用品,51,20,1500,1,3
2024/01/28,福岡倉庫,ITM-5054,安全靴26cm,衣料品,7,2,6800,2,1
2024/01/23,福岡倉庫,ITM-8517,作業着M,衣料品,5,2,4200,2,2
2024/01/26,福岡倉庫,ITM-4064,ケーブル10m,電子部品,2,8,2200,7,0
2024/01/27,福岡倉庫,ITM-8517,作業着M,衣料品,6,2,4200,3,0
2024/01/15,福岡倉庫,ITM-2536,トイレットペーパー,日用品,32,16,1500,18,1
2024/01/25,福岡倉庫,ITM-5054,安全靴26cm,衣料品,5,2,6800,1,0
2024/01/17,福岡倉庫,ITM-5638,砂糖50kg,食料品,15,5,6000,1,1
2024/01/24,福岡倉庫,ITM-1949,洗剤業務用,日用品,55,11,2800,8,6
2024/01/14,福岡倉庫,ITM-1974,切削油5L,工業用品,29,7,2500,2,3
2024/01/26,福岡倉庫,ITM-1949,洗剤業務用,日用品,49,11,2800,4,8
2024/01/28,福岡倉庫,ITM-4784,センサーB型,電子部品,6,1,8500,1,0
2024/01/23,福岡倉庫,ITM-2536,トイレットペーパー,日用品,72,18,1500,11,8
2024/01/16,福岡倉庫,ITM-1974,切削油5L,工業用品,23,7,2500,6,4
2024/01/10,福岡倉庫,ITM-8517,作業着M,衣料品,0,3,4200,0,0
2024/01/07,福岡倉庫,ITM-4784,センサーB型,電子部品,5,3,8500,0,1
2024/01/07,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,558,135,120,143,28
2024/01/24,福岡倉庫,ITM-4662,グリース缶,工業用品,38,7,1800,4,5
2024/01/22,福岡倉庫,ITM-5638,砂糖50kg,食料品,22,4,6000,2,0
2024/01/01,福岡倉庫,ITM-4784,センサーB型,電子部品,10,2,8500,0,1
2024/01/25,福岡倉庫,ITM-1974,切削油5L,工業用品,24,6,2500,1,2
2024/01/15,福岡倉庫,ITM-2536,トイレットペーパー,日用品,74,12,1500,3,6
2024/01/02,福岡倉庫,ITM-5054,安全靴26cm,衣料品,8,2,6800,1,0
2024/01/11,福岡倉庫,ITM-5767,手袋L,衣料品,41,77,320,38,3
2024/01/25,福岡倉庫,ITM-1974,切削油5L,工業用品,21,5,2500,0,2
2024/01/17,福岡倉庫,ITM-1949,洗剤業務用,日用品,26,12,2800,8,8
2024/01/13,福岡倉庫,ITM-7688,食用油18L,食料品,16,4,3200,2,2
2024/01/07,福岡倉庫,ITM-1974,切削油5L,工業用品,25,5,2500,5,0
2024/01/04,福岡倉庫,ITM-7704,コネクタC,電子部品,141,24,450,7,1
2024/01/22,福岡倉庫,ITM-7704,コネクタC,電子部品,88,38,450,17,9
2024/01/01,福岡倉庫,ITM-4662,グリース缶,工業用品,29,9,1800,4,5
2024/01/07,福岡倉庫,ITM-2526,基板A型,電子部品,7,1,15000,0,0
2024/01/07,福岡倉庫,ITM-2536,トイレットペーパー,日用品,62,17,1500,13,10
2024/01/27,福岡倉庫,ITM-2385,小麦粉20kg,食料品,16,6,4500,1,0
2024/01/06,福岡倉庫,ITM-2526,基板A型,電子部品,3,1,15000,1,1
2024/01/21,福岡倉庫,ITM-5054,安全靴26cm,衣料品,4,2,6800,0,0
2024/01/25,福岡倉庫,ITM-9464,ボルトM6×50,工業用品,128,170,120,27,37
