Date,Warehouse,ItemCode,ItemName,Category,StockQty,MinStock,UnitCost,ReceivedQty,ShippedQty
2024/01/25,大阪第2倉庫,ITM-7688,食用油18L,食料品,18,5,3200,3,1
2024/01/08,大阪第2倉庫,ITM-5054,安全靴26cm,衣料品,11,1,6800,0,0
2024/01/26,大阪第2倉庫,ITM-5767,手袋L,衣料品,103,70,320,13,4
2024/01/04,大阪第2倉庫,ITM-9464,ボルトM6×50,工業用品,686,144,120,62,94
2024/01/02,大阪第2倉庫,ITM-5054,安全靴26cm,衣料品,10,1,6800,0,0
2024/01/17,大阪第2倉庫,ITM-4784,センサーB型,電子部品,6,2,8500,2,1
2024/01/08,大阪第2倉庫,ITM-4784,センサーB型,電子部品,7,3,8500,1,0
2024/01/18,大阪第2倉庫,ITM-1974,切削油5L,工業用品,18,7,2500,3,0
2024/01/12,大阪第2倉庫,ITM-5767,手袋L,衣料品,129,52,320,24,11
2024/01/25,大阪第2倉庫,ITM-4662,グリース缶,工業用品,40,7,1800,2,6
2024/01/15,大阪第2倉庫,ITM-5638,砂糖50kg,食料品,9,5,6000,1,2
