集計日,倉庫,コード,品名,分類,在庫,安全在庫,原価,入庫,出庫
2024/01/01,名古屋倉庫,ITM-5767,手袋L,衣料品,205,69,320,15,26
2024/01/16,名古屋倉庫,ITM-2385,小麦粉20kg,食料品,3,10,4500,8,3
2024/01/23,名古屋倉庫,ITM-7704,コネクタC,電子部品,6,39,450,16,1
2024/01/21,名古屋倉庫,ITM-8517,作業着M,衣料品,2,3,4200,1,0
2024/01/10,名古屋倉庫,ITM-4064,ケーブル10m,電子部品,33,9,2200,5,2
2024/01/15,名古屋倉庫,ITM-4784,センサーB型,電子部品,10,1,8500,2,0
2024/01/05,名古屋倉庫,ITM-2385,小麦粉20kg,食料品,18,8,4500,5,6
2024/01/07,名古屋倉庫,ITM-5054,安全靴26cm,衣料品,4,2,6800,2,1
2024/01/27,名古屋倉庫,ITM-9464,ボルトM6×50,工業用品,324,121,120,63,45
2024/01/13,名古屋倉庫,ITM-9464,ボルトM6×50,工業用品,745,167,120,7,51
2024/01/28,名古屋倉庫,ITM-5767,手袋L,衣料品,192,69,320,51,8
2024/01/04,名古屋倉庫,ITM-5571,コメ25kg,食料品,31,18,8000,12,5
2024/01/22,名古屋倉庫,ITM-7688,食用油18L,食料品,0,7,3200,1,0
2024/01/26,名古屋倉庫,ITM-1949,洗剤業務用,日用品,33,15,2800,0,7
2024/01/02,名古屋倉庫,ITM-2536,トイレットペーパー,日用品,59,17,1500,12,10
