record_date,record_id,project_no,work_type,cost_category,budget_amount,actual_amount,is_over_budget,variance,variance_rate,budget_status,variance_grade,source_file
2024-01-04,CST-0088,PROJ-08,コンクリート工,労務費,622606,778557,1,155951,0.2505,超過,大超過,costs_styleA_202401.csv
2024-01-18,CST-0089,PROJ-06,仮設工,外注費,1500011,1528029,1,28018,0.0187,超過,小超過,costs_styleA_202401.csv
2024-01-17,CST-0090,PROJ-07,仮設工,材料費,1809192,2047217,1,238025,0.1316,超過,大超過,costs_styleA_202401.csv
2024-01-15,CST-0091,PROJ-05,コンクリート工,外注費,1659558,2019511,1,359953,0.2169,超過,大超過,costs_styleA_202401.csv
2024-01-17,CST-0092,PROJ-08,コンクリート工,労務費,681564,790265,1,108701,0.1595,超過,大超過,costs_styleA_202401.csv
2024-01-10,CST-0093,PROJ-04,鉄筋工,労務費,1022479,763270,0,-259209,-0.2535,予算内,予算内,costs_styleA_202401.csv
2024-01-03,CST-0094,PROJ-03,コンクリート工,材料費,770479,952170,1,181691,0.2358,超過,大超過,costs_styleA_202401.csv
2024-01-07,CST-0095,PROJ-02,仮設工,労務費,903283,1008397,1,105114,0.1164,超過,大超過,costs_styleA_202401.csv
2024-01-14,CST-0096,PROJ-01,コンクリート工,労務費,793908,814205,1,20297,0.0256,超過,小超過,costs_styleA_202401.csv
2024-01-19,CST-0097,PROJ-01,仮設工,労務費,916792,1139483,1,222691,0.2429,超過,大超過,costs_styleA_202401.csv
2024-01-10,CST-0098,PROJ-07,仮設工,外注費,112364,142212,1,29848,0.2656,超過,大超過,costs_styleA_202401.csv
2024-01-20,CST-0099,PROJ-04,仮設工,材料費,1667653,1902425,1,234772,0.1408,超過,大超過,costs_styleA_202401.csv
2024-01-01,CST-0100,PROJ-07,鉄筋工,外注費,672386,646500,0,-25886,-0.0385,予算内,予算内,costs_styleA_202401.csv
2024-01-06,CST-0101,PROJ-08,コンクリート工,外注費,1524263,1796931,1,272668,0.1789,超過,大超過,costs_styleA_202401.csv
2024-01-13,CST-0102,PROJ-01,土工,外注費,1220138,873838,0,-346300,-0.2838,予算内,予算内,costs_styleA_202401.csv
2024-01-15,CST-0103,PROJ-03,土工,労務費,998866,780533,0,-218333,-0.2186,予算内,予算内,costs_styleA_202401.csv
2024-01-15,CST-0104,PROJ-06,鉄筋工,労務費,895038,802322,0,-92716,-0.1036,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0105,PROJ-05,土工,労務費,683546,786902,1,103356,0.1512,超過,大超過,costs_styleA_202401.csv
2024-01-02,CST-0106,PROJ-06,コンクリート工,外注費,140649,161664,1,21015,0.1494,超過,大超過,costs_styleA_202401.csv
2024-01-02,CST-0107,PROJ-01,コンクリート工,材料費,243903,285059,1,41156,0.1687,超過,大超過,costs_styleA_202401.csv
2024-01-05,CST-0108,PROJ-04,コンクリート工,労務費,1859990,1324736,0,-535254,-0.2878,予算内,予算内,costs_styleA_202401.csv
2024-01-07,CST-0109,PROJ-08,鉄筋工,労務費,1503956,1155991,0,-347965,-0.2314,予算内,予算内,costs_styleA_202401.csv
2024-01-04,CST-0110,PROJ-03,鉄筋工,材料費,451879,480589,1,28710,0.0635,超過,小超過,costs_styleA_202401.csv
2024-01-10,CST-0111,PROJ-07,仮設工,外注費,1313589,939750,0,-373839,-0.2846,予算内,予算内,costs_styleA_202401.csv
2024-01-08,CST-0112,PROJ-02,鉄筋工,外注費,515927,384674,0,-131253,-0.2544,予算内,予算内,costs_styleA_202401.csv
2024-01-19,CST-0113,PROJ-01,鉄筋工,外注費,1359154,1608309,1,249155,0.1833,超過,大超過,costs_styleA_202401.csv
2024-01-03,CST-0114,PROJ-06,土工,労務費,998373,1095128,1,96755,0.0969,超過,小超過,costs_styleA_202401.csv
2024-01-14,CST-0115,PROJ-06,仮設工,外注費,1824552,1813825,0,-10727,-0.0059,予算内,予算内,costs_styleA_202401.csv
2024-01-17,CST-0116,PROJ-05,仮設工,労務費,420845,404555,0,-16290,-0.0387,予算内,予算内,costs_styleA_202401.csv
2024-01-19,CST-0117,PROJ-05,鉄筋工,材料費,1013465,1211537,1,198072,0.1954,超過,大超過,costs_styleA_202401.csv
2024-01-09,CST-0118,PROJ-08,コンクリート工,労務費,1842169,2322557,1,480388,0.2608,超過,大超過,costs_styleA_202401.csv
2024-01-13,CST-0119,PROJ-06,土工,労務費,1295061,1380792,1,85731,0.0662,超過,小超過,costs_styleA_202401.csv
2024-01-16,CST-0120,PROJ-04,鉄筋工,労務費,1884577,1686712,0,-197865,-0.105,予算内,予算内,costs_styleA_202401.csv
2024-01-20,CST-0121,PROJ-05,土工,外注費,813742,706161,0,-107581,-0.1322,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0122,PROJ-08,コンクリート工,外注費,500674,376190,0,-124484,-0.2486,予算内,予算内,costs_styleA_202401.csv
2024-01-16,CST-0123,PROJ-08,土工,材料費,1098439,1194598,1,96159,0.0875,超過,小超過,costs_styleA_202401.csv
2024-01-08,CST-0124,PROJ-05,鉄筋工,労務費,717056,597277,0,-119779,-0.167,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0125,PROJ-06,鉄筋工,外注費,1260716,1284106,1,23390,0.0186,超過,小超過,costs_styleA_202401.csv
2024-01-09,CST-0126,PROJ-04,土工,外注費,1051572,907033,0,-144539,-0.1375,予算内,予算内,costs_styleA_202401.csv
2024-01-18,CST-0127,PROJ-03,コンクリート工,材料費,503878,448113,0,-55765,-0.1107,予算内,予算内,costs_styleA_202401.csv
2024-01-19,CST-0128,PROJ-05,土工,材料費,1648966,1633332,0,-15634,-0.0095,予算内,予算内,costs_styleA_202401.csv
2024-01-06,CST-0129,PROJ-05,土工,外注費,721273,603337,0,-117936,-0.1635,予算内,予算内,costs_styleA_202401.csv
2024-01-02,CST-0130,PROJ-01,鉄筋工,外注費,1220162,946784,0,-273378,-0.2241,予算内,予算内,costs_styleA_202401.csv
2024-01-16,CST-0131,PROJ-02,土工,外注費,364827,395006,1,30179,0.0827,超過,小超過,costs_styleA_202401.csv
2024-01-15,CST-0132,PROJ-06,コンクリート工,材料費,696302,683516,0,-12786,-0.0184,予算内,予算内,costs_styleA_202401.csv
2024-01-16,CST-0133,PROJ-02,土工,労務費,629485,796070,1,166585,0.2646,超過,大超過,costs_styleA_202401.csv
2024-01-02,CST-0134,PROJ-03,コンクリート工,外注費,1131267,842170,0,-289097,-0.2556,予算内,予算内,costs_styleA_202401.csv
2024-01-08,CST-0135,PROJ-02,仮設工,外注費,737189,553708,0,-183481,-0.2489,予算内,予算内,costs_styleA_202401.csv
2024-01-08,CST-0136,PROJ-07,仮設工,労務費,1350168,1585697,1,235529,0.1744,超過,大超過,costs_styleA_202401.csv
2024-01-14,CST-0137,PROJ-05,土工,外注費,723594,879962,1,156368,0.2161,超過,大超過,costs_styleA_202401.csv
2024-01-07,CST-0138,PROJ-04,鉄筋工,外注費,1652079,1254820,0,-397259,-0.2405,予算内,予算内,costs_styleA_202401.csv
2024-01-06,CST-0139,PROJ-02,コンクリート工,材料費,270262,214651,0,-55611,-0.2058,予算内,予算内,costs_styleA_202401.csv
2024-01-20,CST-0140,PROJ-08,鉄筋工,材料費,956723,928310,0,-28413,-0.0297,予算内,予算内,costs_styleA_202401.csv
2024-01-10,CST-0141,PROJ-08,土工,外注費,585440,511008,0,-74432,-0.1271,予算内,予算内,costs_styleA_202401.csv
2024-01-19,CST-0142,PROJ-04,仮設工,材料費,589525,739468,1,149943,0.2543,超過,大超過,costs_styleA_202401.csv
2024-01-05,CST-0143,PROJ-05,コンクリート工,材料費,1242030,1036953,0,-205077,-0.1651,予算内,予算内,costs_styleA_202401.csv
2024-01-10,CST-0144,PROJ-05,仮設工,材料費,225070,179955,0,-45115,-0.2004,予算内,予算内,costs_styleA_202401.csv
2024-01-13,CST-0145,PROJ-05,仮設工,労務費,1082930,1205525,1,122595,0.1132,超過,大超過,costs_styleA_202401.csv
2024-01-14,CST-0146,PROJ-06,鉄筋工,材料費,268698,284503,1,15805,0.0588,超過,小超過,costs_styleA_202401.csv
2024-01-19,CST-0147,PROJ-01,鉄筋工,外注費,291526,244110,0,-47416,-0.1626,予算内,予算内,costs_styleA_202401.csv
2024-01-06,CST-0148,PROJ-08,仮設工,労務費,184371,213476,1,29105,0.1579,超過,大超過,costs_styleA_202401.csv
2024-01-14,CST-0149,PROJ-08,土工,労務費,480610,623912,1,143302,0.2982,超過,大超過,costs_styleA_202401.csv
2024-01-11,CST-0150,PROJ-02,コンクリート工,労務費,829727,784099,0,-45628,-0.055,予算内,予算内,costs_styleA_202401.csv
2024-01-10,CST-0151,PROJ-07,土工,労務費,963282,1075219,1,111937,0.1162,超過,大超過,costs_styleA_202401.csv
2024-01-11,CST-0152,PROJ-02,仮設工,外注費,284674,252992,0,-31682,-0.1113,予算内,予算内,costs_styleA_202401.csv
2024-01-18,CST-0153,PROJ-08,仮設工,材料費,1829997,2365951,1,535954,0.2929,超過,大超過,costs_styleA_202401.csv
2024-01-20,CST-0154,PROJ-08,仮設工,材料費,493389,498847,1,5458,0.0111,超過,小超過,costs_styleA_202401.csv
2024-01-05,CST-0155,PROJ-05,仮設工,外注費,526892,453250,0,-73642,-0.1398,予算内,予算内,costs_styleA_202401.csv
2024-01-20,CST-0156,PROJ-04,コンクリート工,労務費,1116514,862904,0,-253610,-0.2271,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0157,PROJ-02,コンクリート工,材料費,1255193,888933,0,-366260,-0.2918,予算内,予算内,costs_styleA_202401.csv
2024-01-05,CST-0158,PROJ-08,鉄筋工,外注費,1067726,1354129,1,286403,0.2682,超過,大超過,costs_styleA_202401.csv
2024-01-16,CST-0159,PROJ-08,コンクリート工,労務費,1579355,1364649,0,-214706,-0.1359,予算内,予算内,costs_styleA_202401.csv
2024-01-07,CST-0160,PROJ-03,土工,労務費,1256086,988269,0,-267817,-0.2132,予算内,予算内,costs_styleA_202401.csv
2024-01-14,CST-0161,PROJ-06,鉄筋工,材料費,1720417,2019775,1,299358,0.174,超過,大超過,costs_styleB_202401.csv
2024-01-19,CST-0162,PROJ-08,コンクリート工,労務費,693156,787169,1,94013,0.1356,超過,大超過,costs_styleB_202401.csv
2024-01-11,CST-0163,PROJ-07,仮設工,労務費,1229485,1217933,0,-11552,-0.0094,予算内,予算内,costs_styleB_202401.csv
2024-01-08,CST-0164,PROJ-07,コンクリート工,労務費,1923686,1564324,0,-359362,-0.1868,予算内,予算内,costs_styleB_202401.csv
2024-01-16,CST-0165,PROJ-07,仮設工,外注費,191535,170639,0,-20896,-0.1091,予算内,予算内,costs_styleB_202401.csv
2024-01-05,CST-0166,PROJ-08,土工,材料費,1761769,2100818,1,339049,0.1924,超過,大超過,costs_styleB_202401.csv
2024-01-11,CST-0167,PROJ-02,仮設工,材料費,1153380,1475417,1,322037,0.2792,超過,大超過,costs_styleB_202401.csv
2024-01-01,CST-0168,PROJ-03,仮設工,外注費,1202999,1499255,1,296256,0.2463,超過,大超過,costs_styleB_202401.csv
2024-01-09,CST-0169,PROJ-06,仮設工,外注費,423718,315626,0,-108092,-0.2551,予算内,予算内,costs_styleB_202401.csv
2024-01-18,CST-0170,PROJ-07,鉄筋工,外注費,268433,325088,1,56655,0.2111,超過,大超過,costs_styleB_202401.csv
2024-01-16,CST-0171,PROJ-01,土工,材料費,1607259,1980887,1,373628,0.2325,超過,大超過,costs_styleB_202401.csv
2024-01-10,CST-0172,PROJ-04,土工,労務費,1423640,1581151,1,157511,0.1106,超過,大超過,costs_styleB_202401.csv
2024-01-04,CST-0173,PROJ-08,コンクリート工,外注費,306450,354324,1,47874,0.1562,超過,大超過,costs_styleB_202401.csv
2024-01-02,CST-0174,PROJ-06,土工,労務費,728025,904246,1,176221,0.2421,超過,大超過,costs_styleB_202401.csv
2024-01-05,CST-0175,PROJ-04,仮設工,外注費,851752,787789,0,-63963,-0.0751,予算内,予算内,costs_styleB_202401.csv
2024-01-06,CST-0176,PROJ-03,土工,外注費,1529839,1798343,1,268504,0.1755,超過,大超過,costs_styleB_202401.csv
2024-01-08,CST-0177,PROJ-08,コンクリート工,材料費,1926283,1790531,0,-135752,-0.0705,予算内,予算内,costs_styleB_202401.csv
2024-01-15,CST-0178,PROJ-05,土工,労務費,1067101,1155395,1,88294,0.0827,超過,小超過,costs_styleB_202401.csv
2024-01-18,CST-0179,PROJ-03,土工,労務費,1989973,1736408,0,-253565,-0.1274,予算内,予算内,costs_styleB_202401.csv
2024-01-10,CST-0180,PROJ-07,鉄筋工,労務費,824703,1066003,1,241300,0.2926,超過,大超過,costs_styleB_202401.csv
2024-01-13,CST-0181,PROJ-08,土工,材料費,1872730,1650386,0,-222344,-0.1187,予算内,予算内,costs_styleB_202401.csv
2024-01-19,CST-0182,PROJ-05,鉄筋工,材料費,899778,938606,1,38828,0.0432,超過,小超過,costs_styleB_202401.csv
2024-01-09,CST-0183,PROJ-01,土工,外注費,1840714,2015467,1,174753,0.0949,超過,小超過,costs_styleB_202401.csv
2024-01-10,CST-0184,PROJ-04,鉄筋工,材料費,1662739,1659473,0,-3266,-0.002,予算内,予算内,costs_styleB_202401.csv
2024-01-09,CST-0185,PROJ-03,土工,外注費,1435084,1168272,0,-266812,-0.1859,予算内,予算内,costs_styleB_202401.csv
2024-01-15,CST-0186,PROJ-01,鉄筋工,外注費,1455474,1053258,0,-402216,-0.2763,予算内,予算内,costs_styleB_202401.csv
2024-01-10,CST-0187,PROJ-06,仮設工,材料費,375590,283224,0,-92366,-0.2459,予算内,予算内,costs_styleB_202401.csv
2024-01-18,CST-0188,PROJ-06,鉄筋工,材料費,521097,406088,0,-115009,-0.2207,予算内,予算内,costs_styleB_202401.csv
2024-01-16,CST-0189,PROJ-05,鉄筋工,材料費,638905,797627,1,158722,0.2484,超過,大超過,costs_styleB_202401.csv
2024-01-05,CST-0190,PROJ-04,仮設工,外注費,1082162,1382717,1,300555,0.2777,超過,大超過,costs_styleB_202401.csv
2024-01-13,CST-0191,PROJ-01,鉄筋工,外注費,867085,653939,0,-213146,-0.2458,予算内,予算内,costs_styleB_202401.csv
2024-01-09,CST-0192,PROJ-07,鉄筋工,材料費,359184,349439,0,-9745,-0.0271,予算内,予算内,costs_styleB_202401.csv
2024-01-01,CST-0193,PROJ-06,コンクリート工,外注費,1515234,1273240,0,-241994,-0.1597,予算内,予算内,costs_styleB_202401.csv
2024-01-15,CST-0194,PROJ-05,仮設工,材料費,232575,251469,1,18894,0.0812,超過,小超過,costs_styleB_202401.csv
2024-01-02,CST-0195,PROJ-05,仮設工,材料費,393133,285889,0,-107244,-0.2728,予算内,予算内,costs_styleB_202401.csv
2024-01-18,CST-0196,PROJ-03,仮設工,労務費,303826,255481,0,-48345,-0.1591,予算内,予算内,costs_styleB_202401.csv
2024-01-18,CST-0197,PROJ-07,コンクリート工,労務費,878067,967885,1,89818,0.1023,超過,大超過,costs_styleB_202401.csv
2024-01-16,CST-0198,PROJ-07,鉄筋工,材料費,1473470,1118972,0,-354498,-0.2406,予算内,予算内,costs_styleB_202401.csv
2024-01-15,CST-0199,PROJ-08,コンクリート工,労務費,1547623,1427400,0,-120223,-0.0777,予算内,予算内,costs_styleB_202401.csv
2024-01-12,CST-0200,PROJ-06,土工,労務費,308361,397340,1,88979,0.2886,超過,大超過,costs_styleB_202401.csv
2024-01-04,CST-0201,PROJ-08,土工,外注費,678565,552273,0,-126292,-0.1861,予算内,予算内,costs_styleB_202401.csv
2024-01-20,CST-0202,PROJ-01,土工,労務費,544818,591139,1,46321,0.085,超過,小超過,costs_styleB_202401.csv
2024-01-19,CST-0203,PROJ-04,土工,外注費,610800,789943,1,179143,0.2933,超過,大超過,costs_styleB_202401.csv
2024-01-08,CST-0204,PROJ-06,コンクリート工,外注費,534440,562139,1,27699,0.0518,超過,小超過,costs_styleB_202401.csv
