日付,管理番号,講座,受講区分,学習時間,スコア,状況,評価
2024/01/05,ENR-C-0076,Pythonプログラミング,新入社員,13.2,72,修了,4
2024/01/02,ENR-C-0077,Pythonプログラミング,管理職,38.6,73,修了,4
2024/01/08,ENR-C-0078,Pythonプログラミング,中堅社員,4.3,38,受講中,4
2024/01/19,ENR-C-0079,リーダーシップ,管理職,16.9,96,修了,3
2024/01/07,ENR-C-0080,ビジネス英語,新入社員,13.9,79,修了,3
2024/01/02,ENR-C-0081,リーダーシップ,新入社員,16.3,79,修了,1
2024/01/02,ENR-C-0082,リーダーシップ,新入社員,13.1,7,受講中,5
2024/01/08,ENR-C-0083,Excel基礎,新入社員,23.9,86,修了,5
2024/01/04,ENR-C-0084,リーダーシップ,新入社員,16.1,65,修了,2
2024/01/10,ENR-C-0085,Excel基礎,管理職,22.2,61,受講中,4
2024/01/28,ENR-C-0086,Excel基礎,新入社員,39.5,85,修了,5
2024/01/12,ENR-C-0087,Excel基礎,新入社員,3.7,77,受講中,3
2024/01/05,ENR-C-0088,Excel基礎,中堅社員,9.0,18,受講中,3
2024/01/14,ENR-C-0089,ビジネス英語,新入社員,35.1,63,修了,4
2024/01/20,ENR-C-0090,リーダーシップ,新入社員,14.5,42,受講中,1
2024/01/03,ENR-C-0091,プレゼン技術,中堅社員,13.1,70,修了,1
2024/01/27,ENR-C-0092,Pythonプログラミング,中堅社員,26.7,81,修了,4
2024/01/23,ENR-C-0093,リーダーシップ,新入社員,19.9,72,修了,5
2024/01/13,ENR-C-0094,リーダーシップ,新入社員,19.5,2,受講中,4
2024/01/02,ENR-C-0095,Pythonプログラミング,新入社員,38.1,68,修了,3
2024/01/04,ENR-C-0096,プレゼン技術,中堅社員,36.7,89,修了,1
2024/01/12,ENR-C-0097,プレゼン技術,新入社員,35.1,70,修了,4
2024/01/06,ENR-C-0098,リーダーシップ,新入社員,21.2,62,修了,3
2024/01/06,ENR-C-0099,リーダーシップ,中堅社員,30.7,70,修了,1
2024/01/27,ENR-C-0100,ビジネス英語,新入社員,36.0,90,修了,2
2024/01/17,ENR-C-0101,ビジネス英語,中堅社員,15.9,81,修了,2
2024/01/08,ENR-C-0102,Pythonプログラミング,中堅社員,13.2,61,修了,5
2024/01/03,ENR-C-0103,リーダーシップ,中堅社員,32.9,96,修了,2
2024/01/17,ENR-C-0104,プレゼン技術,管理職,23.7,78,修了,3
2024/01/13,ENR-C-0105,プレゼン技術,新入社員,21.9,81,修了,2
2024/01/05,ENR-C-0106,ビジネス英語,中堅社員,4.9,14,受講中,5
2024/01/03,ENR-C-0107,ビジネス英語,管理職,23.9,39,受講中,1
2024/01/06,ENR-C-0108,プレゼン技術,新入社員,14.8,77,受講中,2
2024/01/06,ENR-C-0109,Pythonプログラミング,中堅社員,2.7,20,受講中,2
2024/01/04,ENR-C-0110,ビジネス英語,管理職,23.1,0,受講中,2
2024/01/29,ENR-C-0111,リーダーシップ,管理職,22.9,84,修了,5
2024/01/13,ENR-C-0112,Pythonプログラミング,中堅社員,25.0,87,修了,1
2024/01/27,ENR-C-0113,プレゼン技術,管理職,20.8,80,受講中,5
2024/01/23,ENR-C-0114,ビジネス英語,中堅社員,12.8,67,受講中,1
2024/01/26,ENR-C-0115,リーダーシップ,中堅社員,18.9,97,修了,3
2024/01/02,ENR-C-0116,プレゼン技術,新入社員,19.0,62,修了,4
2024/01/21,ENR-C-0117,リーダーシップ,新入社員,32.0,85,修了,4
2024/01/25,ENR-C-0118,リーダーシップ,新入社員,6.9,17,受講中,5
2024/01/17,ENR-C-0119,リーダーシップ,管理職,28.4,77,修了,4
2024/01/01,ENR-C-0120,リーダーシップ,中堅社員,24.8,22,受講中,2
2024/01/28,ENR-C-0121,リーダーシップ,管理職,22.7,62,修了,4
2024/01/04,ENR-C-0122,ビジネス英語,新入社員,5.5,63,受講中,4
2024/01/16,ENR-C-0123,ビジネス英語,管理職,37.5,76,修了,4
2024/01/10,ENR-C-0124,Excel基礎,管理職,31.2,89,修了,3
2024/01/10,ENR-C-0125,プレゼン技術,新入社員,27.2,87,修了,1
2024/01/15,ENR-C-0126,Pythonプログラミング,新入社員,23.9,42,受講中,2
2024/01/18,ENR-C-0127,プレゼン技術,中堅社員,29.7,67,修了,5
2024/01/27,ENR-C-0128,ビジネス英語,新入社員,9.3,100,修了,3
2024/01/09,ENR-C-0129,リーダーシップ,中堅社員,32.0,96,修了,2
2024/01/31,ENR-C-0130,Excel基礎,新入社員,14.2,60,受講中,4
2024/01/06,ENR-C-0131,Pythonプログラミング,新入社員,38.3,72,修了,4
2024/01/12,ENR-C-0132,プレゼン技術,中堅社員,19.0,31,受講中,3
2024/01/28,ENR-C-0133,Excel基礎,中堅社員,31.0,83,修了,3
2024/01/16,ENR-C-0134,プレゼン技術,新入社員,37.0,73,修了,3
2024/01/06,ENR-C-0135,リーダーシップ,中堅社員,9.9,52,受講中,4
2024/01/13,ENR-C-0136,Pythonプログラミング,新入社員,12.1,20,受講中,1
2024/01/26,ENR-C-0137,Pythonプログラミング,新入社員,6.8,4,中途離脱,1
2024/01/21,ENR-C-0138,Excel基礎,中堅社員,29.2,72,修了,1
2024/01/28,ENR-C-0139,ビジネス英語,新入社員,6.5,26,受講中,1
2024/01/25,ENR-C-0140,プレゼン技術,新入社員,35.5,90,修了,2
