受講日,受講番号,講座名,受講者タイプ,受講時間,テストスコア,ステータス,満足度
2024/01/03,ENR-A-0076,ビジネス英語,中堅社員,19.2,30,受講中,2
2024/01/01,ENR-A-0077,リーダーシップ,中堅社員,2.8,47,中途離脱,1
2024/01/04,ENR-A-0078,Excel基礎,新入社員,34.6,96,修了,1
2024/01/24,ENR-A-0079,リーダーシップ,中堅社員,6.2,9,中途離脱,4
2024/01/28,ENR-A-0080,ビジネス英語,新入社員,14.3,71,修了,2
2024/01/31,ENR-A-0081,リーダーシップ,管理職,39.1,91,修了,3
2024/01/16,ENR-A-0082,Pythonプログラミング,管理職,12.6,98,修了,1
2024/01/06,ENR-A-0083,Excel基礎,新入社員,12.2,69,修了,1
2024/01/22,ENR-A-0084,Excel基礎,中堅社員,11.9,72,修了,3
2024/01/29,ENR-A-0085,リーダーシップ,新入社員,6.0,35,中途離脱,3
2024/01/07,ENR-A-0086,リーダーシップ,新入社員,33.7,61,修了,4
2024/01/03,ENR-A-0087,リーダーシップ,中堅社員,5.0,59,受講中,3
2024/01/04,ENR-A-0088,Excel基礎,中堅社員,9.3,4,中途離脱,2
2024/01/31,ENR-A-0089,ビジネス英語,新入社員,23.6,72,修了,3
2024/01/21,ENR-A-0090,ビジネス英語,中堅社員,24.0,42,受講中,2
2024/01/30,ENR-A-0091,Pythonプログラミング,新入社員,0.7,47,中途離脱,3
2024/01/18,ENR-A-0092,リーダーシップ,管理職,28.3,94,修了,1
2024/01/23,ENR-A-0093,Excel基礎,中堅社員,21.4,65,修了,1
2024/01/30,ENR-A-0094,ビジネス英語,管理職,27.1,67,修了,5
2024/01/23,ENR-A-0095,ビジネス英語,新入社員,12.7,65,受講中,4
2024/01/25,ENR-A-0096,リーダーシップ,中堅社員,8.6,87,修了,1
2024/01/09,ENR-A-0097,リーダーシップ,新入社員,33.5,94,修了,3
2024/01/08,ENR-A-0098,ビジネス英語,管理職,14.2,61,受講中,4
2024/01/29,ENR-A-0099,Excel基礎,新入社員,27.3,95,修了,2
2024/01/13,ENR-A-0100,リーダーシップ,新入社員,10.6,75,受講中,3
2024/01/04,ENR-A-0101,Excel基礎,中堅社員,35.8,86,修了,2
2024/01/15,ENR-A-0102,ビジネス英語,中堅社員,15.9,71,修了,2
2024/01/31,ENR-A-0103,Pythonプログラミング,新入社員,34.1,90,修了,5
2024/01/04,ENR-A-0104,ビジネス英語,新入社員,10.1,79,修了,3
2024/01/12,ENR-A-0105,Excel基礎,中堅社員,34.4,65,修了,2
2024/01/10,ENR-A-0106,プレゼン技術,中堅社員,12.6,97,修了,5
2024/01/19,ENR-A-0107,Pythonプログラミング,新入社員,17.1,66,修了,3
2024/01/05,ENR-A-0108,Excel基礎,中堅社員,1.6,27,中途離脱,1
2024/01/22,ENR-A-0109,リーダーシップ,中堅社員,6.0,4,受講中,5
2024/01/02,ENR-A-0110,Pythonプログラミング,新入社員,26.9,81,修了,4
2024/01/25,ENR-A-0111,Pythonプログラミング,管理職,9.3,31,受講中,5
2024/01/16,ENR-A-0112,Excel基礎,中堅社員,36.0,92,修了,5
2024/01/17,ENR-A-0113,リーダーシップ,管理職,13.8,61,修了,5
2024/01/08,ENR-A-0114,リーダーシップ,中堅社員,16.0,86,修了,3
2024/01/30,ENR-A-0115,Excel基礎,管理職,1.0,21,中途離脱,1
2024/01/12,ENR-A-0116,Excel基礎,管理職,5.5,45,中途離脱,1
2024/01/03,ENR-A-0117,ビジネス英語,中堅社員,9.7,94,修了,3
2024/01/29,ENR-A-0118,Excel基礎,新入社員,11.2,94,修了,5
2024/01/25,ENR-A-0119,Pythonプログラミング,新入社員,24.5,73,受講中,2
2024/01/25,ENR-A-0120,プレゼン技術,新入社員,32.9,85,修了,4
2024/01/20,ENR-A-0121,プレゼン技術,新入社員,5.1,63,受講中,5
2024/01/17,ENR-A-0122,Excel基礎,新入社員,13.8,78,受講中,5
2024/01/26,ENR-A-0123,プレゼン技術,新入社員,10.9,37,受講中,4
2024/01/20,ENR-A-0124,ビジネス英語,新入社員,8.1,4,受講中,1
2024/01/14,ENR-A-0125,リーダーシップ,新入社員,21.3,79,修了,4
2024/01/08,ENR-A-0126,ビジネス英語,新入社員,19.8,80,修了,2
2024/01/23,ENR-A-0127,ビジネス英語,新入社員,4.1,16,中途離脱,1
2024/01/22,ENR-A-0128,ビジネス英語,中堅社員,17.5,92,修了,5
2024/01/21,ENR-A-0129,リーダーシップ,管理職,23.4,97,修了,4
2024/01/11,ENR-A-0130,リーダーシップ,新入社員,25.1,99,修了,5
2024/01/16,ENR-A-0131,プレゼン技術,新入社員,33.7,86,修了,3
2024/01/17,ENR-A-0132,リーダーシップ,中堅社員,6.5,3,中途離脱,2
2024/01/06,ENR-A-0133,Excel基礎,新入社員,2.4,37,中途離脱,3
2024/01/22,ENR-A-0134,ビジネス英語,中堅社員,35.5,97,修了,1
2024/01/30,ENR-A-0135,Pythonプログラミング,中堅社員,4.2,49,受講中,4
2024/01/23,ENR-A-0136,ビジネス英語,中堅社員,10.7,81,修了,5
2024/01/23,ENR-A-0137,ビジネス英語,中堅社員,38.7,65,修了,1
2024/01/25,ENR-A-0138,プレゼン技術,中堅社員,27.0,78,修了,4
2024/01/31,ENR-A-0139,リーダーシップ,中堅社員,9.5,40,中途離脱,1
2024/01/08,ENR-A-0140,Pythonプログラミング,新入社員,26.9,62,修了,1
