EnrollDate,EnrollNo,CourseName,LearnerType,StudyHours,TestScore,Status,Satisfaction
2024-01-05,ENR-B-0070,ビジネス英語,新入社員,27.2,87,修了,1
2024-01-16,ENR-B-0071,ビジネス英語,中堅社員,24.0,29,受講中,1
2024-01-31,ENR-B-0072,Excel基礎,新入社員,32.7,77,修了,2
2024-01-24,ENR-B-0073,プレゼン技術,中堅社員,18.2,55,受講中,4
2024-01-13,ENR-B-0074,プレゼン技術,中堅社員,28.5,73,修了,1
2024-01-21,ENR-B-0075,Pythonプログラミング,新入社員,24.8,68,修了,3
2024-01-06,ENR-B-0076,Excel基礎,新入社員,13.3,77,修了,5
2024-01-29,ENR-B-0077,プレゼン技術,中堅社員,25.8,100,修了,2
2024-01-27,ENR-B-0078,リーダーシップ,新入社員,39.7,86,修了,1
2024-01-16,ENR-B-0079,ビジネス英語,新入社員,11.0,36,受講中,2
2024-01-03,ENR-B-0080,Excel基礎,新入社員,32.2,61,修了,3
2024-01-15,ENR-B-0081,Excel基礎,新入社員,5.5,38,受講中,2
2024-01-06,ENR-B-0082,ビジネス英語,中堅社員,22.9,76,受講中,1
2024-01-20,ENR-B-0083,リーダーシップ,中堅社員,3.3,11,中途離脱,1
2024-01-16,ENR-B-0084,Excel基礎,新入社員,6.1,36,中途離脱,3
2024-01-01,ENR-B-0085,ビジネス英語,新入社員,15.8,63,修了,5
2024-01-27,ENR-B-0086,ビジネス英語,新入社員,28.4,82,修了,4
2024-01-13,ENR-B-0087,ビジネス英語,中堅社員,32.4,87,修了,4
2024-01-02,ENR-B-0088,プレゼン技術,新入社員,19.7,90,修了,3
2024-01-28,ENR-B-0089,ビジネス英語,中堅社員,35.0,73,修了,2
2024-01-15,ENR-B-0090,Excel基礎,管理職,32.6,88,修了,5
2024-01-12,ENR-B-0091,プレゼン技術,新入社員,37.1,80,修了,2
2024-01-19,ENR-B-0092,プレゼン技術,新入社員,35.2,75,修了,2
2024-01-19,ENR-B-0093,Pythonプログラミング,新入社員,25.0,80,修了,3
2024-01-04,ENR-B-0094,ビジネス英語,新入社員,11.2,80,受講中,5
2024-01-20,ENR-B-0095,リーダーシップ,中堅社員,13.7,85,修了,1
2024-01-11,ENR-B-0096,リーダーシップ,新入社員,14.1,70,修了,1
2024-01-19,ENR-B-0097,プレゼン技術,管理職,22.3,98,修了,3
2024-01-10,ENR-B-0098,リーダーシップ,管理職,27.2,83,修了,1
2024-01-13,ENR-B-0099,リーダーシップ,新入社員,30.5,71,修了,3
2024-01-20,ENR-B-0100,Pythonプログラミング,管理職,9.8,40,中途離脱,4
2024-01-28,ENR-B-0101,Excel基礎,新入社員,32.4,79,修了,4
2024-01-29,ENR-B-0102,Excel基礎,新入社員,31.1,71,修了,5
2024-01-20,ENR-B-0103,Pythonプログラミング,中堅社員,35.7,92,修了,1
2024-01-04,ENR-B-0104,プレゼン技術,新入社員,18.8,65,受講中,3
2024-01-21,ENR-B-0105,ビジネス英語,中堅社員,28.9,82,修了,3
2024-01-31,ENR-B-0106,Excel基礎,管理職,39.5,66,修了,2
2024-01-26,ENR-B-0107,リーダーシップ,中堅社員,19.2,59,受講中,4
2024-01-11,ENR-B-0108,プレゼン技術,新入社員,1.7,15,中途離脱,1
2024-01-16,ENR-B-0109,Excel基礎,管理職,23.7,91,修了,5
2024-01-31,ENR-B-0110,Pythonプログラミング,新入社員,12.7,26,受講中,5
2024-01-08,ENR-B-0111,リーダーシップ,中堅社員,20.3,33,受講中,4
2024-01-03,ENR-B-0112,ビジネス英語,中堅社員,25.8,82,修了,5
2024-01-09,ENR-B-0113,ビジネス英語,中堅社員,34.3,97,修了,2
2024-01-02,ENR-B-0114,リーダーシップ,中堅社員,4.0,48,中途離脱,1
2024-01-12,ENR-B-0115,リーダーシップ,新入社員,29.6,64,修了,4
2024-01-23,ENR-B-0116,ビジネス英語,中堅社員,32.8,60,修了,5
2024-01-23,ENR-B-0117,Excel基礎,管理職,33.6,90,修了,2
2024-01-02,ENR-B-0118,リーダーシップ,中堅社員,7.4,8,受講中,4
2024-01-08,ENR-B-0119,ビジネス英語,中堅社員,8.1,95,修了,5
2024-01-16,ENR-B-0120,Excel基礎,中堅社員,17.6,42,受講中,1
2024-01-24,ENR-B-0121,ビジネス英語,新入社員,22.6,32,受講中,4
2024-01-21,ENR-B-0122,プレゼン技術,管理職,15.6,77,修了,5
2024-01-17,ENR-B-0123,プレゼン技術,新入社員,35.3,74,修了,5
2024-01-10,ENR-B-0124,Excel基礎,新入社員,15.6,36,受講中,2
2024-01-04,ENR-B-0125,ビジネス英語,中堅社員,22.4,22,受講中,5
2024-01-06,ENR-B-0126,リーダーシップ,新入社員,10.7,87,修了,2
2024-01-14,ENR-B-0127,ビジネス英語,新入社員,33.8,89,修了,3
2024-01-31,ENR-B-0128,プレゼン技術,管理職,3.3,39,中途離脱,3
2024-01-17,ENR-B-0129,Pythonプログラミング,中堅社員,15.2,11,受講中,1
2024-01-31,ENR-B-0130,プレゼン技術,新入社員,30.4,90,修了,3
2024-01-02,ENR-B-0131,リーダーシップ,中堅社員,37.3,76,修了,2
2024-01-16,ENR-B-0132,Pythonプログラミング,新入社員,12.3,64,修了,2
2024-01-03,ENR-B-0133,ビジネス英語,中堅社員,14.5,62,修了,3
2024-01-01,ENR-B-0134,Pythonプログラミング,新入社員,12.4,78,受講中,4
2024-01-28,ENR-B-0135,Excel基礎,中堅社員,21.5,74,修了,5
2024-01-30,ENR-B-0136,Pythonプログラミング,中堅社員,32.1,80,修了,3
2024-01-31,ENR-B-0137,Pythonプログラミング,中堅社員,36.7,71,修了,2
2024-01-08,ENR-B-0138,Excel基礎,中堅社員,18.4,96,修了,5
2024-01-10,ENR-B-0139,リーダーシップ,中堅社員,19.1,42,受講中,2
2024-01-19,ENR-B-0140,プレゼン技術,管理職,28.9,61,修了,2
