集計月,所属部門,雇用形態,人員数,人件費予算,人件費実績,時間外手当
2024/04,製造部,正社員,15,6000000,5989410,977273
2024/04,製造部,契約社員,8,2000000,1969343,371463
2024/04,製造部,パート,12,1200000,1248707,179412
2024/04,管理部,正社員,8,3000000,3114495,226248
2024/04,管理部,契約社員,3,900000,1094698,104459
2024/04,管理部,パート,4,400000,346740,43724
2024/04,開発部,正社員,18,7000000,6899019,403823
2024/04,開発部,契約社員,7,2500000,2182548,392067
2024/04,開発部,パート,3,300000,310350,39122
2024/04,物流部,正社員,10,4000000,4065179,686091
2024/04,物流部,契約社員,6,1800000,1772856,303995
2024/04,物流部,パート,15,1500000,1419687,172271
2024/05,営業部,正社員,10,5000000,4342810,284563
2024/05,営業部,契約社員,5,1500000,1429546,224649
2024/05,営業部,パート,8,800000,721414,62879
2024/05,製造部,正社員,15,6000000,5890959,756471
2024/05,製造部,契約社員,8,2000000,1923711,177816
2024/05,製造部,パート,12,1200000,1141812,159491
2024/05,管理部,正社員,8,3000000,3132574,187599
2024/05,管理部,契約社員,3,900000,1126581,104346
2024/05,管理部,パート,4,400000,418787,77874
2024/05,開発部,正社員,18,7000000,6650060,913790
2024/05,開発部,契約社員,7,2500000,2387365,465904
2024/05,開発部,パート,3,300000,290276,40422
2024/05,物流部,正社員,10,4000000,3771498,401671
2024/05,物流部,契約社員,6,1800000,1969119,296386
2024/05,物流部,パート,15,1500000,1607448,245637
2024/06,営業部,正社員,10,5000000,5219037,592417
2024/06,営業部,契約社員,5,1500000,1438168,110795
2024/06,営業部,パート,8,800000,907440,111561
2024/06,製造部,正社員,15,6000000,5347617,329278
2024/06,製造部,契約社員,8,2000000,1760684,291624
2024/06,製造部,パート,12,1200000,1338125,74482
2024/06,管理部,正社員,8,3000000,3239676,225667
2024/06,管理部,契約社員,3,900000,808806,141299
2024/06,管理部,パート,4,400000,437085,32707
2024/06,開発部,正社員,18,7000000,6812803,1031829
2024/06,開発部,契約社員,7,2500000,2458149,227966
2024/06,開発部,パート,3,300000,295403,38432
2024/06,物流部,正社員,10,4000000,4370348,525981
2024/06,物流部,契約社員,6,1800000,1728634,332017
2024/06,物流部,パート,15,1500000,1482755,136807
2024/07,営業部,正社員,10,5000000,5293249,1031867
2024/07,営業部,契約社員,5,1500000,1717344,121518
2024/07,営業部,パート,8,800000,875577,158582
2024/07,製造部,正社員,15,6000000,5548894,981509
2024/07,製造部,契約社員,8,2000000,1964589,323111
2024/07,製造部,パート,12,1200000,1413205,101895
2024/07,管理部,正社員,8,3000000,3571860,297556
2024/07,管理部,契約社員,3,900000,902357,48727
2024/07,管理部,パート,4,400000,514626,43931
2024/07,開発部,正社員,18,7000000,7074182,383619
2024/07,開発部,契約社員,7,2500000,2892101,426567
2024/07,開発部,パート,3,300000,280753,26118
2024/07,物流部,正社員,10,4000000,4447050,314935
2024/07,物流部,契約社員,6,1800000,1860857,94508
2024/07,物流部,パート,15,1500000,1871712,328007
2024/08,営業部,正社員,10,5000000,5607894,724347
2024/08,営業部,契約社員,5,1500000,1474877,140367
2024/08,営業部,パート,8,800000,1018898,172280
2024/08,製造部,正社員,15,6000000,5564521,1033732
2024/08,製造部,契約社員,8,2000000,1795354,228559
2024/08,製造部,パート,12,1200000,1125272,128715
2024/08,管理部,正社員,8,3000000,2904833,326750
2024/08,管理部,契約社員,3,900000,827521,162358
2024/08,管理部,パート,4,400000,516141,65084
2024/08,開発部,正社員,18,7000000,7469405,810938
2024/08,開発部,契約社員,7,2500000,2731840,538598
2024/08,開発部,パート,3,300000,269284,45314
2024/08,物流部,正社員,10,4000000,4493505,648136
2024/08,物流部,契約社員,6,1800000,2023351,202087
2024/08,物流部,パート,15,1500000,1940245,333773
2024/09,営業部,正社員,10,5000000,5418713,648584
2024/09,営業部,契約社員,5,1500000,1559281,267766
2024/09,営業部,パート,8,800000,1013142,120211
2024/09,製造部,正社員,15,6000000,5178851,413896
2024/09,製造部,契約社員,8,2000000,2580011,328454
2024/09,製造部,パート,12,1200000,1215491,106959
2024/09,管理部,正社員,8,3000000,2721993,281851
2024/09,管理部,契約社員,3,900000,998765,99665
2024/09,管理部,パート,4,400000,384162,70464
2024/09,開発部,正社員,18,7000000,7828738,845477
2024/09,開発部,契約社員,7,2500000,2497152,311216
2024/09,開発部,パート,3,300000,301734,51346
2024/09,物流部,正社員,10,4000000,3494712,490545
2024/09,物流部,契約社員,6,1800000,1824556,179138
2024/09,物流部,パート,15,1500000,1873706,179827
2024/10,営業部,正社員,10,5000000,4889174,750315
2024/10,営業部,契約社員,5,1500000,1294059,233584
2024/10,営業部,パート,8,800000,919556,83848
2024/10,製造部,正社員,15,6000000,6806227,416923
2024/10,製造部,契約社員,8,2000000,1917986,326372
2024/10,製造部,パート,12,1200000,1363004,97341
2024/10,管理部,正社員,8,3000000,3253180,179640
2024/10,管理部,契約社員,3,900000,1140099,119652
2024/10,管理部,パート,4,400000,408069,57441
2024/10,開発部,正社員,18,7000000,7942529,840335
2024/10,開発部,契約社員,7,2500000,2555441,330722
2024/10,開発部,パート,3,300000,313460,27409
2024/10,物流部,正社員,10,4000000,4282809,534736
2024/10,物流部,契約社員,6,1800000,1833303,163652
2024/10,物流部,パート,15,1500000,1475822,294359
2024/11,営業部,正社員,10,5000000,5624718,695665
2024/11,営業部,契約社員,5,1500000,1658771,195413
2024/11,営業部,パート,8,800000,786826,49702
2024/11,製造部,正社員,15,6000000,6621938,648540
2024/11,製造部,契約社員,8,2000000,1738963,228370
2024/11,製造部,パート,12,1200000,1326490,207955
2024/11,管理部,正社員,8,3000000,3123930,528114
2024/11,管理部,契約社員,3,900000,797767,63938
2024/11,管理部,パート,4,400000,434844,23456
2024/11,開発部,正社員,18,7000000,6724713,1146894
2024/11,開発部,契約社員,7,2500000,2583961,162614
2024/11,開発部,パート,3,300000,344963,54445
2024/11,物流部,正社員,10,4000000,4322997,750043
2024/11,物流部,契約社員,6,1800000,2332542,341369
2024/11,物流部,パート,15,1500000,1581049,160756
2024/12,営業部,正社員,10,5000000,5691414,830770
2024/12,営業部,契約社員,5,1500000,1795310,206268
2024/12,営業部,パート,8,800000,727964,49955
2024/12,製造部,正社員,15,6000000,5666201,557549
2024/12,製造部,契約社員,8,2000000,2002994,382843
2024/12,製造部,パート,12,1200000,1390762,121817
2024/12,管理部,正社員,8,3000000,3198045,219947
2024/12,管理部,契約社員,3,900000,954491,119679
2024/12,管理部,パート,4,400000,475642,34783
2024/12,開発部,正社員,18,7000000,7836495,1103149
2024/12,開発部,契約社員,7,2500000,2675099,464893
2024/12,開発部,パート,3,300000,364398,53281
2024/12,物流部,正社員,10,4000000,4390423,724612
2024/12,物流部,契約社員,6,1800000,1968808,245521
2024/12,物流部,パート,15,1500000,1475619,285528
