YearMonth,Department,EmploymentType,HeadCount,BudgetLaborCost,ActualLaborCost,OvertimeCost
2024-06,営業部,契約社員,5,1500000,1712916,242087
2024-06,営業部,パート,8,800000,718010,95226
2024-06,製造部,正社員,15,6000000,5267776,1047437
2024-06,製造部,契約社員,8,2000000,1976868,133675
2024-06,製造部,パート,12,1200000,1199415,188896
2024-06,管理部,正社員,8,3000000,2796082,489897
2024-06,管理部,契約社員,3,900000,830807,110239
2024-06,管理部,パート,4,400000,450624,56885
2024-06,開発部,正社員,18,7000000,7764456,709959
2024-06,開発部,契約社員,7,2500000,2436206,463213
2024-06,開発部,パート,3,300000,328849,30394
2024-06,物流部,正社員,10,4000000,4104325,820189
2024-06,物流部,契約社員,6,1800000,1610241,210598
2024-06,物流部,パート,15,1500000,1523362,200344
2024-07,営業部,正社員,10,5000000,4969299,389085
2024-07,営業部,契約社員,5,1500000,1608924,136813
2024-07,営業部,パート,8,800000,724999,117236
2024-07,製造部,正社員,15,6000000,6888562,743357
2024-07,製造部,契約社員,8,2000000,2302070,453790
2024-07,製造部,パート,12,1200000,1084993,135997
2024-07,管理部,正社員,8,3000000,3499366,633835
2024-07,管理部,契約社員,3,900000,952357,112891
2024-07,管理部,パート,4,400000,408657,60569
2024-07,開発部,正社員,18,7000000,7282726,1422902
2024-07,開発部,契約社員,7,2500000,2776754,409503
2024-07,開発部,パート,3,300000,348296,62310
2024-07,物流部,正社員,10,4000000,3968993,626337
2024-07,物流部,契約社員,6,1800000,2101141,116371
2024-07,物流部,パート,15,1500000,1960361,368821
2024-08,営業部,正社員,10,5000000,5638657,648985
2024-08,営業部,契約社員,5,1500000,1960972,354714
2024-08,営業部,パート,8,800000,888888,164900
2024-08,製造部,正社員,15,6000000,7997355,751792
2024-08,製造部,契約社員,8,2000000,1876708,243362
2024-08,製造部,パート,12,1200000,1370572,103474
2024-08,管理部,正社員,8,3000000,4033971,576682
2024-08,管理部,契約社員,3,900000,1062037,75901
2024-08,管理部,パート,4,400000,389001,34348
2024-08,開発部,正社員,18,7000000,9339607,1729521
2024-08,開発部,契約社員,7,2500000,2355655,273867
2024-08,開発部,パート,3,300000,323275,47146
2024-08,物流部,正社員,10,4000000,3885123,686872
2024-08,物流部,契約社員,6,1800000,1824621,223481
2024-08,物流部,パート,15,1500000,1608983,219178
2024-09,営業部,正社員,10,5000000,4692846,923043
2024-09,営業部,契約社員,5,1500000,1398516,188644
2024-09,営業部,パート,8,800000,858720,49253
2024-09,製造部,正社員,15,6000000,5994109,1112646
2024-09,製造部,契約社員,8,2000000,2179316,307413
2024-09,製造部,パート,12,1200000,1249182,178800
2024-09,管理部,正社員,8,3000000,3198835,476233
2024-09,管理部,契約社員,3,900000,934626,173382
2024-09,管理部,パート,4,400000,377071,43786
2024-09,開発部,正社員,18,7000000,7487955,475634
2024-09,開発部,契約社員,7,2500000,2685610,205035
2024-09,開発部,パート,3,300000,303546,59411
2024-09,物流部,正社員,10,4000000,4496184,784902
2024-09,物流部,契約社員,6,1800000,1975332,241538
2024-09,物流部,パート,15,1500000,1610951,162395
2024-10,営業部,正社員,10,5000000,5694339,404944
2024-10,営業部,契約社員,5,1500000,1662063,263657
2024-10,営業部,パート,8,800000,912144,155692
2024-10,製造部,正社員,15,6000000,6523227,339780
2024-10,製造部,契約社員,8,2000000,1972871,297754
2024-10,製造部,パート,12,1200000,1230441,213312
2024-10,管理部,正社員,8,3000000,2647511,225232
2024-10,管理部,契約社員,3,900000,1154371,154929
2024-10,管理部,パート,4,400000,366564,21804
2024-10,開発部,正社員,18,7000000,7859714,749254
2024-10,開発部,契約社員,7,2500000,2229832,427992
2024-10,開発部,パート,3,300000,299336,19330
2024-10,物流部,正社員,10,4000000,3562796,420575
2024-10,物流部,契約社員,6,1800000,1931295,370608
2024-10,物流部,パート,15,1500000,1609021,117745
2024-11,営業部,正社員,10,5000000,4398532,542787
2024-11,営業部,契約社員,5,1500000,1703184,93517
2024-11,営業部,パート,8,800000,786411,151449
2024-11,製造部,正社員,15,6000000,5278838,806881
2024-11,製造部,契約社員,8,2000000,2286705,237362
2024-11,製造部,パート,12,1200000,1088331,74359
2024-11,管理部,正社員,8,3000000,2959245,442156
2024-11,管理部,契約社員,3,900000,926229,49278
2024-11,管理部,パート,4,400000,369228,25435
2024-11,開発部,正社員,18,7000000,6094081,1004143
2024-11,開発部,契約社員,7,2500000,2286963,412692
2024-11,開発部,パート,3,300000,268279,49652
2024-11,物流部,正社員,10,4000000,5115043,366764
2024-11,物流部,契約社員,6,1800000,1665353,126857
2024-11,物流部,パート,15,1500000,1286601,67197
2024-12,営業部,正社員,10,5000000,4837242,476786
2024-12,営業部,契約社員,5,1500000,1363508,219876
2024-12,営業部,パート,8,800000,901907,109524
2024-12,製造部,正社員,15,6000000,6325019,419716
2024-12,製造部,契約社員,8,2000000,2380611,134515
2024-12,製造部,パート,12,1200000,1398718,179340
2024-12,管理部,正社員,8,3000000,3588504,212166
2024-12,管理部,契約社員,3,900000,917108,140239
2024-12,管理部,パート,4,400000,471622,28780
2024-12,開発部,正社員,18,7000000,9123147,546041
2024-12,開発部,契約社員,7,2500000,2729797,361025
2024-12,開発部,パート,3,300000,361742,46875
2024-12,物流部,正社員,10,4000000,4332837,281100
2024-12,物流部,契約社員,6,1800000,2090033,308567
2024-12,物流部,パート,15,1500000,1679346,138132
