対象年月,部門,雇用区分,社員数,予算人件費,実績人件費,残業代
2024/04,製造部,契約社員,8,2000000,1820690,176165
2024/04,製造部,パート,12,1200000,1253956,145101
2024/04,管理部,正社員,8,3000000,2658903,222562
2024/04,管理部,契約社員,3,900000,923843,78080
2024/04,管理部,パート,4,400000,348519,50418
2024/04,開発部,正社員,18,7000000,7851382,1404967
2024/04,開発部,契約社員,7,2500000,2964251,445665
2024/04,開発部,パート,3,300000,266908,50799
2024/04,物流部,正社員,10,4000000,3967205,665272
2024/04,物流部,契約社員,6,1800000,1632821,105381
2024/04,物流部,パート,15,1500000,1465610,175951
2024/05,営業部,正社員,10,5000000,5260046,1039515
2024/05,営業部,契約社員,5,1500000,1815589,183184
2024/05,営業部,パート,8,800000,739677,58087
2024/05,製造部,正社員,15,6000000,5859386,537784
2024/05,製造部,契約社員,8,2000000,2253959,262517
2024/05,製造部,パート,12,1200000,1218117,70149
2024/05,管理部,正社員,8,3000000,3302424,645126
2024/05,管理部,契約社員,3,900000,994147,74508
2024/05,管理部,パート,4,400000,365649,40278
2024/05,開発部,正社員,18,7000000,8447921,1670967
2024/05,開発部,契約社員,7,2500000,2713052,320821
2024/05,開発部,パート,3,300000,341158,67997
2024/05,物流部,正社員,10,4000000,4262089,312068
2024/05,物流部,契約社員,6,1800000,2053103,281022
2024/05,物流部,パート,15,1500000,1611589,94398
2024/06,営業部,正社員,10,5000000,5004275,890300
2024/06,営業部,契約社員,5,1500000,1707350,105884
2024/06,営業部,パート,8,800000,822808,124475
2024/06,製造部,正社員,15,6000000,5315795,975677
2024/06,製造部,契約社員,8,2000000,2056711,293918
2024/06,製造部,パート,12,1200000,1230122,157969
2024/06,管理部,正社員,8,3000000,2733833,430383
2024/06,管理部,契約社員,3,900000,871862,131436
2024/06,管理部,パート,4,400000,377941,61521
2024/06,開発部,正社員,18,7000000,8531199,1704261
2024/06,開発部,契約社員,7,2500000,2179945,178696
2024/06,開発部,パート,3,300000,338993,61740
2024/06,物流部,正社員,10,4000000,3843432,283114
2024/06,物流部,契約社員,6,1800000,1909911,270733
2024/06,物流部,パート,15,1500000,1569289,80305
2024/07,営業部,正社員,10,5000000,4934021,737677
2024/07,営業部,契約社員,5,1500000,1402202,94388
2024/07,営業部,パート,8,800000,853412,77534
2024/07,製造部,正社員,15,6000000,6711287,540524
2024/07,製造部,契約社員,8,2000000,1951309,240556
2024/07,製造部,パート,12,1200000,1390827,88797
2024/07,管理部,正社員,8,3000000,2938962,148511
2024/07,管理部,契約社員,3,900000,983871,87853
2024/07,管理部,パート,4,400000,426511,48687
2024/07,開発部,正社員,18,7000000,8535456,1557430
2024/07,開発部,契約社員,7,2500000,2660902,466161
2024/07,開発部,パート,3,300000,281744,19473
2024/07,物流部,正社員,10,4000000,4702716,796726
2024/07,物流部,契約社員,6,1800000,2116190,172493
2024/07,物流部,パート,15,1500000,1387319,231706
2024/08,営業部,正社員,10,5000000,5102544,730170
2024/08,営業部,契約社員,5,1500000,1778118,319511
2024/08,営業部,パート,8,800000,918314,167328
2024/08,製造部,正社員,15,6000000,7941053,792738
2024/08,製造部,契約社員,8,2000000,2290408,411379
2024/08,製造部,パート,12,1200000,1171852,196995
2024/08,管理部,正社員,8,3000000,3501697,626064
2024/08,管理部,契約社員,3,900000,1034752,123182
2024/08,管理部,パート,4,400000,457213,38469
2024/08,開発部,正社員,18,7000000,8665425,859950
2024/08,開発部,契約社員,7,2500000,2992675,274933
2024/08,開発部,パート,3,300000,305519,60239
2024/08,物流部,正社員,10,4000000,4753438,319912
2024/08,物流部,契約社員,6,1800000,1707747,331952
2024/08,物流部,パート,15,1500000,1389970,160103
2024/09,営業部,正社員,10,5000000,4720515,665268
2024/09,営業部,契約社員,5,1500000,1448337,197680
2024/09,営業部,パート,8,800000,850108,42721
2024/09,製造部,正社員,15,6000000,6069213,958416
2024/09,製造部,契約社員,8,2000000,2102377,219978
2024/09,製造部,パート,12,1200000,1499562,149251
2024/09,管理部,正社員,8,3000000,3313213,523365
2024/09,管理部,契約社員,3,900000,848506,94403
2024/09,管理部,パート,4,400000,375478,25942
2024/09,開発部,正社員,18,7000000,7924763,1201375
2024/09,開発部,契約社員,7,2500000,2586636,246098
2024/09,開発部,パート,3,300000,255036,23727
2024/09,物流部,正社員,10,4000000,4095981,607048
2024/09,物流部,契約社員,6,1800000,1768766,145136
2024/09,物流部,パート,15,1500000,1680531,284688
2024/10,営業部,正社員,10,5000000,4377193,557294
2024/10,営業部,契約社員,5,1500000,1425834,246332
2024/10,営業部,パート,8,800000,841470,70427
2024/10,製造部,正社員,15,6000000,5143965,446117
2024/10,製造部,契約社員,8,2000000,2209842,134632
2024/10,製造部,パート,12,1200000,1246715,98696
2024/10,管理部,正社員,8,3000000,2994939,259354
2024/10,管理部,契約社員,3,900000,766497,124666
2024/10,管理部,パート,4,400000,352790,40137
2024/10,開発部,正社員,18,7000000,7961728,1016662
2024/10,開発部,契約社員,7,2500000,2968449,526158
2024/10,開発部,パート,3,300000,327127,49113
2024/10,物流部,正社員,10,4000000,4114542,792073
2024/10,物流部,契約社員,6,1800000,1860832,293808
2024/10,物流部,パート,15,1500000,1648756,217933
2024/11,営業部,正社員,10,5000000,5365483,650302
2024/11,営業部,契約社員,5,1500000,1386257,201907
2024/11,営業部,パート,8,800000,805111,115945
2024/11,製造部,正社員,15,6000000,5239470,486533
2024/11,製造部,契約社員,8,2000000,1891825,247872
2024/11,製造部,パート,12,1200000,1103254,170003
2024/11,管理部,正社員,8,3000000,2607805,289831
2024/11,管理部,契約社員,3,900000,877259,71080
2024/11,管理部,パート,4,400000,448580,61729
2024/11,開発部,正社員,18,7000000,7749137,1277361
2024/11,開発部,契約社員,7,2500000,2129422,218827
2024/11,開発部,パート,3,300000,331810,64044
2024/11,物流部,正社員,10,4000000,4297018,566861
2024/11,物流部,契約社員,6,1800000,1649090,136731
2024/11,物流部,パート,15,1500000,1288061,129346
2024/12,営業部,正社員,10,5000000,5099298,381206
2024/12,営業部,契約社員,5,1500000,1399054,200538
2024/12,営業部,パート,8,800000,1015646,136765
2024/12,製造部,正社員,15,6000000,7852398,552454
2024/12,製造部,契約社員,8,2000000,1816679,194140
2024/12,製造部,パート,12,1200000,1194547,196126
2024/12,管理部,正社員,8,3000000,3388149,592209
2024/12,管理部,契約社員,3,900000,826470,43726
2024/12,管理部,パート,4,400000,482988,49503
2024/12,開発部,正社員,18,7000000,7970118,1177690
2024/12,開発部,契約社員,7,2500000,2979069,238039
2024/12,開発部,パート,3,300000,369450,25467
2024/12,物流部,正社員,10,4000000,4280601,353982
2024/12,物流部,契約社員,6,1800000,2041331,153443
2024/12,物流部,パート,15,1500000,1692144,113678
