受付日,案件番号,担当,地区,種別,媒体,進捗,契約済,契約額
2024/01/05,INQ-港区-0028,中村,港区,土地,店頭来店,内見,0,0.0
2024/01/28,INQ-港区-0029,山田,港区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/15,INQ-港区-0030,田中,港区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/21,INQ-港区-0031,鈴木,港区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/09,INQ-港区-0032,佐藤,港区,事務所,SNS広告,申し込み,0,0.0
2024/01/28,INQ-港区-0033,佐藤,港区,事務所,チラシ,申し込み,0,0.0
2024/01/21,INQ-港区-0034,山田,港区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/08,INQ-港区-0035,佐藤,港区,戸建て,紹介,問い合わせ,0,0.0
2024/01/14,INQ-港区-0036,田中,港区,マンション,ポータルサイト,申し込み,0,0.0
2024/01/23,INQ-港区-0037,佐藤,港区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/26,INQ-港区-0038,田中,港区,土地,ポータルサイト,内見,0,0.0
2024/01/14,INQ-港区-0039,鈴木,港区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/19,INQ-港区-0040,鈴木,港区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/20,INQ-港区-0041,山田,港区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/19,INQ-港区-0042,鈴木,港区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/09,INQ-港区-0043,山田,港区,土地,紹介,内見,0,0.0
2024/01/29,INQ-港区-0044,山田,港区,土地,紹介,内見,0,0.0
2024/01/06,INQ-港区-0045,田中,港区,事務所,チラシ,問い合わせ,0,0.0
2024/01/19,INQ-港区-0046,佐藤,港区,事務所,紹介,問い合わせ,0,0.0
2024/01/15,INQ-港区-0047,佐藤,港区,戸建て,チラシ,内見,0,0.0
2024/01/28,INQ-港区-0048,山田,港区,マンション,ポータルサイト,内見,0,0.0
2024/01/19,INQ-港区-0049,佐藤,港区,土地,チラシ,問い合わせ,0,0.0
2024/01/10,INQ-港区-0050,田中,港区,事務所,ポータルサイト,成約,1,14770.0
2024/01/19,INQ-港区-0051,田中,港区,事務所,店頭来店,内見,0,0.0
2024/01/29,INQ-港区-0052,佐藤,港区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/12,INQ-港区-0053,鈴木,港区,戸建て,SNS広告,問い合わせ,0,0.0
2024/01/22,INQ-港区-0054,鈴木,港区,マンション,店頭来店,内見,0,0.0
2024/01/21,INQ-港区-0055,田中,港区,土地,紹介,問い合わせ,0,0.0
2024/01/02,INQ-港区-0056,中村,港区,土地,紹介,内見,0,0.0
2024/01/03,INQ-港区-0057,佐藤,港区,土地,紹介,内見,0,0.0
2024/01/06,INQ-港区-0058,鈴木,港区,戸建て,紹介,問い合わせ,0,0.0
2024/01/29,INQ-港区-0059,佐藤,港区,土地,店頭来店,問い合わせ,0,0.0
2024/01/09,INQ-港区-0060,山田,港区,土地,紹介,問い合わせ,0,0.0
2024/01/11,INQ-港区-0061,田中,港区,事務所,チラシ,申し込み,0,0.0
2024/01/05,INQ-港区-0062,鈴木,港区,事務所,チラシ,内見,0,0.0
2024/01/26,INQ-港区-0063,中村,港区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/13,INQ-港区-0064,田中,港区,土地,SNS広告,問い合わせ,0,0.0
2024/01/15,INQ-港区-0065,佐藤,港区,土地,SNS広告,問い合わせ,0,0.0
2024/01/27,INQ-港区-0066,佐藤,港区,マンション,紹介,問い合わせ,0,0.0
2024/01/16,INQ-港区-0067,田中,港区,土地,店頭来店,申し込み,0,0.0
2024/01/08,INQ-港区-0068,田中,港区,事務所,店頭来店,内見,0,0.0
2024/01/10,INQ-港区-0069,山田,港区,マンション,ポータルサイト,内見,0,0.0
2024/01/31,INQ-港区-0070,田中,港区,土地,チラシ,内見,0,0.0
2024/01/04,INQ-港区-0071,田中,港区,戸建て,店頭来店,問い合わせ,0,0.0
2024/01/05,INQ-港区-0072,山田,港区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/31,INQ-港区-0073,中村,港区,事務所,SNS広告,問い合わせ,0,0.0
2024/01/24,INQ-港区-0074,鈴木,港区,事務所,紹介,成約,1,23985.0
2024/01/27,INQ-港区-0075,山田,港区,事務所,チラシ,申し込み,0,0.0
2024/01/09,INQ-港区-0076,田中,港区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/15,INQ-港区-0077,鈴木,港区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/22,INQ-港区-0078,佐藤,港区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/09,INQ-港区-0079,鈴木,港区,マンション,チラシ,内見,0,0.0
2024/01/27,INQ-港区-0080,山田,港区,マンション,紹介,内見,0,0.0
