日付,問い合わせID,担当者,エリア,物件種別,問い合わせ経路,ステータス,成約フラグ,成約金額(万円)
2024/01/18,INQ-品川-0028,山田,品川区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/21,INQ-品川-0029,鈴木,品川区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/25,INQ-品川-0030,田中,品川区,土地,ポータルサイト,内見,0,0.0
2024/01/26,INQ-品川-0031,佐藤,品川区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/24,INQ-品川-0032,山田,品川区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/06,INQ-品川-0033,山田,品川区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/26,INQ-品川-0034,中村,品川区,土地,店頭来店,内見,0,0.0
2024/01/24,INQ-品川-0035,山田,品川区,マンション,ポータルサイト,内見,0,0.0
2024/01/27,INQ-品川-0036,鈴木,品川区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/03,INQ-品川-0037,佐藤,品川区,土地,ポータルサイト,内見,0,0.0
2024/01/20,INQ-品川-0038,山田,品川区,戸建て,紹介,問い合わせ,0,0.0
2024/01/12,INQ-品川-0039,山田,品川区,マンション,紹介,内見,0,0.0
2024/01/30,INQ-品川-0040,佐藤,品川区,事務所,ポータルサイト,内見,0,0.0
2024/01/26,INQ-品川-0041,田中,品川区,マンション,紹介,問い合わせ,0,0.0
2024/01/13,INQ-品川-0042,佐藤,品川区,戸建て,チラシ,問い合わせ,0,0.0
2024/01/05,INQ-品川-0043,中村,品川区,事務所,ポータルサイト,内見,0,0.0
2024/01/03,INQ-品川-0044,鈴木,品川区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/31,INQ-品川-0045,中村,品川区,マンション,SNS広告,内見,0,0.0
2024/01/22,INQ-品川-0046,山田,品川区,土地,ポータルサイト,内見,0,0.0
2024/01/25,INQ-品川-0047,田中,品川区,戸建て,SNS広告,申し込み,0,0.0
2024/01/13,INQ-品川-0048,佐藤,品川区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/04,INQ-品川-0049,田中,品川区,戸建て,SNS広告,成約,1,5132.0
2024/01/13,INQ-品川-0050,中村,品川区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/09,INQ-品川-0051,山田,品川区,戸建て,チラシ,申し込み,0,0.0
2024/01/10,INQ-品川-0052,山田,品川区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/28,INQ-品川-0053,田中,品川区,事務所,ポータルサイト,内見,0,0.0
2024/01/23,INQ-品川-0054,山田,品川区,マンション,店頭来店,内見,0,0.0
2024/01/31,INQ-品川-0055,佐藤,品川区,土地,紹介,問い合わせ,0,0.0
2024/01/18,INQ-品川-0056,中村,品川区,土地,店頭来店,問い合わせ,0,0.0
2024/01/28,INQ-品川-0057,鈴木,品川区,戸建て,紹介,問い合わせ,0,0.0
2024/01/17,INQ-品川-0058,鈴木,品川区,マンション,チラシ,内見,0,0.0
2024/01/26,INQ-品川-0059,鈴木,品川区,戸建て,紹介,成約,1,5663.0
2024/01/01,INQ-品川-0060,佐藤,品川区,土地,SNS広告,問い合わせ,0,0.0
2024/01/18,INQ-品川-0061,鈴木,品川区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/13,INQ-品川-0062,山田,品川区,事務所,紹介,問い合わせ,0,0.0
2024/01/27,INQ-品川-0063,中村,品川区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/11,INQ-品川-0064,田中,品川区,事務所,SNS広告,問い合わせ,0,0.0
2024/01/17,INQ-品川-0065,佐藤,品川区,戸建て,店頭来店,内見,0,0.0
2024/01/25,INQ-品川-0066,中村,品川区,戸建て,紹介,内見,0,0.0
2024/01/05,INQ-品川-0067,山田,品川区,マンション,店頭来店,問い合わせ,0,0.0
2024/01/17,INQ-品川-0068,鈴木,品川区,土地,ポータルサイト,内見,0,0.0
2024/01/11,INQ-品川-0069,鈴木,品川区,土地,チラシ,申し込み,0,0.0
2024/01/17,INQ-品川-0070,佐藤,品川区,マンション,ポータルサイト,成約,1,5867.0
2024/01/21,INQ-品川-0071,中村,品川区,土地,ポータルサイト,内見,0,0.0
2024/01/10,INQ-品川-0072,中村,品川区,マンション,SNS広告,内見,0,0.0
2024/01/06,INQ-品川-0073,中村,品川区,戸建て,ポータルサイト,内見,0,0.0
2024/01/20,INQ-品川-0074,中村,品川区,土地,店頭来店,問い合わせ,0,0.0
2024/01/19,INQ-品川-0075,田中,品川区,マンション,ポータルサイト,内見,0,0.0
2024/01/31,INQ-品川-0076,中村,品川区,土地,紹介,問い合わせ,0,0.0
2024/01/25,INQ-品川-0077,中村,品川区,事務所,SNS広告,成約,1,8418.0
2024/01/01,INQ-品川-0078,山田,品川区,土地,SNS広告,問い合わせ,0,0.0
2024/01/10,INQ-品川-0079,山田,品川区,戸建て,店頭来店,内見,0,0.0
2024/01/22,INQ-品川-0080,山田,品川区,土地,SNS広告,成約,1,6887.0
2024/01/23,INQ-品川-0081,田中,品川区,戸建て,ポータルサイト,内見,0,0.0
2024/01/16,INQ-品川-0082,山田,品川区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/05,INQ-品川-0083,佐藤,品川区,土地,紹介,成約,1,8654.0
2024/01/28,INQ-品川-0084,佐藤,品川区,事務所,ポータルサイト,申し込み,0,0.0
2024/01/12,INQ-品川-0085,中村,品川区,マンション,ポータルサイト,内見,0,0.0
2024/01/15,INQ-品川-0086,田中,品川区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/05,INQ-品川-0087,田中,品川区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/13,INQ-品川-0088,中村,品川区,事務所,ポータルサイト,申し込み,0,0.0
2024/01/28,INQ-品川-0089,鈴木,品川区,土地,チラシ,問い合わせ,0,0.0
2024/01/24,INQ-品川-0090,佐藤,品川区,戸建て,紹介,内見,0,0.0
