Date,InquiryID,Agent,Area,PropertyType,Channel,Status,IsContracted,ContractAmount
2024/01/26,INQ-新宿-0079,中村,新宿区,戸建て,紹介,内見,0,0.0
2024/01/13,INQ-新宿-0080,山田,新宿区,事務所,ポータルサイト,問い合わせ,0,0.0
2024/01/19,INQ-新宿-0081,山田,新宿区,土地,SNS広告,成約,1,7755.0
2024/01/02,INQ-新宿-0082,中村,新宿区,マンション,チラシ,問い合わせ,0,0.0
2024/01/07,INQ-新宿-0083,鈴木,新宿区,土地,紹介,問い合わせ,0,0.0
2024/01/06,INQ-新宿-0084,鈴木,新宿区,戸建て,SNS広告,内見,0,0.0
2024/01/06,INQ-新宿-0085,田中,新宿区,事務所,SNS広告,成約,1,9451.0
2024/01/20,INQ-新宿-0086,山田,新宿区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/10,INQ-新宿-0087,佐藤,新宿区,事務所,ポータルサイト,内見,0,0.0
2024/01/08,INQ-新宿-0088,佐藤,新宿区,戸建て,ポータルサイト,内見,0,0.0
2024/01/18,INQ-新宿-0089,鈴木,新宿区,戸建て,店頭来店,申し込み,0,0.0
2024/01/27,INQ-新宿-0090,鈴木,新宿区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/26,INQ-新宿-0091,佐藤,新宿区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/15,INQ-新宿-0092,佐藤,新宿区,事務所,チラシ,問い合わせ,0,0.0
2024/01/17,INQ-新宿-0093,中村,新宿区,事務所,ポータルサイト,内見,0,0.0
2024/01/20,INQ-新宿-0094,田中,新宿区,事務所,紹介,問い合わせ,0,0.0
2024/01/20,INQ-新宿-0095,佐藤,新宿区,マンション,ポータルサイト,内見,0,0.0
2024/01/31,INQ-新宿-0096,中村,新宿区,マンション,チラシ,内見,0,0.0
2024/01/22,INQ-新宿-0097,佐藤,新宿区,マンション,紹介,内見,0,0.0
2024/01/06,INQ-新宿-0098,山田,新宿区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/06,INQ-新宿-0099,中村,新宿区,事務所,SNS広告,成約,1,9728.0
2024/01/16,INQ-新宿-0100,田中,新宿区,事務所,ポータルサイト,内見,0,0.0
