日付,問い合わせID,担当者,エリア,物件種別,問い合わせ経路,ステータス,成約フラグ,成約金額(万円)
2024/01/09,INQ-世田-0066,鈴木,世田谷区,戸建て,SNS広告,内見,0,0.0
2024/01/25,INQ-世田-0067,田中,世田谷区,戸建て,チラシ,申し込み,0,0.0
2024/01/21,INQ-世田-0068,山田,世田谷区,事務所,紹介,問い合わせ,0,0.0
2024/01/25,INQ-世田-0069,中村,世田谷区,事務所,紹介,問い合わせ,0,0.0
2024/01/29,INQ-世田-0070,中村,世田谷区,土地,店頭来店,問い合わせ,0,0.0
2024/01/21,INQ-世田-0071,佐藤,世田谷区,戸建て,ポータルサイト,内見,0,0.0
2024/01/16,INQ-世田-0072,山田,世田谷区,土地,紹介,問い合わせ,0,0.0
2024/01/19,INQ-世田-0073,田中,世田谷区,土地,SNS広告,申し込み,0,0.0
2024/01/10,INQ-世田-0074,山田,世田谷区,事務所,ポータルサイト,内見,0,0.0
2024/01/12,INQ-世田-0075,佐藤,世田谷区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/28,INQ-世田-0076,田中,世田谷区,事務所,SNS広告,問い合わせ,0,0.0
2024/01/18,INQ-世田-0077,田中,世田谷区,事務所,店頭来店,問い合わせ,0,0.0
2024/01/19,INQ-世田-0078,鈴木,世田谷区,土地,SNS広告,内見,0,0.0
2024/01/17,INQ-世田-0079,鈴木,世田谷区,マンション,SNS広告,問い合わせ,0,0.0
2024/01/26,INQ-世田-0080,佐藤,世田谷区,マンション,SNS広告,内見,0,0.0
2024/01/06,INQ-世田-0081,田中,世田谷区,戸建て,紹介,成約,1,7129.0
2024/01/15,INQ-世田-0082,中村,世田谷区,戸建て,ポータルサイト,内見,0,0.0
2024/01/30,INQ-世田-0083,佐藤,世田谷区,事務所,ポータルサイト,成約,1,7846.0
2024/01/11,INQ-世田-0084,中村,世田谷区,マンション,紹介,問い合わせ,0,0.0
2024/01/21,INQ-世田-0085,佐藤,世田谷区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/18,INQ-世田-0086,山田,世田谷区,土地,ポータルサイト,内見,0,0.0
2024/01/28,INQ-世田-0087,中村,世田谷区,戸建て,ポータルサイト,成約,1,10584.0
2024/01/19,INQ-世田-0088,鈴木,世田谷区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/21,INQ-世田-0089,山田,世田谷区,戸建て,SNS広告,内見,0,0.0
2024/01/31,INQ-世田-0090,田中,世田谷区,土地,SNS広告,成約,1,10139.0
2024/01/21,INQ-世田-0091,佐藤,世田谷区,戸建て,紹介,成約,1,6415.0
2024/01/27,INQ-世田-0092,中村,世田谷区,マンション,SNS広告,申し込み,0,0.0
2024/01/14,INQ-世田-0093,中村,世田谷区,土地,ポータルサイト,問い合わせ,0,0.0
2024/01/10,INQ-世田-0094,鈴木,世田谷区,戸建て,ポータルサイト,内見,0,0.0
2024/01/25,INQ-世田-0095,山田,世田谷区,戸建て,ポータルサイト,問い合わせ,0,0.0
2024/01/05,INQ-世田-0096,鈴木,世田谷区,マンション,ポータルサイト,内見,0,0.0
2024/01/26,INQ-世田-0097,田中,世田谷区,マンション,紹介,問い合わせ,0,0.0
2024/01/29,INQ-世田-0098,中村,世田谷区,戸建て,SNS広告,成約,1,6052.0
2024/01/05,INQ-世田-0099,鈴木,世田谷区,戸建て,店頭来店,成約,1,6431.0
2024/01/25,INQ-世田-0100,中村,世田谷区,戸建て,紹介,申し込み,0,0.0
2024/01/02,INQ-世田-0101,山田,世田谷区,土地,紹介,問い合わせ,0,0.0
2024/01/08,INQ-世田-0102,山田,世田谷区,土地,紹介,問い合わせ,0,0.0
2024/01/26,INQ-世田-0103,山田,世田谷区,戸建て,SNS広告,内見,0,0.0
2024/01/10,INQ-世田-0104,山田,世田谷区,戸建て,ポータルサイト,成約,1,11589.0
2024/01/31,INQ-世田-0105,中村,世田谷区,事務所,SNS広告,問い合わせ,0,0.0
2024/01/10,INQ-世田-0106,山田,世田谷区,事務所,チラシ,内見,0,0.0
2024/01/27,INQ-世田-0107,鈴木,世田谷区,戸建て,店頭来店,問い合わせ,0,0.0
2024/01/02,INQ-世田-0108,山田,世田谷区,土地,SNS広告,申し込み,0,0.0
2024/01/04,INQ-世田-0109,中村,世田谷区,マンション,ポータルサイト,問い合わせ,0,0.0
2024/01/25,INQ-世田-0110,鈴木,世田谷区,土地,ポータルサイト,内見,0,0.0
