lot_no,process,value
L022,溶接,10.158
L022,溶接,10.217
L022,溶接,10.0886
L023,溶接,10.0217
L023,溶接,10.0119
L023,溶接,9.9703
L023,溶接,9.9277
L023,溶接,10.0036
L024,溶接,9.9735
L024,溶接,10.0116
L024,溶接,10.0011
L024,溶接,10.0801
L024,溶接,9.988
L025,溶接,9.9488
L025,溶接,10.009
L025,溶接,10.011
L025,溶接,10.068
L025,溶接,10.0418
L001,塗装,5.0107
L001,塗装,5.0439
L001,塗装,4.9643
L001,塗装,4.9808
L001,塗装,4.9722
L002,塗装,4.9883
L002,塗装,4.9587
L002,塗装,5.0191
L002,塗装,4.9933
L002,塗装,4.9559
L003,塗装,4.9695
L003,塗装,5.0094
L003,塗装,5.0251
L003,塗装,5.0599
L003,塗装,5.0874
L004,塗装,5.0124
L004,塗装,4.9703
L004,塗装,4.936
L004,塗装,5.008
L004,塗装,4.9756
L005,塗装,4.9875
L005,塗装,4.9816
L005,塗装,4.9958
L005,塗装,5.032
L005,塗装,5.0047
L006,塗装,4.9952
L006,塗装,4.9689
L006,塗装,4.9498
L006,塗装,4.9854
L006,塗装,4.9984
L007,塗装,5.053
L007,塗装,5.0039
L007,塗装,5.0295
L007,塗装,4.985
L007,塗装,4.9645
L008,塗装,4.971
L008,塗装,4.9782
L008,塗装,5.0639
L008,塗装,4.9754
L008,塗装,5.0252
L009,塗装,4.9729
L009,塗装,5.0279
L009,塗装,5.0115
L009,塗装,4.9953
L009,塗装,4.9988
L010,塗装,4.9804
L010,塗装,5.0134
L010,塗装,4.9864
L010,塗装,4.9632
L010,塗装,4.9617
L011,塗装,5.0052
L011,塗装,5.0474
L011,塗装,5.0048
L011,塗装,4.9964
L011,塗装,5.0086
L012,塗装,5.0392
L012,塗装,5.0066
L012,塗装,4.9877
L012,塗装,5.0332
L012,塗装,5.0129
L013,塗装,5.0461
L013,塗装,5.0055
L013,塗装,4.9633
L013,塗装,4.959
L013,塗装,5.0495
L014,塗装,5.0517
L014,塗装,4.9946
L014,塗装,4.9885
L014,塗装,5.0438
L014,塗装,4.9668
L015,塗装,5.0032
L015,塗装,5.0493
L015,塗装,5.0182
L015,塗装,5.0298
L015,塗装,5.0251
L016,塗装,5.0701
L016,塗装,5.1022
L016,塗装,5.0627
L016,塗装,5.0793
L016,塗装,4.9985
L017,塗装,5.0885
L017,塗装,5.0647
L017,塗装,5.0534
L017,塗装,5.0637
L017,塗装,5.08
L018,塗装,5.1475
L018,塗装,5.0802
L018,塗装,5.1209
L018,塗装,5.1055
L018,塗装,5.1102
L019,塗装,5.1801
L019,塗装,5.1661
L019,塗装,5.1901
L019,塗装,5.1454
L019,塗装,5.1291
L020,塗装,5.1733
L020,塗装,5.1873
L020,塗装,5.1853
L020,塗装,5.1475
L020,塗装,5.1827
L021,塗装,5.0068
L021,塗装,5.0755
L021,塗装,5.0563
L021,塗装,4.9744
L021,塗装,4.9914
L022,塗装,4.9561
L022,塗装,4.9823
L022,塗装,5.0095
L022,塗装,5.0362
L022,塗装,4.9781
L023,塗装,4.9804
L023,塗装,4.9356
L023,塗装,4.9951
L023,塗装,4.9681
L023,塗装,4.9841
L024,塗装,4.9737
L024,塗装,4.9972
L024,塗装,4.9473
L024,塗装,4.956
L024,塗装,5.0639
L025,塗装,4.9614
L025,塗装,4.9671
L025,塗装,5.0551
L025,塗装,5.0872
L025,塗装,4.9649
L001,組立,19.9632
L001,組立,20.0342
L001,組立,20.1729
L001,組立,19.9013
L001,組立,19.9755
L002,組立,20.0777
L002,組立,20.0435
L002,組立,19.9624
L002,組立,19.9866
L002,組立,19.8625
L003,組立,19.9762
L003,組立,19.9734
L003,組立,20.0232
L003,組立,19.9445
L003,組立,20.0472
L004,組立,20.1013
L004,組立,20.0155
L004,組立,20.0352
L004,組立,20.0053
L004,組立,20.0
L005,組立,19.9278
L005,組立,20.0316
L005,組立,19.9903
L005,組立,20.2093
L005,組立,20.1573
L006,組立,20.0386
L006,組立,19.9237
L006,組立,19.8888
L006,組立,20.1191
L006,組立,20.0263
L007,組立,20.048
L007,組立,19.8255
L007,組立,20.0927
L007,組立,20.0454
L007,組立,19.889
L008,組立,19.9528
L008,組立,20.0264
L008,組立,20.0052
L008,組立,19.9708
L008,組立,19.9897
L009,組立,19.9748
L009,組立,20.0153
L009,組立,20.1471
L009,組立,19.7433
L009,組立,19.9763
L010,組立,20.1677
L010,組立,20.1796
L010,組立,20.1128
L010,組立,19.9743
L010,組立,20.1828
L011,組立,20.3227
L011,組立,19.9966
L011,組立,20.2364
L011,組立,20.1171
L011,組立,20.1439
L012,組立,20.0447
L012,組立,20.1166
L012,組立,20.28
L012,組立,20.2083
L012,組立,20.3232
L013,組立,20.2677
L013,組立,20.1939
L013,組立,20.3244
L013,組立,20.1939
L013,組立,20.2328
L014,組立,20.1203
L014,組立,20.1567
L014,組立,20.0803
L014,組立,20.249
L014,組立,20.0322
L015,組立,20.2282
L015,組立,20.1309
L015,組立,20.2671
L015,組立,20.2251
L015,組立,20.3321
L016,組立,20.2231
L016,組立,19.9928
L016,組立,20.1433
L016,組立,20.0328
L016,組立,20.0982
L017,組立,20.3011
L017,組立,20.2138
L017,組立,20.0801
L017,組立,20.0486
L017,組立,20.1533
L018,組立,19.8783
L018,組立,19.9329
L018,組立,20.0312
L018,組立,20.1155
L018,組立,20.0609
L019,組立,19.7709
L019,組立,20.0304
L019,組立,20.0072
L019,組立,20.0414
L019,組立,20.1616
L020,組立,19.7937
L020,組立,19.9409
L020,組立,20.0591
L020,組立,19.8418
L020,組立,20.1476
L021,組立,20.0368
L021,組立,20.0847
L021,組立,19.9429
L021,組立,20.0814
L021,組立,20.1068
L022,組立,20.0233
L022,組立,20.0234
L022,組立,20.027
L022,組立,19.9137
L022,組立,19.9852
L023,組立,19.9847
L023,組立,20.0383
L023,組立,20.1
L023,組立,19.8941
L023,組立,19.9875
L024,組立,20.1481
L024,組立,19.9256
L024,組立,19.9178
L024,組立,20.0202
L024,組立,20.0844
L025,組立,20.0011
L025,組立,20.1329
L025,組立,20.0857
L025,組立,20.0842
L025,組立,20.0554
