ReceiptDate,CaseNo,PropertyName,RoomNo,ClaimType,Status,ResponseDays,WorkHours
2024-02-10,B-2024010028,ブルーC棟,1002,設備故障,解決済,5,1.5
2024-03-03,B-2024010029,ブルーC棟,0807,害虫,解決済,20,5.0
2024-02-25,B-2024010030,シルバーE棟,0206,害虫,解決済,4,2.5
2024-03-16,B-2024010031,シルバーE棟,0501,騒音,対応中,55,7.0
2024-01-10,B-2024010032,グリーンB棟,0305,水漏れ,解決済,11,1.0
2024-01-14,B-2024010033,グリーンB棟,0307,駐車,解決済,23,2.0
2024-03-22,B-2024010034,ブルーC棟,0207,その他,解決済,2,4.0
2024-01-03,B-2024010035,ブルーC棟,1007,駐車,解決済,13,8.0
2024-02-13,B-2024010036,サンシャインA棟,0603,駐車,解決済,15,3.0
2024-01-04,B-2024010037,グリーンB棟,0707,駐車,解決済,3,4.0
2024-02-08,B-2024010038,ブルーC棟,0302,駐車,対応中,86,1.0
2024-03-25,B-2024010039,ブルーC棟,0603,騒音,解決済,4,1.5
2024-02-20,B-2024010040,グリーンB棟,0203,その他,解決済,16,5.0
2024-03-15,B-2024010041,シルバーE棟,1006,その他,対応中,45,1.5
2024-02-15,B-2024010042,ブルーC棟,0501,水漏れ,解決済,17,1.0
2024-02-02,B-2024010043,サンシャインA棟,0605,設備故障,解決済,21,1.0
2024-03-13,B-2024010044,ホワイトD棟,1001,害虫,解決済,30,7.0
2024-03-20,B-2024010045,ホワイトD棟,0903,設備故障,解決済,15,1.0
2024-02-03,B-2024010046,シルバーE棟,0301,騒音,未対応,100,5.0
2024-02-20,B-2024010047,グリーンB棟,0606,水漏れ,解決済,13,4.0
2024-02-02,B-2024010048,ブルーC棟,0206,設備故障,対応中,76,8.0
2024-02-24,B-2024010049,シルバーE棟,0306,設備故障,解決済,19,8.0
2024-01-10,B-2024010050,ホワイトD棟,0302,水漏れ,未対応,81,4.0
2024-03-27,B-2024010051,グリーンB棟,0902,その他,対応中,90,4.0
2024-03-12,B-2024010052,ブルーC棟,0304,水漏れ,解決済,25,5.0
2024-01-05,B-2024010053,グリーンB棟,0205,設備故障,解決済,17,6.0
2024-03-02,B-2024010054,ブルーC棟,1003,駐車,対応中,53,1.5
2024-01-23,B-2024010055,シルバーE棟,0308,設備故障,解決済,14,3.0
2024-03-15,B-2024010056,シルバーE棟,0508,騒音,対応中,73,2.0
2024-02-26,B-2024010057,ホワイトD棟,0406,その他,未対応,83,5.0
2024-02-25,B-2024010058,ホワイトD棟,0907,騒音,対応中,30,7.0
2024-01-02,B-2024010059,ホワイトD棟,0602,その他,対応中,71,1.0
2024-02-06,B-2024010060,ブルーC棟,0803,害虫,解決済,3,2.0
2024-02-01,B-2024010061,ホワイトD棟,0107,駐車,対応中,52,2.0
2024-02-12,B-2024010062,グリーンB棟,0106,設備故障,未対応,117,8.0
2024-02-05,B-2024010063,サンシャインA棟,0508,その他,対応中,22,5.0
2024-02-03,B-2024010064,サンシャインA棟,0504,騒音,解決済,18,7.0
2024-03-25,B-2024010065,ブルーC棟,0405,設備故障,解決済,2,2.0
2024-02-20,B-2024010066,ホワイトD棟,0202,害虫,解決済,20,6.0
2024-01-19,B-2024010067,グリーンB棟,0305,害虫,解決済,1,7.0
2024-02-14,B-2024010068,グリーンB棟,0206,設備故障,解決済,17,6.0
2024-03-17,B-2024010069,シルバーE棟,0107,害虫,対応中,10,8.0
2024-02-09,B-2024010070,サンシャインA棟,0602,水漏れ,未対応,40,8.0
2024-03-19,B-2024010071,ブルーC棟,0301,水漏れ,解決済,18,3.0
2024-03-25,B-2024010072,ホワイトD棟,0803,騒音,解決済,3,5.0
2024-01-02,B-2024010073,グリーンB棟,0106,水漏れ,解決済,17,4.0
2024-03-02,B-2024010074,グリーンB棟,0506,設備故障,解決済,28,8.0
2024-02-26,B-2024010075,ブルーC棟,0707,その他,解決済,15,4.0
2024-02-16,B-2024010076,ホワイトD棟,0605,設備故障,未対応,103,4.0
2024-01-27,B-2024010077,グリーンB棟,0905,水漏れ,解決済,4,1.0
2024-02-10,B-2024010078,ホワイトD棟,1007,騒音,対応中,61,3.0
2024-02-28,B-2024010079,ブルーC棟,1007,水漏れ,解決済,21,0.5
2024-01-13,B-2024010080,ブルーC棟,0903,設備故障,対応中,23,7.0
2024-03-02,B-2024010081,グリーンB棟,0204,その他,対応中,51,3.0
2024-02-02,B-2024010082,シルバーE棟,0308,水漏れ,未対応,57,5.0
2024-01-17,B-2024010083,ブルーC棟,0706,その他,解決済,9,2.0
2024-01-06,B-2024010084,ホワイトD棟,0907,駐車,解決済,4,2.5
2024-02-07,B-2024010085,シルバーE棟,0508,騒音,対応中,20,1.5
2024-01-23,B-2024010086,ホワイトD棟,0206,その他,解決済,12,1.0
2024-03-10,B-2024010087,グリーンB棟,0306,駐車,解決済,8,1.0
2024-01-08,B-2024010088,ホワイトD棟,0106,駐車,対応中,78,3.0
2024-02-18,B-2024010089,グリーンB棟,1002,設備故障,対応中,44,4.0
2024-03-17,B-2024010090,ホワイトD棟,0702,騒音,対応中,45,8.0
2024-01-22,B-2024010091,シルバーE棟,0603,駐車,解決済,21,7.0
2024-01-05,B-2024010092,ホワイトD棟,0901,設備故障,対応中,71,1.5
2024-02-11,B-2024010093,グリーンB棟,0605,設備故障,解決済,9,2.0
2024-03-09,B-2024010094,グリーンB棟,0502,駐車,未対応,92,1.5
2024-03-05,B-2024010095,グリーンB棟,1006,駐車,未対応,15,0.5
2024-01-21,B-2024010096,シルバーE棟,0504,駐車,解決済,14,7.0
2024-03-21,B-2024010097,シルバーE棟,0505,害虫,解決済,8,8.0
2024-02-03,B-2024010098,サンシャインA棟,0308,害虫,解決済,16,5.0
2024-01-05,B-2024010099,ブルーC棟,0606,害虫,解決済,5,3.0
2024-03-11,B-2024010100,グリーンB棟,0802,水漏れ,解決済,15,2.0
2024-01-10,B-2024010101,ホワイトD棟,1007,騒音,解決済,28,1.5
2024-02-24,B-2024010102,ブルーC棟,0403,害虫,未対応,75,5.0
2024-02-16,B-2024010103,サンシャインA棟,0207,駐車,対応中,63,2.0
2024-01-02,B-2024010104,サンシャインA棟,0508,駐車,解決済,29,8.0
2024-03-18,B-2024010105,サンシャインA棟,0207,騒音,解決済,29,2.5
2024-03-13,B-2024010106,ブルーC棟,0107,設備故障,解決済,19,6.0
2024-01-10,B-2024010107,サンシャインA棟,0708,駐車,解決済,9,7.0
2024-03-05,B-2024010108,サンシャインA棟,0706,水漏れ,解決済,18,3.0
2024-01-17,B-2024010109,ホワイトD棟,0901,設備故障,解決済,2,1.5
2024-03-16,B-2024010110,シルバーE棟,0803,駐車,解決済,29,6.0
2024-01-20,B-2024010111,ブルーC棟,0307,駐車,解決済,24,2.5
2024-03-27,B-2024010112,シルバーE棟,0908,その他,解決済,19,2.5
2024-02-12,B-2024010113,ブルーC棟,0207,駐車,対応中,44,8.0
2024-01-09,B-2024010114,シルバーE棟,1004,その他,解決済,2,7.0
2024-02-21,B-2024010115,シルバーE棟,0703,その他,解決済,8,0.5
2024-03-04,B-2024010116,グリーンB棟,0108,水漏れ,未対応,63,1.5
2024-02-14,B-2024010117,シルバーE棟,1008,その他,対応中,12,1.5
2024-03-11,B-2024010118,ホワイトD棟,0907,水漏れ,解決済,6,5.0
2024-03-12,B-2024010119,ブルーC棟,1008,騒音,解決済,8,2.5
2024-03-10,B-2024010120,ブルーC棟,0408,水漏れ,解決済,16,3.0
2024-03-26,B-2024010121,ブルーC棟,0502,駐車,未対応,96,6.0
2024-02-13,B-2024010122,ブルーC棟,0305,設備故障,対応中,41,1.0
2024-02-21,B-2024010123,ブルーC棟,0804,騒音,未対応,115,6.0
2024-02-23,B-2024010124,ブルーC棟,0302,駐車,未対応,104,7.0
2024-01-22,B-2024010125,シルバーE棟,0404,設備故障,解決済,4,4.0
2024-02-04,B-2024010126,グリーンB棟,0103,害虫,対応中,88,5.0
2024-02-25,B-2024010127,ブルーC棟,0605,その他,対応中,12,1.0
2024-03-18,B-2024010128,サンシャインA棟,0307,騒音,解決済,30,0.5
2024-02-06,B-2024010129,ブルーC棟,0101,水漏れ,対応中,77,7.0
2024-01-11,B-2024010130,ブルーC棟,0808,騒音,未対応,118,6.0
2024-02-26,B-2024010131,サンシャインA棟,0603,その他,解決済,15,8.0
2024-02-01,B-2024010132,ブルーC棟,0504,騒音,対応中,83,8.0
2024-02-17,B-2024010133,ブルーC棟,0207,その他,対応中,17,1.5
2024-01-08,B-2024010134,サンシャインA棟,0507,騒音,解決済,15,2.5
2024-02-24,B-2024010135,シルバーE棟,0105,その他,解決済,12,2.0
2024-01-15,B-2024010136,ブルーC棟,0307,その他,対応中,69,2.5
2024-03-10,B-2024010137,ブルーC棟,1004,騒音,解決済,5,5.0
2024-01-20,B-2024010138,ブルーC棟,0708,駐車,解決済,26,8.0
2024-01-22,B-2024010139,シルバーE棟,0208,駐車,対応中,51,1.0
2024-03-27,B-2024010140,シルバーE棟,0904,駐車,解決済,18,1.5
