日付,管理番号,建物名,号室,種別,状況,処理日数,工数
2024/02/21,C-2024010056,ホワイトD棟,1004,水漏れ,対応中,53,2.5
2024/02/19,C-2024010057,グリーンB棟,1003,その他,解決済,25,6.0
2024/01/15,C-2024010058,グリーンB棟,0805,その他,未対応,18,4.0
2024/03/21,C-2024010059,ブルーC棟,0405,その他,解決済,5,4.0
2024/02/20,C-2024010060,ホワイトD棟,1007,駐車,解決済,17,4.0
2024/03/12,C-2024010061,シルバーE棟,1002,設備故障,解決済,25,2.0
2024/03/06,C-2024010062,シルバーE棟,0107,水漏れ,対応中,60,1.0
2024/01/08,C-2024010063,シルバーE棟,0904,害虫,解決済,12,4.0
2024/02/19,C-2024010064,シルバーE棟,0306,設備故障,対応中,66,1.0
2024/02/03,C-2024010065,サンシャインA棟,0306,水漏れ,解決済,11,5.0
2024/01/12,C-2024010066,ホワイトD棟,0208,その他,解決済,23,5.0
2024/02/02,C-2024010067,サンシャインA棟,0106,その他,解決済,4,8.0
2024/01/24,C-2024010068,グリーンB棟,0903,駐車,未対応,30,3.0
2024/03/15,C-2024010069,グリーンB棟,0703,騒音,解決済,21,8.0
2024/02/24,C-2024010070,シルバーE棟,0408,駐車,解決済,14,4.0
2024/01/07,C-2024010071,ブルーC棟,0202,駐車,対応中,28,3.0
2024/02/04,C-2024010072,ブルーC棟,0806,駐車,解決済,13,7.0
2024/02/12,C-2024010073,ブルーC棟,0803,その他,解決済,23,2.5
2024/03/22,C-2024010074,グリーンB棟,0602,騒音,解決済,10,1.0
2024/01/05,C-2024010075,シルバーE棟,0707,駐車,解決済,5,7.0
2024/02/16,C-2024010076,シルバーE棟,0303,害虫,解決済,10,1.5
2024/01/15,C-2024010077,シルバーE棟,0106,設備故障,解決済,16,1.5
2024/01/18,C-2024010078,シルバーE棟,0807,その他,対応中,67,4.0
2024/03/16,C-2024010079,グリーンB棟,0201,騒音,対応中,42,0.5
2024/02/10,C-2024010080,グリーンB棟,0808,駐車,解決済,17,1.0
2024/03/25,C-2024010081,シルバーE棟,0601,その他,解決済,15,6.0
2024/01/04,C-2024010082,グリーンB棟,0501,害虫,未対応,43,3.0
2024/01/04,C-2024010083,グリーンB棟,0406,その他,解決済,20,8.0
2024/02/05,C-2024010084,グリーンB棟,0401,駐車,解決済,12,6.0
2024/02/06,C-2024010085,ブルーC棟,0505,駐車,解決済,9,6.0
2024/03/05,C-2024010086,ホワイトD棟,0105,その他,対応中,21,1.5
2024/01/11,C-2024010087,グリーンB棟,0708,騒音,解決済,19,8.0
2024/02/13,C-2024010088,ホワイトD棟,0202,害虫,解決済,17,2.5
2024/03/12,C-2024010089,ホワイトD棟,0806,駐車,未対応,10,1.0
2024/03/21,C-2024010090,ブルーC棟,0207,騒音,未対応,64,2.0
2024/02/27,C-2024010091,ブルーC棟,0603,駐車,解決済,28,5.0
2024/02/25,C-2024010092,サンシャインA棟,0102,その他,対応中,63,0.5
2024/01/06,C-2024010093,ホワイトD棟,0801,害虫,未対応,35,1.5
2024/03/28,C-2024010094,ブルーC棟,0206,水漏れ,解決済,3,3.0
2024/03/06,C-2024010095,サンシャインA棟,0705,その他,未対応,99,2.0
2024/02/23,C-2024010096,サンシャインA棟,0104,害虫,対応中,14,1.5
2024/03/22,C-2024010097,ホワイトD棟,0101,その他,解決済,11,1.0
2024/02/16,C-2024010098,サンシャインA棟,0407,設備故障,対応中,18,1.0
2024/02/10,C-2024010099,グリーンB棟,0703,その他,解決済,22,1.5
2024/01/01,C-2024010100,シルバーE棟,0308,水漏れ,解決済,24,2.0
2024/03/14,C-2024010101,シルバーE棟,0804,設備故障,対応中,17,1.5
2024/01/13,C-2024010102,ブルーC棟,0706,騒音,解決済,8,2.5
2024/03/18,C-2024010103,シルバーE棟,1005,その他,解決済,1,8.0
2024/02/20,C-2024010104,シルバーE棟,0407,水漏れ,解決済,21,0.5
2024/01/04,C-2024010105,グリーンB棟,0802,駐車,解決済,29,0.5
2024/02/05,C-2024010106,ホワイトD棟,1007,水漏れ,未対応,79,8.0
2024/01/25,C-2024010107,サンシャインA棟,0102,設備故障,対応中,38,2.0
2024/01/26,C-2024010108,ホワイトD棟,0905,その他,未対応,101,6.0
2024/02/13,C-2024010109,サンシャインA棟,0903,水漏れ,解決済,3,2.5
2024/01/07,C-2024010110,グリーンB棟,0906,害虫,解決済,19,8.0
2024/03/03,C-2024010111,ブルーC棟,0704,設備故障,対応中,36,1.0
2024/02/20,C-2024010112,シルバーE棟,0105,その他,解決済,24,8.0
2024/03/01,C-2024010113,グリーンB棟,0103,害虫,解決済,12,6.0
2024/03/24,C-2024010114,ブルーC棟,0306,騒音,対応中,39,1.0
2024/01/14,C-2024010115,ブルーC棟,0902,水漏れ,解決済,23,7.0
2024/03/15,C-2024010116,シルバーE棟,0601,害虫,解決済,28,7.0
2024/01/09,C-2024010117,サンシャインA棟,1002,騒音,解決済,24,6.0
2024/01/28,C-2024010118,サンシャインA棟,0401,害虫,解決済,12,4.0
2024/01/28,C-2024010119,サンシャインA棟,0907,騒音,解決済,11,2.0
2024/02/11,C-2024010120,ブルーC棟,0206,設備故障,未対応,74,8.0
2024/01/26,C-2024010121,シルバーE棟,0107,設備故障,解決済,29,5.0
2024/02/10,C-2024010122,ブルーC棟,0208,設備故障,対応中,52,2.0
2024/02/10,C-2024010123,シルバーE棟,0408,水漏れ,解決済,19,5.0
2024/01/18,C-2024010124,グリーンB棟,0301,害虫,対応中,8,2.0
2024/03/27,C-2024010125,サンシャインA棟,0601,その他,解決済,13,2.5
2024/01/08,C-2024010126,ホワイトD棟,0801,騒音,解決済,23,2.5
2024/01/08,C-2024010127,シルバーE棟,0706,害虫,解決済,24,1.0
2024/03/05,C-2024010128,ホワイトD棟,0201,害虫,解決済,22,1.5
2024/01/28,C-2024010129,ブルーC棟,0706,水漏れ,解決済,15,2.5
2024/01/07,C-2024010130,グリーンB棟,1002,騒音,解決済,4,1.5
2024/02/14,C-2024010131,サンシャインA棟,0906,騒音,解決済,15,2.5
2024/02/04,C-2024010132,サンシャインA棟,0305,その他,解決済,23,7.0
2024/01/28,C-2024010133,ブルーC棟,0302,その他,解決済,8,3.0
2024/02/22,C-2024010134,ブルーC棟,0503,設備故障,解決済,13,5.0
2024/03/08,C-2024010135,サンシャインA棟,0802,騒音,対応中,20,0.5
2024/01/08,C-2024010136,グリーンB棟,0407,水漏れ,対応中,85,8.0
2024/01/09,C-2024010137,サンシャインA棟,0102,騒音,解決済,29,8.0
2024/02/03,C-2024010138,ブルーC棟,0201,害虫,対応中,11,1.5
2024/03/24,C-2024010139,ホワイトD棟,0801,害虫,解決済,22,4.0
2024/01/06,C-2024010140,ブルーC棟,0508,騒音,解決済,2,7.0
