受付日,案件番号,物件名,部屋番号,クレーム区分,対応状況,対応日数,対応工数（時間）
2024/03/22,A-2024010044,ブルーC棟,0908,水漏れ,解決済,29,0.5
2024/01/27,A-2024010045,ブルーC棟,0101,水漏れ,解決済,25,1.5
2024/03/06,A-2024010046,ホワイトD棟,0907,駐車,未対応,11,1.0
2024/01/23,A-2024010047,グリーンB棟,0901,水漏れ,未対応,84,6.0
2024/01/02,A-2024010048,ブルーC棟,0601,水漏れ,解決済,7,8.0
2024/01/12,A-2024010049,シルバーE棟,0703,騒音,対応中,25,1.5
2024/02/24,A-2024010050,ブルーC棟,0704,水漏れ,解決済,6,1.0
2024/02/28,A-2024010051,ホワイトD棟,0404,害虫,対応中,49,2.5
2024/01/22,A-2024010052,グリーンB棟,0706,水漏れ,解決済,28,1.0
2024/02/17,A-2024010053,ホワイトD棟,0906,設備故障,解決済,4,2.5
2024/01/09,A-2024010054,サンシャインA棟,0207,水漏れ,解決済,24,3.0
2024/02/17,A-2024010055,サンシャインA棟,0704,水漏れ,解決済,2,4.0
2024/01/26,A-2024010056,シルバーE棟,0406,害虫,解決済,3,8.0
2024/02/22,A-2024010057,サンシャインA棟,0505,その他,解決済,14,3.0
2024/02/18,A-2024010058,グリーンB棟,0407,その他,対応中,53,8.0
2024/03/20,A-2024010059,シルバーE棟,0507,駐車,未対応,116,0.5
2024/02/14,A-2024010060,シルバーE棟,1006,害虫,解決済,15,5.0
2024/03/16,A-2024010061,グリーンB棟,0205,駐車,解決済,22,8.0
2024/03/27,A-2024010062,グリーンB棟,0504,騒音,解決済,5,0.5
2024/01/16,A-2024010063,シルバーE棟,0208,害虫,解決済,29,8.0
2024/03/23,A-2024010064,ホワイトD棟,0807,騒音,解決済,5,8.0
2024/03/25,A-2024010065,サンシャインA棟,0704,騒音,解決済,26,6.0
2024/02/08,A-2024010066,サンシャインA棟,0803,害虫,解決済,22,6.0
2024/03/25,A-2024010067,ホワイトD棟,1007,駐車,解決済,15,1.5
2024/03/15,A-2024010068,ブルーC棟,0405,駐車,対応中,67,8.0
2024/01/03,A-2024010069,ブルーC棟,0405,水漏れ,解決済,11,6.0
2024/01/08,A-2024010070,ホワイトD棟,0304,設備故障,解決済,14,4.0
2024/02/14,A-2024010071,サンシャインA棟,0407,害虫,解決済,29,7.0
2024/03/25,A-2024010072,シルバーE棟,0708,設備故障,解決済,12,2.5
2024/02/27,A-2024010073,ホワイトD棟,0904,害虫,対応中,33,2.5
2024/02/13,A-2024010074,ブルーC棟,0703,害虫,解決済,30,1.5
2024/03/13,A-2024010075,シルバーE棟,1001,設備故障,解決済,21,4.0
2024/01/06,A-2024010076,サンシャインA棟,0507,水漏れ,対応中,32,5.0
2024/02/13,A-2024010077,ブルーC棟,0705,設備故障,解決済,16,0.5
2024/03/12,A-2024010078,グリーンB棟,0201,設備故障,解決済,8,2.0
2024/01/08,A-2024010079,グリーンB棟,0802,駐車,解決済,7,5.0
2024/03/12,A-2024010080,グリーンB棟,1002,騒音,解決済,10,1.0
2024/03/10,A-2024010081,シルバーE棟,0707,その他,解決済,7,1.0
2024/03/21,A-2024010082,グリーンB棟,0205,その他,対応中,81,1.0
2024/03/12,A-2024010083,シルバーE棟,0706,設備故障,対応中,69,8.0
2024/02/14,A-2024010084,ホワイトD棟,0207,水漏れ,解決済,21,5.0
2024/03/06,A-2024010085,シルバーE棟,0508,害虫,解決済,14,7.0
2024/02/08,A-2024010086,サンシャインA棟,0508,騒音,解決済,25,5.0
2024/03/13,A-2024010087,ブルーC棟,0108,水漏れ,解決済,6,5.0
2024/01/09,A-2024010088,ブルーC棟,0505,駐車,解決済,1,6.0
2024/01/24,A-2024010089,ホワイトD棟,0804,その他,解決済,16,8.0
2024/03/26,A-2024010090,サンシャインA棟,0205,騒音,解決済,13,2.0
2024/02/12,A-2024010091,ホワイトD棟,0906,害虫,対応中,75,3.0
2024/02/09,A-2024010092,ブルーC棟,0504,設備故障,対応中,29,3.0
2024/01/25,A-2024010093,グリーンB棟,0404,その他,対応中,66,2.5
2024/03/25,A-2024010094,シルバーE棟,1005,設備故障,解決済,27,2.0
2024/02/06,A-2024010095,ブルーC棟,0103,水漏れ,解決済,2,0.5
2024/03/05,A-2024010096,ホワイトD棟,0201,駐車,解決済,10,5.0
2024/02/06,A-2024010097,サンシャインA棟,0508,設備故障,解決済,27,1.0
2024/02/19,A-2024010098,サンシャインA棟,0303,駐車,解決済,10,1.0
2024/01/25,A-2024010099,ホワイトD棟,1004,駐車,解決済,13,5.0
2024/02/19,A-2024010100,ホワイトD棟,0501,駐車,解決済,24,1.0
2024/01/09,A-2024010101,サンシャインA棟,0304,騒音,解決済,18,1.0
2024/01/15,A-2024010102,シルバーE棟,0805,設備故障,解決済,8,2.5
2024/03/28,A-2024010103,ホワイトD棟,0204,水漏れ,解決済,26,8.0
2024/03/07,A-2024010104,ホワイトD棟,0204,その他,対応中,24,2.5
2024/01/06,A-2024010105,ブルーC棟,1005,害虫,解決済,4,5.0
2024/03/13,A-2024010106,ブルーC棟,0908,害虫,解決済,3,7.0
2024/01/24,A-2024010107,ブルーC棟,1005,設備故障,対応中,16,2.0
2024/03/19,A-2024010108,シルバーE棟,0105,駐車,対応中,10,1.5
2024/02/15,A-2024010109,ブルーC棟,0307,その他,解決済,27,5.0
2024/01/14,A-2024010110,ブルーC棟,0602,騒音,解決済,11,4.0
2024/03/22,A-2024010111,ホワイトD棟,0901,害虫,解決済,3,3.0
2024/02/25,A-2024010112,ホワイトD棟,0901,その他,解決済,28,6.0
2024/02/07,A-2024010113,シルバーE棟,0608,その他,解決済,15,0.5
2024/01/05,A-2024010114,ブルーC棟,0808,設備故障,解決済,1,8.0
2024/03/23,A-2024010115,グリーンB棟,0501,駐車,対応中,57,1.0
2024/01/04,A-2024010116,ホワイトD棟,0203,害虫,未対応,101,2.5
2024/03/14,A-2024010117,ホワイトD棟,0804,害虫,対応中,75,1.5
2024/02/20,A-2024010118,シルバーE棟,0302,水漏れ,解決済,25,4.0
2024/02/17,A-2024010119,ブルーC棟,0105,その他,未対応,48,7.0
2024/03/16,A-2024010120,グリーンB棟,0808,水漏れ,未対応,52,6.0
2024/03/11,A-2024010121,グリーンB棟,0407,騒音,解決済,28,4.0
2024/01/16,A-2024010122,ホワイトD棟,0703,害虫,解決済,2,1.5
2024/03/11,A-2024010123,サンシャインA棟,0802,駐車,未対応,68,0.5
2024/03/28,A-2024010124,グリーンB棟,0208,水漏れ,解決済,11,7.0
2024/03/03,A-2024010125,ブルーC棟,0907,水漏れ,解決済,21,5.0
2024/03/03,A-2024010126,グリーンB棟,0504,その他,解決済,3,4.0
2024/01/23,A-2024010127,サンシャインA棟,0803,その他,対応中,43,0.5
2024/01/02,A-2024010128,ブルーC棟,0606,害虫,解決済,5,2.0
2024/03/22,A-2024010129,グリーンB棟,0303,設備故障,解決済,20,4.0
2024/03/16,A-2024010130,シルバーE棟,0304,害虫,対応中,86,2.5
2024/02/01,A-2024010131,ホワイトD棟,0503,設備故障,解決済,15,3.0
2024/03/14,A-2024010132,ブルーC棟,0805,騒音,解決済,13,5.0
2024/01/19,A-2024010133,ブルーC棟,1005,その他,解決済,10,0.5
2024/03/01,A-2024010134,シルバーE棟,0108,水漏れ,解決済,25,2.0
2024/03/08,A-2024010135,グリーンB棟,1005,その他,対応中,89,8.0
2024/01/21,A-2024010136,サンシャインA棟,0508,設備故障,解決済,19,3.0
2024/03/10,A-2024010137,ブルーC棟,0703,騒音,解決済,5,6.0
2024/02/09,A-2024010138,グリーンB棟,0508,水漏れ,解決済,24,3.0
2024/01/03,A-2024010139,グリーンB棟,0407,駐車,解決済,12,1.0
2024/02/18,A-2024010140,サンシャインA棟,0806,その他,解決済,24,8.0
