date,store,ingredient_code,ingredient_name,category,purchase_qty,unit_cost,used_qty,waste_qty,purchase_cost,waste_cost,waste_rate,qty_imputed,source_file
2024-01-03,渋谷店,VG-001,キャベツ,野菜・果物,14.0,120.0,12.3,1.7,1680.0,204.0,0.1214,False,01_渋谷店_仕入_202401.csv
2024-01-04,渋谷店,SE-001,醤油(L),調味料・油,10.3,400.0,8.7,1.6,4120.0,640.0,0.1553,False,01_渋谷店_仕入_202401.csv
2024-01-04,渋谷店,FS-003,イカ,魚介類,4.1,1200.0,3.6,0.5,4920.0,600.0,0.122,False,01_渋谷店_仕入_202401.csv
2024-01-04,渋谷店,DY-003,卵(10個),乳製品・卵,12.2,250.0,10.9,1.3,3050.0,325.0,0.1066,False,01_渋谷店_仕入_202401.csv
2024-01-04,渋谷店,VG-004,トマト,野菜・果物,12.0,300.0,10.1,1.9,3600.0,570.0,0.1583,False,01_渋谷店_仕入_202401.csv
2024-01-04,渋谷店,DY-001,牛乳(L),乳製品・卵,2.6,200.0,2.1,0.5,520.0,100.0,0.1923,False,01_渋谷店_仕入_202401.csv
2024-01-04,渋谷店,SE-001,醤油(L),調味料・油,9.4,400.0,8.6,0.8,3760.0,320.0,0.0851,False,01_渋谷店_仕入_202401.csv
2024-01-05,渋谷店,DY-003,卵(10個),乳製品・卵,3.0,250.0,2.3,0.7,750.0,175.0,0.2333,False,01_渋谷店_仕入_202401.csv
2024-01-05,渋谷店,DY-003,卵(10個),乳製品・卵,13.9,250.0,11.7,2.2,3475.0,550.0,0.1583,False,01_渋谷店_仕入_202401.csv
2024-01-05,渋谷店,DY-002,バター(250g),乳製品・卵,14.0,450.0,11.2,2.8,6300.0,1260.0,0.2,False,01_渋谷店_仕入_202401.csv
2024-01-05,渋谷店,VG-001,キャベツ,野菜・果物,5.0,120.0,3.7,1.3,600.0,156.0,0.26,False,01_渋谷店_仕入_202401.csv
2024-01-05,渋谷店,MT-003,牛切り落とし,肉類,10.3,2000.0,7.6,2.7,20600.0,5400.0,0.2621,False,01_渋谷店_仕入_202401.csv
2024-01-05,渋谷店,VG-002,にんじん,野菜・果物,4.7,180.0,4.1,0.6,846.0,108.0,0.1277,False,01_渋谷店_仕入_202401.csv
2024-01-08,渋谷店,VG-004,トマト,野菜・果物,8.9,300.0,6.9,2.0,2670.0,600.0,0.2247,False,01_渋谷店_仕入_202401.csv
2024-01-08,渋谷店,FS-004,アジ,魚介類,8.5,800.0,6.1,2.4,6800.0,1920.0,0.2824,False,01_渋谷店_仕入_202401.csv
2024-01-08,渋谷店,FS-002,エビ,魚介類,19.3,2500.0,17.9,1.4,48250.0,3500.0,0.0725,False,01_渋谷店_仕入_202401.csv
2024-01-08,渋谷店,FS-003,イカ,魚介類,6.8,1200.0,6.4,0.4,8160.0,480.0,0.0588,False,01_渋谷店_仕入_202401.csv
2024-01-08,渋谷店,MT-003,牛切り落とし,肉類,14.9,2000.0,12.1,2.8,29800.0,5600.0,0.1879,False,01_渋谷店_仕入_202401.csv
2024-01-08,渋谷店,VG-005,レタス,野菜・果物,3.7,200.0,3.4,0.3,740.0,60.0,0.0811,False,01_渋谷店_仕入_202401.csv
2024-01-09,渋谷店,MT-002,豚バラ,肉類,5.6,1200.0,4.3,1.3,6720.0,1560.0,0.2321,False,01_渋谷店_仕入_202401.csv
2024-01-09,渋谷店,MT-004,鶏むね肉,肉類,5.2,600.0,4.8,0.4,3120.0,240.0,0.0769,False,01_渋谷店_仕入_202401.csv
2024-01-09,渋谷店,SE-003,みりん(L),調味料・油,15.0,600.0,12.1,2.9,9000.0,1740.0,0.1933,False,01_渋谷店_仕入_202401.csv
2024-01-09,渋谷店,DY-002,バター(250g),乳製品・卵,12.5,450.0,9.8,2.7,5625.0,1215.0,0.216,False,01_渋谷店_仕入_202401.csv
2024-01-09,渋谷店,FS-001,鮭,魚介類,2.7,1500.0,2.2,0.5,4050.0,750.0,0.1852,False,01_渋谷店_仕入_202401.csv
2024-01-09,渋谷店,MT-001,鶏もも肉,肉類,4.6,800.0,3.3,1.3,3680.0,1040.0,0.2826,False,01_渋谷店_仕入_202401.csv
2024-01-10,渋谷店,FS-004,アジ,魚介類,5.1,800.0,4.7,0.4,4080.0,320.0,0.0784,False,01_渋谷店_仕入_202401.csv
2024-01-10,渋谷店,FS-001,鮭,魚介類,8.2,1500.0,5.8,2.4,12300.0,3600.0,0.2927,False,01_渋谷店_仕入_202401.csv
2024-01-10,渋谷店,MT-003,牛切り落とし,肉類,10.7,2000.0,8.3,2.4,21400.0,4800.0,0.2243,False,01_渋谷店_仕入_202401.csv
2024-01-10,渋谷店,MT-004,鶏むね肉,肉類,10.8,600.0,10.1,0.7,6480.0,420.0,0.0648,False,01_渋谷店_仕入_202401.csv
2024-01-10,渋谷店,SE-004,塩(kg),調味料・油,10.5,200.0,8.1,2.4,2100.0,480.0,0.2286,False,01_渋谷店_仕入_202401.csv
2024-01-10,渋谷店,MT-003,牛切り落とし,肉類,11.4,2000.0,8.3,3.1,22800.0,6200.0,0.2719,False,01_渋谷店_仕入_202401.csv
2024-01-11,渋谷店,MT-002,豚バラ,肉類,18.1,1200.0,13.3,4.8,21720.0,5760.0,0.2652,False,01_渋谷店_仕入_202401.csv
2024-01-11,渋谷店,DY-003,卵(10個),乳製品・卵,4.0,250.0,3.5,0.5,1000.0,125.0,0.125,False,01_渋谷店_仕入_202401.csv
2024-01-11,渋谷店,DY-004,チーズ(kg),乳製品・卵,13.9,1800.0,12.3,1.6,25020.0,2880.0,0.1151,False,01_渋谷店_仕入_202401.csv
2024-01-11,渋谷店,DY-004,チーズ(kg),乳製品・卵,3.9,1800.0,3.6,0.3,7020.0,540.0,0.0769,False,01_渋谷店_仕入_202401.csv
2024-01-11,渋谷店,FS-002,エビ,魚介類,2.7,2500.0,2.3,0.4,6750.0,1000.0,0.1481,False,01_渋谷店_仕入_202401.csv
2024-01-11,渋谷店,MT-004,鶏むね肉,肉類,16.9,600.0,15.2,1.7,10140.0,1020.0,0.1006,False,01_渋谷店_仕入_202401.csv
2024-01-12,渋谷店,VG-001,キャベツ,野菜・果物,19.2,120.0,14.8,4.4,2304.0,528.0,0.2292,False,01_渋谷店_仕入_202401.csv
2024-01-12,渋谷店,VG-002,にんじん,野菜・果物,6.6,180.0,6.2,0.4,1188.0,72.0,0.0606,False,01_渋谷店_仕入_202401.csv
2024-01-12,渋谷店,MT-004,鶏むね肉,肉類,2.8,600.0,2.3,0.5,1680.0,300.0,0.1786,False,01_渋谷店_仕入_202401.csv
2024-01-12,渋谷店,DY-001,牛乳(L),乳製品・卵,18.1,200.0,16.1,2.0,3620.0,400.0,0.1105,False,01_渋谷店_仕入_202401.csv
2024-01-12,渋谷店,SE-004,塩(kg),調味料・油,18.1,200.0,15.0,3.1,3620.0,620.0,0.1713,False,01_渋谷店_仕入_202401.csv
2024-01-12,渋谷店,DY-004,チーズ(kg),乳製品・卵,15.9,1800.0,13.8,2.1,28620.0,3780.0,0.1321,False,01_渋谷店_仕入_202401.csv
2024-01-15,渋谷店,DY-003,卵(10個),乳製品・卵,3.7,250.0,3.3,0.4,925.0,100.0,0.1081,False,01_渋谷店_仕入_202401.csv
2024-01-15,渋谷店,DY-001,牛乳(L),乳製品・卵,18.9,200.0,14.4,4.5,3780.0,900.0,0.2381,False,01_渋谷店_仕入_202401.csv
2024-01-15,渋谷店,VG-005,レタス,野菜・果物,17.0,200.0,12.6,4.4,3400.0,880.0,0.2588,False,01_渋谷店_仕入_202401.csv
2024-01-15,渋谷店,FS-003,イカ,魚介類,12.8,1200.0,11.8,1.0,15360.0,1200.0,0.0781,False,01_渋谷店_仕入_202401.csv
2024-01-15,渋谷店,VG-003,玉ねぎ,野菜・果物,7.6,150.0,6.8,0.8,1140.0,120.0,0.1053,False,01_渋谷店_仕入_202401.csv
2024-01-15,渋谷店,SE-002,サラダ油(L),調味料・油,11.0,350.0,9.0,2.0,3850.0,700.0,0.1818,False,01_渋谷店_仕入_202401.csv
2024-01-16,渋谷店,SE-001,醤油(L),調味料・油,4.4,400.0,3.8,0.6,1760.0,240.0,0.1364,False,01_渋谷店_仕入_202401.csv
2024-01-16,渋谷店,FS-002,エビ,魚介類,11.1,2500.0,9.7,1.4,27750.0,3500.0,0.1261,False,01_渋谷店_仕入_202401.csv
2024-01-16,渋谷店,DY-001,牛乳(L),乳製品・卵,5.6,200.0,5.0,0.6,1120.0,120.0,0.1071,False,01_渋谷店_仕入_202401.csv
2024-01-16,渋谷店,FS-002,エビ,魚介類,15.3,2500.0,11.2,4.1,38250.0,10250.0,0.268,False,01_渋谷店_仕入_202401.csv
2024-01-16,渋谷店,MT-003,牛切り落とし,肉類,18.7,2000.0,14.9,3.8,37400.0,7600.0,0.2032,False,01_渋谷店_仕入_202401.csv
2024-01-16,渋谷店,MT-001,鶏もも肉,肉類,10.8,800.0,9.3,1.5,8640.0,1200.0,0.1389,False,01_渋谷店_仕入_202401.csv
2024-01-17,渋谷店,DY-003,卵(10個),乳製品・卵,7.2,250.0,5.5,1.7,1800.0,425.0,0.2361,False,01_渋谷店_仕入_202401.csv
2024-01-17,渋谷店,SE-001,醤油(L),調味料・油,13.4,400.0,9.7,3.7,5360.0,1480.0,0.2761,False,01_渋谷店_仕入_202401.csv
2024-01-17,渋谷店,VG-003,玉ねぎ,野菜・果物,9.5,150.0,8.9,0.6,1425.0,90.0,0.0632,False,01_渋谷店_仕入_202401.csv
2024-01-17,渋谷店,FS-002,エビ,魚介類,18.8,2500.0,16.9,1.9,47000.0,4750.0,0.1011,False,01_渋谷店_仕入_202401.csv
2024-01-17,渋谷店,VG-002,にんじん,野菜・果物,16.1,180.0,11.3,4.8,2898.0,864.0,0.2981,False,01_渋谷店_仕入_202401.csv
2024-01-17,渋谷店,DY-001,牛乳(L),乳製品・卵,16.9,200.0,15.2,1.7,3380.0,340.0,0.1006,False,01_渋谷店_仕入_202401.csv
2024-01-18,渋谷店,VG-004,トマト,野菜・果物,11.6,300.0,9.9,1.7,3480.0,510.0,0.1466,False,01_渋谷店_仕入_202401.csv
2024-01-18,渋谷店,VG-005,レタス,野菜・果物,12.9,200.0,10.4,2.5,2580.0,500.0,0.1938,False,01_渋谷店_仕入_202401.csv
2024-01-18,渋谷店,MT-002,豚バラ,肉類,9.7,1200.0,8.4,1.3,11640.0,1560.0,0.134,False,01_渋谷店_仕入_202401.csv
2024-01-18,渋谷店,SE-002,サラダ油(L),調味料・油,10.2,350.0,7.8,2.4,3570.0,840.0,0.2353,False,01_渋谷店_仕入_202401.csv
2024-01-18,渋谷店,FS-004,アジ,魚介類,15.4,800.0,13.9,1.5,12320.0,1200.0,0.0974,False,01_渋谷店_仕入_202401.csv
2024-01-18,渋谷店,MT-002,豚バラ,肉類,3.2,1200.0,2.7,0.5,3840.0,600.0,0.1562,False,01_渋谷店_仕入_202401.csv
2024-01-19,渋谷店,FS-004,アジ,魚介類,16.8,800.0,13.1,3.7,13440.0,2960.0,0.2202,False,01_渋谷店_仕入_202401.csv
2024-01-19,渋谷店,FS-004,アジ,魚介類,18.6,800.0,13.8,4.8,14880.0,3840.0,0.2581,False,01_渋谷店_仕入_202401.csv
2024-01-19,渋谷店,DY-004,チーズ(kg),乳製品・卵,4.8,1800.0,4.0,0.8,8640.0,1440.0,0.1667,False,01_渋谷店_仕入_202401.csv
2024-01-19,渋谷店,VG-002,にんじん,野菜・果物,5.1,180.0,3.6,1.5,918.0,270.0,0.2941,False,01_渋谷店_仕入_202401.csv
2024-01-19,渋谷店,MT-001,鶏もも肉,肉類,14.3,800.0,11.4,2.9,11440.0,2320.0,0.2028,False,01_渋谷店_仕入_202401.csv
2024-01-19,渋谷店,FS-001,鮭,魚介類,11.1,1500.0,10.2,0.9,16650.0,1350.0,0.0811,False,01_渋谷店_仕入_202401.csv
2024-01-22,渋谷店,DY-002,バター(250g),乳製品・卵,2.8,450.0,2.1,0.7,1260.0,315.0,0.25,False,01_渋谷店_仕入_202401.csv
2024-01-22,渋谷店,DY-002,バター(250g),乳製品・卵,6.5,450.0,5.5,1.0,2925.0,450.0,0.1538,False,01_渋谷店_仕入_202401.csv
2024-01-22,渋谷店,VG-001,キャベツ,野菜・果物,2.9,120.0,2.3,0.6,348.0,72.0,0.2069,False,01_渋谷店_仕入_202401.csv
2024-01-22,渋谷店,VG-002,にんじん,野菜・果物,3.8,180.0,2.7,1.1,684.0,198.0,0.2895,False,01_渋谷店_仕入_202401.csv
2024-01-22,渋谷店,VG-001,キャベツ,野菜・果物,3.8,120.0,3.5,0.3,456.0,36.0,0.0789,False,01_渋谷店_仕入_202401.csv
2024-01-22,渋谷店,FS-001,鮭,魚介類,19.6,1500.0,17.6,2.0,29400.0,3000.0,0.102,False,01_渋谷店_仕入_202401.csv
2024-01-23,渋谷店,DY-002,バター(250g),乳製品・卵,13.6,450.0,12.2,1.4,6120.0,630.0,0.1029,False,01_渋谷店_仕入_202401.csv
2024-01-23,渋谷店,FS-004,アジ,魚介類,11.6,800.0,9.6,2.0,9280.0,1600.0,0.1724,False,01_渋谷店_仕入_202401.csv
2024-01-23,渋谷店,MT-002,豚バラ,肉類,10.3,1200.0,8.2,2.1,12360.0,2520.0,0.2039,False,01_渋谷店_仕入_202401.csv
2024-01-23,渋谷店,DY-004,チーズ(kg),乳製品・卵,6.8,1800.0,5.0,1.8,12240.0,3240.0,0.2647,False,01_渋谷店_仕入_202401.csv
2024-01-23,渋谷店,MT-004,鶏むね肉,肉類,9.5,600.0,7.2,2.3,5700.0,1380.0,0.2421,False,01_渋谷店_仕入_202401.csv
2024-01-23,渋谷店,SE-002,サラダ油(L),調味料・油,8.6,350.0,6.7,1.9,3010.0,665.0,0.2209,False,01_渋谷店_仕入_202401.csv
2024-01-24,渋谷店,VG-001,キャベツ,野菜・果物,14.3,120.0,11.1,3.2,1716.0,384.0,0.2238,False,01_渋谷店_仕入_202401.csv
2024-01-24,渋谷店,SE-003,みりん(L),調味料・油,18.5,600.0,15.2,3.3,11100.0,1980.0,0.1784,False,01_渋谷店_仕入_202401.csv
2024-01-24,渋谷店,SE-004,塩(kg),調味料・油,11.6,200.0,10.6,1.0,2320.0,200.0,0.0862,False,01_渋谷店_仕入_202401.csv
2024-01-24,渋谷店,SE-001,醤油(L),調味料・油,16.5,400.0,13.7,2.8,6600.0,1120.0,0.1697,False,01_渋谷店_仕入_202401.csv
2024-01-24,渋谷店,VG-001,キャベツ,野菜・果物,7.2,120.0,6.4,0.8,864.0,96.0,0.1111,False,01_渋谷店_仕入_202401.csv
2024-01-24,渋谷店,SE-003,みりん(L),調味料・油,14.5,600.0,13.3,1.2,8700.0,720.0,0.0828,False,01_渋谷店_仕入_202401.csv
2024-01-25,渋谷店,VG-002,にんじん,野菜・果物,13.1,180.0,9.5,3.6,2358.0,648.0,0.2748,False,01_渋谷店_仕入_202401.csv
2024-01-25,渋谷店,MT-002,豚バラ,肉類,3.5,1200.0,3.3,0.2,4200.0,240.0,0.0571,False,01_渋谷店_仕入_202401.csv
2024-01-25,渋谷店,DY-004,チーズ(kg),乳製品・卵,19.3,1800.0,17.4,1.9,34740.0,3420.0,0.0984,False,01_渋谷店_仕入_202401.csv
2024-01-25,渋谷店,MT-004,鶏むね肉,肉類,16.1,600.0,14.5,1.6,9660.0,960.0,0.0994,False,01_渋谷店_仕入_202401.csv
2024-01-25,渋谷店,MT-003,牛切り落とし,肉類,6.6,2000.0,5.0,1.6,13200.0,3200.0,0.2424,False,01_渋谷店_仕入_202401.csv
2024-01-25,渋谷店,SE-002,サラダ油(L),調味料・油,5.1,350.0,4.3,0.8,1785.0,280.0,0.1569,False,01_渋谷店_仕入_202401.csv
2024-01-26,渋谷店,VG-004,トマト,野菜・果物,10.4,300.0,8.6,1.8,3120.0,540.0,0.1731,False,01_渋谷店_仕入_202401.csv
2024-01-26,渋谷店,DY-001,牛乳(L),乳製品・卵,16.4,200.0,13.5,2.9,3280.0,580.0,0.1768,False,01_渋谷店_仕入_202401.csv
2024-01-26,渋谷店,VG-005,レタス,野菜・果物,18.8,200.0,13.7,5.1,3760.0,1020.0,0.2713,False,01_渋谷店_仕入_202401.csv
2024-01-26,渋谷店,VG-001,キャベツ,野菜・果物,3.6,120.0,3.1,0.5,432.0,60.0,0.1389,False,01_渋谷店_仕入_202401.csv
2024-01-26,渋谷店,MT-002,豚バラ,肉類,15.9,1200.0,13.8,2.1,19080.0,2520.0,0.1321,False,01_渋谷店_仕入_202401.csv
2024-01-26,渋谷店,SE-004,塩(kg),調味料・油,18.2,200.0,16.2,2.0,3640.0,400.0,0.1099,False,01_渋谷店_仕入_202401.csv
2024-01-29,渋谷店,SE-002,サラダ油(L),調味料・油,8.6,350.0,6.7,1.9,3010.0,665.0,0.2209,False,01_渋谷店_仕入_202401.csv
2024-01-29,渋谷店,SE-001,醤油(L),調味料・油,4.7,400.0,4.4,0.3,1880.0,120.0,0.0638,False,01_渋谷店_仕入_202401.csv
2024-01-29,渋谷店,MT-004,鶏むね肉,肉類,8.9,600.0,7.9,1.0,5340.0,600.0,0.1124,False,01_渋谷店_仕入_202401.csv
2024-01-29,渋谷店,VG-004,トマト,野菜・果物,18.9,300.0,16.9,2.0,5670.0,600.0,0.1058,False,01_渋谷店_仕入_202401.csv
2024-01-29,渋谷店,FS-004,アジ,魚介類,8.8,800.0,8.3,0.5,7040.0,400.0,0.0568,False,01_渋谷店_仕入_202401.csv
2024-01-29,渋谷店,FS-004,アジ,魚介類,19.1,800.0,13.9,5.2,15280.0,4160.0,0.2723,False,01_渋谷店_仕入_202401.csv
2024-01-30,渋谷店,DY-004,チーズ(kg),乳製品・卵,13.5,1800.0,9.9,3.6,24300.0,6480.0,0.2667,False,01_渋谷店_仕入_202401.csv
2024-01-30,渋谷店,MT-002,豚バラ,肉類,14.3,1200.0,10.1,4.2,17160.0,5040.0,0.2937,False,01_渋谷店_仕入_202401.csv
2024-01-30,渋谷店,FS-002,エビ,魚介類,16.9,2500.0,13.1,3.8,42250.0,9500.0,0.2249,False,01_渋谷店_仕入_202401.csv
2024-01-30,渋谷店,VG-005,レタス,野菜・果物,10.0,200.0,7.8,2.2,2000.0,440.0,0.22,False,01_渋谷店_仕入_202401.csv
2024-01-30,渋谷店,DY-001,牛乳(L),乳製品・卵,16.1,200.0,11.7,4.4,3220.0,880.0,0.2733,False,01_渋谷店_仕入_202401.csv
2024-01-30,渋谷店,FS-001,鮭,魚介類,17.8,1500.0,13.7,4.1,26700.0,6150.0,0.2303,False,01_渋谷店_仕入_202401.csv
2024-01-31,渋谷店,VG-005,レタス,野菜・果物,3.9,200.0,3.7,0.2,780.0,40.0,0.0513,False,01_渋谷店_仕入_202401.csv
2024-01-31,渋谷店,SE-002,サラダ油(L),調味料・油,13.7,350.0,9.9,3.8,4795.0,1330.0,0.2774,False,01_渋谷店_仕入_202401.csv
2024-01-31,渋谷店,VG-005,レタス,野菜・果物,2.5,200.0,1.9,0.6,500.0,120.0,0.24,False,01_渋谷店_仕入_202401.csv
2024-01-31,渋谷店,VG-002,にんじん,野菜・果物,16.0,180.0,12.0,4.0,2880.0,720.0,0.25,False,01_渋谷店_仕入_202401.csv
2024-01-31,渋谷店,VG-005,レタス,野菜・果物,13.8,200.0,11.6,2.2,2760.0,440.0,0.1594,False,01_渋谷店_仕入_202401.csv
2024-01-31,渋谷店,VG-002,にんじん,野菜・果物,12.9,180.0,11.6,1.3,2322.0,234.0,0.1008,False,01_渋谷店_仕入_202401.csv
2024-01-01,新宿店,SE-001,醤油(L),調味料・油,17.3,400.0,12.4,4.9,6920.0,1960.0,0.2832,False,02_新宿店_cost_202401.csv
2024-01-01,新宿店,DY-002,バター(250g),乳製品・卵,18.7,450.0,16.7,2.0,8415.0,900.0,0.107,False,02_新宿店_cost_202401.csv
2024-01-01,新宿店,DY-001,牛乳(L),乳製品・卵,17.1,200.0,12.1,5.0,3420.0,1000.0,0.2924,False,02_新宿店_cost_202401.csv
2024-01-01,新宿店,DY-001,牛乳(L),乳製品・卵,4.2,200.0,3.5,0.7,840.0,140.0,0.1667,False,02_新宿店_cost_202401.csv
2024-01-01,新宿店,SE-003,みりん(L),調味料・油,13.3,600.0,12.1,1.2,7980.0,720.0,0.0902,False,02_新宿店_cost_202401.csv
2024-01-02,新宿店,FS-002,エビ,魚介類,15.2,2500.0,11.4,3.8,38000.0,9500.0,0.25,False,02_新宿店_cost_202401.csv
2024-01-02,新宿店,FS-002,エビ,魚介類,14.8,2500.0,14.0,0.8,37000.0,2000.0,0.0541,False,02_新宿店_cost_202401.csv
2024-01-02,新宿店,FS-004,アジ,魚介類,3.0,800.0,2.2,0.8,2400.0,640.0,0.2667,False,02_新宿店_cost_202401.csv
2024-01-02,新宿店,MT-003,牛切り落とし,肉類,14.8,2000.0,12.2,2.6,29600.0,5200.0,0.1757,False,02_新宿店_cost_202401.csv
2024-01-02,新宿店,SE-003,みりん(L),調味料・油,19.6,600.0,16.0,3.6,11760.0,2160.0,0.1837,False,02_新宿店_cost_202401.csv
2024-01-03,新宿店,VG-001,キャベツ,野菜・果物,13.5,120.0,11.4,2.1,1620.0,252.0,0.1556,False,02_新宿店_cost_202401.csv
2024-01-03,新宿店,SE-001,醤油(L),調味料・油,19.0,400.0,14.7,4.3,7600.0,1720.0,0.2263,False,02_新宿店_cost_202401.csv
2024-01-03,新宿店,VG-005,レタス,野菜・果物,14.6,200.0,12.6,2.0,2920.0,400.0,0.137,False,02_新宿店_cost_202401.csv
2024-01-03,新宿店,MT-003,牛切り落とし,肉類,4.7,2000.0,3.9,0.8,9400.0,1600.0,0.1702,False,02_新宿店_cost_202401.csv
2024-01-03,新宿店,MT-003,牛切り落とし,肉類,10.5,2000.0,7.7,2.8,21000.0,5600.0,0.2667,False,02_新宿店_cost_202401.csv
2024-01-04,新宿店,VG-002,にんじん,野菜・果物,7.0,180.0,5.4,1.6,1260.0,288.0,0.2286,False,02_新宿店_cost_202401.csv
2024-01-04,新宿店,FS-003,イカ,魚介類,13.0,1200.0,11.2,1.8,15600.0,2160.0,0.1385,False,02_新宿店_cost_202401.csv
2024-01-04,新宿店,MT-004,鶏むね肉,肉類,9.4,600.0,7.1,2.3,5640.0,1380.0,0.2447,False,02_新宿店_cost_202401.csv
2024-01-04,新宿店,DY-003,卵(10個),乳製品・卵,7.7,250.0,5.5,2.2,1925.0,550.0,0.2857,False,02_新宿店_cost_202401.csv
2024-01-04,新宿店,DY-001,牛乳(L),乳製品・卵,10.5,200.0,7.9,2.6,2100.0,520.0,0.2476,False,02_新宿店_cost_202401.csv
2024-01-05,新宿店,DY-003,卵(10個),乳製品・卵,12.2,250.0,10.7,1.5,3050.0,375.0,0.123,False,02_新宿店_cost_202401.csv
2024-01-05,新宿店,VG-002,にんじん,野菜・果物,13.7,180.0,10.7,3.0,2466.0,540.0,0.219,False,02_新宿店_cost_202401.csv
2024-01-05,新宿店,FS-001,鮭,魚介類,11.9,1500.0,9.6,2.3,17850.0,3450.0,0.1933,False,02_新宿店_cost_202401.csv
2024-01-05,新宿店,VG-005,レタス,野菜・果物,8.5,200.0,7.0,1.5,1700.0,300.0,0.1765,False,02_新宿店_cost_202401.csv
2024-01-05,新宿店,MT-003,牛切り落とし,肉類,18.0,2000.0,16.7,1.3,36000.0,2600.0,0.0722,False,02_新宿店_cost_202401.csv
2024-01-08,新宿店,FS-002,エビ,魚介類,11.4,2500.0,10.3,1.1,28500.0,2750.0,0.0965,False,02_新宿店_cost_202401.csv
2024-01-08,新宿店,FS-002,エビ,魚介類,17.1,2500.0,14.1,3.0,42750.0,7500.0,0.1754,False,02_新宿店_cost_202401.csv
2024-01-08,新宿店,FS-004,アジ,魚介類,3.3,800.0,2.7,0.6,2640.0,480.0,0.1818,False,02_新宿店_cost_202401.csv
2024-01-08,新宿店,FS-001,鮭,魚介類,8.0,1500.0,5.9,2.1,12000.0,3150.0,0.2625,False,02_新宿店_cost_202401.csv
2024-01-08,新宿店,VG-004,トマト,野菜・果物,15.4,300.0,10.8,4.6,4620.0,1380.0,0.2987,False,02_新宿店_cost_202401.csv
2024-01-09,新宿店,FS-001,鮭,魚介類,17.4,1500.0,13.8,3.6,26100.0,5400.0,0.2069,False,02_新宿店_cost_202401.csv
2024-01-09,新宿店,VG-003,玉ねぎ,野菜・果物,12.8,150.0,9.3,3.5,1920.0,525.0,0.2734,False,02_新宿店_cost_202401.csv
2024-01-09,新宿店,MT-003,牛切り落とし,肉類,19.3,2000.0,18.3,1.0,38600.0,2000.0,0.0518,False,02_新宿店_cost_202401.csv
2024-01-09,新宿店,MT-004,鶏むね肉,肉類,7.6,600.0,6.6,1.0,4560.0,600.0,0.1316,False,02_新宿店_cost_202401.csv
2024-01-09,新宿店,DY-004,チーズ(kg),乳製品・卵,9.0,1800.0,7.4,1.6,16200.0,2880.0,0.1778,False,02_新宿店_cost_202401.csv
