日付,管理番号,作業者ID,作業種別,栽培品目,勤務時間,計画量,収穫量,達成フラグ
2024/01/15,AGR-0369,STAFF-08,施肥,レタス,6.4,484,416,0
2024/01/19,AGR-0370,STAFF-07,播種,ホウレンソウ,4.4,352,362,1
2024/01/03,AGR-0371,STAFF-05,施肥,イチゴ,7.7,749,519,0
2024/01/13,AGR-0372,STAFF-06,収穫,トマト,2.7,415,360,0
2024/01/09,AGR-0373,STAFF-02,施肥,トマト,3.5,559,522,0
2024/01/17,AGR-0374,STAFF-07,播種,トマト,2.7,667,437,0
2024/01/20,AGR-0375,STAFF-06,管理作業,トマト,4.3,497,531,1
2024/01/18,AGR-0376,STAFF-04,施肥,イチゴ,3.4,375,293,0
2024/01/16,AGR-0377,STAFF-03,播種,キュウリ,5.5,531,414,0
2024/01/03,AGR-0378,STAFF-06,収穫,キュウリ,7.8,607,580,0
2024/01/07,AGR-0379,STAFF-08,播種,キュウリ,4.4,505,404,0
2024/01/20,AGR-0380,STAFF-07,収穫,イチゴ,4.7,935,1023,1
2024/01/20,AGR-0381,STAFF-03,収穫,レタス,6.8,811,584,0
2024/01/11,AGR-0382,STAFF-03,管理作業,レタス,4.3,811,795,0
2024/01/19,AGR-0383,STAFF-04,収穫,イチゴ,4.2,904,756,0
2024/01/04,AGR-0384,STAFF-10,施肥,ホウレンソウ,10.0,284,287,1
2024/01/18,AGR-0385,STAFF-01,管理作業,キュウリ,5.5,398,437,1
2024/01/03,AGR-0386,STAFF-07,管理作業,キュウリ,7.1,347,261,0
2024/01/05,AGR-0387,STAFF-07,管理作業,トマト,5.6,712,632,0
2024/01/13,AGR-0388,STAFF-09,管理作業,ホウレンソウ,2.3,468,478,1
2024/01/18,AGR-0389,STAFF-10,播種,トマト,8.2,773,772,0
2024/01/06,AGR-0390,STAFF-10,播種,ホウレンソウ,9.9,793,784,0
2024/01/11,AGR-0391,STAFF-07,播種,トマト,2.8,327,296,0
2024/01/17,AGR-0392,STAFF-09,施肥,イチゴ,5.0,574,610,1
2024/01/19,AGR-0393,STAFF-09,施肥,レタス,10.0,594,394,0
2024/01/14,AGR-0394,STAFF-02,播種,キュウリ,4.8,451,394,0
2024/01/07,AGR-0395,STAFF-09,管理作業,レタス,5.8,548,566,1
2024/01/15,AGR-0396,STAFF-06,播種,レタス,2.4,827,553,0
2024/01/11,AGR-0397,STAFF-02,施肥,キュウリ,6.1,665,463,0
2024/01/18,AGR-0398,STAFF-07,管理作業,キュウリ,8.4,744,529,0
2024/01/14,AGR-0399,STAFF-07,播種,ホウレンソウ,9.1,560,535,0
2024/01/13,AGR-0400,STAFF-01,施肥,キュウリ,4.2,820,890,1
2024/01/03,AGR-0401,STAFF-10,播種,ホウレンソウ,3.5,433,311,0
2024/01/04,AGR-0402,STAFF-05,管理作業,ホウレンソウ,9.7,420,402,0
2024/01/20,AGR-0403,STAFF-07,播種,レタス,4.8,568,551,0
2024/01/10,AGR-0404,STAFF-10,播種,キュウリ,4.5,344,269,0
2024/01/06,AGR-0405,STAFF-06,施肥,ホウレンソウ,5.1,710,485,0
2024/01/13,AGR-0406,STAFF-07,施肥,イチゴ,7.1,810,933,1
2024/01/06,AGR-0407,STAFF-09,施肥,イチゴ,4.3,291,230,0
2024/01/15,AGR-0408,STAFF-10,播種,レタス,9.6,596,406,0
2024/01/13,AGR-0409,STAFF-09,管理作業,イチゴ,7.5,525,539,1
2024/01/15,AGR-0410,STAFF-08,施肥,トマト,6.5,914,966,1
2024/01/10,AGR-0411,STAFF-01,収穫,キュウリ,6.3,272,291,1
2024/01/19,AGR-0412,STAFF-08,播種,ホウレンソウ,2.9,893,827,0
2024/01/12,AGR-0413,STAFF-09,播種,イチゴ,6.4,535,354,0
2024/01/08,AGR-0414,STAFF-05,播種,イチゴ,4.1,982,1070,1
2024/01/15,AGR-0415,STAFF-02,施肥,キュウリ,8.5,702,711,1
2024/01/20,AGR-0416,STAFF-07,施肥,ホウレンソウ,3.1,311,338,1
2024/01/02,AGR-0417,STAFF-10,収穫,ホウレンソウ,4.2,651,456,0
2024/01/10,AGR-0418,STAFF-05,収穫,ホウレンソウ,9.9,795,866,1
2024/01/05,AGR-0419,STAFF-07,播種,レタス,8.9,229,234,1
2024/01/05,AGR-0420,STAFF-04,施肥,レタス,8.6,879,972,1
2024/01/13,AGR-0421,STAFF-08,施肥,ホウレンソウ,7.1,742,630,0
2024/01/15,AGR-0422,STAFF-02,播種,イチゴ,6.1,384,390,1
2024/01/12,AGR-0423,STAFF-08,管理作業,レタス,6.7,989,1053,1
2024/01/03,AGR-0424,STAFF-08,収穫,トマト,8.4,507,370,0
2024/01/14,AGR-0425,STAFF-04,管理作業,レタス,4.6,390,313,0
2024/01/19,AGR-0426,STAFF-03,管理作業,レタス,9.2,880,554,0
2024/01/04,AGR-0427,STAFF-08,播種,トマト,9.4,261,226,0
2024/01/01,AGR-0428,STAFF-07,施肥,キュウリ,9.1,409,284,0
2024/01/09,AGR-0429,STAFF-02,収穫,レタス,2.7,780,891,1
2024/01/06,AGR-0430,STAFF-01,管理作業,レタス,7.8,873,646,0
2024/01/03,AGR-0431,STAFF-02,播種,キュウリ,5.8,235,225,0
2024/01/17,AGR-0432,STAFF-08,播種,トマト,7.6,936,629,0
2024/01/14,AGR-0433,STAFF-03,管理作業,トマト,3.8,191,198,1
2024/01/04,AGR-0434,STAFF-02,収穫,レタス,9.0,240,199,0
2024/01/05,AGR-0435,STAFF-03,播種,ホウレンソウ,6.5,724,717,0
2024/01/15,AGR-0436,STAFF-06,施肥,キュウリ,9.4,730,739,1
2024/01/07,AGR-0437,STAFF-02,播種,キュウリ,8.0,703,730,1
2024/01/12,AGR-0438,STAFF-07,収穫,キュウリ,4.0,760,494,0
2024/01/18,AGR-0439,STAFF-10,収穫,トマト,8.8,774,871,1
2024/01/07,AGR-0440,STAFF-09,施肥,イチゴ,4.4,155,166,1
2024/01/08,AGR-0441,STAFF-08,管理作業,トマト,3.9,753,720,0
2024/01/17,AGR-0442,STAFF-01,収穫,レタス,3.1,981,1082,1
2024/01/14,AGR-0443,STAFF-06,施肥,イチゴ,9.6,888,572,0
2024/01/19,AGR-0444,STAFF-02,播種,レタス,3.7,161,188,1
2024/01/13,AGR-0445,STAFF-09,収穫,ホウレンソウ,8.1,533,544,1
2024/01/03,AGR-0446,STAFF-09,施肥,レタス,2.7,180,163,0
2024/01/07,AGR-0447,STAFF-03,収穫,イチゴ,6.7,881,970,1
2024/01/03,AGR-0448,STAFF-05,管理作業,キュウリ,2.5,188,217,1
2024/01/04,AGR-0449,STAFF-08,播種,レタス,7.3,773,807,1
2024/01/04,AGR-0450,STAFF-01,施肥,トマト,3.3,455,416,0
2024/01/09,AGR-0451,STAFF-03,収穫,キュウリ,8.0,994,757,0
2024/01/04,AGR-0452,STAFF-01,収穫,イチゴ,4.2,165,125,0
2024/01/19,AGR-0453,STAFF-02,管理作業,イチゴ,6.1,156,140,0
2024/01/19,AGR-0454,STAFF-03,収穫,キュウリ,4.0,205,233,1
2024/01/04,AGR-0455,STAFF-04,播種,トマト,8.9,112,84,0
2024/01/16,AGR-0456,STAFF-06,管理作業,キュウリ,3.4,978,608,0
2024/01/14,AGR-0457,STAFF-04,収穫,キュウリ,5.3,837,663,0
2024/01/03,AGR-0458,STAFF-10,収穫,トマト,6.0,153,108,0
2024/01/17,AGR-0459,STAFF-01,管理作業,トマト,9.0,986,759,0
2024/01/10,AGR-0460,STAFF-06,播種,ホウレンソウ,5.7,477,344,0
2024/01/19,AGR-0461,STAFF-05,施肥,イチゴ,4.9,605,725,1
2024/01/07,AGR-0462,STAFF-09,施肥,キュウリ,2.1,519,319,0
2024/01/18,AGR-0463,STAFF-06,播種,レタス,2.0,773,638,0
2024/01/10,AGR-0464,STAFF-02,施肥,ホウレンソウ,9.9,529,474,0
2024/01/02,AGR-0465,STAFF-03,収穫,トマト,2.4,337,384,1
2024/01/17,AGR-0466,STAFF-07,収穫,イチゴ,9.8,186,176,0
2024/01/17,AGR-0467,STAFF-03,管理作業,トマト,6.7,163,140,0
2024/01/05,AGR-0468,STAFF-04,収穫,レタス,8.8,920,769,0
2024/01/11,AGR-0469,STAFF-06,管理作業,レタス,3.9,307,209,0
2024/01/19,AGR-0470,STAFF-02,施肥,トマト,3.3,577,455,0
2024/01/04,AGR-0471,STAFF-09,収穫,キュウリ,5.6,574,436,0
2024/01/04,AGR-0472,STAFF-02,施肥,レタス,8.6,813,782,0
2024/01/07,AGR-0473,STAFF-06,施肥,トマト,7.7,464,389,0
2024/01/02,AGR-0474,STAFF-05,収穫,キュウリ,2.2,514,572,1
2024/01/18,AGR-0475,STAFF-09,施肥,トマト,5.7,923,993,1
2024/01/04,AGR-0476,STAFF-01,播種,キュウリ,3.0,943,792,0
2024/01/03,AGR-0477,STAFF-10,収穫,トマト,2.2,166,119,0
2024/01/15,AGR-0478,STAFF-03,播種,レタス,3.0,572,361,0
2024/01/19,AGR-0479,STAFF-07,管理作業,イチゴ,2.2,799,684,0
2024/01/12,AGR-0480,STAFF-04,施肥,レタス,4.2,252,156,0
