WorkDate,RecordID,StaffID,WorkType,Crop,WorkHours,TargetQty,ActualQty,IsTargetMet
2024-01-16,AGR-0235,STAFF-10,播種,ホウレンソウ,6.6,835,573,0
2024-01-14,AGR-0236,STAFF-01,収穫,キュウリ,6.6,291,291,1
2024-01-03,AGR-0237,STAFF-09,収穫,トマト,9.6,657,594,0
2024-01-17,AGR-0238,STAFF-09,播種,イチゴ,9.0,144,141,0
2024-01-12,AGR-0239,STAFF-05,播種,レタス,8.3,453,337,0
2024-01-04,AGR-0240,STAFF-10,収穫,キュウリ,2.4,659,529,0
2024-01-06,AGR-0241,STAFF-08,管理作業,キュウリ,8.5,164,169,1
2024-01-15,AGR-0242,STAFF-01,収穫,キュウリ,2.4,304,344,1
2024-01-11,AGR-0243,STAFF-05,管理作業,ホウレンソウ,5.8,137,144,1
2024-01-07,AGR-0244,STAFF-05,収穫,トマト,8.9,439,335,0
2024-01-12,AGR-0245,STAFF-07,管理作業,イチゴ,9.2,495,398,0
2024-01-06,AGR-0246,STAFF-08,管理作業,レタス,9.4,631,480,0
2024-01-03,AGR-0247,STAFF-07,播種,イチゴ,6.8,942,667,0
2024-01-10,AGR-0248,STAFF-06,播種,トマト,4.6,402,315,0
2024-01-20,AGR-0249,STAFF-07,施肥,イチゴ,4.8,143,148,1
2024-01-12,AGR-0250,STAFF-10,管理作業,レタス,7.1,910,1064,1
2024-01-03,AGR-0251,STAFF-07,収穫,ホウレンソウ,8.4,795,553,0
2024-01-01,AGR-0252,STAFF-03,管理作業,トマト,3.0,341,364,1
2024-01-12,AGR-0253,STAFF-06,管理作業,ホウレンソウ,2.3,257,259,1
2024-01-12,AGR-0254,STAFF-06,管理作業,トマト,6.6,642,527,0
2024-01-11,AGR-0255,STAFF-05,施肥,トマト,2.2,290,261,0
2024-01-13,AGR-0256,STAFF-09,播種,レタス,8.2,820,712,0
2024-01-20,AGR-0257,STAFF-05,管理作業,キュウリ,3.0,973,627,0
2024-01-06,AGR-0258,STAFF-08,播種,レタス,7.3,826,528,0
2024-01-18,AGR-0259,STAFF-05,収穫,キュウリ,7.7,817,803,0
2024-01-12,AGR-0260,STAFF-09,施肥,トマト,9.9,911,623,0
2024-01-16,AGR-0261,STAFF-01,収穫,ホウレンソウ,6.6,578,626,1
2024-01-18,AGR-0262,STAFF-03,播種,トマト,4.5,834,860,1
2024-01-17,AGR-0263,STAFF-07,管理作業,ホウレンソウ,2.6,424,418,0
2024-01-15,AGR-0264,STAFF-08,収穫,キュウリ,9.0,898,836,0
2024-01-19,AGR-0265,STAFF-03,施肥,イチゴ,6.0,989,626,0
2024-01-04,AGR-0266,STAFF-09,施肥,レタス,3.3,430,499,1
2024-01-08,AGR-0267,STAFF-06,収穫,トマト,4.0,750,880,1
2024-01-09,AGR-0268,STAFF-03,収穫,ホウレンソウ,6.3,614,605,0
2024-01-19,AGR-0269,STAFF-10,施肥,キュウリ,7.3,837,955,1
2024-01-11,AGR-0270,STAFF-10,播種,トマト,2.6,756,803,1
2024-01-09,AGR-0271,STAFF-04,管理作業,ホウレンソウ,7.1,609,690,1
2024-01-18,AGR-0272,STAFF-05,収穫,イチゴ,4.0,926,936,1
2024-01-10,AGR-0273,STAFF-08,播種,トマト,3.3,525,468,0
2024-01-07,AGR-0274,STAFF-06,施肥,レタス,8.9,426,443,1
2024-01-12,AGR-0275,STAFF-07,施肥,レタス,6.1,208,165,0
2024-01-15,AGR-0276,STAFF-02,収穫,イチゴ,4.0,199,125,0
2024-01-13,AGR-0277,STAFF-10,管理作業,キュウリ,9.7,263,286,1
2024-01-19,AGR-0278,STAFF-06,施肥,キュウリ,6.0,627,552,0
2024-01-10,AGR-0279,STAFF-08,播種,トマト,9.6,617,539,0
2024-01-08,AGR-0280,STAFF-04,収穫,トマト,2.4,606,581,0
2024-01-16,AGR-0281,STAFF-05,播種,トマト,5.4,370,384,1
2024-01-13,AGR-0282,STAFF-06,播種,イチゴ,2.4,675,484,0
2024-01-18,AGR-0283,STAFF-05,播種,イチゴ,6.0,882,820,0
2024-01-20,AGR-0284,STAFF-10,播種,キュウリ,9.8,503,414,0
2024-01-11,AGR-0285,STAFF-09,収穫,キュウリ,3.6,621,522,0
2024-01-02,AGR-0286,STAFF-01,播種,キュウリ,7.7,923,816,0
2024-01-15,AGR-0287,STAFF-03,施肥,レタス,9.5,426,297,0
2024-01-20,AGR-0288,STAFF-05,収穫,ホウレンソウ,8.6,645,577,0
2024-01-19,AGR-0289,STAFF-05,管理作業,トマト,4.9,789,525,0
2024-01-14,AGR-0290,STAFF-10,収穫,トマト,6.8,371,438,1
2024-01-19,AGR-0291,STAFF-10,施肥,トマト,6.7,274,251,0
2024-01-20,AGR-0292,STAFF-07,施肥,キュウリ,2.3,817,544,0
2024-01-01,AGR-0293,STAFF-08,収穫,イチゴ,3.2,807,583,0
2024-01-17,AGR-0294,STAFF-10,管理作業,トマト,7.6,631,457,0
2024-01-11,AGR-0295,STAFF-08,管理作業,レタス,9.7,570,654,1
2024-01-11,AGR-0296,STAFF-09,収穫,レタス,6.9,296,348,1
2024-01-09,AGR-0297,STAFF-09,収穫,キュウリ,9.5,404,429,1
2024-01-07,AGR-0298,STAFF-08,収穫,イチゴ,4.8,914,944,1
2024-01-10,AGR-0299,STAFF-02,管理作業,イチゴ,8.5,891,965,1
2024-01-10,AGR-0300,STAFF-01,収穫,トマト,4.8,552,548,0
2024-01-16,AGR-0301,STAFF-04,施肥,ホウレンソウ,4.2,675,687,1
2024-01-05,AGR-0302,STAFF-02,施肥,キュウリ,2.4,643,473,0
2024-01-08,AGR-0303,STAFF-01,播種,イチゴ,4.6,583,385,0
2024-01-05,AGR-0304,STAFF-01,施肥,イチゴ,7.2,999,885,0
2024-01-07,AGR-0305,STAFF-05,収穫,レタス,7.2,887,580,0
2024-01-19,AGR-0306,STAFF-04,播種,キュウリ,5.3,957,675,0
2024-01-02,AGR-0307,STAFF-07,管理作業,キュウリ,9.5,993,1148,1
2024-01-02,AGR-0308,STAFF-01,収穫,ホウレンソウ,6.8,443,341,0
2024-01-18,AGR-0309,STAFF-09,管理作業,キュウリ,8.8,579,442,0
2024-01-04,AGR-0310,STAFF-06,施肥,イチゴ,7.2,835,594,0
2024-01-11,AGR-0311,STAFF-05,施肥,キュウリ,6.9,754,858,1
2024-01-14,AGR-0312,STAFF-09,収穫,トマト,5.2,197,140,0
2024-01-05,AGR-0313,STAFF-08,収穫,キュウリ,2.1,492,365,0
2024-01-09,AGR-0314,STAFF-06,収穫,ホウレンソウ,7.8,111,84,0
2024-01-12,AGR-0315,STAFF-04,播種,トマト,5.7,263,222,0
2024-01-17,AGR-0316,STAFF-05,播種,レタス,4.9,326,238,0
2024-01-05,AGR-0317,STAFF-08,施肥,イチゴ,8.0,720,593,0
2024-01-18,AGR-0318,STAFF-08,施肥,キュウリ,7.4,710,798,1
2024-01-03,AGR-0319,STAFF-09,管理作業,ホウレンソウ,7.6,179,206,1
2024-01-04,AGR-0320,STAFF-01,施肥,ホウレンソウ,6.3,268,214,0
