作業日,記録ID,スタッフID,作業区分,作物,作業時間,目標数量,実績数量,目標達成
2024/01/18,AGR-0103,STAFF-06,収穫,イチゴ,4.2,357,264,0
2024/01/07,AGR-0104,STAFF-06,播種,ホウレンソウ,9.6,806,573,0
2024/01/07,AGR-0105,STAFF-08,収穫,ホウレンソウ,9.8,637,610,0
2024/01/04,AGR-0106,STAFF-04,収穫,キュウリ,4.9,409,249,0
2024/01/18,AGR-0107,STAFF-03,収穫,トマト,9.8,666,516,0
2024/01/05,AGR-0108,STAFF-08,播種,トマト,6.6,580,515,0
2024/01/11,AGR-0109,STAFF-03,播種,レタス,9.5,589,394,0
2024/01/03,AGR-0110,STAFF-07,管理作業,トマト,6.6,802,507,0
2024/01/05,AGR-0111,STAFF-10,収穫,トマト,10.0,221,207,0
2024/01/14,AGR-0112,STAFF-10,施肥,ホウレンソウ,5.0,553,430,0
2024/01/19,AGR-0113,STAFF-07,収穫,ホウレンソウ,7.0,724,851,1
2024/01/04,AGR-0114,STAFF-04,施肥,レタス,7.3,260,193,0
2024/01/18,AGR-0115,STAFF-02,施肥,トマト,5.3,805,770,0
2024/01/10,AGR-0116,STAFF-01,施肥,レタス,7.7,819,914,1
2024/01/03,AGR-0117,STAFF-04,収穫,ホウレンソウ,7.3,302,258,0
2024/01/18,AGR-0118,STAFF-04,施肥,レタス,8.6,173,110,0
2024/01/10,AGR-0119,STAFF-10,収穫,イチゴ,3.0,805,630,0
2024/01/13,AGR-0120,STAFF-05,管理作業,イチゴ,2.6,140,159,1
2024/01/11,AGR-0121,STAFF-10,収穫,トマト,2.7,790,870,1
2024/01/19,AGR-0122,STAFF-10,播種,レタス,6.6,881,928,1
2024/01/16,AGR-0123,STAFF-09,管理作業,レタス,3.5,699,602,0
2024/01/16,AGR-0124,STAFF-02,管理作業,レタス,5.3,428,429,1
2024/01/06,AGR-0125,STAFF-06,管理作業,イチゴ,4.3,510,555,1
2024/01/18,AGR-0126,STAFF-01,管理作業,トマト,4.5,431,289,0
2024/01/13,AGR-0127,STAFF-09,播種,ホウレンソウ,5.7,155,110,0
2024/01/12,AGR-0128,STAFF-10,管理作業,イチゴ,8.1,308,234,0
2024/01/05,AGR-0129,STAFF-05,管理作業,イチゴ,3.0,745,719,0
2024/01/08,AGR-0130,STAFF-03,収穫,ホウレンソウ,2.1,517,339,0
2024/01/04,AGR-0131,STAFF-08,播種,キュウリ,6.0,833,646,0
2024/01/09,AGR-0132,STAFF-07,管理作業,イチゴ,3.9,664,456,0
2024/01/07,AGR-0133,STAFF-10,施肥,トマト,4.2,908,1010,1
2024/01/11,AGR-0134,STAFF-09,収穫,トマト,4.3,405,447,1
2024/01/19,AGR-0135,STAFF-08,施肥,イチゴ,6.3,453,362,0
2024/01/18,AGR-0136,STAFF-07,管理作業,レタス,9.0,814,605,0
2024/01/13,AGR-0137,STAFF-04,管理作業,トマト,4.5,584,598,1
2024/01/13,AGR-0138,STAFF-07,施肥,イチゴ,9.7,229,206,0
2024/01/19,AGR-0139,STAFF-06,播種,イチゴ,2.8,567,345,0
2024/01/05,AGR-0140,STAFF-07,施肥,トマト,5.8,371,298,0
2024/01/13,AGR-0141,STAFF-02,収穫,ホウレンソウ,5.0,424,414,0
2024/01/16,AGR-0142,STAFF-09,播種,ホウレンソウ,2.5,746,754,1
2024/01/10,AGR-0143,STAFF-04,播種,イチゴ,9.8,878,861,0
2024/01/04,AGR-0144,STAFF-08,施肥,レタス,9.2,147,117,0
2024/01/02,AGR-0145,STAFF-05,収穫,レタス,5.4,350,322,0
2024/01/19,AGR-0146,STAFF-03,施肥,キュウリ,2.6,991,822,0
2024/01/08,AGR-0147,STAFF-08,施肥,キュウリ,5.7,360,315,0
2024/01/01,AGR-0148,STAFF-08,収穫,ホウレンソウ,3.3,552,644,1
2024/01/19,AGR-0149,STAFF-05,管理作業,レタス,5.7,409,294,0
2024/01/13,AGR-0150,STAFF-08,播種,キュウリ,5.1,467,441,0
2024/01/10,AGR-0151,STAFF-01,管理作業,レタス,2.1,985,996,1
2024/01/02,AGR-0152,STAFF-10,管理作業,レタス,8.2,335,323,0
2024/01/12,AGR-0153,STAFF-04,施肥,ホウレンソウ,4.0,873,901,1
2024/01/05,AGR-0154,STAFF-02,播種,レタス,8.3,134,127,0
2024/01/05,AGR-0155,STAFF-02,収穫,レタス,8.0,279,201,0
2024/01/18,AGR-0156,STAFF-06,収穫,キュウリ,4.1,944,1101,1
2024/01/10,AGR-0157,STAFF-06,播種,イチゴ,9.7,244,257,1
2024/01/08,AGR-0158,STAFF-07,収穫,トマト,8.3,114,86,0
2024/01/04,AGR-0159,STAFF-08,収穫,レタス,6.7,942,926,0
2024/01/12,AGR-0160,STAFF-02,施肥,イチゴ,2.2,674,537,0
