応募日,応募者ID,職種,採用チャネル,到達フェーズ,採用結果,選考日数
2024/01/13,79,製造,転職サイト,一次面接,不採用,13
2024/01/09,80,マーケティング,リファラル,一次面接,不採用,17
2024/02/25,81,マーケティング,リファラル,書類選考,不採用,11
2024/01/24,82,製造,転職サイト,書類選考,不採用,9
2024/01/21,83,エンジニア,転職サイト,書類選考,不採用,7
2024/01/27,84,エンジニア,エージェント,二次面接,不採用,25
2024/03/09,85,事務,エージェント,書類選考,不採用,5
2024/01/10,86,エンジニア,転職サイト,書類選考,不採用,13
2024/03/13,87,マーケティング,エージェント,書類選考,不採用,14
2024/01/04,88,事務,転職サイト,書類選考,不採用,13
2024/01/12,89,製造,自社HP,書類選考,不採用,5
2024/03/21,90,事務,転職サイト,書類選考,不採用,11
2024/01/14,91,事務,自社HP,書類選考,不採用,10
2024/01/24,92,製造,リファラル,書類選考,不採用,12
2024/02/15,93,マーケティング,リファラル,一次面接,不採用,15
2024/02/08,94,マーケティング,自社HP,内定,採用,36
2024/02/09,95,製造,リファラル,書類選考,不採用,7
2024/01/08,96,マーケティング,自社HP,二次面接,不採用,25
2024/01/03,97,事務,エージェント,一次面接,不採用,16
2024/02/18,98,製造,リファラル,書類選考,不採用,9
2024/02/23,99,マーケティング,リファラル,一次面接,不採用,16
2024/01/24,100,製造,エージェント,書類選考,不採用,8
2024/03/19,101,製造,リファラル,書類選考,不採用,7
2024/02/08,102,事務,エージェント,書類選考,不採用,6
2024/02/02,103,エンジニア,リファラル,書類選考,不採用,6
2024/03/28,104,マーケティング,転職サイト,書類選考,不採用,13
2024/02/16,105,マーケティング,自社HP,書類選考,不採用,8
2024/02/04,106,エンジニア,自社HP,書類選考,不採用,14
2024/01/05,107,営業,リファラル,内定,採用,41
2024/01/25,108,製造,自社HP,一次面接,不採用,17
2024/02/19,109,製造,転職サイト,書類選考,不採用,5
2024/01/21,110,営業,リファラル,書類選考,不採用,6
2024/01/06,111,製造,転職サイト,一次面接,不採用,18
2024/02/02,112,営業,リファラル,書類選考,不採用,11
2024/01/22,113,営業,リファラル,書類選考,不採用,14
2024/03/22,114,営業,自社HP,内定,採用,32
2024/01/26,115,事務,リファラル,内定,採用,40
2024/02/15,116,エンジニア,転職サイト,書類選考,不採用,9
2024/03/09,117,エンジニア,転職サイト,書類選考,不採用,13
2024/03/01,118,事務,転職サイト,書類選考,不採用,6
2024/02/17,119,マーケティング,リファラル,書類選考,不採用,14
2024/02/03,120,マーケティング,リファラル,内定,採用,39
2024/02/22,121,マーケティング,転職サイト,二次面接,不採用,24
2024/03/27,122,エンジニア,自社HP,二次面接,不採用,28
2024/02/25,123,エンジニア,エージェント,二次面接,不採用,25
2024/01/01,124,製造,エージェント,書類選考,不採用,8
2024/03/01,125,製造,自社HP,書類選考,不採用,5
2024/02/04,126,営業,自社HP,書類選考,不採用,8
2024/03/23,127,事務,自社HP,書類選考,不採用,11
2024/01/15,128,製造,エージェント,書類選考,不採用,12
2024/03/05,129,エンジニア,リファラル,書類選考,不採用,10
2024/02/26,130,製造,リファラル,書類選考,不採用,8
2024/03/10,131,製造,自社HP,書類選考,不採用,11
2024/03/16,132,事務,リファラル,書類選考,不採用,11
2024/02/28,133,営業,エージェント,一次面接,不採用,11
2024/02/24,134,マーケティング,自社HP,書類選考,不採用,14
2024/01/16,135,エンジニア,エージェント,書類選考,不採用,5
2024/02/04,136,製造,自社HP,一次面接,不採用,13
2024/01/16,137,事務,リファラル,書類選考,不採用,10
2024/03/03,138,事務,自社HP,書類選考,不採用,14
2024/03/25,139,マーケティング,転職サイト,書類選考,不採用,7
2024/03/22,140,事務,エージェント,書類選考,不採用,10
