DeliveryDate,DeliveryID,DeliveryType,Area,VehicleType,DeliveryCharge,FuelCost,DriverCost,OtherCost,DistanceKm
2024-01-10,DLV-0205,大型配送,関西,4トン,8685,2037,3043,662,14
2024-01-09,DLV-0206,翌日配送,関西,4トン,12915,2693,7323,1366,38
2024-01-10,DLV-0207,翌日配送,東海,軽バン,1782,1176,6439,1808,169
2024-01-15,DLV-0208,同日配送,関東,2トン,10776,2395,3134,1794,141
2024-01-19,DLV-0209,翌日配送,関西,2トン,8032,206,5890,992,156
2024-01-14,DLV-0210,翌日配送,関東,4トン,6908,477,7309,1614,139
2024-01-17,DLV-0211,同日配送,九州,2トン,1713,2803,6169,1264,74
2024-01-01,DLV-0212,翌々日配送,関東,2トン,4950,2891,3849,1691,198
2024-01-11,DLV-0213,翌日配送,関東,2トン,9945,1586,4434,1902,128
2024-01-16,DLV-0214,翌日配送,関西,軽バン,12731,2074,3302,1100,61
2024-01-02,DLV-0215,翌日配送,関東,2トン,6080,2311,6262,1612,131
2024-01-09,DLV-0216,同日配送,関西,2トン,6848,395,5719,1059,41
2024-01-12,DLV-0217,大型配送,九州,4トン,8204,1783,5777,882,137
2024-01-16,DLV-0218,翌々日配送,東北,2トン,14126,538,6477,661,120
2024-01-20,DLV-0219,翌日配送,東北,2トン,6262,620,3655,1171,179
2024-01-10,DLV-0220,翌々日配送,九州,4トン,12758,1945,4365,1912,123
2024-01-12,DLV-0221,大型配送,関東,4トン,6776,2718,6563,1062,173
2024-01-02,DLV-0222,同日配送,九州,2トン,9406,2982,4310,563,46
2024-01-20,DLV-0223,大型配送,関東,軽バン,2101,1166,6000,1241,108
2024-01-19,DLV-0224,同日配送,東北,軽バン,12125,2042,6038,1261,123
2024-01-03,DLV-0225,翌日配送,東北,2トン,7521,1487,5283,1011,39
2024-01-01,DLV-0226,翌日配送,九州,4トン,7340,2500,3964,1036,76
2024-01-15,DLV-0227,翌日配送,東北,2トン,12370,2211,4639,751,44
2024-01-03,DLV-0228,大型配送,関西,4トン,8292,559,5618,1867,98
2024-01-03,DLV-0229,翌々日配送,東海,軽バン,12662,2812,4426,1240,140
2024-01-08,DLV-0230,同日配送,関西,軽バン,4878,2223,3215,1239,151
2024-01-19,DLV-0231,翌々日配送,九州,4トン,3126,2706,3706,634,89
2024-01-13,DLV-0232,大型配送,東北,2トン,13601,1877,7709,651,42
2024-01-11,DLV-0233,同日配送,九州,2トン,12142,2319,5822,762,151
2024-01-19,DLV-0234,翌日配送,関西,2トン,9238,426,4017,1561,49
2024-01-10,DLV-0235,翌日配送,関西,2トン,12621,1123,5834,1562,82
2024-01-03,DLV-0236,翌々日配送,関西,4トン,10024,1324,4025,1780,87
2024-01-20,DLV-0237,同日配送,東北,4トン,3762,2624,7756,815,53
2024-01-20,DLV-0238,翌々日配送,東北,軽バン,14520,316,3665,593,174
2024-01-19,DLV-0239,翌々日配送,関西,4トン,7825,2731,3248,1519,170
2024-01-18,DLV-0240,翌々日配送,東海,2トン,5012,1863,5436,1428,28
2024-01-02,DLV-0241,翌日配送,九州,2トン,8933,2102,4671,1196,165
2024-01-05,DLV-0242,翌々日配送,東海,4トン,6658,1833,4071,1258,141
2024-01-18,DLV-0243,同日配送,東海,軽バン,8642,701,5191,1420,73
2024-01-05,DLV-0244,同日配送,関東,2トン,7293,2720,6425,1008,50
2024-01-11,DLV-0245,翌々日配送,関西,軽バン,9163,2308,6824,1521,88
2024-01-16,DLV-0246,同日配送,関東,2トン,9281,2072,4972,940,159
2024-01-12,DLV-0247,同日配送,関東,2トン,9108,2647,6855,1085,147
2024-01-01,DLV-0248,同日配送,九州,軽バン,5333,1698,6303,1249,21
2024-01-13,DLV-0249,同日配送,東北,4トン,4189,1684,7532,1091,28
2024-01-13,DLV-0250,大型配送,東北,2トン,14521,2752,3973,763,34
2024-01-13,DLV-0251,翌々日配送,東海,4トン,6990,790,4630,1733,140
2024-01-13,DLV-0252,同日配送,関東,軽バン,3245,1564,6880,1563,126
2024-01-05,DLV-0253,翌日配送,東海,4トン,6218,865,6219,1762,199
2024-01-10,DLV-0254,翌々日配送,東北,4トン,9721,2206,7611,1113,131
2024-01-01,DLV-0255,翌々日配送,東海,4トン,2795,1906,7781,1130,195
2024-01-01,DLV-0256,大型配送,東海,4トン,13827,2569,7731,966,194
2024-01-02,DLV-0257,大型配送,関西,4トン,11305,2738,6114,802,184
2024-01-08,DLV-0258,同日配送,東北,4トン,2800,981,3155,1403,90
2024-01-14,DLV-0259,翌日配送,九州,4トン,4340,1880,7110,1752,130
2024-01-02,DLV-0260,翌日配送,東北,軽バン,10189,1531,6918,1576,106
2024-01-11,DLV-0261,翌日配送,九州,4トン,6608,2437,5902,1884,194
2024-01-09,DLV-0262,大型配送,関西,軽バン,5571,2485,5445,960,86
2024-01-10,DLV-0263,翌日配送,九州,2トン,8861,1628,7591,1977,80
2024-01-10,DLV-0264,同日配送,東北,4トン,9899,1755,6232,1206,47
2024-01-10,DLV-0265,同日配送,東海,4トン,2294,1618,6623,1843,75
2024-01-16,DLV-0266,翌日配送,関西,4トン,5442,2502,5225,781,37
2024-01-20,DLV-0267,翌日配送,関西,軽バン,11974,2375,4848,1806,69
2024-01-02,DLV-0268,同日配送,九州,2トン,12753,2134,3823,1895,45
2024-01-01,DLV-0269,翌日配送,九州,4トン,8793,2155,4633,1088,92
2024-01-10,DLV-0270,同日配送,関東,4トン,10406,1151,7383,1980,19
2024-01-06,DLV-0271,大型配送,関西,軽バン,14700,1826,7058,881,84
2024-01-02,DLV-0272,同日配送,東海,4トン,10875,639,5744,1082,126
2024-01-18,DLV-0273,大型配送,関西,4トン,8668,1317,4579,730,94
2024-01-06,DLV-0274,大型配送,東海,4トン,4050,257,5761,1104,155
2024-01-07,DLV-0275,翌日配送,東北,4トン,7643,1951,7221,1171,32
2024-01-13,DLV-0276,同日配送,関西,軽バン,8822,1525,5032,513,76
2024-01-13,DLV-0277,翌日配送,九州,2トン,6400,1436,7771,1980,156
2024-01-01,DLV-0278,翌々日配送,東海,4トン,4871,454,3968,1453,88
2024-01-06,DLV-0279,大型配送,東北,4トン,13613,1473,3961,1808,85
2024-01-12,DLV-0280,翌日配送,関西,軽バン,8834,827,6727,1740,105
2024-01-14,DLV-0281,大型配送,東北,4トン,14526,1094,5027,1893,162
2024-01-03,DLV-0282,大型配送,東北,4トン,6927,519,7621,729,25
2024-01-18,DLV-0283,翌日配送,東北,4トン,3455,873,5687,1565,123
2024-01-04,DLV-0284,翌日配送,東北,2トン,2489,2290,6649,613,126
2024-01-05,DLV-0285,大型配送,九州,4トン,1945,2488,6787,1877,88
2024-01-01,DLV-0286,大型配送,東海,軽バン,13219,1092,7737,649,21
2024-01-14,DLV-0287,翌々日配送,関東,4トン,1987,482,6867,564,83
2024-01-14,DLV-0288,翌日配送,関西,4トン,12948,2845,6443,1266,107
2024-01-15,DLV-0289,大型配送,九州,軽バン,12185,2910,7417,772,177
2024-01-12,DLV-0290,同日配送,関西,4トン,7439,2366,4043,1990,67
2024-01-01,DLV-0291,同日配送,東海,2トン,12034,2430,6474,1589,107
2024-01-08,DLV-0292,翌日配送,九州,2トン,3541,1329,4544,1984,38
2024-01-02,DLV-0293,大型配送,東北,軽バン,4943,1044,3551,706,162
2024-01-02,DLV-0294,大型配送,東北,4トン,12522,399,5004,590,112
2024-01-15,DLV-0295,翌日配送,東北,軽バン,13359,431,4147,1531,84
2024-01-08,DLV-0296,翌々日配送,東北,4トン,13657,2954,5626,985,87
2024-01-05,DLV-0297,翌日配送,九州,2トン,5508,449,7560,1711,198
2024-01-06,DLV-0298,大型配送,東北,2トン,1768,1610,6122,1574,91
2024-01-14,DLV-0299,大型配送,関西,2トン,7167,953,7406,1469,71
2024-01-08,DLV-0300,翌々日配送,関西,2トン,1944,2503,6380,1353,152
2024-01-17,DLV-0301,翌日配送,九州,軽バン,5177,1032,5705,1824,30
2024-01-15,DLV-0302,翌々日配送,関東,4トン,12871,980,3422,1049,106
2024-01-20,DLV-0303,同日配送,関東,軽バン,14183,2606,7578,944,132
2024-01-07,DLV-0304,翌々日配送,東海,軽バン,4470,978,3961,1480,72
2024-01-20,DLV-0305,翌日配送,九州,軽バン,10045,1517,5318,1279,129
2024-01-18,DLV-0306,翌々日配送,東海,2トン,6892,2300,7073,1454,35
2024-01-16,DLV-0307,翌々日配送,関西,2トン,6126,1895,3374,1652,66
2024-01-05,DLV-0308,同日配送,東海,4トン,10568,2572,6420,1104,49
2024-01-07,DLV-0309,翌々日配送,関西,2トン,10335,1206,7090,1627,177
2024-01-11,DLV-0310,翌々日配送,九州,4トン,11513,2209,6775,844,197
2024-01-12,DLV-0311,翌日配送,関西,4トン,9954,2200,4507,1610,174
2024-01-02,DLV-0312,同日配送,関東,4トン,1794,226,6378,781,171
2024-01-08,DLV-0313,同日配送,関西,軽バン,4583,2271,6735,1264,25
2024-01-20,DLV-0314,大型配送,九州,軽バン,1108,2379,7519,1342,13
2024-01-01,DLV-0315,翌々日配送,東北,2トン,1280,2257,6527,867,37
2024-01-04,DLV-0316,翌日配送,関西,軽バン,11154,2356,5067,1225,78
2024-01-13,DLV-0317,同日配送,東海,2トン,8520,2514,4992,1927,67
2024-01-10,DLV-0318,同日配送,関東,軽バン,7640,1753,6089,1631,131
2024-01-02,DLV-0319,同日配送,関西,軽バン,9189,1977,5713,1658,34
2024-01-17,DLV-0320,同日配送,関西,軽バン,12342,2521,6895,1055,21
