配送日,配送ID,配送区分,エリア,車両タイプ,配送料,燃料費,人件費,その他費用,距離(km)
2024/01/11,DLV-0037,翌日配送,東海,2トン,3144,2951,5457,1436,90
2024/01/03,DLV-0038,同日配送,九州,4トン,10224,609,3600,1601,64
2024/01/17,DLV-0039,翌々日配送,関西,2トン,2127,1200,6027,1083,50
2024/01/15,DLV-0040,翌々日配送,東北,4トン,9666,232,7543,1113,179
2024/01/04,DLV-0041,翌日配送,東海,軽バン,2753,2466,4273,1057,82
2024/01/20,DLV-0042,翌日配送,東海,軽バン,12263,2797,5162,1535,135
2024/01/09,DLV-0043,同日配送,関東,4トン,7939,1333,3361,507,95
2024/01/05,DLV-0044,翌々日配送,関西,4トン,8239,2459,6503,1648,12
2024/01/04,DLV-0045,同日配送,関西,4トン,1590,1712,7771,1631,47
2024/01/14,DLV-0046,翌日配送,関東,2トン,6974,363,5931,930,184
2024/01/08,DLV-0047,同日配送,東海,4トン,7658,2742,4266,984,51
2024/01/06,DLV-0048,大型配送,関東,軽バン,13067,1560,6372,1871,198
2024/01/08,DLV-0049,翌々日配送,関西,4トン,2771,1766,3317,1463,66
2024/01/07,DLV-0050,大型配送,東海,2トン,14443,1132,4826,548,178
2024/01/07,DLV-0051,大型配送,東海,2トン,2137,1343,5876,1813,140
2024/01/13,DLV-0052,翌々日配送,関東,軽バン,5279,931,7756,1043,19
2024/01/04,DLV-0053,大型配送,東海,4トン,13884,1484,6574,1741,140
2024/01/04,DLV-0054,大型配送,東北,軽バン,5173,381,6572,503,143
2024/01/18,DLV-0055,翌日配送,東海,2トン,2146,2920,5704,1776,90
2024/01/04,DLV-0056,翌々日配送,東北,2トン,11926,1872,5672,1324,188
2024/01/10,DLV-0057,翌日配送,関西,2トン,11894,1752,4425,1760,155
2024/01/10,DLV-0058,大型配送,東北,軽バン,5978,1375,4721,1380,158
2024/01/20,DLV-0059,翌々日配送,九州,2トン,8244,2967,4750,1546,131
2024/01/06,DLV-0060,同日配送,東海,4トン,11876,2792,5745,691,70
2024/01/10,DLV-0061,翌日配送,関西,軽バン,1400,389,5005,1473,166
2024/01/03,DLV-0062,大型配送,九州,4トン,10431,996,6145,1512,112
2024/01/08,DLV-0063,翌日配送,関東,軽バン,13753,1941,4792,860,188
2024/01/17,DLV-0064,大型配送,関東,4トン,5082,697,6739,773,128
2024/01/17,DLV-0065,翌々日配送,九州,4トン,14353,2267,6495,1622,124
2024/01/06,DLV-0066,大型配送,九州,2トン,13317,1212,5271,1567,134
2024/01/08,DLV-0067,翌々日配送,九州,軽バン,12690,1370,4920,1056,95
2024/01/11,DLV-0068,同日配送,関西,軽バン,4788,1768,4251,1946,64
2024/01/03,DLV-0069,大型配送,九州,2トン,9890,2108,6406,627,62
2024/01/14,DLV-0070,大型配送,東北,4トン,1320,2558,6116,1476,11
2024/01/12,DLV-0071,翌々日配送,九州,2トン,9818,2436,7941,951,134
2024/01/08,DLV-0072,翌々日配送,九州,2トン,1475,1792,5753,1869,183
2024/01/13,DLV-0073,翌日配送,九州,軽バン,11195,2387,3220,1306,161
2024/01/19,DLV-0074,同日配送,関東,4トン,8022,755,6782,872,22
2024/01/09,DLV-0075,大型配送,東海,軽バン,8449,1538,5764,1276,81
2024/01/14,DLV-0076,翌々日配送,関東,2トン,1317,2409,3426,1216,67
2024/01/03,DLV-0077,同日配送,関東,軽バン,4266,283,4248,988,42
2024/01/16,DLV-0078,同日配送,東北,軽バン,8619,1249,6021,843,165
2024/01/20,DLV-0079,同日配送,関西,2トン,2771,2570,3210,1138,157
2024/01/13,DLV-0080,大型配送,関西,軽バン,10700,2769,4989,708,188
2024/01/10,DLV-0081,同日配送,東北,軽バン,6688,2382,6509,1854,104
2024/01/03,DLV-0082,翌々日配送,関東,2トン,14473,2207,3864,1387,102
2024/01/15,DLV-0083,翌日配送,九州,軽バン,13022,2337,5212,1761,147
2024/01/16,DLV-0084,大型配送,九州,4トン,10707,1299,5640,1002,32
2024/01/09,DLV-0085,大型配送,関西,2トン,10336,2699,6104,1188,17
2024/01/16,DLV-0086,翌々日配送,関西,2トン,4475,1653,5116,1197,81
2024/01/20,DLV-0087,翌々日配送,東北,軽バン,9464,982,3701,994,194
2024/01/14,DLV-0088,大型配送,東北,軽バン,12314,2150,7020,1417,14
2024/01/03,DLV-0089,翌々日配送,関西,2トン,12334,1196,5508,1859,158
2024/01/12,DLV-0090,大型配送,東北,4トン,6632,1942,7508,1177,100
2024/01/15,DLV-0091,翌々日配送,東海,2トン,4777,694,4577,1146,40
2024/01/18,DLV-0092,翌日配送,関西,軽バン,13101,2183,5265,1983,160
2024/01/17,DLV-0093,翌々日配送,関東,軽バン,5853,1131,5956,867,87
2024/01/01,DLV-0094,翌日配送,東海,軽バン,1893,2466,5393,1928,42
2024/01/16,DLV-0095,同日配送,関東,4トン,5658,2122,6921,1402,97
2024/01/06,DLV-0096,同日配送,東海,2トン,2869,467,6282,1507,28
2024/01/19,DLV-0097,同日配送,関西,軽バン,14289,2505,5489,674,73
2024/01/04,DLV-0098,大型配送,東北,4トン,13955,2733,4848,1570,107
2024/01/15,DLV-0099,大型配送,東海,4トン,8025,1450,7658,1771,25
2024/01/20,DLV-0100,同日配送,関西,4トン,4457,1283,3665,821,71
2024/01/06,DLV-0101,同日配送,関西,軽バン,7693,2045,7864,1462,84
2024/01/02,DLV-0102,翌日配送,東海,4トン,5632,2059,3583,1907,69
2024/01/09,DLV-0103,翌日配送,九州,軽バン,9922,1120,4220,1044,46
2024/01/03,DLV-0104,同日配送,関西,2トン,10749,2531,5364,1399,41
2024/01/15,DLV-0105,翌々日配送,九州,2トン,9199,2411,7045,1396,30
2024/01/20,DLV-0106,同日配送,九州,4トン,6280,2672,5051,552,33
2024/01/08,DLV-0107,同日配送,東海,4トン,1659,917,6854,1562,176
2024/01/15,DLV-0108,翌々日配送,関西,4トン,8141,2800,7028,686,130
2024/01/12,DLV-0109,大型配送,東海,2トン,11979,628,4317,1175,115
2024/01/16,DLV-0110,翌々日配送,九州,4トン,1601,2062,3721,1144,74
2024/01/11,DLV-0111,同日配送,九州,4トン,14515,204,7444,1446,115
2024/01/02,DLV-0112,翌日配送,東北,2トン,11201,2241,6621,605,62
2024/01/09,DLV-0113,翌日配送,東海,2トン,12440,2185,3994,559,171
2024/01/20,DLV-0114,翌日配送,関西,2トン,10024,256,7524,1335,33
2024/01/08,DLV-0115,同日配送,九州,軽バン,11612,830,7082,1967,84
2024/01/17,DLV-0116,翌々日配送,九州,2トン,8736,1198,6741,1628,47
2024/01/13,DLV-0117,翌日配送,東北,4トン,13227,759,3571,1065,116
2024/01/11,DLV-0118,翌々日配送,関東,2トン,12895,1422,7808,1687,178
2024/01/16,DLV-0119,翌日配送,九州,4トン,8935,1613,5723,1630,149
2024/01/13,DLV-0120,大型配送,東海,軽バン,12427,1178,7684,1284,69
2024/01/14,DLV-0121,同日配送,東海,4トン,8749,1761,6162,1859,176
2024/01/05,DLV-0122,大型配送,関東,軽バン,9229,2617,5719,705,122
2024/01/04,DLV-0123,大型配送,関東,4トン,3361,1879,4264,653,130
2024/01/09,DLV-0124,翌々日配送,東北,4トン,7512,2861,3657,1172,182
2024/01/18,DLV-0125,大型配送,東海,4トン,12775,2198,7432,573,168
2024/01/03,DLV-0126,翌日配送,東海,軽バン,13235,570,6555,701,172
2024/01/04,DLV-0127,大型配送,関西,4トン,5906,318,3376,1164,24
2024/01/10,DLV-0128,翌々日配送,東海,2トン,3385,1200,7351,1343,154
2024/01/06,DLV-0129,翌日配送,関西,軽バン,10985,1766,4972,1519,159
2024/01/05,DLV-0130,翌日配送,九州,4トン,5161,2082,5091,1865,12
2024/01/15,DLV-0131,翌々日配送,東北,軽バン,2210,2009,5830,1703,86
2024/01/14,DLV-0132,翌々日配送,九州,2トン,4263,1775,6958,718,70
2024/01/13,DLV-0133,翌々日配送,東北,2トン,12456,1409,3179,1848,111
2024/01/09,DLV-0134,同日配送,東北,4トン,13751,400,7967,1517,83
2024/01/08,DLV-0135,翌々日配送,関西,4トン,4115,2743,5053,1888,194
2024/01/05,DLV-0136,同日配送,関東,2トン,13920,2005,3273,1686,103
2024/01/05,DLV-0137,同日配送,東海,2トン,13246,1901,4438,911,43
2024/01/18,DLV-0138,翌々日配送,東北,4トン,5465,873,5105,1486,85
2024/01/11,DLV-0139,同日配送,九州,軽バン,3306,1124,6255,1641,103
2024/01/03,DLV-0140,大型配送,関東,2トン,9791,706,6725,1254,182
2024/01/09,DLV-0141,大型配送,東海,軽バン,12056,1157,6862,551,168
2024/01/18,DLV-0142,翌々日配送,東北,軽バン,11611,458,6803,1935,87
2024/01/14,DLV-0143,同日配送,関西,軽バン,1609,1446,7035,737,34
2024/01/08,DLV-0144,翌日配送,九州,2トン,7078,2946,7425,1358,160
2024/01/05,DLV-0145,大型配送,関東,2トン,11086,1871,5291,567,186
2024/01/12,DLV-0146,翌日配送,九州,2トン,4868,1685,3813,1904,104
2024/01/18,DLV-0147,翌々日配送,関東,2トン,5520,977,4000,1431,33
2024/01/07,DLV-0148,同日配送,関東,2トン,4990,715,7625,920,27
2024/01/18,DLV-0149,翌日配送,東北,軽バン,14321,1154,5691,802,162
2024/01/01,DLV-0150,翌々日配送,関西,軽バン,9850,1226,4429,725,179
2024/01/01,DLV-0151,翌日配送,関東,2トン,13943,1174,7823,1163,14
2024/01/06,DLV-0152,翌々日配送,関東,軽バン,13152,1924,7309,732,200
2024/01/03,DLV-0153,大型配送,九州,2トン,9408,2631,3893,1425,138
2024/01/08,DLV-0154,同日配送,東北,2トン,8504,2835,3255,624,132
2024/01/13,DLV-0155,大型配送,関東,2トン,12671,2016,3602,665,92
2024/01/20,DLV-0156,翌日配送,関東,軽バン,5505,2757,7795,1623,192
2024/01/11,DLV-0157,大型配送,東北,4トン,5831,2058,7141,1739,120
2024/01/04,DLV-0158,同日配送,東北,4トン,4522,1961,6699,967,115
2024/01/11,DLV-0159,大型配送,九州,2トン,12953,589,5560,1374,90
2024/01/09,DLV-0160,翌々日配送,関西,4トン,8770,474,3747,674,33
