Date,LineName,Category,PlannedQty,ActualQty,DefectQty,WorkHours
2024-01-04,LINE-C,機械部品,767,663,28,8.0
2024-01-04,LINE-C,樹脂成型,351,343,4,11.9
2024-01-04,LINE-C,金属加工,333,346,1,11.2
2024-01-04,LINE-D,電子部品,334,250,2,7.9
2024-01-04,LINE-D,機械部品,378,316,6,6.7
2024-01-04,LINE-D,樹脂成型,265,273,7,6.7
2024-01-04,LINE-D,金属加工,715,703,25,11.5
2024-01-04,LINE-E,電子部品,733,727,1,12.0
2024-01-04,LINE-E,機械部品,611,508,18,8.7
2024-01-04,LINE-E,樹脂成型,282,238,1,9.7
2024-01-04,LINE-E,金属加工,799,717,35,9.2
2024-01-05,LINE-A,電子部品,664,616,24,6.7
2024-01-05,LINE-A,機械部品,764,660,14,7.4
2024-01-05,LINE-A,樹脂成型,547,503,18,7.9
2024-01-05,LINE-A,金属加工,520,474,3,11.5
2024-01-05,LINE-B,電子部品,268,165,3,10.5
2024-01-05,LINE-B,機械部品,581,561,16,9.4
2024-01-05,LINE-B,樹脂成型,537,495,21,11.6
2024-01-05,LINE-B,金属加工,633,643,31,9.6
2024-01-05,LINE-C,電子部品,560,533,4,8.9
2024-01-05,LINE-C,機械部品,310,299,1,7.7
2024-01-05,LINE-C,樹脂成型,431,454,22,10.9
2024-01-05,LINE-C,金属加工,770,597,24,7.6
2024-01-05,LINE-D,電子部品,384,395,18,8.1
2024-01-05,LINE-D,機械部品,385,373,7,6.9
2024-01-05,LINE-D,樹脂成型,231,161,3,8.7
2024-01-05,LINE-D,金属加工,361,366,14,9.4
2024-01-05,LINE-E,電子部品,286,242,9,6.3
2024-01-05,LINE-E,機械部品,283,282,6,8.7
2024-01-05,LINE-E,樹脂成型,479,456,7,6.7
2024-01-05,LINE-E,金属加工,698,622,6,11.9
2024-01-06,LINE-A,電子部品,256,168,1,6.8
2024-01-06,LINE-A,機械部品,461,385,9,8.6
2024-01-06,LINE-A,樹脂成型,332,335,8,11.0
2024-01-06,LINE-A,金属加工,562,429,0,6.1
2024-01-06,LINE-B,電子部品,279,271,7,10.3
2024-01-06,LINE-B,機械部品,627,577,27,7.0
2024-01-06,LINE-B,樹脂成型,671,721,3,11.1
2024-01-06,LINE-B,金属加工,449,413,1,11.2
2024-01-06,LINE-C,電子部品,547,565,2,9.8
2024-01-06,LINE-C,機械部品,743,796,13,10.4
2024-01-06,LINE-C,樹脂成型,351,296,2,9.6
2024-01-06,LINE-C,金属加工,277,285,7,10.5
2024-01-06,LINE-D,電子部品,793,854,24,9.8
2024-01-06,LINE-D,機械部品,530,523,3,6.4
2024-01-06,LINE-D,樹脂成型,652,677,20,8.1
2024-01-06,LINE-D,金属加工,275,257,0,11.0
2024-01-06,LINE-E,電子部品,278,303,1,9.6
2024-01-06,LINE-E,機械部品,593,573,22,11.4
2024-01-06,LINE-E,樹脂成型,660,641,6,9.6
2024-01-06,LINE-E,金属加工,713,583,3,11.4
2024-01-07,LINE-A,電子部品,551,454,14,6.2
2024-01-07,LINE-A,機械部品,648,620,18,8.2
2024-01-07,LINE-A,樹脂成型,489,504,17,6.3
2024-01-07,LINE-A,金属加工,542,334,11,7.7
2024-01-07,LINE-B,電子部品,353,344,2,8.1
2024-01-07,LINE-B,機械部品,601,608,2,9.4
2024-01-07,LINE-B,樹脂成型,536,536,22,10.4
2024-01-07,LINE-B,金属加工,739,537,13,6.1
2024-01-07,LINE-C,電子部品,516,445,21,8.9
2024-01-07,LINE-C,機械部品,431,364,5,10.7
2024-01-07,LINE-C,樹脂成型,719,755,33,6.2
2024-01-07,LINE-C,金属加工,544,536,16,6.9
2024-01-07,LINE-D,電子部品,385,397,16,7.0
2024-01-07,LINE-D,機械部品,648,433,15,11.8
2024-01-07,LINE-D,樹脂成型,491,508,5,7.4
2024-01-07,LINE-D,金属加工,680,583,19,9.4
2024-01-07,LINE-E,電子部品,651,575,10,9.2
2024-01-07,LINE-E,機械部品,365,379,2,7.5
2024-01-07,LINE-E,樹脂成型,692,668,3,11.1
2024-01-07,LINE-E,金属加工,327,336,4,11.4
