日付,従業員番号,店舗,ポジション,開始,終了,勤務時間,時給単価
2024/01/29,ST-013,新宿店,ホール,12:00,15:17,3.3,1489
2024/01/23,ST-003,新宿店,キッチン,18:00,22:30,4.5,1245
2024/01/07,ST-007,銀座店,キッチン,16:00,23:12,7.2,1070
2024/01/04,ST-020,銀座店,レジ,11:00,15:30,4.5,1342
2024/01/29,ST-017,渋谷店,レジ,11:00,14:17,3.3,1211
2024/01/11,ST-016,渋谷店,レジ,10:00,13:00,3.0,1281
2024/01/30,ST-006,新宿店,レジ,15:00,20:54,5.9,1102
2024/01/25,ST-010,新宿店,キッチン,18:00,21:23,3.4,1393
2024/01/03,ST-019,渋谷店,レジ,08:00,16:30,8.5,1089
2024/01/14,ST-006,渋谷店,キッチン,15:00,19:05,4.1,1383
2024/01/31,ST-010,渋谷店,ホール,12:00,18:24,6.4,1054
2024/01/30,ST-011,新宿店,キッチン,18:00,24:17,6.3,1252
2024/01/29,ST-005,銀座店,キッチン,12:00,16:12,4.2,1057
2024/01/11,ST-006,銀座店,キッチン,18:00,22:30,4.5,1095
2024/01/01,ST-011,新宿店,レジ,18:00,25:30,7.5,1089
2024/01/20,ST-013,新宿店,レジ,13:00,16:30,3.5,1342
2024/01/04,ST-006,渋谷店,キッチン,13:00,21:35,8.6,1003
2024/01/09,ST-013,渋谷店,キッチン,12:00,20:41,8.7,1154
2024/01/19,ST-019,渋谷店,キッチン,18:00,23:12,5.2,1120
2024/01/02,ST-004,新宿店,キッチン,10:00,15:24,5.4,1257
2024/01/30,ST-010,銀座店,ホール,18:00,26:30,8.5,1151
2024/01/12,ST-020,渋谷店,ホール,10:00,15:54,5.9,1232
2024/01/24,ST-020,新宿店,キッチン,16:00,24:30,8.5,1387
2024/01/18,ST-007,渋谷店,レジ,17:00,25:11,8.2,1041
2024/01/17,ST-015,銀座店,レジ,13:00,16:30,3.5,1288
2024/01/04,ST-002,銀座店,レジ,11:00,17:24,6.4,1076
2024/01/06,ST-011,銀座店,キッチン,09:00,16:05,7.1,1367
2024/01/19,ST-016,渋谷店,レジ,15:00,22:54,7.9,1232
2024/01/05,ST-017,新宿店,キッチン,17:00,20:17,3.3,1236
2024/01/22,ST-010,銀座店,ホール,14:00,18:30,4.5,1001
2024/01/24,ST-007,銀座店,ホール,08:00,13:30,5.5,1358
2024/01/03,ST-018,渋谷店,ホール,15:00,18:12,3.2,1209
2024/01/06,ST-005,銀座店,レジ,18:00,26:48,8.8,1191
2024/01/29,ST-013,新宿店,キッチン,14:00,17:30,3.5,1493
2024/01/22,ST-018,渋谷店,レジ,13:00,16:42,3.7,1275
2024/01/13,ST-017,渋谷店,レジ,11:00,19:00,8.0,1387
2024/01/01,ST-010,新宿店,レジ,16:00,21:30,5.5,1194
2024/01/27,ST-008,渋谷店,キッチン,13:00,16:53,3.9,1096
2024/01/30,ST-004,渋谷店,レジ,14:00,20:42,6.7,1479
2024/01/29,ST-001,渋谷店,ホール,09:00,12:36,3.6,1017
2024/01/15,ST-020,銀座店,レジ,08:00,12:30,4.5,1022
2024/01/13,ST-015,渋谷店,レジ,11:00,18:30,7.5,1397
2024/01/02,ST-005,銀座店,キッチン,11:00,18:54,7.9,1374
2024/01/19,ST-011,銀座店,レジ,18:00,25:54,7.9,1121
2024/01/10,ST-005,銀座店,レジ,11:00,16:30,5.5,1140
2024/01/02,ST-018,銀座店,レジ,10:00,16:47,6.8,1218
2024/01/18,ST-016,渋谷店,キッチン,18:00,25:00,7.0,1402
2024/01/17,ST-011,銀座店,キッチン,14:00,17:53,3.9,1192
2024/01/06,ST-018,新宿店,ホール,11:00,15:47,4.8,1362
2024/01/05,ST-015,渋谷店,レジ,14:00,22:48,8.8,1285
2024/01/17,ST-005,新宿店,ホール,12:00,16:12,4.2,1331
2024/01/03,ST-015,新宿店,ホール,16:00,23:17,7.3,1097
2024/01/02,ST-009,新宿店,レジ,17:00,23:35,6.6,1447
2024/01/03,ST-007,銀座店,レジ,18:00,24:24,6.4,1245
2024/01/07,ST-011,新宿店,ホール,11:00,19:35,8.6,1492
2024/01/24,ST-004,銀座店,キッチン,11:00,18:12,7.2,1360
2024/01/07,ST-013,渋谷店,レジ,13:00,20:42,7.7,1194
2024/01/15,ST-018,銀座店,キッチン,12:00,16:35,4.6,1262
2024/01/29,ST-016,新宿店,ホール,15:00,22:35,7.6,1163
2024/01/30,ST-007,新宿店,キッチン,14:00,17:17,3.3,1442
