WorkDate,StaffID,StoreName,Role,StartTime,EndTime,WorkHours,HourlyRate
2024-01-10,ST-001,銀座店,キッチン,12:00,15:00,3.0,1442
2024-01-22,ST-002,銀座店,レジ,15:00,23:00,8.0,1462
2024-01-10,ST-008,銀座店,キッチン,11:00,17:47,6.8,1317
2024-01-09,ST-005,銀座店,ホール,18:00,24:54,6.9,1158
2024-01-26,ST-015,渋谷店,レジ,13:00,20:24,7.4,1046
2024-01-30,ST-010,新宿店,レジ,14:00,18:05,4.1,1067
2024-01-26,ST-018,新宿店,レジ,16:00,24:30,8.5,1425
2024-01-06,ST-009,新宿店,キッチン,13:00,20:47,7.8,1239
2024-01-31,ST-003,渋谷店,ホール,18:00,25:17,7.3,1203
2024-01-31,ST-018,新宿店,ホール,14:00,17:06,3.1,1274
2024-01-04,ST-015,新宿店,レジ,18:00,22:35,4.6,1195
2024-01-27,ST-012,渋谷店,レジ,11:00,16:47,5.8,1317
2024-01-29,ST-018,新宿店,レジ,11:00,17:54,6.9,1325
2024-01-27,ST-015,銀座店,キッチン,18:00,23:24,5.4,1071
2024-01-02,ST-002,新宿店,キッチン,09:00,12:36,3.6,1454
2024-01-18,ST-005,新宿店,キッチン,13:00,20:00,7.0,1380
2024-01-23,ST-018,新宿店,レジ,10:00,18:18,8.3,1335
2024-01-04,ST-016,銀座店,キッチン,12:00,15:12,3.2,1189
2024-01-07,ST-015,新宿店,ホール,13:00,16:36,3.6,1351
2024-01-12,ST-018,銀座店,キッチン,08:00,13:24,5.4,1097
2024-01-31,ST-004,新宿店,ホール,18:00,22:17,4.3,1327
2024-01-20,ST-001,渋谷店,キッチン,11:00,19:54,8.9,1402
2024-01-19,ST-007,渋谷店,レジ,11:00,17:30,6.5,1416
2024-01-28,ST-008,新宿店,ホール,17:00,20:00,3.0,1439
2024-01-05,ST-005,銀座店,キッチン,10:00,13:42,3.7,1443
2024-01-01,ST-005,渋谷店,キッチン,11:00,17:30,6.5,1008
2024-01-06,ST-009,渋谷店,ホール,14:00,20:12,6.2,1381
2024-01-03,ST-016,新宿店,キッチン,16:00,22:35,6.6,1231
2024-01-17,ST-008,銀座店,ホール,18:00,24:05,6.1,1234
2024-01-21,ST-001,渋谷店,キッチン,14:00,19:35,5.6,1055
2024-01-16,ST-015,渋谷店,ホール,13:00,19:35,6.6,1033
2024-01-05,ST-009,銀座店,レジ,17:00,23:17,6.3,1166
2024-01-13,ST-020,銀座店,キッチン,15:00,21:00,6.0,1220
2024-01-04,ST-004,銀座店,レジ,16:00,23:17,7.3,1110
2024-01-14,ST-015,渋谷店,キッチン,13:00,21:00,8.0,1204
2024-01-14,ST-004,新宿店,キッチン,13:00,20:00,7.0,1191
2024-01-31,ST-005,銀座店,キッチン,09:00,12:30,3.5,1043
2024-01-03,ST-014,渋谷店,レジ,13:00,20:54,7.9,1284
2024-01-02,ST-019,銀座店,レジ,13:00,20:00,7.0,1210
2024-01-12,ST-014,銀座店,ホール,12:00,18:35,6.6,1180
2024-01-04,ST-019,銀座店,ホール,10:00,16:54,6.9,1114
2024-01-28,ST-004,新宿店,レジ,13:00,16:42,3.7,1142
2024-01-19,ST-008,新宿店,レジ,17:00,23:42,6.7,1329
2024-01-18,ST-001,銀座店,レジ,12:00,15:12,3.2,1139
2024-01-23,ST-010,新宿店,キッチン,08:00,12:05,4.1,1073
2024-01-19,ST-013,渋谷店,ホール,18:00,26:48,8.8,1046
2024-01-24,ST-017,渋谷店,キッチン,14:00,19:42,5.7,1080
2024-01-12,ST-010,銀座店,キッチン,17:00,23:35,6.6,1452
2024-01-02,ST-005,渋谷店,レジ,08:00,15:00,7.0,1139
2024-01-15,ST-014,新宿店,レジ,15:00,20:30,5.5,1110
2024-01-25,ST-017,渋谷店,キッチン,14:00,17:42,3.7,1347
2024-01-22,ST-019,新宿店,レジ,18:00,22:54,4.9,1112
2024-01-13,ST-020,渋谷店,ホール,11:00,15:47,4.8,1108
2024-01-25,ST-005,新宿店,キッチン,13:00,16:42,3.7,1254
2024-01-24,ST-014,渋谷店,ホール,14:00,20:12,6.2,1117
2024-01-17,ST-018,銀座店,キッチン,09:00,14:24,5.4,1379
2024-01-02,ST-014,渋谷店,キッチン,09:00,17:11,8.2,1294
2024-01-14,ST-019,新宿店,レジ,18:00,23:30,5.5,1058
2024-01-13,ST-001,新宿店,ホール,17:00,22:47,5.8,1353
2024-01-30,ST-012,渋谷店,キッチン,09:00,13:30,4.5,1301
2024-01-13,ST-017,渋谷店,キッチン,12:00,19:30,7.5,1113
2024-01-11,ST-006,渋谷店,レジ,18:00,21:42,3.7,1261
2024-01-07,ST-012,新宿店,レジ,18:00,25:54,7.9,1120
2024-01-04,ST-005,新宿店,ホール,10:00,16:35,6.6,1389
2024-01-25,ST-003,渋谷店,レジ,15:00,20:47,5.8,1288
2024-01-25,ST-019,新宿店,レジ,17:00,23:54,6.9,1319
2024-01-11,ST-011,渋谷店,キッチン,09:00,14:47,5.8,1323
2024-01-10,ST-009,銀座店,ホール,13:00,19:00,6.0,1158
2024-01-15,ST-015,渋谷店,ホール,13:00,21:00,8.0,1039
2024-01-21,ST-003,銀座店,レジ,16:00,21:17,5.3,1297
2024-01-18,ST-002,新宿店,レジ,18:00,22:05,4.1,1309
2024-01-16,ST-017,渋谷店,ホール,15:00,18:36,3.6,1460
2024-01-27,ST-011,銀座店,ホール,16:00,22:54,6.9,1020
2024-01-08,ST-015,新宿店,レジ,16:00,22:42,6.7,1186
2024-01-12,ST-010,新宿店,キッチン,13:00,20:05,7.1,1026
2024-01-26,ST-011,渋谷店,キッチン,09:00,15:17,6.3,1197
2024-01-10,ST-009,銀座店,レジ,17:00,25:11,8.2,1170
2024-01-03,ST-019,銀座店,ホール,13:00,17:54,4.9,1335
2024-01-23,ST-013,渋谷店,レジ,09:00,13:54,4.9,1192
2024-01-21,ST-011,渋谷店,レジ,18:00,26:30,8.5,1047
2024-01-21,ST-014,銀座店,キッチン,08:00,13:12,5.2,1092
2024-01-31,ST-007,新宿店,キッチン,11:00,15:24,4.4,1070
2024-01-05,ST-003,新宿店,ホール,16:00,23:35,7.6,1427
2024-01-24,ST-017,渋谷店,レジ,13:00,21:18,8.3,1316
2024-01-05,ST-020,新宿店,ホール,10:00,14:05,4.1,1354
2024-01-25,ST-020,渋谷店,レジ,15:00,18:17,3.3,1186
2024-01-22,ST-008,新宿店,レジ,12:00,19:30,7.5,1401
2024-01-15,ST-008,銀座店,ホール,12:00,20:48,8.8,1401
2024-01-16,ST-007,新宿店,レジ,17:00,25:54,8.9,1236
2024-01-25,ST-010,新宿店,レジ,16:00,21:30,5.5,1082
2024-01-27,ST-007,銀座店,ホール,12:00,15:17,3.3,1246
2024-01-28,ST-012,銀座店,ホール,16:00,24:05,8.1,1145
2024-01-03,ST-006,新宿店,キッチン,16:00,19:53,3.9,1223
2024-01-03,ST-008,新宿店,キッチン,08:00,13:30,5.5,1202
2024-01-17,ST-012,渋谷店,キッチン,09:00,14:12,5.2,1014
2024-01-11,ST-004,銀座店,レジ,13:00,20:42,7.7,1070
2024-01-02,ST-010,新宿店,レジ,10:00,17:35,7.6,1240
