入庫日,作業番号,工場名,整備種別,技術者ID,見込み日数,完了日数,技術料,部品費,進捗
2024/01/06,ORD-0370,西店,オイル交換,TECH-02,4,6,13300,35024,完了
2024/01/06,ORD-0371,西店,タイヤ交換,TECH-08,3,6,42171,22135,完了
2024/01/07,ORD-0372,東店,一般修理,TECH-06,1,1,18051,41037,完了
2024/01/07,ORD-0373,西店,オイル交換,TECH-02,2,8,64836,44,再入庫
2024/01/07,ORD-0374,西店,タイヤ交換,TECH-03,3,3,40916,6117,完了
2024/01/07,ORD-0375,西店,オイル交換,TECH-06,2,1,56949,40999,完了
2024/01/07,ORD-0376,北店,タイヤ交換,TECH-07,1,2,5142,13986,完了
2024/01/07,ORD-0377,東店,タイヤ交換,TECH-09,4,1,6056,45586,完了
2024/01/07,ORD-0378,東店,一般修理,TECH-03,4,2,35008,25104,完了
2024/01/07,ORD-0379,東店,オイル交換,TECH-06,3,5,22973,25082,完了
2024/01/08,ORD-0380,東店,タイヤ交換,TECH-02,5,1,26511,28842,完了
2024/01/08,ORD-0381,東店,タイヤ交換,TECH-07,5,8,33474,5681,作業中
2024/01/08,ORD-0382,東店,オイル交換,TECH-10,4,6,61280,20611,完了
2024/01/08,ORD-0383,東店,車検,TECH-02,2,5,8515,43149,作業中
2024/01/08,ORD-0384,東店,タイヤ交換,TECH-07,3,1,36370,32432,完了
2024/01/08,ORD-0385,東店,一般修理,TECH-10,1,1,52329,20740,完了
2024/01/08,ORD-0386,北店,一般修理,TECH-06,5,3,66736,4783,完了
2024/01/08,ORD-0387,東店,オイル交換,TECH-05,2,1,12925,26081,完了
2024/01/09,ORD-0388,北店,一般修理,TECH-07,4,2,75328,35235,完了
2024/01/09,ORD-0389,西店,オイル交換,TECH-05,1,4,25365,35152,完了
2024/01/09,ORD-0390,北店,オイル交換,TECH-05,4,4,12589,16022,完了
2024/01/09,ORD-0391,西店,オイル交換,TECH-08,5,1,45539,43652,完了
2024/01/09,ORD-0392,北店,タイヤ交換,TECH-02,1,3,6487,10736,完了
2024/01/09,ORD-0393,西店,車検,TECH-03,3,3,40227,48033,作業中
2024/01/09,ORD-0394,東店,車検,TECH-07,3,2,39465,46682,再入庫
2024/01/09,ORD-0395,北店,オイル交換,TECH-08,4,6,12266,32742,作業中
2024/01/09,ORD-0396,東店,車検,TECH-03,3,2,20117,14968,完了
2024/01/10,ORD-0397,東店,オイル交換,TECH-01,2,1,66835,23853,完了
2024/01/10,ORD-0398,東店,タイヤ交換,TECH-01,5,7,34427,21089,完了
2024/01/10,ORD-0399,北店,車検,TECH-05,1,6,20650,32901,完了
2024/01/10,ORD-0400,東店,タイヤ交換,TECH-04,5,1,57550,4517,作業中
2024/01/10,ORD-0401,西店,車検,TECH-06,1,8,6044,24177,完了
2024/01/10,ORD-0402,北店,車検,TECH-10,2,8,53270,38777,再入庫
2024/01/10,ORD-0403,東店,タイヤ交換,TECH-03,1,7,8133,15269,完了
2024/01/10,ORD-0404,北店,オイル交換,TECH-06,1,7,45306,6812,完了
2024/01/11,ORD-0405,東店,一般修理,TECH-08,1,3,41677,6096,完了
2024/01/11,ORD-0406,東店,一般修理,TECH-06,4,2,17527,33123,完了
2024/01/11,ORD-0407,西店,オイル交換,TECH-10,5,1,62014,43413,再入庫
2024/01/11,ORD-0408,東店,車検,TECH-05,3,7,47762,20844,完了
2024/01/11,ORD-0409,東店,オイル交換,TECH-04,2,2,25369,6924,完了
2024/01/11,ORD-0410,西店,車検,TECH-07,1,6,32215,29616,完了
2024/01/11,ORD-0411,西店,オイル交換,TECH-02,2,5,10286,14091,作業中
2024/01/11,ORD-0412,西店,タイヤ交換,TECH-02,2,6,56936,33650,完了
2024/01/11,ORD-0413,西店,車検,TECH-03,1,7,64270,36434,完了
2024/01/12,ORD-0414,東店,オイル交換,TECH-08,1,3,20919,783,完了
2024/01/12,ORD-0415,東店,タイヤ交換,TECH-04,4,6,16015,38163,完了
2024/01/12,ORD-0416,東店,オイル交換,TECH-02,2,8,21880,6027,作業中
2024/01/12,ORD-0417,西店,オイル交換,TECH-01,4,1,27018,37610,完了
2024/01/12,ORD-0418,北店,一般修理,TECH-08,1,7,60923,11325,完了
2024/01/12,ORD-0419,東店,車検,TECH-05,4,3,9541,40246,完了
2024/01/12,ORD-0420,東店,車検,TECH-08,4,8,12992,5748,完了
2024/01/12,ORD-0421,東店,一般修理,TECH-04,5,4,76258,1279,再入庫
2024/01/13,ORD-0422,北店,車検,TECH-08,5,8,50093,37070,完了
2024/01/13,ORD-0423,西店,車検,TECH-03,1,6,33707,1920,作業中
2024/01/13,ORD-0424,西店,オイル交換,TECH-08,5,6,35508,10461,完了
2024/01/13,ORD-0425,北店,タイヤ交換,TECH-05,5,1,33758,37728,作業中
2024/01/13,ORD-0426,西店,車検,TECH-03,2,4,46681,48372,完了
2024/01/13,ORD-0427,北店,オイル交換,TECH-06,5,3,78807,12336,作業中
2024/01/13,ORD-0428,西店,車検,TECH-03,4,1,16830,3681,完了
2024/01/13,ORD-0429,東店,オイル交換,TECH-09,4,1,48481,40247,完了
2024/01/14,ORD-0430,東店,車検,TECH-03,3,1,7872,9680,完了
2024/01/14,ORD-0431,東店,オイル交換,TECH-09,3,2,53967,46172,作業中
2024/01/14,ORD-0432,西店,オイル交換,TECH-06,3,6,22884,10322,完了
2024/01/14,ORD-0433,西店,一般修理,TECH-06,2,6,34260,43616,完了
2024/01/14,ORD-0434,東店,一般修理,TECH-05,3,3,28292,47764,完了
2024/01/14,ORD-0435,北店,一般修理,TECH-10,1,3,46709,40067,完了
2024/01/14,ORD-0436,北店,オイル交換,TECH-08,2,6,15198,15597,完了
2024/01/14,ORD-0437,西店,タイヤ交換,TECH-02,3,8,6493,17380,完了
2024/01/14,ORD-0438,北店,オイル交換,TECH-06,3,2,5167,3155,完了
2024/01/15,ORD-0439,北店,一般修理,TECH-03,4,8,54638,23018,完了
2024/01/15,ORD-0440,東店,一般修理,TECH-10,2,3,64151,4830,完了
2024/01/15,ORD-0441,東店,車検,TECH-01,3,5,18726,4862,完了
2024/01/15,ORD-0442,西店,タイヤ交換,TECH-02,5,2,49295,38930,再入庫
2024/01/15,ORD-0443,西店,オイル交換,TECH-07,2,7,25591,3509,完了
2024/01/15,ORD-0444,東店,タイヤ交換,TECH-07,5,5,41899,19490,完了
2024/01/15,ORD-0445,東店,一般修理,TECH-10,5,8,25131,3572,完了
2024/01/15,ORD-0446,西店,オイル交換,TECH-05,5,8,31171,6356,完了
2024/01/16,ORD-0447,東店,車検,TECH-02,4,2,45416,26048,完了
2024/01/16,ORD-0448,北店,車検,TECH-02,5,7,29232,24315,作業中
2024/01/16,ORD-0449,西店,タイヤ交換,TECH-08,1,5,62637,30478,完了
2024/01/16,ORD-0450,西店,オイル交換,TECH-03,1,2,50061,35484,完了
2024/01/16,ORD-0451,北店,タイヤ交換,TECH-09,1,7,73495,27435,再入庫
2024/01/16,ORD-0452,北店,一般修理,TECH-10,2,8,44171,5174,完了
2024/01/16,ORD-0453,北店,オイル交換,TECH-09,5,3,20765,49623,完了
2024/01/16,ORD-0454,東店,タイヤ交換,TECH-04,2,1,60492,5135,再入庫
2024/01/17,ORD-0455,西店,タイヤ交換,TECH-03,5,5,46910,47651,作業中
2024/01/17,ORD-0456,東店,オイル交換,TECH-07,5,7,77358,21373,作業中
2024/01/17,ORD-0457,北店,一般修理,TECH-01,5,7,19748,27160,完了
2024/01/17,ORD-0458,北店,オイル交換,TECH-02,5,2,42498,35103,作業中
2024/01/17,ORD-0459,西店,車検,TECH-07,4,8,9910,11285,完了
2024/01/17,ORD-0460,東店,一般修理,TECH-01,4,6,36139,3230,完了
2024/01/17,ORD-0461,西店,車検,TECH-01,3,5,45756,18372,作業中
2024/01/17,ORD-0462,北店,オイル交換,TECH-04,2,5,63079,21028,完了
2024/01/17,ORD-0463,西店,オイル交換,TECH-04,4,4,58368,48558,完了
2024/01/18,ORD-0464,北店,車検,TECH-01,5,3,13600,20389,完了
2024/01/18,ORD-0465,西店,タイヤ交換,TECH-09,5,1,27772,12632,作業中
2024/01/18,ORD-0466,東店,オイル交換,TECH-04,1,8,11626,23617,完了
2024/01/18,ORD-0467,西店,車検,TECH-08,5,7,21236,44641,完了
2024/01/18,ORD-0468,西店,一般修理,TECH-10,4,3,67204,38461,完了
2024/01/18,ORD-0469,西店,タイヤ交換,TECH-05,1,5,8597,25333,完了
2024/01/18,ORD-0470,北店,タイヤ交換,TECH-04,2,4,40269,42702,完了
2024/01/18,ORD-0471,東店,オイル交換,TECH-08,2,3,6109,14664,完了
2024/01/19,ORD-0472,西店,車検,TECH-07,4,6,65161,16514,完了
2024/01/19,ORD-0473,西店,一般修理,TECH-10,1,1,72045,43408,再入庫
2024/01/19,ORD-0474,西店,車検,TECH-05,1,8,13367,22038,再入庫
2024/01/19,ORD-0475,北店,車検,TECH-05,3,5,29688,9825,完了
2024/01/19,ORD-0476,東店,オイル交換,TECH-10,4,6,23340,47270,完了
2024/01/19,ORD-0477,西店,車検,TECH-05,4,7,55891,48282,完了
2024/01/19,ORD-0478,北店,タイヤ交換,TECH-06,2,8,51988,33247,完了
2024/01/19,ORD-0479,東店,タイヤ交換,TECH-05,1,8,21769,48556,完了
2024/01/20,ORD-0480,北店,タイヤ交換,TECH-06,1,4,51567,14636,完了
