受付日,依頼番号,店舗名,作業区分,担当技術者,予定日数,実績日数,工賃,部品代,ステータス
2024/01/06,ORD-0044,東店,オイル交換,TECH-07,3,1,5464,21859,完了
2024/01/06,ORD-0045,北店,車検,TECH-03,4,7,78519,633,完了
2024/01/06,ORD-0046,北店,タイヤ交換,TECH-09,1,6,77420,9705,完了
2024/01/06,ORD-0047,東店,車検,TECH-06,1,6,32535,44699,完了
2024/01/06,ORD-0048,東店,車検,TECH-09,4,3,36029,10649,再入庫
2024/01/06,ORD-0049,東店,一般修理,TECH-01,2,6,58964,43903,作業中
2024/01/06,ORD-0050,東店,車検,TECH-03,1,7,10075,30847,完了
2024/01/06,ORD-0051,西店,車検,TECH-05,2,4,8101,43255,完了
2024/01/07,ORD-0052,西店,車検,TECH-02,3,6,71768,26193,完了
2024/01/07,ORD-0053,北店,車検,TECH-01,1,5,28405,38049,再入庫
2024/01/07,ORD-0054,西店,オイル交換,TECH-02,5,7,50309,47745,完了
2024/01/07,ORD-0055,西店,オイル交換,TECH-07,5,4,38386,2908,完了
2024/01/07,ORD-0056,東店,タイヤ交換,TECH-06,4,2,48279,40839,完了
2024/01/07,ORD-0057,東店,車検,TECH-09,3,7,47753,26371,完了
2024/01/07,ORD-0058,北店,タイヤ交換,TECH-04,4,7,27810,40338,完了
2024/01/07,ORD-0059,西店,オイル交換,TECH-05,3,4,61346,38009,完了
2024/01/08,ORD-0060,西店,一般修理,TECH-08,4,4,72000,31010,完了
2024/01/08,ORD-0061,北店,タイヤ交換,TECH-02,3,6,17240,49226,完了
2024/01/08,ORD-0062,西店,タイヤ交換,TECH-04,2,1,11057,16046,再入庫
2024/01/08,ORD-0063,北店,オイル交換,TECH-08,4,4,55328,32399,完了
2024/01/08,ORD-0064,東店,オイル交換,TECH-02,4,4,28053,45607,完了
2024/01/08,ORD-0065,東店,タイヤ交換,TECH-02,4,3,65901,43750,完了
2024/01/08,ORD-0066,北店,車検,TECH-08,5,7,76810,29223,作業中
2024/01/08,ORD-0067,北店,一般修理,TECH-08,3,4,41347,34163,完了
2024/01/09,ORD-0068,東店,車検,TECH-08,1,5,35735,17807,完了
2024/01/09,ORD-0069,北店,オイル交換,TECH-03,2,4,55205,45478,完了
2024/01/09,ORD-0070,東店,オイル交換,TECH-07,4,6,76121,30534,完了
2024/01/09,ORD-0071,東店,一般修理,TECH-07,5,1,54857,31259,完了
2024/01/09,ORD-0072,西店,車検,TECH-07,4,4,68993,14380,完了
2024/01/09,ORD-0073,西店,オイル交換,TECH-07,3,7,26632,30630,作業中
2024/01/09,ORD-0074,北店,オイル交換,TECH-07,5,1,16003,42123,完了
2024/01/09,ORD-0075,西店,タイヤ交換,TECH-01,3,7,47906,13871,完了
2024/01/09,ORD-0076,西店,一般修理,TECH-05,4,5,15735,30822,完了
2024/01/10,ORD-0077,北店,オイル交換,TECH-06,2,2,10276,49429,完了
2024/01/10,ORD-0078,東店,タイヤ交換,TECH-01,5,3,36266,8272,完了
2024/01/10,ORD-0079,東店,タイヤ交換,TECH-08,3,6,26992,39707,完了
2024/01/10,ORD-0080,北店,オイル交換,TECH-03,3,2,8365,20444,完了
2024/01/10,ORD-0081,西店,一般修理,TECH-04,1,4,18356,45691,完了
2024/01/10,ORD-0082,北店,オイル交換,TECH-10,1,6,74827,28074,完了
2024/01/10,ORD-0083,東店,車検,TECH-01,4,8,18833,28411,再入庫
2024/01/10,ORD-0084,北店,一般修理,TECH-03,4,3,73386,42628,完了
2024/01/11,ORD-0085,北店,一般修理,TECH-08,4,5,47245,16088,作業中
2024/01/11,ORD-0086,東店,車検,TECH-08,2,8,79691,39998,完了
2024/01/11,ORD-0087,西店,オイル交換,TECH-08,3,3,68904,13901,完了
2024/01/11,ORD-0088,西店,車検,TECH-05,5,5,77848,665,完了
2024/01/11,ORD-0089,東店,オイル交換,TECH-04,4,8,77768,49687,完了
2024/01/11,ORD-0090,西店,一般修理,TECH-08,1,2,43566,14522,完了
2024/01/11,ORD-0091,東店,車検,TECH-10,3,8,77544,34794,完了
2024/01/11,ORD-0092,北店,車検,TECH-06,4,5,45189,16475,完了
2024/01/11,ORD-0093,北店,タイヤ交換,TECH-06,1,3,30105,14180,完了
2024/01/12,ORD-0094,西店,車検,TECH-02,2,5,34816,23650,完了
2024/01/12,ORD-0095,東店,タイヤ交換,TECH-05,1,1,77529,19145,完了
2024/01/12,ORD-0096,東店,一般修理,TECH-02,1,5,66524,31373,完了
2024/01/12,ORD-0097,東店,オイル交換,TECH-05,4,2,13564,26260,完了
2024/01/12,ORD-0098,北店,オイル交換,TECH-03,2,5,16164,16265,完了
2024/01/12,ORD-0099,西店,タイヤ交換,TECH-09,4,8,63028,19487,作業中
2024/01/12,ORD-0100,西店,車検,TECH-10,5,1,18006,49986,完了
2024/01/12,ORD-0101,東店,車検,TECH-02,2,4,27782,36175,完了
2024/01/13,ORD-0102,東店,一般修理,TECH-08,5,8,43175,2139,完了
2024/01/13,ORD-0103,北店,車検,TECH-08,1,4,39675,40963,完了
2024/01/13,ORD-0104,東店,一般修理,TECH-02,5,4,24528,17408,作業中
2024/01/13,ORD-0105,東店,オイル交換,TECH-03,3,5,62560,8149,完了
2024/01/13,ORD-0106,西店,一般修理,TECH-05,5,8,62377,5271,完了
2024/01/13,ORD-0107,西店,車検,TECH-10,3,1,16970,15002,再入庫
2024/01/13,ORD-0108,北店,オイル交換,TECH-05,5,1,27962,30834,完了
2024/01/13,ORD-0109,西店,車検,TECH-03,5,7,69451,5979,完了
2024/01/14,ORD-0110,西店,車検,TECH-06,1,3,48228,26977,完了
2024/01/14,ORD-0111,西店,一般修理,TECH-09,1,8,16542,20612,完了
2024/01/14,ORD-0112,東店,一般修理,TECH-09,1,8,59165,3552,完了
2024/01/14,ORD-0113,西店,一般修理,TECH-08,1,4,40003,35993,完了
2024/01/14,ORD-0114,西店,一般修理,TECH-08,1,1,36365,46516,完了
2024/01/14,ORD-0115,北店,オイル交換,TECH-09,4,2,34451,7435,完了
2024/01/14,ORD-0116,東店,タイヤ交換,TECH-08,3,5,59459,31621,再入庫
2024/01/14,ORD-0117,東店,一般修理,TECH-09,2,7,29983,39280,完了
2024/01/14,ORD-0118,東店,オイル交換,TECH-05,4,6,71550,17509,作業中
2024/01/15,ORD-0119,西店,車検,TECH-10,5,8,24476,29264,完了
2024/01/15,ORD-0120,西店,車検,TECH-09,5,7,64682,21088,作業中
2024/01/15,ORD-0121,北店,タイヤ交換,TECH-10,4,4,58841,2860,完了
2024/01/15,ORD-0122,西店,一般修理,TECH-07,2,8,9852,8273,完了
2024/01/15,ORD-0123,北店,車検,TECH-02,4,2,73937,29945,完了
2024/01/15,ORD-0124,東店,一般修理,TECH-03,1,8,39737,22187,完了
2024/01/15,ORD-0125,西店,オイル交換,TECH-06,5,7,46505,41077,完了
2024/01/15,ORD-0126,西店,オイル交換,TECH-10,1,4,42667,14908,完了
2024/01/16,ORD-0127,西店,オイル交換,TECH-02,4,3,44251,1897,完了
2024/01/16,ORD-0128,東店,車検,TECH-06,3,7,24080,16003,完了
2024/01/16,ORD-0129,北店,タイヤ交換,TECH-03,2,2,55140,40613,完了
2024/01/16,ORD-0130,西店,タイヤ交換,TECH-04,4,5,65236,16733,完了
2024/01/16,ORD-0131,西店,車検,TECH-09,2,2,62898,22646,再入庫
2024/01/16,ORD-0132,西店,一般修理,TECH-05,4,5,31111,25211,作業中
2024/01/16,ORD-0133,東店,タイヤ交換,TECH-07,5,6,43780,45827,完了
2024/01/16,ORD-0134,北店,一般修理,TECH-05,1,1,70107,18756,完了
2024/01/17,ORD-0135,東店,車検,TECH-04,2,5,22927,41172,完了
2024/01/17,ORD-0136,北店,オイル交換,TECH-05,4,1,52823,47995,完了
2024/01/17,ORD-0137,西店,車検,TECH-07,2,4,22322,35350,作業中
2024/01/17,ORD-0138,西店,車検,TECH-03,3,8,43684,48926,作業中
2024/01/17,ORD-0139,東店,一般修理,TECH-02,2,4,57089,36524,完了
2024/01/17,ORD-0140,西店,オイル交換,TECH-05,5,2,64609,24155,完了
2024/01/17,ORD-0141,北店,車検,TECH-10,4,6,19201,44226,完了
2024/01/17,ORD-0142,東店,車検,TECH-10,2,2,65852,45945,完了
2024/01/17,ORD-0143,西店,オイル交換,TECH-03,1,1,44893,32284,完了
2024/01/18,ORD-0144,東店,タイヤ交換,TECH-07,4,6,75804,27467,完了
2024/01/18,ORD-0145,北店,タイヤ交換,TECH-07,1,8,58492,18333,完了
2024/01/18,ORD-0146,西店,タイヤ交換,TECH-08,4,4,52537,6511,再入庫
2024/01/18,ORD-0147,西店,車検,TECH-01,4,5,29878,8005,作業中
2024/01/18,ORD-0148,西店,オイル交換,TECH-04,5,1,11629,21856,完了
2024/01/18,ORD-0149,東店,タイヤ交換,TECH-02,5,4,33305,15269,完了
2024/01/18,ORD-0150,東店,オイル交換,TECH-05,2,3,75807,16426,完了
2024/01/18,ORD-0151,東店,オイル交換,TECH-03,1,6,36186,38591,完了
2024/01/19,ORD-0152,東店,車検,TECH-01,2,7,73955,7448,完了
2024/01/19,ORD-0153,西店,一般修理,TECH-06,5,2,64245,33019,完了
2024/01/19,ORD-0154,北店,オイル交換,TECH-09,3,8,9082,3986,再入庫
2024/01/19,ORD-0155,西店,一般修理,TECH-02,4,8,14632,5294,完了
2024/01/19,ORD-0156,東店,オイル交換,TECH-03,3,6,54925,39150,完了
2024/01/19,ORD-0157,西店,一般修理,TECH-02,1,4,61370,29593,作業中
2024/01/19,ORD-0158,西店,車検,TECH-08,4,7,17463,20483,完了
2024/01/19,ORD-0159,北店,車検,TECH-06,2,8,13799,5978,作業中
2024/01/20,ORD-0160,東店,一般修理,TECH-02,3,3,77924,3930,完了
