apply_date,apply_no,channel,job_type,cost,phase,is_hired,is_accepted,cost_per_hire,channel_efficiency,offer_acceptance,source_file
2024-01-24,59,合同説明会,営業,85697,二次面接,0,,85697,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-07,60,リファラル,営業,27300,内定,1,1.0,27300,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-01-03,61,エージェント,事務,311557,書類選考,0,,311557,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-25,62,SNS採用,事務,40589,最終面接,0,,40589,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-18,63,求人サイト,エンジニア,109862,一次面接,0,,109862,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-02,64,リファラル,デザイン,46210,一次面接,0,,46210,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-05,65,求人サイト,事務,147795,書類選考,0,,147795,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-07,66,SNS採用,エンジニア,53178,内定,1,0.0,53178,高効率,辞退,recruitment_cost_styleA_202401.csv
2024-02-20,67,SNS採用,営業,40649,一次面接,0,,40649,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-01,68,SNS採用,事務,56982,一次面接,0,,56982,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-06,69,求人サイト,マーケ,105075,最終面接,0,,105075,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-12,70,リファラル,営業,24609,書類選考,0,,24609,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-07,71,エージェント,事務,373034,書類選考,0,,373034,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-12,72,合同説明会,マーケ,139065,内定,1,1.0,139065,標準,承諾,recruitment_cost_styleA_202401.csv
2024-01-04,73,リファラル,営業,48049,二次面接,0,,48049,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-04,74,合同説明会,マーケ,95309,二次面接,0,,95309,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-20,75,合同説明会,エンジニア,100488,内定,1,1.0,100488,標準,承諾,recruitment_cost_styleA_202401.csv
2024-01-23,76,エージェント,エンジニア,436293,内定,1,1.0,436293,標準,承諾,recruitment_cost_styleA_202401.csv
2024-03-24,77,SNS採用,事務,58265,書類選考,0,,58265,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-11,78,合同説明会,事務,136951,書類選考,0,,136951,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-10,79,合同説明会,事務,137410,最終面接,0,,137410,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-10,80,合同説明会,営業,75144,最終面接,0,,75144,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-22,81,SNS採用,デザイン,67296,二次面接,0,,67296,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-18,82,求人サイト,事務,137606,一次面接,0,,137606,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-26,83,合同説明会,デザイン,135813,二次面接,0,,135813,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-15,84,エージェント,営業,434001,最終面接,0,,434001,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-06,85,求人サイト,事務,167561,内定,1,1.0,167561,標準,承諾,recruitment_cost_styleA_202401.csv
2024-01-22,86,リファラル,営業,23050,一次面接,0,,23050,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-02,87,SNS採用,マーケ,70060,書類選考,0,,70060,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-14,88,合同説明会,営業,144155,最終面接,0,,144155,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-05,89,求人サイト,エンジニア,155724,一次面接,0,,155724,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-26,90,合同説明会,マーケ,56582,内定,1,1.0,56582,標準,承諾,recruitment_cost_styleA_202401.csv
2024-01-15,91,SNS採用,マーケ,73750,内定,1,0.0,73750,高効率,辞退,recruitment_cost_styleA_202401.csv
2024-03-11,92,エージェント,デザイン,488553,内定,1,1.0,488553,標準,承諾,recruitment_cost_styleA_202401.csv
2024-03-15,93,SNS採用,マーケ,59495,二次面接,0,,59495,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-27,94,リファラル,デザイン,41758,一次面接,0,,41758,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-15,95,求人サイト,事務,130735,二次面接,0,,130735,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-11,96,合同説明会,エンジニア,68136,一次面接,0,,68136,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-13,97,SNS採用,営業,34209,最終面接,0,,34209,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-15,98,エージェント,エンジニア,354220,最終面接,0,,354220,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-23,99,求人サイト,デザイン,149857,最終面接,1,1.0,149857,標準,承諾,recruitment_cost_styleA_202401.csv
2024-02-28,100,エージェント,デザイン,495956,内定,1,1.0,495956,標準,承諾,recruitment_cost_styleA_202401.csv
2024-01-16,101,SNS採用,事務,58562,最終面接,1,1.0,58562,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-03-26,102,エージェント,営業,422523,一次面接,0,,422523,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-18,103,求人サイト,マーケ,177580,内定,1,1.0,177580,標準,承諾,recruitment_cost_styleA_202401.csv
2024-01-21,104,エージェント,営業,421031,一次面接,0,,421031,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-09,105,エージェント,事務,355485,最終面接,0,,355485,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-09,106,エージェント,事務,321471,最終面接,1,1.0,321471,標準,承諾,recruitment_cost_styleA_202401.csv
2024-02-08,107,求人サイト,エンジニア,198858,書類選考,0,,198858,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-07,108,求人サイト,デザイン,119973,一次面接,0,,119973,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-16,109,求人サイト,デザイン,128569,最終面接,0,,128569,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-06,110,合同説明会,デザイン,148032,書類選考,0,,148032,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-10,111,求人サイト,デザイン,103365,二次面接,0,,103365,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-22,112,エージェント,マーケ,487436,一次面接,0,,487436,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-19,113,SNS採用,エンジニア,75691,二次面接,0,,75691,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-20,114,求人サイト,デザイン,105383,二次面接,0,,105383,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-14,115,リファラル,エンジニア,43158,二次面接,0,,43158,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-28,116,エージェント,マーケ,327666,最終面接,0,,327666,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-27,117,エージェント,営業,414160,一次面接,0,,414160,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-17,118,リファラル,デザイン,45269,最終面接,0,,45269,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-19,119,リファラル,事務,26088,書類選考,0,,26088,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-15,120,SNS採用,マーケ,67345,内定,1,1.0,67345,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-02-01,121,エージェント,事務,347668,最終面接,0,,347668,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-11,122,リファラル,デザイン,28105,内定,1,1.0,28105,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-01-03,123,SNS採用,マーケ,62019,内定,1,1.0,62019,高効率,承諾,recruitment_cost_styleA_202401.csv
2024-03-16,124,エージェント,マーケ,304520,書類選考,0,,304520,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-02-08,125,エージェント,営業,380270,内定,1,1.0,380270,標準,承諾,recruitment_cost_styleA_202401.csv
2024-03-17,126,リファラル,マーケ,46070,二次面接,0,,46070,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-02-23,127,エージェント,事務,380379,二次面接,0,,380379,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-04,128,SNS採用,事務,37835,内定,1,0.0,37835,高効率,辞退,recruitment_cost_styleA_202401.csv
2024-03-06,129,SNS採用,営業,78405,最終面接,0,,78405,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-03-25,130,合同説明会,デザイン,87093,書類選考,0,,87093,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-10,131,SNS採用,事務,41759,二次面接,0,,41759,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-23,132,合同説明会,営業,85954,書類選考,0,,85954,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-01-18,133,リファラル,営業,42170,書類選考,0,,42170,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-19,134,リファラル,マーケ,41373,最終面接,0,,41373,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-09,135,エージェント,エンジニア,317129,最終面接,0,,317129,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-21,136,求人サイト,営業,119555,内定,1,0.0,119555,標準,辞退,recruitment_cost_styleA_202401.csv
2024-01-08,137,求人サイト,デザイン,154548,内定,1,1.0,154548,標準,承諾,recruitment_cost_styleA_202401.csv
2024-03-08,138,合同説明会,マーケ,109049,最終面接,0,,109049,標準,該当なし,recruitment_cost_styleA_202401.csv
2024-03-14,139,リファラル,デザイン,13947,内定,1,0.0,13947,高効率,辞退,recruitment_cost_styleA_202401.csv
2024-01-25,140,SNS採用,営業,47343,書類選考,0,,47343,高効率,該当なし,recruitment_cost_styleA_202401.csv
2024-01-08,141,SNS採用,デザイン,34919,一次面接,0,,34919,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-14,142,エージェント,デザイン,423184,二次面接,0,,423184,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-08,143,リファラル,事務,39755,書類選考,0,,39755,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-03-08,144,リファラル,デザイン,22964,最終面接,1,1.0,22964,高効率,承諾,recruitment_cost_styleB_202401.csv
2024-01-09,145,SNS採用,エンジニア,33908,一次面接,0,,33908,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-20,146,合同説明会,事務,107560,書類選考,0,,107560,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-23,147,リファラル,マーケ,27841,内定,1,1.0,27841,高効率,承諾,recruitment_cost_styleB_202401.csv
2024-02-03,148,合同説明会,エンジニア,106626,二次面接,0,,106626,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-09,149,求人サイト,エンジニア,130005,内定,1,1.0,130005,標準,承諾,recruitment_cost_styleB_202401.csv
2024-01-25,150,リファラル,デザイン,12636,一次面接,0,,12636,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-17,151,エージェント,事務,347576,内定,1,1.0,347576,標準,承諾,recruitment_cost_styleB_202401.csv
2024-02-03,152,エージェント,事務,407046,二次面接,0,,407046,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-22,153,求人サイト,営業,143228,最終面接,0,,143228,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-22,154,エージェント,デザイン,309619,最終面接,1,1.0,309619,標準,承諾,recruitment_cost_styleB_202401.csv
2024-01-25,155,エージェント,デザイン,300301,内定,1,1.0,300301,標準,承諾,recruitment_cost_styleB_202401.csv
2024-01-07,156,合同説明会,事務,131609,最終面接,0,,131609,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-07,157,リファラル,デザイン,18586,二次面接,0,,18586,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-23,158,エージェント,エンジニア,307567,内定,1,1.0,307567,標準,承諾,recruitment_cost_styleB_202401.csv
2024-03-06,159,リファラル,デザイン,10896,内定,1,1.0,10896,高効率,承諾,recruitment_cost_styleB_202401.csv
2024-01-27,160,求人サイト,マーケ,115396,一次面接,0,,115396,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-23,161,リファラル,デザイン,27919,最終面接,0,,27919,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-08,162,エージェント,デザイン,337917,最終面接,1,1.0,337917,標準,承諾,recruitment_cost_styleB_202401.csv
2024-03-05,163,求人サイト,事務,154387,二次面接,0,,154387,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-09,164,求人サイト,事務,195164,二次面接,0,,195164,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-19,165,エージェント,営業,417059,内定,1,1.0,417059,標準,承諾,recruitment_cost_styleB_202401.csv
2024-02-18,166,合同説明会,マーケ,109682,二次面接,0,,109682,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-23,167,SNS採用,デザイン,55098,一次面接,0,,55098,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-02,168,リファラル,マーケ,34984,最終面接,0,,34984,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-03-05,169,エージェント,エンジニア,333094,内定,1,0.0,333094,標準,辞退,recruitment_cost_styleB_202401.csv
2024-02-28,170,求人サイト,マーケ,113069,内定,1,0.0,113069,標準,辞退,recruitment_cost_styleB_202401.csv
2024-01-24,171,SNS採用,マーケ,72911,一次面接,0,,72911,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-16,172,リファラル,事務,36049,書類選考,0,,36049,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-28,173,合同説明会,マーケ,91505,最終面接,0,,91505,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-20,174,求人サイト,営業,182727,二次面接,0,,182727,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-24,175,求人サイト,マーケ,112903,書類選考,0,,112903,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-06,176,リファラル,エンジニア,13014,二次面接,0,,13014,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-10,177,リファラル,事務,38225,一次面接,0,,38225,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-17,178,エージェント,デザイン,478729,一次面接,0,,478729,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-06,179,求人サイト,デザイン,150140,内定,1,1.0,150140,標準,承諾,recruitment_cost_styleB_202401.csv
2024-02-19,180,SNS採用,営業,60221,二次面接,0,,60221,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-09,181,求人サイト,マーケ,137700,内定,1,1.0,137700,標準,承諾,recruitment_cost_styleB_202401.csv
2024-02-12,182,合同説明会,事務,133746,最終面接,0,,133746,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-28,183,リファラル,営業,35211,最終面接,1,1.0,35211,高効率,承諾,recruitment_cost_styleB_202401.csv
2024-02-19,184,リファラル,事務,11437,最終面接,0,,11437,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-03-28,185,求人サイト,デザイン,197671,最終面接,0,,197671,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-25,186,SNS採用,デザイン,53089,一次面接,0,,53089,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-03-07,187,合同説明会,事務,138835,一次面接,0,,138835,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-04,188,求人サイト,事務,157779,書類選考,0,,157779,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-12,189,SNS採用,エンジニア,49340,二次面接,0,,49340,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-03-14,190,SNS採用,営業,38661,内定,1,0.0,38661,高効率,辞退,recruitment_cost_styleB_202401.csv
2024-02-17,191,合同説明会,事務,71567,二次面接,0,,71567,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-26,192,リファラル,事務,17547,最終面接,0,,17547,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-25,193,SNS採用,マーケ,66524,二次面接,0,,66524,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-26,194,エージェント,エンジニア,369326,内定,1,1.0,369326,標準,承諾,recruitment_cost_styleB_202401.csv
2024-02-22,195,リファラル,デザイン,34970,二次面接,0,,34970,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-22,196,SNS採用,マーケ,31640,内定,1,0.0,31640,高効率,辞退,recruitment_cost_styleB_202401.csv
2024-03-11,197,合同説明会,営業,134889,書類選考,0,,134889,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-27,198,エージェント,事務,470194,最終面接,1,1.0,470194,標準,承諾,recruitment_cost_styleB_202401.csv
2024-01-10,199,エージェント,エンジニア,325478,一次面接,0,,325478,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-05,200,エージェント,マーケ,397258,内定,1,1.0,397258,標準,承諾,recruitment_cost_styleB_202401.csv
2024-03-24,201,SNS採用,マーケ,72920,書類選考,0,,72920,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-20,202,エージェント,事務,308576,二次面接,0,,308576,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-15,203,エージェント,営業,395075,書類選考,0,,395075,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-12,204,合同説明会,事務,57936,最終面接,0,,57936,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-28,205,エージェント,エンジニア,473740,一次面接,0,,473740,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-21,206,合同説明会,エンジニア,56629,二次面接,0,,56629,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-05,207,合同説明会,営業,58992,内定,1,1.0,58992,標準,承諾,recruitment_cost_styleB_202401.csv
2024-01-27,208,SNS採用,事務,39670,内定,1,1.0,39670,高効率,承諾,recruitment_cost_styleB_202401.csv
2024-01-05,209,合同説明会,事務,72871,書類選考,0,,72871,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-28,210,求人サイト,営業,101947,二次面接,0,,101947,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-19,211,リファラル,エンジニア,21419,二次面接,0,,21419,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-05,212,エージェント,デザイン,329792,書類選考,0,,329792,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-15,213,リファラル,デザイン,48906,書類選考,0,,48906,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-02-17,214,SNS採用,デザイン,32841,内定,1,1.0,32841,高効率,承諾,recruitment_cost_styleB_202401.csv
2024-03-01,215,求人サイト,マーケ,152640,最終面接,0,,152640,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-23,216,エージェント,エンジニア,321178,二次面接,0,,321178,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-05,217,求人サイト,営業,136046,内定,1,1.0,136046,標準,承諾,recruitment_cost_styleB_202401.csv
2024-03-23,218,リファラル,マーケ,49150,内定,1,1.0,49150,高効率,承諾,recruitment_cost_styleB_202401.csv
2024-03-20,219,エージェント,エンジニア,483967,書類選考,0,,483967,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-21,220,合同説明会,営業,106370,最終面接,0,,106370,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-11,221,エージェント,マーケ,409049,書類選考,0,,409049,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-14,222,リファラル,事務,34530,一次面接,0,,34530,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-03-16,223,求人サイト,エンジニア,111188,書類選考,0,,111188,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-04,224,リファラル,営業,46462,書類選考,0,,46462,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-03-18,225,合同説明会,事務,137819,書類選考,0,,137819,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-12,226,エージェント,エンジニア,375400,内定,1,1.0,375400,標準,承諾,recruitment_cost_styleB_202401.csv
2024-01-19,227,合同説明会,営業,70280,最終面接,0,,70280,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-01-12,228,合同説明会,事務,65058,二次面接,0,,65058,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-03-08,229,エージェント,デザイン,462981,内定,1,1.0,462981,標準,承諾,recruitment_cost_styleB_202401.csv
2024-03-01,230,合同説明会,事務,53794,一次面接,0,,53794,標準,該当なし,recruitment_cost_styleB_202401.csv
2024-02-23,231,リファラル,事務,33004,書類選考,0,,33004,高効率,該当なし,recruitment_cost_styleB_202401.csv
2024-01-28,232,SNS採用,デザイン,73079,最終面接,1,1.0,73079,高効率,承諾,recruitment_cost_styleB_202401.csv
2024-01-03,233,合同説明会,営業,99308,最終面接,0,,99308,標準,該当なし,recruitment_cost_styleB_202401.csv
