response_date,customer_code,service_type,agent,overall_sat,response_speed,quality,cost_perf,nps,csat_score,nps_category,satisfaction_flag,source_file
2024-05-12,C0055,研修,鈴木,1,3,3,5,9,3.0,推奨者,普通,satisfaction_styleA.csv
2024-01-27,C0056,導入支援,佐藤,4,5,4,3,5,4.0,批判者,満足,satisfaction_styleA.csv
2024-01-11,C0057,研修,伊藤,4,4,3,2,3,3.25,批判者,普通,satisfaction_styleA.csv
2024-12-15,C0058,研修,高橋,2,4,1,3,7,2.5,中立者,不満,satisfaction_styleA.csv
2024-03-17,C0059,導入支援,高橋,2,4,1,2,8,2.25,中立者,不満,satisfaction_styleA.csv
2024-02-21,C0060,研修,鈴木,1,4,1,5,7,2.75,中立者,不満,satisfaction_styleA.csv
2024-04-21,C0061,ITサポート,佐藤,4,2,1,4,4,2.75,批判者,不満,satisfaction_styleA.csv
2024-09-17,C0062,保守,伊藤,4,1,3,5,6,3.25,批判者,普通,satisfaction_styleA.csv
2024-04-23,C0063,保守,高橋,5,1,5,1,3,3.0,批判者,普通,satisfaction_styleA.csv
2024-01-02,C0064,保守,佐藤,1,4,1,1,7,1.75,中立者,不満,satisfaction_styleA.csv
2024-10-18,C0065,コンサルティング,鈴木,1,1,3,1,4,1.5,批判者,不満,satisfaction_styleA.csv
2024-10-17,C0066,保守,鈴木,4,2,2,5,6,3.25,批判者,普通,satisfaction_styleA.csv
2024-08-25,C0067,研修,佐藤,2,2,1,5,6,2.5,批判者,不満,satisfaction_styleA.csv
2024-10-21,C0068,研修,佐藤,4,5,2,2,7,3.25,中立者,普通,satisfaction_styleA.csv
2024-06-20,C0069,保守,高橋,3,1,4,3,10,2.75,推奨者,不満,satisfaction_styleA.csv
2024-10-19,C0070,研修,佐藤,1,4,3,5,4,3.25,批判者,普通,satisfaction_styleA.csv
2024-11-11,C0071,導入支援,鈴木,4,3,2,4,7,3.25,中立者,普通,satisfaction_styleA.csv
2024-11-26,C0072,ITサポート,佐藤,4,5,3,5,4,4.25,批判者,満足,satisfaction_styleA.csv
2024-04-06,C0073,保守,田中,4,3,1,5,10,3.25,推奨者,普通,satisfaction_styleA.csv
2024-06-12,C0074,ITサポート,伊藤,4,3,2,5,5,3.5,批判者,普通,satisfaction_styleA.csv
2024-08-23,C0075,コンサルティング,佐藤,5,3,2,1,10,2.75,推奨者,不満,satisfaction_styleA.csv
2024-09-15,C0076,ITサポート,鈴木,4,1,5,3,2,3.25,批判者,普通,satisfaction_styleA.csv
2024-03-22,C0077,ITサポート,鈴木,3,4,2,2,2,2.75,批判者,不満,satisfaction_styleA.csv
2024-11-06,C0078,研修,鈴木,5,5,3,2,4,3.75,批判者,普通,satisfaction_styleA.csv
2024-08-09,C0079,導入支援,鈴木,3,1,4,1,2,2.25,批判者,不満,satisfaction_styleA.csv
2024-12-09,C0080,コンサルティング,高橋,5,3,1,4,0,3.25,批判者,普通,satisfaction_styleA.csv
2024-02-16,C0081,保守,伊藤,1,4,3,3,9,2.75,推奨者,不満,satisfaction_styleA.csv
2024-05-28,C0082,導入支援,鈴木,1,2,4,1,9,2.0,推奨者,不満,satisfaction_styleA.csv
2024-11-12,C0083,研修,鈴木,5,2,1,4,4,3.0,批判者,普通,satisfaction_styleA.csv
2024-04-10,C0084,導入支援,田中,2,1,1,3,7,1.75,中立者,不満,satisfaction_styleA.csv
2024-09-07,C0085,ITサポート,田中,2,5,2,4,7,3.25,中立者,普通,satisfaction_styleA.csv
2024-10-12,C0086,保守,伊藤,4,5,2,4,10,3.75,推奨者,普通,satisfaction_styleA.csv
2024-01-07,C0087,ITサポート,高橋,5,4,3,1,5,3.25,批判者,普通,satisfaction_styleA.csv
2024-03-04,C0088,コンサルティング,高橋,4,2,3,1,10,2.5,推奨者,不満,satisfaction_styleA.csv
2024-04-13,C0089,保守,伊藤,3,1,4,3,3,2.75,批判者,不満,satisfaction_styleA.csv
2024-08-03,C0090,ITサポート,高橋,1,2,5,1,0,2.25,批判者,不満,satisfaction_styleA.csv
2024-07-13,C0091,保守,佐藤,2,5,2,1,8,2.5,中立者,不満,satisfaction_styleA.csv
2024-02-28,C0092,コンサルティング,伊藤,2,2,3,2,9,2.25,推奨者,不満,satisfaction_styleA.csv
2024-04-01,C0093,ITサポート,鈴木,2,2,5,3,2,3.0,批判者,普通,satisfaction_styleA.csv
2024-04-11,C0094,ITサポート,田中,2,1,3,2,9,2.0,推奨者,不満,satisfaction_styleA.csv
2024-12-05,C0095,保守,田中,2,3,1,2,6,2.0,批判者,不満,satisfaction_styleA.csv
2024-01-25,C0096,研修,田中,1,4,4,3,8,3.0,中立者,普通,satisfaction_styleA.csv
2024-11-20,C0097,研修,田中,4,5,2,5,0,4.0,批判者,満足,satisfaction_styleA.csv
2024-04-16,C0098,研修,鈴木,4,1,1,4,6,2.5,批判者,不満,satisfaction_styleA.csv
2024-02-04,C0099,導入支援,田中,4,4,1,1,5,2.5,批判者,不満,satisfaction_styleA.csv
2024-03-05,C0100,研修,佐藤,1,2,3,5,10,2.75,推奨者,不満,satisfaction_styleA.csv
2024-09-16,C0101,研修,伊藤,3,4,5,5,4,4.25,批判者,満足,satisfaction_styleA.csv
2024-03-18,C0102,導入支援,伊藤,5,4,1,1,10,2.75,推奨者,不満,satisfaction_styleA.csv
2024-07-10,C0103,研修,佐藤,4,4,2,4,5,3.5,批判者,普通,satisfaction_styleA.csv
2024-08-20,C0104,導入支援,高橋,4,1,3,4,5,3.0,批判者,普通,satisfaction_styleA.csv
2024-03-14,C0105,保守,鈴木,2,4,1,1,1,2.0,批判者,不満,satisfaction_styleA.csv
2024-07-11,C0106,ITサポート,高橋,1,3,2,5,0,2.75,批判者,不満,satisfaction_styleA.csv
2024-03-07,C0107,研修,伊藤,5,3,1,4,5,3.25,批判者,普通,satisfaction_styleA.csv
2024-04-02,C0108,導入支援,田中,3,5,3,3,1,3.5,批判者,普通,satisfaction_styleA.csv
2024-08-24,C0109,研修,伊藤,2,2,4,2,1,2.5,批判者,不満,satisfaction_styleA.csv
2024-05-23,C0110,保守,伊藤,3,1,3,5,3,3.0,批判者,普通,satisfaction_styleA.csv
2024-03-10,C0111,導入支援,伊藤,5,5,5,1,9,4.0,推奨者,満足,satisfaction_styleA.csv
2024-05-09,C0112,保守,田中,2,3,3,3,5,2.75,批判者,不満,satisfaction_styleA.csv
2024-07-06,C0113,ITサポート,佐藤,2,5,4,1,2,3.0,批判者,普通,satisfaction_styleA.csv
2024-12-02,C0114,ITサポート,田中,5,2,4,4,7,3.75,中立者,普通,satisfaction_styleA.csv
2024-06-23,C0115,保守,佐藤,3,3,3,5,9,3.5,推奨者,普通,satisfaction_styleA.csv
2024-01-09,C0116,ITサポート,田中,2,2,5,1,10,2.5,推奨者,不満,satisfaction_styleA.csv
2024-08-14,C0117,ITサポート,鈴木,4,4,4,5,7,4.25,中立者,満足,satisfaction_styleA.csv
2024-01-08,C0118,導入支援,鈴木,2,5,1,3,6,2.75,批判者,不満,satisfaction_styleA.csv
2024-09-20,C0119,ITサポート,鈴木,5,4,5,3,0,4.25,批判者,満足,satisfaction_styleA.csv
2024-04-07,C0120,コンサルティング,高橋,5,1,1,2,4,2.25,批判者,不満,satisfaction_styleA.csv
2024-01-10,C0121,コンサルティング,佐藤,3,3,3,1,0,2.5,批判者,不満,satisfaction_styleA.csv
2024-12-11,C0122,導入支援,高橋,2,2,4,5,3,3.25,批判者,普通,satisfaction_styleA.csv
2024-06-22,C0123,研修,伊藤,3,1,4,1,6,2.25,批判者,不満,satisfaction_styleA.csv
2024-08-22,C0124,ITサポート,高橋,1,3,5,4,9,3.25,推奨者,普通,satisfaction_styleA.csv
2024-10-10,C0125,導入支援,高橋,3,1,4,1,5,2.25,批判者,不満,satisfaction_styleA.csv
2024-03-15,C0126,コンサルティング,伊藤,4,3,1,4,1,3.0,批判者,普通,satisfaction_styleA.csv
2024-07-20,C0127,コンサルティング,高橋,5,4,5,1,6,3.75,批判者,普通,satisfaction_styleA.csv
2024-01-06,C0128,保守,鈴木,2,3,2,1,8,2.0,中立者,不満,satisfaction_styleA.csv
2024-04-03,C0129,ITサポート,伊藤,5,2,3,3,10,3.25,推奨者,普通,satisfaction_styleA.csv
2024-08-10,C0130,コンサルティング,佐藤,1,2,3,2,2,2.0,批判者,不満,satisfaction_styleA.csv
2024-12-27,C0131,研修,佐藤,1,2,4,4,9,2.75,推奨者,不満,satisfaction_styleA.csv
2024-09-08,C0132,研修,高橋,5,5,3,3,2,4.0,批判者,満足,satisfaction_styleA.csv
2024-02-03,C0133,導入支援,田中,4,4,3,3,9,3.5,推奨者,普通,satisfaction_styleA.csv
2024-05-04,C0134,ITサポート,鈴木,5,1,3,4,7,3.25,中立者,普通,satisfaction_styleA.csv
2024-05-21,C0135,ITサポート,田中,3,3,1,1,9,2.0,推奨者,不満,satisfaction_styleA.csv
2024-10-08,C0136,研修,伊藤,4,4,5,5,0,4.5,批判者,満足,satisfaction_styleA.csv
2024-07-03,C0137,導入支援,伊藤,2,3,5,4,8,3.5,中立者,普通,satisfaction_styleA.csv
2024-08-27,C0138,コンサルティング,田中,4,1,3,1,8,2.25,中立者,不満,satisfaction_styleA.csv
2024-12-18,C0139,コンサルティング,田中,2,4,4,5,8,3.75,中立者,普通,satisfaction_styleA.csv
2024-10-25,C0140,研修,佐藤,3,3,3,4,6,3.25,批判者,普通,satisfaction_styleA.csv
2024-04-18,C0141,保守,伊藤,1,3,1,3,1,2.0,批判者,不満,satisfaction_styleB.csv
2024-02-09,C0142,研修,高橋,3,3,5,2,5,3.25,批判者,普通,satisfaction_styleB.csv
2024-07-18,C0143,ITサポート,伊藤,2,3,3,4,2,3.0,批判者,普通,satisfaction_styleB.csv
2024-04-17,C0144,研修,田中,3,5,4,3,2,3.75,批判者,普通,satisfaction_styleB.csv
2024-08-20,C0145,研修,田中,4,5,3,1,5,3.25,批判者,普通,satisfaction_styleB.csv
2024-05-21,C0146,保守,佐藤,2,3,4,2,3,2.75,批判者,不満,satisfaction_styleB.csv
2024-06-12,C0147,コンサルティング,佐藤,1,3,1,5,8,2.5,中立者,不満,satisfaction_styleB.csv
2024-09-06,C0148,研修,田中,3,5,2,5,6,3.75,批判者,普通,satisfaction_styleB.csv
2024-01-03,C0149,コンサルティング,佐藤,2,5,2,4,0,3.25,批判者,普通,satisfaction_styleB.csv
2024-01-17,C0150,導入支援,鈴木,2,4,5,3,7,3.5,中立者,普通,satisfaction_styleB.csv
2024-03-06,C0151,コンサルティング,伊藤,2,3,4,2,5,2.75,批判者,不満,satisfaction_styleB.csv
2024-01-11,C0152,研修,高橋,4,3,4,5,8,4.0,中立者,満足,satisfaction_styleB.csv
2024-10-06,C0153,導入支援,佐藤,2,5,2,3,0,3.0,批判者,普通,satisfaction_styleB.csv
2024-05-13,C0154,導入支援,鈴木,5,1,5,1,4,3.0,批判者,普通,satisfaction_styleB.csv
2024-10-20,C0155,ITサポート,佐藤,3,4,5,2,6,3.5,批判者,普通,satisfaction_styleB.csv
2024-07-17,C0156,ITサポート,佐藤,4,3,1,4,0,3.0,批判者,普通,satisfaction_styleB.csv
2024-10-15,C0157,導入支援,伊藤,3,2,4,1,5,2.5,批判者,不満,satisfaction_styleB.csv
2024-12-16,C0158,コンサルティング,田中,3,1,3,2,2,2.25,批判者,不満,satisfaction_styleB.csv
2024-12-05,C0159,ITサポート,鈴木,4,2,4,4,9,3.5,推奨者,普通,satisfaction_styleB.csv
2024-04-16,C0160,ITサポート,田中,1,3,2,2,8,2.0,中立者,不満,satisfaction_styleB.csv
2024-07-25,C0161,研修,伊藤,4,1,3,2,4,2.5,批判者,不満,satisfaction_styleB.csv
2024-01-20,C0162,ITサポート,田中,2,4,5,4,1,3.75,批判者,普通,satisfaction_styleB.csv
2024-01-24,C0163,ITサポート,高橋,5,5,1,5,9,4.0,推奨者,満足,satisfaction_styleB.csv
2024-11-23,C0164,コンサルティング,佐藤,3,4,1,5,5,3.25,批判者,普通,satisfaction_styleB.csv
2024-07-28,C0165,コンサルティング,伊藤,4,2,1,5,5,3.0,批判者,普通,satisfaction_styleB.csv
2024-01-13,C0166,ITサポート,伊藤,5,5,5,5,0,5.0,批判者,満足,satisfaction_styleB.csv
2024-04-11,C0167,導入支援,高橋,1,4,3,3,0,2.75,批判者,不満,satisfaction_styleB.csv
2024-02-19,C0168,保守,田中,3,2,1,5,5,2.75,批判者,不満,satisfaction_styleB.csv
2024-05-15,C0169,コンサルティング,田中,3,5,3,2,10,3.25,推奨者,普通,satisfaction_styleB.csv
2024-06-27,C0170,導入支援,高橋,2,2,1,4,0,2.25,批判者,不満,satisfaction_styleB.csv
2024-09-04,C0171,保守,佐藤,1,2,1,3,4,1.75,批判者,不満,satisfaction_styleB.csv
2024-10-12,C0172,研修,高橋,5,4,3,1,10,3.25,推奨者,普通,satisfaction_styleB.csv
2024-11-01,C0173,コンサルティング,鈴木,3,1,3,3,1,2.5,批判者,不満,satisfaction_styleB.csv
2024-07-07,C0174,保守,高橋,4,4,4,3,2,3.75,批判者,普通,satisfaction_styleB.csv
2024-12-13,C0175,導入支援,高橋,3,5,3,1,6,3.0,批判者,普通,satisfaction_styleB.csv
2024-11-05,C0176,ITサポート,高橋,5,2,5,3,5,3.75,批判者,普通,satisfaction_styleB.csv
2024-05-04,C0177,ITサポート,田中,3,3,3,4,9,3.25,推奨者,普通,satisfaction_styleB.csv
2024-09-23,C0178,導入支援,佐藤,4,3,4,1,5,3.0,批判者,普通,satisfaction_styleB.csv
2024-07-10,C0179,研修,高橋,3,1,1,4,5,2.25,批判者,不満,satisfaction_styleB.csv
2024-04-23,C0180,研修,佐藤,1,2,5,4,0,3.0,批判者,普通,satisfaction_styleB.csv
2024-02-28,C0181,コンサルティング,田中,2,3,3,4,9,3.0,推奨者,普通,satisfaction_styleB.csv
2024-02-15,C0182,ITサポート,伊藤,2,4,3,3,7,3.0,中立者,普通,satisfaction_styleB.csv
2024-11-06,C0183,ITサポート,伊藤,2,5,3,4,5,3.5,批判者,普通,satisfaction_styleB.csv
2024-03-14,C0184,保守,佐藤,1,1,2,4,8,2.0,中立者,不満,satisfaction_styleB.csv
2024-04-09,C0185,導入支援,伊藤,1,3,3,4,3,2.75,批判者,不満,satisfaction_styleB.csv
2024-12-17,C0186,研修,鈴木,4,2,1,2,1,2.25,批判者,不満,satisfaction_styleB.csv
2024-06-28,C0187,導入支援,佐藤,4,1,3,3,1,2.75,批判者,不満,satisfaction_styleB.csv
2024-11-12,C0188,研修,伊藤,3,3,2,2,5,2.5,批判者,不満,satisfaction_styleB.csv
2024-05-07,C0189,研修,佐藤,1,2,2,2,7,1.75,中立者,不満,satisfaction_styleB.csv
2024-01-15,C0190,ITサポート,鈴木,5,5,3,4,8,4.25,中立者,満足,satisfaction_styleB.csv
2024-05-27,C0191,コンサルティング,伊藤,1,1,3,4,7,2.25,中立者,不満,satisfaction_styleB.csv
2024-01-09,C0192,研修,高橋,4,5,1,2,5,3.0,批判者,普通,satisfaction_styleB.csv
2024-05-03,C0193,ITサポート,高橋,4,5,3,2,8,3.5,中立者,普通,satisfaction_styleB.csv
2024-02-07,C0194,研修,佐藤,2,4,5,1,1,3.0,批判者,普通,satisfaction_styleB.csv
2024-11-07,C0195,研修,佐藤,3,2,2,3,3,2.5,批判者,不満,satisfaction_styleB.csv
2024-10-02,C0196,保守,伊藤,3,1,3,2,10,2.25,推奨者,不満,satisfaction_styleB.csv
2024-03-19,C0197,研修,鈴木,2,3,5,5,1,3.75,批判者,普通,satisfaction_styleB.csv
2024-04-12,C0198,研修,佐藤,5,5,2,2,10,3.5,推奨者,普通,satisfaction_styleB.csv
2024-05-12,C0199,研修,伊藤,3,5,1,1,1,2.5,批判者,不満,satisfaction_styleB.csv
2024-10-17,C0200,ITサポート,伊藤,3,2,5,4,9,3.5,推奨者,普通,satisfaction_styleB.csv
2024-10-22,C0201,ITサポート,高橋,5,3,3,4,3,3.75,批判者,普通,satisfaction_styleB.csv
2024-04-07,C0202,導入支援,鈴木,4,1,1,2,7,2.0,中立者,不満,satisfaction_styleB.csv
2024-03-26,C0203,導入支援,高橋,4,2,3,5,2,3.5,批判者,普通,satisfaction_styleB.csv
2024-12-27,C0204,保守,鈴木,3,4,2,3,8,3.0,中立者,普通,satisfaction_styleB.csv
2024-03-07,C0205,研修,田中,3,2,4,1,4,2.5,批判者,不満,satisfaction_styleB.csv
2024-12-06,C0206,導入支援,佐藤,2,1,1,3,6,1.75,批判者,不満,satisfaction_styleB.csv
2024-06-24,C0207,研修,高橋,2,2,3,5,5,3.0,批判者,普通,satisfaction_styleB.csv
2024-02-06,C0208,コンサルティング,佐藤,4,5,4,4,4,4.25,批判者,満足,satisfaction_styleB.csv
2024-09-09,C0209,導入支援,田中,1,4,5,4,3,3.5,批判者,普通,satisfaction_styleB.csv
2024-05-01,C0210,コンサルティング,伊藤,3,1,1,3,7,2.0,中立者,不満,satisfaction_styleB.csv
2024-10-10,C0211,研修,高橋,3,5,1,1,6,2.5,批判者,不満,satisfaction_styleB.csv
2024-11-17,C0212,コンサルティング,鈴木,3,4,3,1,6,2.75,批判者,不満,satisfaction_styleB.csv
2024-03-15,C0213,ITサポート,伊藤,5,2,3,5,4,3.75,批判者,普通,satisfaction_styleB.csv
2024-08-01,C0214,ITサポート,高橋,5,4,5,3,9,4.25,推奨者,満足,satisfaction_styleB.csv
2024-03-09,C0215,研修,田中,2,1,4,3,5,2.5,批判者,不満,satisfaction_styleB.csv
2024-10-23,C0216,研修,鈴木,2,2,5,5,6,3.5,批判者,普通,satisfaction_styleB.csv
2024-12-12,C0217,研修,田中,1,1,2,3,7,1.75,中立者,不満,satisfaction_styleB.csv
2024-06-23,C0218,研修,高橋,2,5,5,2,5,3.5,批判者,普通,satisfaction_styleB.csv
2024-12-15,C0219,研修,鈴木,2,4,5,3,9,3.5,推奨者,普通,satisfaction_styleB.csv
2024-07-20,C0220,保守,伊藤,5,5,4,5,4,4.75,批判者,満足,satisfaction_styleB.csv
2024-04-04,C0221,導入支援,田中,3,3,1,4,9,2.75,推奨者,不満,satisfaction_styleB.csv
2024-08-03,C0222,保守,田中,5,4,3,5,9,4.25,推奨者,満足,satisfaction_styleB.csv
2024-06-10,C0223,コンサルティング,田中,5,4,2,5,10,4.0,推奨者,満足,satisfaction_styleB.csv
2024-01-16,C0224,研修,高橋,2,2,1,5,1,2.5,批判者,不満,satisfaction_styleB.csv
2024-09-07,C0225,コンサルティング,田中,4,3,4,2,6,3.25,批判者,普通,satisfaction_styleB.csv
2024-09-12,C0226,コンサルティング,高橋,5,5,4,1,2,3.75,批判者,普通,satisfaction_styleB.csv
2024-10-04,C0227,研修,佐藤,5,3,4,5,6,4.25,批判者,満足,satisfaction_styleB.csv
2024-11-19,C0228,保守,佐藤,4,5,3,5,5,4.25,批判者,満足,satisfaction_styleB.csv
2024-07-23,C0229,保守,伊藤,4,2,2,3,8,2.75,中立者,不満,satisfaction_styleB.csv
2024-11-02,C0230,保守,佐藤,3,3,2,4,5,3.0,批判者,普通,satisfaction_styleB.csv
2024-05-25,C0231,導入支援,鈴木,5,3,3,1,9,3.0,推奨者,普通,satisfaction_styleB.csv
2024-07-02,C0232,研修,高橋,4,3,2,3,0,3.0,批判者,普通,satisfaction_styleB.csv
2024-01-14,C0233,保守,田中,3,4,3,4,3,3.5,批判者,普通,satisfaction_styleB.csv
2024-06-03,C0234,コンサルティング,伊藤,3,5,3,2,1,3.25,批判者,普通,satisfaction_styleB.csv
2024-07-15,C0235,研修,伊藤,2,2,1,5,3,2.5,批判者,不満,satisfaction_styleB.csv
2024-12-01,C0236,コンサルティング,田中,1,4,3,4,1,3.0,批判者,普通,satisfaction_styleB.csv
2024-05-05,C0237,コンサルティング,田中,5,2,4,4,7,3.75,中立者,普通,satisfaction_styleB.csv
2024-10-26,C0238,コンサルティング,鈴木,3,3,1,1,10,2.0,推奨者,不満,satisfaction_styleB.csv
2024-08-22,C0239,研修,佐藤,5,1,2,4,2,3.0,批判者,普通,satisfaction_styleB.csv
2024-09-05,C0240,ITサポート,高橋,4,2,3,1,0,2.5,批判者,不満,satisfaction_styleB.csv
2024-06-11,C0241,保守,伊藤,5,1,3,3,7,3.0,中立者,普通,satisfaction_styleB.csv
2024-08-04,C0242,研修,伊藤,4,2,5,4,4,3.75,批判者,普通,satisfaction_styleB.csv
2024-04-08,C0243,コンサルティング,田中,3,2,4,3,2,3.0,批判者,普通,satisfaction_styleB.csv
2024-01-25,C0244,ITサポート,鈴木,3,5,2,2,9,3.0,推奨者,普通,satisfaction_styleB.csv
2024-06-04,C0245,導入支援,高橋,5,3,1,4,10,3.25,推奨者,普通,satisfaction_styleB.csv
2024-12-20,C0246,ITサポート,佐藤,2,4,3,2,0,2.75,批判者,不満,satisfaction_styleB.csv
2024-11-15,C0247,保守,高橋,2,4,3,3,4,3.0,批判者,普通,satisfaction_styleB.csv
2024-08-17,C0248,研修,伊藤,1,3,3,2,0,2.25,批判者,不満,satisfaction_styleB.csv
2024-10-11,C0249,ITサポート,高橋,3,2,4,5,4,3.5,批判者,普通,satisfaction_styleB.csv
2024-07-09,C0250,ITサポート,鈴木,3,5,2,2,2,3.0,批判者,普通,satisfaction_styleB.csv
2024-04-25,C0251,導入支援,佐藤,4,5,3,4,8,4.0,中立者,満足,satisfaction_styleB.csv
2024-08-18,C0252,導入支援,伊藤,2,2,5,1,8,2.5,中立者,不満,satisfaction_styleB.csv
2024-09-25,C0253,導入支援,伊藤,3,1,5,1,0,2.5,批判者,不満,satisfaction_styleB.csv
2024-12-28,C0254,研修,伊藤,2,5,5,2,2,3.5,批判者,普通,satisfaction_styleB.csv
2024-01-06,C0255,保守,伊藤,4,1,2,5,7,3.0,中立者,普通,satisfaction_styleB.csv
