work_date,site_id,site_name,process,worker_id,planned_hours,actual_hours,progress_pct,defect_count,efficiency,is_delayed,kpi_flag,source_file
2024-01-04,SITE-E,現場E,基礎,WRK-003,7.4,5.4,45,4,0.7297297297297297,1,問題あり,style_a.csv
2024-01-05,SITE-B,現場B,基礎,WRK-003,7.2,6.5,96,2,0.9027777777777778,0,正常,style_a.csv
2024-01-06,SITE-C,現場C,躯体,WRK-003,7.3,5.9,63,3,0.8082191780821919,1,問題あり,style_a.csv
2024-01-07,SITE-B,現場B,内装,WRK-003,6.9,9.6,39,0,1.391304347826087,1,問題あり,style_a.csv
2024-01-08,SITE-D,現場D,基礎,WRK-003,6.1,5.3,63,1,0.8688524590163935,1,正常,style_a.csv
2024-01-09,SITE-C,現場C,基礎,WRK-003,7.8,6.2,50,3,0.7948717948717949,1,問題あり,style_a.csv
2024-01-10,SITE-E,現場E,内装,WRK-003,7.2,9.9,97,0,1.375,0,問題あり,style_a.csv
2024-01-11,SITE-E,現場E,内装,WRK-003,7.9,4.6,47,2,0.5822784810126581,1,正常,style_a.csv
2024-01-12,SITE-A,現場A,基礎,WRK-003,7.5,4.9,66,4,0.6533333333333334,1,問題あり,style_a.csv
2024-01-13,SITE-B,現場B,内装,WRK-003,6.4,7.8,63,4,1.21875,1,問題あり,style_a.csv
2024-01-14,SITE-D,現場D,内装,WRK-003,7.8,9.1,41,5,1.1666666666666667,1,問題あり,style_a.csv
2024-01-15,SITE-D,現場D,内装,WRK-003,6.1,6.0,46,5,0.9836065573770493,1,問題あり,style_a.csv
2024-01-16,SITE-C,現場C,躯体,WRK-003,7.5,7.3,84,4,0.9733333333333333,0,問題あり,style_a.csv
2024-01-17,SITE-A,現場A,基礎,WRK-003,6.2,9.3,49,4,1.5,1,問題あり,style_a.csv
2024-01-18,SITE-A,現場A,内装,WRK-003,7.2,4.9,46,0,0.6805555555555556,1,正常,style_a.csv
2024-01-19,SITE-C,現場C,内装,WRK-003,7.8,8.8,35,2,1.1282051282051284,1,正常,style_a.csv
2024-01-20,SITE-B,現場B,躯体,WRK-003,7.3,6.1,82,4,0.8356164383561644,0,問題あり,style_a.csv
2024-01-01,SITE-B,現場B,躯体,WRK-004,7.7,9.9,52,3,1.2857142857142858,1,問題あり,style_a.csv
2024-01-02,SITE-A,現場A,躯体,WRK-004,7.5,6.0,82,5,0.8,0,問題あり,style_a.csv
2024-01-03,SITE-B,現場B,内装,WRK-004,6.3,8.2,78,0,1.3015873015873014,0,問題あり,style_a.csv
2024-01-04,SITE-D,現場D,躯体,WRK-004,6.4,9.5,74,2,1.484375,0,問題あり,style_a.csv
2024-01-05,SITE-B,現場B,躯体,WRK-004,6.0,5.2,72,2,0.8666666666666667,0,正常,style_a.csv
2024-01-06,SITE-A,現場A,内装,WRK-004,6.7,7.1,98,2,1.0597014925373134,0,正常,style_a.csv
2024-01-07,SITE-A,現場A,基礎,WRK-004,7.8,5.6,63,0,0.717948717948718,1,正常,style_a.csv
2024-01-08,SITE-A,現場A,設備,WRK-004,6.7,8.7,85,4,1.298507462686567,0,問題あり,style_a.csv
2024-01-09,SITE-E,現場E,基礎,WRK-004,6.8,7.5,62,0,1.1029411764705883,1,正常,style_a.csv
2024-01-10,SITE-D,現場D,基礎,WRK-004,7.0,8.8,55,2,1.2571428571428573,1,問題あり,style_a.csv
2024-01-11,SITE-D,現場D,基礎,WRK-004,7.9,9.5,70,5,1.2025316455696202,0,問題あり,style_a.csv
2024-01-12,SITE-A,現場A,内装,WRK-004,7.0,8.0,71,3,1.1428571428571428,0,問題あり,style_a.csv
2024-01-13,SITE-C,現場C,躯体,WRK-004,6.4,8.0,78,5,1.25,0,問題あり,style_a.csv
2024-01-14,SITE-B,現場B,内装,WRK-004,6.8,9.0,68,2,1.3235294117647058,1,問題あり,style_a.csv
2024-01-15,SITE-B,現場B,設備,WRK-004,7.6,7.6,71,3,1.0,0,問題あり,style_a.csv
2024-01-16,SITE-D,現場D,設備,WRK-004,7.4,7.1,51,5,0.9594594594594593,1,問題あり,style_a.csv
2024-01-17,SITE-A,現場A,内装,WRK-004,7.0,7.8,72,0,1.1142857142857143,0,正常,style_a.csv
2024-01-18,SITE-B,現場B,内装,WRK-004,6.4,5.2,33,0,0.8125,1,正常,style_a.csv
2024-01-19,SITE-B,現場B,設備,WRK-004,7.2,8.6,88,3,1.1944444444444444,0,問題あり,style_a.csv
2024-01-20,SITE-E,現場E,躯体,WRK-004,7.4,6.3,81,1,0.8513513513513513,0,正常,style_a.csv
2024-01-01,SITE-B,現場B,基礎,WRK-005,7.8,9.2,43,3,1.1794871794871795,1,問題あり,style_a.csv
2024-01-02,SITE-B,現場B,躯体,WRK-005,7.6,8.2,89,0,1.0789473684210527,0,正常,style_a.csv
2024-01-03,SITE-E,現場E,躯体,WRK-005,7.8,4.7,47,3,0.6025641025641026,1,問題あり,style_a.csv
2024-01-04,SITE-E,現場E,内装,WRK-005,7.9,9.3,94,3,1.1772151898734178,0,問題あり,style_a.csv
2024-01-05,SITE-E,現場E,設備,WRK-005,7.8,8.5,90,3,1.0897435897435899,0,問題あり,style_a.csv
2024-01-06,SITE-C,現場C,躯体,WRK-005,7.7,5.7,96,3,0.7402597402597403,0,問題あり,style_a.csv
2024-01-07,SITE-B,現場B,内装,WRK-005,6.9,8.3,60,2,1.2028985507246377,1,問題あり,style_a.csv
2024-01-08,SITE-C,現場C,内装,WRK-005,7.8,4.5,49,1,0.576923076923077,1,正常,style_a.csv
2024-01-09,SITE-D,現場D,躯体,WRK-005,7.4,4.4,82,2,0.5945945945945946,0,正常,style_a.csv
2024-01-10,SITE-E,現場E,設備,WRK-005,6.8,5.2,83,3,0.7647058823529412,0,問題あり,style_a.csv
2024-01-11,SITE-E,現場E,基礎,WRK-005,7.7,8.6,78,3,1.1168831168831168,0,問題あり,style_a.csv
2024-01-12,SITE-A,現場A,内装,WRK-005,6.6,6.3,83,4,0.9545454545454546,0,問題あり,style_a.csv
2024-01-13,SITE-E,現場E,躯体,WRK-005,7.0,5.6,92,0,0.7999999999999999,0,正常,style_a.csv
2024-01-14,SITE-D,現場D,内装,WRK-005,7.3,8.8,51,3,1.2054794520547947,1,問題あり,style_a.csv
2024-01-15,SITE-B,現場B,基礎,WRK-005,7.8,7.6,33,0,0.9743589743589743,1,正常,style_a.csv
2024-01-16,SITE-D,現場D,躯体,WRK-005,7.7,5.1,63,3,0.6623376623376622,1,問題あり,style_a.csv
2024-01-17,SITE-C,現場C,躯体,WRK-005,6.9,6.0,78,2,0.8695652173913043,0,正常,style_a.csv
2024-01-18,SITE-D,現場D,内装,WRK-005,7.7,6.8,99,0,0.8831168831168831,0,正常,style_a.csv
2024-01-19,SITE-C,現場C,躯体,WRK-005,7.3,8.7,35,0,1.191780821917808,1,正常,style_a.csv
2024-01-20,SITE-B,現場B,躯体,WRK-005,7.7,7.7,60,1,1.0,1,正常,style_a.csv
2024-01-01,SITE-D,現場D,基礎,WRK-006,7.1,5.3,62,2,0.7464788732394366,1,正常,style_a.csv
2024-01-02,SITE-B,現場B,基礎,WRK-006,7.6,5.0,69,0,0.6578947368421053,1,正常,style_a.csv
2024-01-03,SITE-E,現場E,基礎,WRK-006,7.9,7.5,78,3,0.9493670886075949,0,問題あり,style_a.csv
2024-01-04,SITE-B,現場B,基礎,WRK-006,7.2,9.0,61,0,1.25,1,問題あり,style_a.csv
2024-01-05,SITE-C,現場C,基礎,WRK-006,7.6,7.4,35,2,0.9736842105263159,1,正常,style_a.csv
2024-01-06,SITE-E,現場E,設備,WRK-006,7.3,4.4,73,0,0.6027397260273973,0,正常,style_a.csv
2024-01-07,SITE-D,現場D,設備,WRK-006,6.2,9.8,88,5,1.5806451612903227,0,問題あり,style_a.csv
2024-01-08,SITE-B,現場B,設備,WRK-006,6.4,7.1,64,4,1.1093749999999998,1,問題あり,style_a.csv
2024-01-09,SITE-E,現場E,設備,WRK-006,6.9,9.0,64,2,1.3043478260869565,1,問題あり,style_a.csv
2024-01-10,SITE-B,現場B,基礎,WRK-006,6.6,6.7,89,4,1.0151515151515151,0,問題あり,style_a.csv
2024-01-11,SITE-E,現場E,設備,WRK-006,6.7,7.0,71,1,1.044776119402985,0,正常,style_a.csv
2024-01-12,SITE-D,現場D,躯体,WRK-006,6.7,5.6,65,4,0.835820895522388,1,問題あり,style_a.csv
2024-01-13,SITE-C,現場C,基礎,WRK-006,7.0,5.1,60,5,0.7285714285714285,1,問題あり,style_a.csv
2024-01-14,SITE-D,現場D,設備,WRK-006,7.1,5.4,90,5,0.7605633802816902,0,問題あり,style_a.csv
2024-01-15,SITE-D,現場D,設備,WRK-006,7.6,4.6,58,3,0.6052631578947368,1,問題あり,style_a.csv
2024-01-16,SITE-B,現場B,内装,WRK-006,7.3,6.2,100,4,0.8493150684931507,0,問題あり,style_a.csv
2024-01-17,SITE-C,現場C,設備,WRK-006,8.0,7.3,75,5,0.9125,0,問題あり,style_a.csv
2024-01-18,SITE-D,現場D,内装,WRK-006,6.6,5.4,54,2,0.8181818181818182,1,正常,style_a.csv
2024-01-19,SITE-A,現場A,躯体,WRK-006,6.4,8.4,65,5,1.3125,1,問題あり,style_a.csv
2024-01-20,SITE-E,現場E,内装,WRK-006,8.0,9.0,67,1,1.125,1,正常,style_a.csv
2024-01-01,SITE-C,現場C,躯体,WRK-007,6.6,8.2,46,2,1.2424242424242424,1,問題あり,style_a.csv
2024-01-02,SITE-A,現場A,基礎,WRK-007,7.1,8.2,46,5,1.1549295774647887,1,問題あり,style_a.csv
2024-01-03,SITE-D,現場D,基礎,WRK-007,7.7,7.4,90,3,0.961038961038961,0,問題あり,style_a.csv
2024-01-04,SITE-D,現場D,内装,WRK-007,6.4,4.3,91,0,0.6718749999999999,0,正常,style_a.csv
2024-01-05,SITE-A,現場A,設備,WRK-007,7.0,7.5,36,1,1.0714285714285714,1,正常,style_a.csv
2024-01-06,SITE-B,現場B,内装,WRK-007,6.2,5.5,83,4,0.8870967741935484,0,問題あり,style_a.csv
2024-01-07,SITE-E,現場E,躯体,WRK-007,7.6,6.3,86,2,0.8289473684210527,0,正常,style_a.csv
2024-01-08,SITE-E,現場E,設備,WRK-007,6.6,7.7,42,1,1.1666666666666667,1,正常,style_a.csv
2024-01-09,SITE-B,現場B,内装,WRK-007,7.3,4.9,52,4,0.6712328767123288,1,問題あり,style_a.csv
2024-01-10,SITE-A,現場A,躯体,WRK-007,6.0,6.7,90,2,1.1166666666666667,0,正常,style_a.csv
2024-01-11,SITE-A,現場A,躯体,WRK-007,6.6,5.7,88,0,0.8636363636363638,0,正常,style_a.csv
2024-01-12,SITE-B,現場B,内装,WRK-007,7.6,7.8,55,3,1.0263157894736843,1,問題あり,style_a.csv
2024-01-13,SITE-A,現場A,躯体,WRK-007,7.3,9.5,48,0,1.3013698630136987,1,問題あり,style_a.csv
2024-01-14,SITE-A,現場A,躯体,WRK-007,7.6,7.6,66,3,1.0,1,問題あり,style_a.csv
2024-01-15,SITE-A,現場A,設備,WRK-007,7.4,8.2,64,4,1.108108108108108,1,問題あり,style_a.csv
2024-01-16,SITE-E,現場E,設備,WRK-007,6.9,7.6,85,5,1.1014492753623186,0,問題あり,style_a.csv
2024-01-17,SITE-C,現場C,内装,WRK-007,6.1,5.4,32,5,0.8852459016393444,1,問題あり,style_a.csv
2024-01-18,SITE-C,現場C,基礎,WRK-007,7.5,5.1,96,5,0.6799999999999999,0,問題あり,style_a.csv
2024-01-19,SITE-D,現場D,内装,WRK-007,6.4,7.5,92,0,1.171875,0,正常,style_a.csv
2024-01-20,SITE-D,現場D,内装,WRK-007,6.8,5.9,43,1,0.8676470588235294,1,正常,style_a.csv
2024-01-01,SITE-C,現場C,設備,WRK-008,7.4,5.7,81,4,0.7702702702702703,0,問題あり,style_a.csv
2024-01-02,SITE-A,現場A,設備,WRK-008,6.2,5.5,44,3,0.8870967741935484,1,問題あり,style_a.csv
2024-01-03,SITE-E,現場E,基礎,WRK-008,7.3,7.3,82,0,1.0,0,正常,style_a.csv
2024-01-04,SITE-B,現場B,内装,WRK-008,7.2,7.0,86,0,0.9722222222222222,0,正常,style_a.csv
2024-01-05,SITE-B,現場B,内装,WRK-008,7.1,9.6,86,5,1.352112676056338,0,問題あり,style_a.csv
2024-01-06,SITE-D,現場D,基礎,WRK-008,6.1,7.8,60,5,1.278688524590164,1,問題あり,style_a.csv
2024-01-07,SITE-B,現場B,内装,WRK-008,7.1,7.3,41,1,1.028169014084507,1,正常,style_a.csv
2024-01-08,SITE-A,現場A,設備,WRK-008,7.9,7.9,49,3,1.0,1,問題あり,style_a.csv
2024-01-09,SITE-C,現場C,内装,WRK-008,6.8,6.9,90,1,1.0147058823529413,0,正常,style_a.csv
2024-01-10,SITE-D,現場D,躯体,WRK-008,6.8,9.5,95,5,1.397058823529412,0,問題あり,style_a.csv
2024-01-11,SITE-B,現場B,基礎,WRK-008,6.6,8.7,83,2,1.3181818181818181,0,問題あり,style_a.csv
2024-01-12,SITE-E,現場E,内装,WRK-008,7.6,5.7,68,4,0.7500000000000001,1,問題あり,style_a.csv
2024-01-13,SITE-E,現場E,設備,WRK-008,7.7,6.7,91,2,0.8701298701298701,0,正常,style_a.csv
2024-01-14,SITE-C,現場C,設備,WRK-008,6.9,5.9,54,5,0.855072463768116,1,問題あり,style_a.csv
2024-01-15,SITE-B,現場B,設備,WRK-008,6.5,8.7,35,2,1.3384615384615384,1,問題あり,style_a.csv
2024-01-16,SITE-D,現場D,設備,WRK-008,6.8,8.0,49,3,1.1764705882352942,1,問題あり,style_a.csv
2024-01-17,SITE-A,現場A,躯体,WRK-008,7.0,7.5,42,3,1.0714285714285714,1,問題あり,style_a.csv
2024-01-18,SITE-A,現場A,設備,WRK-008,6.0,4.9,49,0,0.8166666666666668,1,正常,style_a.csv
2024-01-19,SITE-D,現場D,内装,WRK-008,6.7,8.2,40,2,1.2238805970149251,1,問題あり,style_a.csv
2024-01-20,SITE-E,現場E,設備,WRK-008,7.9,7.8,92,4,0.9873417721518987,0,問題あり,style_a.csv
2024-01-01,SITE-A,現場A,基礎,WRK-009,6.5,8.1,66,1,1.2461538461538462,1,問題あり,style_a.csv
2024-01-02,SITE-A,現場A,設備,WRK-009,8.0,8.6,42,3,1.075,1,問題あり,style_a.csv
2024-01-03,SITE-B,現場B,内装,WRK-009,7.8,4.3,37,2,0.5512820512820513,1,正常,style_a.csv
2024-01-04,SITE-C,現場C,内装,WRK-009,6.9,5.5,82,4,0.7971014492753623,0,問題あり,style_a.csv
2024-01-05,SITE-B,現場B,躯体,WRK-009,6.4,7.7,78,4,1.203125,0,問題あり,style_a.csv
2024-01-06,SITE-B,現場B,設備,WRK-009,7.8,4.9,89,5,0.6282051282051283,0,問題あり,style_a.csv
2024-01-07,SITE-C,現場C,設備,WRK-009,6.5,4.1,89,2,0.6307692307692307,0,正常,style_a.csv
2024-01-08,SITE-E,現場E,躯体,WRK-009,6.1,9.7,68,5,1.5901639344262295,1,問題あり,style_a.csv
2024-01-09,SITE-D,現場D,内装,WRK-009,6.9,5.8,79,3,0.8405797101449275,0,問題あり,style_a.csv
2024-01-10,SITE-A,現場A,躯体,WRK-009,6.8,6.2,67,5,0.911764705882353,1,問題あり,style_a.csv
2024-01-11,SITE-C,現場C,基礎,WRK-009,8.0,7.9,65,0,0.9875,1,正常,style_a.csv
2024-01-12,SITE-E,現場E,基礎,WRK-009,7.8,8.5,66,1,1.0897435897435899,1,正常,style_a.csv
2024-01-13,SITE-E,現場E,内装,WRK-009,6.4,5.1,62,5,0.7968749999999999,1,問題あり,style_a.csv
2024-01-14,SITE-B,現場B,基礎,WRK-009,7.8,7.9,69,3,1.012820512820513,1,問題あり,style_a.csv
2024-01-15,SITE-A,現場A,内装,WRK-009,7.5,4.5,67,2,0.6,1,正常,style_a.csv
2024-01-16,SITE-D,現場D,躯体,WRK-009,6.4,8.7,76,4,1.3593749999999998,0,問題あり,style_a.csv
2024-01-17,SITE-E,現場E,内装,WRK-009,7.7,5.5,91,2,0.7142857142857143,0,正常,style_a.csv
2024-01-18,SITE-C,現場C,基礎,WRK-009,6.9,4.5,58,5,0.6521739130434783,1,問題あり,style_a.csv
2024-01-19,SITE-D,現場D,内装,WRK-009,6.2,6.4,63,4,1.032258064516129,1,問題あり,style_a.csv
2024-01-20,SITE-A,現場A,設備,WRK-009,6.7,8.5,63,4,1.2686567164179103,1,問題あり,style_a.csv
2024-01-01,SITE-D,現場D,内装,WRK-010,6.2,5.4,33,4,0.8709677419354839,1,問題あり,style_a.csv
2024-01-02,SITE-E,現場E,内装,WRK-010,7.8,5.3,38,5,0.6794871794871795,1,問題あり,style_a.csv
2024-01-03,SITE-D,現場D,内装,WRK-010,7.3,4.7,35,0,0.6438356164383562,1,正常,style_a.csv
2024-01-04,SITE-C,現場C,設備,WRK-010,6.2,5.4,98,1,0.8709677419354839,0,正常,style_a.csv
2024-01-05,SITE-D,現場D,設備,WRK-010,6.7,9.7,99,3,1.4477611940298507,0,問題あり,style_a.csv
2024-01-06,SITE-E,現場E,躯体,WRK-010,7.8,7.9,92,4,1.012820512820513,0,問題あり,style_a.csv
2024-01-07,SITE-D,現場D,内装,WRK-010,6.1,6.2,86,3,1.0163934426229508,0,問題あり,style_a.csv
2024-01-08,SITE-B,現場B,内装,WRK-010,6.2,8.1,99,5,1.3064516129032258,0,問題あり,style_a.csv
2024-01-09,SITE-C,現場C,基礎,WRK-010,6.8,5.1,45,3,0.75,1,問題あり,style_a.csv
2024-01-10,SITE-A,現場A,躯体,WRK-010,7.3,7.6,32,0,1.0410958904109588,1,正常,style_a.csv
2024-01-11,SITE-C,現場C,躯体,WRK-010,8.0,8.7,56,0,1.0875,1,正常,style_a.csv
2024-01-12,SITE-E,現場E,躯体,WRK-010,7.2,8.9,59,2,1.2361111111111112,1,問題あり,style_a.csv
2024-01-13,SITE-B,現場B,基礎,WRK-010,6.6,9.9,46,4,1.5000000000000002,1,問題あり,style_a.csv
2024-01-14,SITE-C,現場C,躯体,WRK-010,6.2,9.2,46,0,1.4838709677419353,1,問題あり,style_a.csv
2024-01-15,SITE-C,現場C,躯体,WRK-010,7.2,4.1,63,0,0.5694444444444444,1,正常,style_a.csv
2024-01-16,SITE-B,現場B,設備,WRK-010,7.1,8.5,90,3,1.1971830985915493,0,問題あり,style_a.csv
2024-01-17,SITE-C,現場C,基礎,WRK-010,6.9,5.3,35,5,0.7681159420289855,1,問題あり,style_a.csv
2024-01-18,SITE-E,現場E,内装,WRK-010,6.9,9.8,37,3,1.4202898550724639,1,問題あり,style_a.csv
2024-01-19,SITE-D,現場D,設備,WRK-010,7.4,6.9,86,0,0.9324324324324325,0,正常,style_a.csv
2024-01-20,SITE-A,現場A,内装,WRK-010,7.2,4.4,65,4,0.6111111111111112,1,問題あり,style_a.csv
2024-01-01,SITE-E,現場E,内装,WRK-011,6.8,7.6,67,3,1.1176470588235294,1,問題あり,style_a.csv
2024-01-02,SITE-E,現場E,設備,WRK-011,6.2,8.2,100,5,1.3225806451612903,0,問題あり,style_a.csv
2024-01-03,SITE-B,現場B,設備,WRK-011,6.9,5.4,73,3,0.782608695652174,0,問題あり,style_a.csv
2024-01-04,SITE-D,現場D,設備,WRK-011,7.5,5.9,70,5,0.7866666666666667,0,問題あり,style_a.csv
2024-01-05,SITE-C,現場C,内装,WRK-011,7.9,8.1,90,0,1.0253164556962024,0,正常,style_a.csv
2024-01-06,SITE-A,現場A,基礎,WRK-011,6.2,4.6,77,1,0.7419354838709676,0,正常,style_a.csv
2024-01-07,SITE-E,現場E,基礎,WRK-011,7.2,7.4,72,5,1.027777777777778,0,問題あり,style_a.csv
2024-01-08,SITE-A,現場A,設備,WRK-011,6.7,8.0,84,5,1.1940298507462686,0,問題あり,style_a.csv
2024-01-09,SITE-A,現場A,内装,WRK-011,7.2,6.1,94,1,0.8472222222222221,0,正常,style_a.csv
2024-01-10,SITE-B,現場B,設備,WRK-011,6.4,4.6,77,0,0.7187499999999999,0,正常,style_a.csv
2024-01-11,SITE-C,現場C,躯体,WRK-011,7.6,9.1,33,4,1.1973684210526316,1,問題あり,style_a.csv
2024-01-12,SITE-C,現場C,基礎,WRK-011,6.4,8.2,69,2,1.2812499999999998,1,問題あり,style_a.csv
2024-01-13,SITE-C,現場C,基礎,WRK-011,6.4,4.9,81,0,0.765625,0,正常,style_a.csv
2024-01-14,SITE-B,現場B,基礎,WRK-011,6.2,7.2,78,3,1.1612903225806452,0,問題あり,style_a.csv
2024-01-15,SITE-D,現場D,内装,WRK-011,6.3,5.9,71,4,0.9365079365079366,0,問題あり,style_a.csv
2024-01-16,SITE-E,現場E,基礎,WRK-011,7.8,4.9,36,5,0.6282051282051283,1,問題あり,style_a.csv
2024-01-17,SITE-A,現場A,内装,WRK-011,6.9,6.5,86,3,0.9420289855072463,0,問題あり,style_a.csv
2024-01-18,SITE-C,現場C,躯体,WRK-011,7.5,4.7,85,0,0.6266666666666667,0,正常,style_a.csv
2024-01-19,SITE-C,現場C,設備,WRK-011,7.1,5.9,58,3,0.8309859154929579,1,問題あり,style_a.csv
2024-01-20,SITE-E,現場E,基礎,WRK-011,6.0,5.8,57,1,0.9666666666666667,1,正常,style_a.csv
2024-01-01,SITE-C,現場C,内装,WRK-012,6.7,4.0,85,1,0.5970149253731343,0,正常,style_a.csv
2024-01-02,SITE-B,現場B,設備,WRK-012,7.1,5.4,75,0,0.7605633802816902,0,正常,style_a.csv
2024-01-03,SITE-D,現場D,基礎,WRK-012,6.9,6.8,39,2,0.9855072463768115,1,正常,style_a.csv
2024-01-04,SITE-E,現場E,設備,WRK-012,7.1,8.3,83,2,1.1690140845070425,0,正常,style_a.csv
2024-01-05,SITE-A,現場A,設備,WRK-012,6.0,5.9,88,5,0.9833333333333334,0,問題あり,style_a.csv
2024-01-06,SITE-C,現場C,基礎,WRK-012,6.9,4.6,85,4,0.6666666666666666,0,問題あり,style_a.csv
2024-01-07,SITE-D,現場D,基礎,WRK-012,6.8,5.9,73,1,0.8676470588235294,0,正常,style_a.csv
2024-01-08,SITE-C,現場C,躯体,WRK-012,6.2,7.8,97,4,1.2580645161290323,0,問題あり,style_a.csv
2024-01-09,SITE-B,現場B,内装,WRK-012,6.7,9.7,48,1,1.4477611940298507,1,問題あり,style_a.csv
2024-01-10,SITE-A,現場A,躯体,WRK-012,6.5,5.0,49,5,0.7692307692307693,1,問題あり,style_a.csv
