apply_date,applicant_id,job_type,channel,reached_phase,hire_result,screening_days,is_hired,phase_order,passed_first_screen,source_file
2024-01-13,32,エンジニア,自社HP,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-02-14,33,製造,自社HP,一次面接,不採用,20,0,2,1,recruitment_styleA_202401.csv
2024-03-18,34,エンジニア,リファラル,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-03-06,35,エンジニア,転職サイト,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-03-03,36,営業,自社HP,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-03-20,37,エンジニア,転職サイト,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-02-09,38,営業,リファラル,一次面接,不採用,15,0,2,1,recruitment_styleA_202401.csv
2024-02-11,39,エンジニア,転職サイト,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-01-18,40,営業,リファラル,内定,採用,39,1,5,1,recruitment_styleA_202401.csv
2024-03-23,41,事務,転職サイト,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-02-22,42,エンジニア,エージェント,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-01-09,43,事務,エージェント,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-03-21,44,事務,自社HP,書類選考,不採用,4,0,1,0,recruitment_styleA_202401.csv
2024-01-21,45,マーケティング,リファラル,二次面接,不採用,20,0,3,1,recruitment_styleA_202401.csv
2024-03-15,46,製造,自社HP,一次面接,不採用,13,0,2,1,recruitment_styleA_202401.csv
2024-03-02,47,事務,エージェント,二次面接,不採用,18,0,3,1,recruitment_styleA_202401.csv
2024-02-07,48,営業,転職サイト,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-03-24,49,営業,エージェント,書類選考,不採用,6,0,1,0,recruitment_styleA_202401.csv
2024-02-01,50,営業,リファラル,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-03-28,51,営業,リファラル,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-01-28,52,マーケティング,エージェント,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-02-27,53,営業,エージェント,二次面接,不採用,22,0,3,1,recruitment_styleA_202401.csv
2024-02-21,54,製造,自社HP,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-02-01,55,エンジニア,リファラル,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-01-04,56,製造,自社HP,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-03-17,57,エンジニア,自社HP,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-02-02,58,マーケティング,転職サイト,書類選考,不採用,14,0,1,0,recruitment_styleA_202401.csv
2024-03-24,59,営業,リファラル,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-03-11,60,エンジニア,リファラル,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-02-23,61,事務,エージェント,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-03-24,62,営業,リファラル,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-02-07,63,マーケティング,リファラル,最終面接,不採用,27,0,4,1,recruitment_styleA_202401.csv
2024-03-03,64,事務,リファラル,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-03-10,65,営業,エージェント,一次面接,不採用,20,0,2,1,recruitment_styleA_202401.csv
2024-01-15,66,マーケティング,エージェント,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-02-13,67,営業,エージェント,書類選考,不採用,4,0,1,0,recruitment_styleA_202401.csv
2024-01-25,68,マーケティング,エージェント,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-02-02,69,製造,エージェント,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-02-05,70,マーケティング,リファラル,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-03-27,71,製造,自社HP,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-02-06,72,マーケティング,自社HP,一次面接,不採用,19,0,2,1,recruitment_styleA_202401.csv
2024-02-21,73,営業,リファラル,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-02-11,74,事務,転職サイト,一次面接,不採用,14,0,2,1,recruitment_styleA_202401.csv
2024-01-14,75,マーケティング,リファラル,最終面接,不採用,34,0,4,1,recruitment_styleA_202401.csv
2024-03-01,76,製造,自社HP,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-02-28,77,マーケティング,エージェント,内定,採用,38,1,5,1,recruitment_styleA_202401.csv
2024-03-06,78,マーケティング,エージェント,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-01-13,79,製造,転職サイト,一次面接,不採用,13,0,2,1,recruitment_styleA_202401.csv
2024-01-09,80,マーケティング,リファラル,一次面接,不採用,17,0,2,1,recruitment_styleA_202401.csv
2024-02-25,81,マーケティング,リファラル,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-01-24,82,製造,転職サイト,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-01-21,83,エンジニア,転職サイト,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-01-27,84,エンジニア,エージェント,二次面接,不採用,25,0,3,1,recruitment_styleA_202401.csv
2024-03-09,85,事務,エージェント,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-01-10,86,エンジニア,転職サイト,書類選考,不採用,13,0,1,0,recruitment_styleA_202401.csv
2024-03-13,87,マーケティング,エージェント,書類選考,不採用,14,0,1,0,recruitment_styleA_202401.csv
2024-01-04,88,事務,転職サイト,書類選考,不採用,13,0,1,0,recruitment_styleA_202401.csv
2024-01-12,89,製造,自社HP,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-03-21,90,事務,転職サイト,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-01-14,91,事務,自社HP,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-01-24,92,製造,リファラル,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-02-15,93,マーケティング,リファラル,一次面接,不採用,15,0,2,1,recruitment_styleA_202401.csv
2024-02-08,94,マーケティング,自社HP,内定,採用,36,1,5,1,recruitment_styleA_202401.csv
2024-02-09,95,製造,リファラル,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-01-08,96,マーケティング,自社HP,二次面接,不採用,25,0,3,1,recruitment_styleA_202401.csv
2024-01-03,97,事務,エージェント,一次面接,不採用,16,0,2,1,recruitment_styleA_202401.csv
2024-02-18,98,製造,リファラル,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-02-23,99,マーケティング,リファラル,一次面接,不採用,16,0,2,1,recruitment_styleA_202401.csv
2024-01-24,100,製造,エージェント,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-03-19,101,製造,リファラル,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-02-08,102,事務,エージェント,書類選考,不採用,6,0,1,0,recruitment_styleA_202401.csv
2024-02-02,103,エンジニア,リファラル,書類選考,不採用,6,0,1,0,recruitment_styleA_202401.csv
2024-03-28,104,マーケティング,転職サイト,書類選考,不採用,13,0,1,0,recruitment_styleA_202401.csv
2024-02-16,105,マーケティング,自社HP,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-02-04,106,エンジニア,自社HP,書類選考,不採用,14,0,1,0,recruitment_styleA_202401.csv
2024-01-05,107,営業,リファラル,内定,採用,41,1,5,1,recruitment_styleA_202401.csv
2024-01-25,108,製造,自社HP,一次面接,不採用,17,0,2,1,recruitment_styleA_202401.csv
2024-02-19,109,製造,転職サイト,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-01-21,110,営業,リファラル,書類選考,不採用,6,0,1,0,recruitment_styleA_202401.csv
2024-01-06,111,製造,転職サイト,一次面接,不採用,18,0,2,1,recruitment_styleA_202401.csv
2024-02-02,112,営業,リファラル,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-01-22,113,営業,リファラル,書類選考,不採用,14,0,1,0,recruitment_styleA_202401.csv
2024-03-22,114,営業,自社HP,内定,採用,32,1,5,1,recruitment_styleA_202401.csv
2024-01-26,115,事務,リファラル,内定,採用,40,1,5,1,recruitment_styleA_202401.csv
2024-02-15,116,エンジニア,転職サイト,書類選考,不採用,9,0,1,0,recruitment_styleA_202401.csv
2024-03-09,117,エンジニア,転職サイト,書類選考,不採用,13,0,1,0,recruitment_styleA_202401.csv
2024-03-01,118,事務,転職サイト,書類選考,不採用,6,0,1,0,recruitment_styleA_202401.csv
2024-02-17,119,マーケティング,リファラル,書類選考,不採用,14,0,1,0,recruitment_styleA_202401.csv
2024-02-03,120,マーケティング,リファラル,内定,採用,39,1,5,1,recruitment_styleA_202401.csv
2024-02-22,121,マーケティング,転職サイト,二次面接,不採用,24,0,3,1,recruitment_styleA_202401.csv
2024-03-27,122,エンジニア,自社HP,二次面接,不採用,28,0,3,1,recruitment_styleA_202401.csv
2024-02-25,123,エンジニア,エージェント,二次面接,不採用,25,0,3,1,recruitment_styleA_202401.csv
2024-01-01,124,製造,エージェント,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-03-01,125,製造,自社HP,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-02-04,126,営業,自社HP,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-03-23,127,事務,自社HP,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-01-15,128,製造,エージェント,書類選考,不採用,12,0,1,0,recruitment_styleA_202401.csv
2024-03-05,129,エンジニア,リファラル,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-02-26,130,製造,リファラル,書類選考,不採用,8,0,1,0,recruitment_styleA_202401.csv
2024-03-10,131,製造,自社HP,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-03-16,132,事務,リファラル,書類選考,不採用,11,0,1,0,recruitment_styleA_202401.csv
2024-02-28,133,営業,エージェント,一次面接,不採用,11,0,2,1,recruitment_styleA_202401.csv
2024-02-24,134,マーケティング,自社HP,書類選考,不採用,14,0,1,0,recruitment_styleA_202401.csv
2024-01-16,135,エンジニア,エージェント,書類選考,不採用,5,0,1,0,recruitment_styleA_202401.csv
2024-02-04,136,製造,自社HP,一次面接,不採用,13,0,2,1,recruitment_styleA_202401.csv
2024-01-16,137,事務,リファラル,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-03-03,138,事務,自社HP,書類選考,不採用,14,0,1,0,recruitment_styleA_202401.csv
2024-03-25,139,マーケティング,転職サイト,書類選考,不採用,7,0,1,0,recruitment_styleA_202401.csv
2024-03-22,140,事務,エージェント,書類選考,不採用,10,0,1,0,recruitment_styleA_202401.csv
2024-01-25,141,エンジニア,自社HP,内定,採用,37,1,5,1,recruitment_styleB_202401.csv
2024-02-14,142,営業,エージェント,書類選考,不採用,6,0,1,0,recruitment_styleB_202401.csv
2024-01-06,143,エンジニア,自社HP,書類選考,不採用,7,0,1,0,recruitment_styleB_202401.csv
2024-02-19,144,営業,エージェント,最終面接,不採用,29,0,4,1,recruitment_styleB_202401.csv
2024-03-18,145,営業,転職サイト,内定,採用,36,1,5,1,recruitment_styleB_202401.csv
2024-02-28,146,事務,エージェント,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-01-08,147,マーケティング,リファラル,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-01-27,148,マーケティング,リファラル,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-03-24,149,マーケティング,リファラル,書類選考,不採用,7,0,1,0,recruitment_styleB_202401.csv
2024-03-26,150,事務,エージェント,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-02-22,151,営業,転職サイト,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-01-10,152,マーケティング,転職サイト,書類選考,不採用,5,0,1,0,recruitment_styleB_202401.csv
2024-02-11,153,マーケティング,エージェント,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-03-17,154,事務,エージェント,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-02-24,155,事務,転職サイト,一次面接,不採用,14,0,2,1,recruitment_styleB_202401.csv
2024-03-24,156,マーケティング,リファラル,内定,採用,42,1,5,1,recruitment_styleB_202401.csv
2024-02-19,157,マーケティング,リファラル,二次面接,不採用,26,0,3,1,recruitment_styleB_202401.csv
2024-02-20,158,営業,転職サイト,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-03-10,159,マーケティング,転職サイト,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-02-04,160,エンジニア,エージェント,書類選考,不採用,6,0,1,0,recruitment_styleB_202401.csv
2024-02-15,161,事務,自社HP,書類選考,不採用,10,0,1,0,recruitment_styleB_202401.csv
2024-03-04,162,マーケティング,自社HP,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-01-23,163,事務,エージェント,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-01-22,164,事務,リファラル,一次面接,不採用,18,0,2,1,recruitment_styleB_202401.csv
2024-01-22,165,営業,転職サイト,一次面接,不採用,20,0,2,1,recruitment_styleB_202401.csv
2024-01-03,166,製造,エージェント,書類選考,不採用,7,0,1,0,recruitment_styleB_202401.csv
2024-02-25,167,営業,転職サイト,書類選考,不採用,6,0,1,0,recruitment_styleB_202401.csv
2024-03-09,168,営業,転職サイト,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-01-01,169,事務,エージェント,内定,採用,33,1,5,1,recruitment_styleB_202401.csv
2024-03-03,170,マーケティング,自社HP,書類選考,不採用,12,0,1,0,recruitment_styleB_202401.csv
2024-03-04,171,マーケティング,エージェント,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-03-26,172,製造,リファラル,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-02-28,173,マーケティング,自社HP,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-03-15,174,エンジニア,転職サイト,内定,採用,37,1,5,1,recruitment_styleB_202401.csv
2024-02-20,175,製造,リファラル,書類選考,不採用,5,0,1,0,recruitment_styleB_202401.csv
2024-03-04,176,製造,エージェント,書類選考,不採用,10,0,1,0,recruitment_styleB_202401.csv
2024-02-27,177,マーケティング,自社HP,内定,採用,34,1,5,1,recruitment_styleB_202401.csv
2024-03-16,178,エンジニア,転職サイト,書類選考,不採用,5,0,1,0,recruitment_styleB_202401.csv
2024-02-04,179,事務,エージェント,書類選考,不採用,12,0,1,0,recruitment_styleB_202401.csv
2024-03-11,180,エンジニア,自社HP,書類選考,不採用,10,0,1,0,recruitment_styleB_202401.csv
2024-03-02,181,事務,リファラル,書類選考,不採用,7,0,1,0,recruitment_styleB_202401.csv
2024-01-22,182,マーケティング,エージェント,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-03-12,183,エンジニア,リファラル,書類選考,不採用,12,0,1,0,recruitment_styleB_202401.csv
2024-03-20,184,製造,転職サイト,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-03-09,185,エンジニア,エージェント,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-02-01,186,営業,エージェント,内定,採用,40,1,5,1,recruitment_styleB_202401.csv
2024-01-13,187,マーケティング,自社HP,一次面接,不採用,20,0,2,1,recruitment_styleB_202401.csv
2024-03-03,188,エンジニア,エージェント,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-01-09,189,マーケティング,自社HP,二次面接,不採用,19,0,3,1,recruitment_styleB_202401.csv
2024-02-14,190,エンジニア,リファラル,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-02-17,191,事務,転職サイト,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-01-07,192,事務,エージェント,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-02-11,193,エンジニア,転職サイト,内定,採用,40,1,5,1,recruitment_styleB_202401.csv
2024-03-26,194,事務,転職サイト,書類選考,不採用,10,0,1,0,recruitment_styleB_202401.csv
2024-01-15,195,エンジニア,リファラル,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-02-10,196,エンジニア,自社HP,一次面接,不採用,20,0,2,1,recruitment_styleB_202401.csv
2024-02-27,197,事務,転職サイト,内定,採用,36,1,5,1,recruitment_styleB_202401.csv
2024-03-11,198,営業,リファラル,書類選考,不採用,5,0,1,0,recruitment_styleB_202401.csv
2024-03-21,199,エンジニア,エージェント,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-02-24,200,営業,エージェント,内定,採用,33,1,5,1,recruitment_styleB_202401.csv
2024-01-25,201,マーケティング,自社HP,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-02-22,202,製造,リファラル,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-02-05,203,マーケティング,転職サイト,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-03-02,204,事務,転職サイト,二次面接,不採用,19,0,3,1,recruitment_styleB_202401.csv
2024-03-28,205,エンジニア,自社HP,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-02-26,206,製造,エージェント,内定,採用,37,1,5,1,recruitment_styleB_202401.csv
2024-03-03,207,製造,エージェント,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-03-17,208,製造,エージェント,書類選考,不採用,10,0,1,0,recruitment_styleB_202401.csv
2024-02-25,209,事務,転職サイト,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-02-03,210,事務,転職サイト,二次面接,不採用,27,0,3,1,recruitment_styleB_202401.csv
2024-01-11,211,エンジニア,エージェント,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-03-23,212,マーケティング,エージェント,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-03-13,213,事務,エージェント,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-03-03,214,マーケティング,リファラル,一次面接,不採用,16,0,2,1,recruitment_styleB_202401.csv
2024-02-07,215,営業,エージェント,一次面接,不採用,19,0,2,1,recruitment_styleB_202401.csv
2024-03-27,216,製造,転職サイト,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-01-20,217,マーケティング,エージェント,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-01-24,218,マーケティング,転職サイト,書類選考,不採用,7,0,1,0,recruitment_styleB_202401.csv
2024-02-20,219,事務,自社HP,一次面接,不採用,18,0,2,1,recruitment_styleB_202401.csv
2024-01-12,220,製造,自社HP,最終面接,不採用,28,0,4,1,recruitment_styleB_202401.csv
2024-03-05,221,事務,転職サイト,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-03-04,222,製造,転職サイト,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-02-17,223,営業,自社HP,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-02-01,224,マーケティング,転職サイト,内定,採用,37,1,5,1,recruitment_styleB_202401.csv
2024-01-27,225,事務,エージェント,一次面接,不採用,13,0,2,1,recruitment_styleB_202401.csv
2024-03-16,226,マーケティング,転職サイト,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-02-07,227,営業,自社HP,内定,採用,41,1,5,1,recruitment_styleB_202401.csv
2024-02-03,228,エンジニア,自社HP,内定,採用,38,1,5,1,recruitment_styleB_202401.csv
2024-01-20,229,事務,エージェント,一次面接,不採用,19,0,2,1,recruitment_styleB_202401.csv
2024-02-03,230,製造,転職サイト,一次面接,不採用,16,0,2,1,recruitment_styleB_202401.csv
2024-02-24,231,エンジニア,リファラル,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-01-24,232,エンジニア,リファラル,最終面接,不採用,35,0,4,1,recruitment_styleB_202401.csv
2024-02-23,233,マーケティング,エージェント,書類選考,不採用,5,0,1,0,recruitment_styleB_202401.csv
2024-03-25,234,マーケティング,転職サイト,最終面接,不採用,33,0,4,1,recruitment_styleB_202401.csv
2024-02-27,235,製造,自社HP,書類選考,不採用,7,0,1,0,recruitment_styleB_202401.csv
2024-02-12,236,エンジニア,リファラル,書類選考,不採用,10,0,1,0,recruitment_styleB_202401.csv
2024-02-24,237,マーケティング,自社HP,一次面接,不採用,16,0,2,1,recruitment_styleB_202401.csv
2024-03-09,238,エンジニア,自社HP,書類選考,不採用,6,0,1,0,recruitment_styleB_202401.csv
2024-03-10,239,事務,転職サイト,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-02-20,240,マーケティング,エージェント,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-02-02,241,事務,自社HP,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-01-22,242,マーケティング,リファラル,書類選考,不採用,6,0,1,0,recruitment_styleB_202401.csv
2024-01-05,243,製造,自社HP,一次面接,不採用,16,0,2,1,recruitment_styleB_202401.csv
2024-02-13,244,製造,転職サイト,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-02-12,245,事務,自社HP,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-01-17,246,事務,自社HP,一次面接,不採用,11,0,2,1,recruitment_styleB_202401.csv
2024-03-06,247,マーケティング,自社HP,書類選考,不採用,5,0,1,0,recruitment_styleB_202401.csv
2024-02-25,248,事務,自社HP,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-01-04,249,営業,転職サイト,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-01-26,250,事務,リファラル,書類選考,不採用,12,0,1,0,recruitment_styleB_202401.csv
2024-03-10,251,事務,エージェント,書類選考,不採用,14,0,1,0,recruitment_styleB_202401.csv
2024-01-26,252,事務,エージェント,二次面接,不採用,18,0,3,1,recruitment_styleB_202401.csv
2024-02-18,253,製造,リファラル,書類選考,不採用,6,0,1,0,recruitment_styleB_202401.csv
2024-03-03,254,エンジニア,リファラル,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-03-14,255,マーケティング,転職サイト,内定,採用,34,1,5,1,recruitment_styleB_202401.csv
2024-03-21,256,製造,エージェント,書類選考,不採用,6,0,1,0,recruitment_styleB_202401.csv
2024-02-17,257,エンジニア,転職サイト,二次面接,不採用,21,0,3,1,recruitment_styleB_202401.csv
2024-02-17,258,事務,転職サイト,書類選考,不採用,12,0,1,0,recruitment_styleB_202401.csv
2024-02-05,259,事務,転職サイト,一次面接,不採用,13,0,2,1,recruitment_styleB_202401.csv
2024-01-22,260,製造,リファラル,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-01-27,261,エンジニア,転職サイト,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-02-21,262,営業,自社HP,書類選考,不採用,4,0,1,0,recruitment_styleB_202401.csv
2024-02-21,263,製造,リファラル,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-02-08,264,マーケティング,リファラル,書類選考,不採用,6,0,1,0,recruitment_styleB_202401.csv
2024-02-14,265,マーケティング,自社HP,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-03-11,266,事務,自社HP,内定,採用,36,1,5,1,recruitment_styleB_202401.csv
2024-02-08,267,営業,転職サイト,書類選考,不採用,13,0,1,0,recruitment_styleB_202401.csv
2024-02-08,268,営業,リファラル,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-01-25,269,営業,自社HP,書類選考,不採用,11,0,1,0,recruitment_styleB_202401.csv
2024-02-10,270,マーケティング,転職サイト,内定,採用,32,1,5,1,recruitment_styleB_202401.csv
2024-01-10,271,マーケティング,自社HP,内定,採用,37,1,5,1,recruitment_styleB_202401.csv
2024-02-12,272,エンジニア,自社HP,書類選考,不採用,9,0,1,0,recruitment_styleB_202401.csv
2024-03-10,273,エンジニア,自社HP,書類選考,不採用,8,0,1,0,recruitment_styleB_202401.csv
2024-03-22,274,製造,転職サイト,二次面接,不採用,26,0,3,1,recruitment_styleB_202401.csv
2024-02-25,275,営業,エージェント,書類選考,不採用,10,0,1,0,recruitment_styleB_202401.csv
2024-03-02,276,エンジニア,転職サイト,内定,採用,40,1,5,1,recruitment_styleB_202401.csv
