ContractDate,ContractID,Plan,Industry,MonthlyFee,UsageMonths,LoginCount,SupportCount,Status,ChurnReason
2023-03-08,CON-0056,Starter,IT,3000,9,3,0,Active,
2023-08-07,CON-0057,Enterprise,Healthcare,30000,6,48,7,Active,
2023-07-09,CON-0058,Enterprise,Retail,30000,4,5,2,Active,
2023-01-21,CON-0059,Enterprise,Service,30000,5,28,2,Churned,Switched to competitor
2023-07-28,CON-0060,Standard,Manufacturing,8000,22,16,10,Churned,Hard to use
2023-04-01,CON-0061,Enterprise,Manufacturing,30000,8,56,2,Active,
2023-07-30,CON-0062,Standard,Retail,8000,6,48,5,Active,
2023-01-20,CON-0063,Enterprise,Manufacturing,30000,9,11,1,Active,
2023-04-27,CON-0064,Standard,Manufacturing,8000,7,53,7,Active,
2023-02-05,CON-0065,Starter,Retail,3000,22,13,6,Active,
2023-10-02,CON-0066,Standard,Healthcare,8000,21,33,6,Active,
2023-01-20,CON-0067,Standard,Retail,8000,4,57,4,Churned,Switched to competitor
2023-09-19,CON-0068,Starter,Service,3000,14,23,5,Active,
2023-01-01,CON-0069,Starter,IT,3000,19,13,4,Churned,Business closed
2023-02-05,CON-0070,Enterprise,Service,30000,22,47,10,Churned,Business closed
2023-06-03,CON-0071,Enterprise,Healthcare,30000,20,21,10,Active,
2023-06-01,CON-0072,Enterprise,Healthcare,30000,22,27,5,Active,
2023-12-13,CON-0073,Enterprise,Manufacturing,30000,7,27,10,Active,
2023-01-01,CON-0074,Enterprise,Manufacturing,30000,20,37,4,Active,
2023-06-14,CON-0075,Standard,Healthcare,8000,7,28,9,Active,
2023-03-28,CON-0076,Standard,IT,8000,15,44,3,Active,
2023-06-21,CON-0077,Enterprise,Retail,30000,10,33,10,Active,
2023-03-17,CON-0078,Starter,Manufacturing,3000,22,20,3,Active,
2023-02-07,CON-0079,Starter,Retail,3000,8,31,9,Active,
2023-07-16,CON-0080,Standard,IT,8000,21,37,3,Active,
2023-02-24,CON-0081,Standard,IT,8000,8,10,10,Active,
2023-10-13,CON-0082,Standard,Manufacturing,8000,6,52,8,Active,
2023-10-14,CON-0083,Starter,Retail,3000,15,9,7,Active,
2023-10-08,CON-0084,Enterprise,Healthcare,30000,15,40,8,Active,
2023-05-07,CON-0085,Standard,Manufacturing,8000,24,56,7,Active,
2023-02-09,CON-0086,Enterprise,Healthcare,30000,17,32,10,Churned,Business closed
2023-10-04,CON-0087,Enterprise,Healthcare,30000,8,18,5,Active,
2023-12-28,CON-0088,Starter,Manufacturing,3000,5,15,6,Active,
2023-08-01,CON-0089,Starter,Retail,3000,14,27,5,Active,
2023-01-11,CON-0090,Starter,Manufacturing,3000,14,25,9,Active,
2023-07-19,CON-0091,Enterprise,IT,30000,16,1,5,Active,
2023-04-23,CON-0092,Standard,Service,8000,24,48,8,Active,
2023-12-09,CON-0093,Standard,Manufacturing,8000,9,28,7,Churned,Switched to competitor
2023-11-15,CON-0094,Enterprise,IT,30000,24,11,7,Active,
2023-02-12,CON-0095,Enterprise,Retail,30000,13,38,9,Active,
2023-07-14,CON-0096,Enterprise,IT,30000,5,56,7,Churned,Switched to competitor
2023-07-14,CON-0097,Standard,Manufacturing,8000,15,21,5,Active,
2023-10-04,CON-0098,Standard,IT,8000,9,54,1,Active,
2023-11-30,CON-0099,Starter,Healthcare,3000,8,42,1,Active,
2023-05-03,CON-0100,Starter,Retail,3000,8,13,0,Active,
2023-08-27,CON-0101,Starter,IT,3000,22,8,9,Active,
2023-02-28,CON-0102,Enterprise,Healthcare,30000,12,11,9,Active,
2023-10-22,CON-0103,Starter,Healthcare,3000,4,38,0,Active,
2023-02-22,CON-0104,Enterprise,IT,30000,13,46,3,Churned,Lack of features
2023-10-17,CON-0105,Enterprise,Healthcare,30000,22,39,1,Active,
2023-09-17,CON-0106,Starter,Healthcare,3000,18,28,10,Active,
2023-02-24,CON-0107,Enterprise,Healthcare,30000,1,55,6,Active,
2023-08-11,CON-0108,Standard,Healthcare,8000,21,58,7,Active,
2023-10-03,CON-0109,Starter,Service,3000,21,18,9,Active,
2023-05-06,CON-0110,Standard,IT,8000,14,53,9,Active,
2023-12-09,CON-0111,Starter,Healthcare,3000,15,16,7,Active,
2023-07-01,CON-0112,Standard,Healthcare,8000,1,32,5,Churned,Lack of features
2023-05-22,CON-0113,Standard,Healthcare,8000,9,57,9,Active,
2023-09-08,CON-0114,Enterprise,Retail,30000,17,13,1,Churned,Business closed
2023-08-18,CON-0115,Enterprise,Manufacturing,30000,23,31,10,Active,
2023-06-06,CON-0116,Starter,Retail,3000,10,15,6,Active,
2023-08-06,CON-0117,Enterprise,Service,30000,12,31,8,Active,
2023-05-09,CON-0118,Enterprise,Service,30000,11,23,7,Active,
2023-12-20,CON-0119,Starter,Retail,3000,24,13,5,Churned,Hard to use
2023-10-29,CON-0120,Starter,Manufacturing,3000,7,48,7,Active,
2023-07-04,CON-0121,Enterprise,Service,30000,10,7,3,Active,
2023-01-28,CON-0122,Starter,Healthcare,3000,1,46,8,Churned,Too expensive
2023-09-09,CON-0123,Enterprise,Healthcare,30000,23,9,10,Active,
2023-06-24,CON-0124,Starter,Retail,3000,19,19,7,Active,
2023-07-25,CON-0125,Starter,Retail,3000,9,56,7,Churned,Too expensive
2023-10-16,CON-0126,Standard,Retail,8000,19,41,10,Churned,Lack of features
2023-11-07,CON-0127,Standard,Retail,8000,8,8,8,Active,
2023-08-15,CON-0128,Enterprise,Service,30000,8,50,8,Active,
2023-11-09,CON-0129,Standard,Service,8000,14,20,9,Active,
2023-02-11,CON-0130,Enterprise,Retail,30000,7,41,3,Active,
2023-08-19,CON-0131,Starter,Manufacturing,3000,6,36,1,Churned,Business closed
2023-12-26,CON-0132,Enterprise,Service,30000,16,19,0,Churned,Switched to competitor
2023-11-17,CON-0133,Standard,Retail,8000,22,15,4,Active,
2023-05-17,CON-0134,Enterprise,Manufacturing,30000,14,8,8,Churned,Lack of features
2023-10-19,CON-0135,Starter,Retail,3000,2,11,4,Active,
2023-05-20,CON-0136,Standard,IT,8000,4,30,4,Active,
2023-08-10,CON-0137,Enterprise,Service,30000,16,29,1,Active,
2023-10-28,CON-0138,Enterprise,Healthcare,30000,20,17,0,Churned,Hard to use
2023-11-30,CON-0139,Starter,Healthcare,3000,19,3,2,Active,
2023-09-09,CON-0140,Standard,Healthcare,8000,6,38,6,Active,
2023-02-23,CON-0141,Starter,IT,3000,12,27,5,Active,
2023-07-25,CON-0142,Starter,Healthcare,3000,14,45,7,Active,
2023-03-01,CON-0143,Enterprise,Retail,30000,15,6,5,Active,
2023-01-28,CON-0144,Standard,Service,8000,1,43,8,Active,
2023-01-27,CON-0145,Starter,Service,3000,12,40,7,Active,
2023-12-24,CON-0146,Starter,Healthcare,3000,18,9,4,Active,
2023-12-30,CON-0147,Standard,Retail,8000,1,41,9,Active,
2023-04-26,CON-0148,Starter,Healthcare,3000,18,1,8,Active,
2023-05-30,CON-0149,Starter,IT,3000,4,42,2,Active,
2023-05-05,CON-0150,Enterprise,Healthcare,30000,14,54,7,Active,
2023-09-18,CON-0151,Standard,Service,8000,5,25,3,Active,
2023-09-17,CON-0152,Enterprise,Manufacturing,30000,3,18,6,Active,
2023-10-24,CON-0153,Standard,Retail,8000,10,47,4,Active,
2023-06-20,CON-0154,Enterprise,IT,30000,5,29,8,Active,
2023-12-24,CON-0155,Enterprise,Service,30000,13,30,5,Active,
2023-12-28,CON-0156,Starter,Service,3000,13,15,6,Churned,Business closed
2023-09-11,CON-0157,Standard,IT,8000,22,51,10,Active,
2023-08-14,CON-0158,Starter,Manufacturing,3000,17,38,5,Active,
2023-12-02,CON-0159,Starter,Service,3000,15,1,2,Active,
2023-12-21,CON-0160,Starter,Retail,3000,16,51,4,Active,
2023-07-14,CON-0161,Standard,Retail,8000,11,55,10,Active,
2023-04-27,CON-0162,Standard,IT,8000,18,3,9,Churned,Switched to competitor
2023-02-21,CON-0163,Enterprise,Retail,30000,14,7,10,Active,
2023-05-31,CON-0164,Standard,Manufacturing,8000,23,20,0,Churned,Too expensive
2023-10-17,CON-0165,Standard,Healthcare,8000,14,10,3,Active,
2023-07-15,CON-0166,Enterprise,Manufacturing,30000,6,12,1,Active,
2023-11-23,CON-0167,Enterprise,Manufacturing,30000,16,59,9,Churned,Business closed
2023-08-27,CON-0168,Standard,IT,8000,9,43,0,Active,
2023-10-28,CON-0169,Standard,Service,8000,6,5,7,Active,
2023-04-12,CON-0170,Standard,IT,8000,23,17,7,Active,
2023-10-22,CON-0171,Standard,IT,8000,4,16,6,Active,
2023-01-05,CON-0172,Standard,Healthcare,8000,1,54,10,Active,
2023-05-27,CON-0173,Enterprise,Retail,30000,20,48,7,Active,
2023-12-14,CON-0174,Starter,Service,3000,12,15,10,Churned,Switched to competitor
2023-06-08,CON-0175,Enterprise,Manufacturing,30000,21,7,10,Active,
2023-06-17,CON-0176,Standard,Retail,8000,19,24,2,Churned,Switched to competitor
2023-07-07,CON-0177,Enterprise,IT,30000,6,13,2,Active,
2023-09-04,CON-0178,Enterprise,Service,30000,9,54,2,Active,
2023-12-13,CON-0179,Standard,Healthcare,8000,4,30,1,Churned,Lack of features
2023-01-08,CON-0180,Enterprise,IT,30000,18,24,1,Active,
2023-12-11,CON-0181,Standard,Service,8000,4,30,5,Active,
2023-02-25,CON-0182,Standard,Service,8000,13,53,10,Active,
2023-10-15,CON-0183,Enterprise,Manufacturing,30000,16,2,9,Active,
2023-08-26,CON-0184,Standard,Service,8000,8,42,1,Active,
2023-06-05,CON-0185,Enterprise,Healthcare,30000,21,27,1,Churned,Too expensive
2023-07-09,CON-0186,Standard,Retail,8000,4,16,8,Churned,Business closed
2023-12-02,CON-0187,Enterprise,Service,30000,14,38,2,Active,
2023-04-22,CON-0188,Starter,IT,3000,20,27,4,Churned,Switched to competitor
2023-10-06,CON-0189,Standard,IT,8000,8,55,5,Churned,Switched to competitor
2023-08-21,CON-0190,Enterprise,Healthcare,30000,2,26,4,Churned,Too expensive
2023-01-26,CON-0191,Starter,Manufacturing,3000,21,41,9,Active,
2023-04-17,CON-0192,Standard,Manufacturing,8000,5,51,9,Churned,Hard to use
2023-11-02,CON-0193,Enterprise,Manufacturing,30000,8,22,2,Active,
2023-03-31,CON-0194,Starter,Healthcare,3000,5,9,8,Active,
2023-05-02,CON-0195,Starter,Retail,3000,5,1,5,Active,
2023-09-27,CON-0196,Enterprise,Healthcare,30000,1,12,4,Churned,Business closed
2023-02-25,CON-0197,Starter,Retail,3000,16,29,5,Active,
2023-12-04,CON-0198,Standard,Service,8000,8,40,0,Active,
2023-07-25,CON-0199,Enterprise,Healthcare,30000,15,42,0,Churned,Business closed
2023-06-14,CON-0200,Standard,Retail,8000,16,46,7,Churned,Too expensive
2023-10-27,CON-0201,Enterprise,Manufacturing,30000,3,9,4,Active,
2023-09-16,CON-0202,Enterprise,Healthcare,30000,13,39,8,Active,
2023-11-30,CON-0203,Enterprise,IT,30000,4,51,1,Active,
2023-08-21,CON-0204,Enterprise,Manufacturing,30000,14,29,3,Active,
2023-12-07,CON-0205,Standard,IT,8000,24,7,5,Active,
2023-02-17,CON-0206,Standard,Healthcare,8000,5,44,7,Churned,Too expensive
2023-10-12,CON-0207,Standard,Retail,8000,24,48,5,Active,
2023-07-30,CON-0208,Starter,Service,3000,18,36,5,Active,
2023-06-30,CON-0209,Standard,IT,8000,24,4,4,Active,
2023-04-25,CON-0210,Starter,Service,3000,17,14,2,Active,
2023-10-21,CON-0211,Starter,Healthcare,3000,18,24,1,Active,
2023-11-26,CON-0212,Starter,IT,3000,18,50,9,Active,
2023-05-17,CON-0213,Enterprise,Retail,30000,20,60,10,Active,
2023-06-29,CON-0214,Starter,Manufacturing,3000,9,45,4,Active,
2023-03-14,CON-0215,Starter,Manufacturing,3000,5,37,10,Active,
2023-08-21,CON-0216,Enterprise,Retail,30000,3,48,8,Churned,Business closed
2023-10-18,CON-0217,Standard,Manufacturing,8000,12,20,5,Active,
2023-01-26,CON-0218,Enterprise,Retail,30000,2,10,2,Active,
2023-11-07,CON-0219,Enterprise,Retail,30000,9,29,10,Active,
2023-02-26,CON-0220,Standard,IT,8000,9,14,8,Churned,Business closed
2023-04-23,CON-0221,Standard,Service,8000,16,34,10,Active,
2023-04-19,CON-0222,Standard,Service,8000,2,1,3,Active,
2023-03-31,CON-0223,Starter,Healthcare,3000,10,21,1,Churned,Business closed
2023-12-09,CON-0224,Starter,IT,3000,18,46,3,Active,
2023-08-24,CON-0225,Standard,Retail,8000,13,56,0,Active,
2023-11-24,CON-0226,Starter,Healthcare,3000,19,28,9,Active,
2023-03-29,CON-0227,Standard,Healthcare,8000,4,26,0,Active,
2023-05-05,CON-0228,Enterprise,IT,30000,23,59,5,Churned,Too expensive
2023-06-08,CON-0229,Standard,Service,8000,13,34,1,Active,
2023-09-29,CON-0230,Enterprise,Healthcare,30000,8,22,2,Churned,Too expensive
2023-05-01,CON-0231,Enterprise,Manufacturing,30000,12,23,10,Active,
2023-12-02,CON-0232,Starter,Manufacturing,3000,9,13,2,Active,
2023-10-24,CON-0233,Starter,Manufacturing,3000,21,32,7,Active,
2023-11-18,CON-0234,Standard,Service,8000,21,41,9,Active,
2023-06-05,CON-0235,Standard,Manufacturing,8000,15,5,7,Active,
2023-08-20,CON-0236,Standard,Service,8000,2,23,8,Churned,Business closed
2023-11-11,CON-0237,Starter,Retail,3000,12,54,4,Churned,Too expensive
2023-01-22,CON-0238,Enterprise,Service,30000,13,30,9,Active,
2023-09-14,CON-0239,Standard,Service,8000,21,13,5,Active,
2023-02-13,CON-0240,Starter,Retail,3000,15,7,5,Active,
2023-09-26,CON-0241,Enterprise,Manufacturing,30000,2,16,7,Active,
2023-07-18,CON-0242,Enterprise,Service,30000,6,24,5,Active,
2023-11-28,CON-0243,Standard,Healthcare,8000,22,39,0,Active,
2023-05-26,CON-0244,Standard,Retail,8000,11,7,8,Active,
2023-03-14,CON-0245,Standard,Service,8000,5,22,1,Active,
2023-11-01,CON-0246,Standard,Healthcare,8000,21,45,10,Active,
2023-06-18,CON-0247,Enterprise,Retail,30000,10,36,6,Active,
2023-07-05,CON-0248,Starter,Service,3000,3,42,10,Active,
2023-09-06,CON-0249,Starter,Healthcare,3000,10,12,3,Active,
2023-02-21,CON-0250,Starter,Manufacturing,3000,5,10,1,Active,
2023-11-13,CON-0251,Enterprise,Service,30000,24,57,8,Churned,Switched to competitor
2023-03-26,CON-0252,Starter,Service,3000,13,10,2,Churned,Hard to use
2023-05-02,CON-0253,Enterprise,IT,30000,2,27,5,Active,
2023-06-08,CON-0254,Standard,Service,8000,10,49,7,Churned,Lack of features
2023-08-25,CON-0255,Standard,Manufacturing,8000,12,44,9,Active,
2023-04-13,CON-0256,Standard,IT,8000,17,34,6,Active,
2023-07-10,CON-0257,Enterprise,Manufacturing,30000,9,4,10,Active,
2023-05-26,CON-0258,Enterprise,Retail,30000,23,55,8,Active,
2023-02-16,CON-0259,Starter,Manufacturing,3000,9,29,8,Churned,Business closed
2023-07-22,CON-0260,Starter,IT,3000,12,60,0,Active,
2023-01-15,CON-0261,Enterprise,Healthcare,30000,8,25,1,Active,
2023-03-12,CON-0262,Standard,Retail,8000,23,42,5,Active,
2023-08-29,CON-0263,Starter,Healthcare,3000,16,45,2,Active,
2023-03-18,CON-0264,Standard,Service,8000,1,58,1,Churned,Lack of features
2023-05-02,CON-0265,Enterprise,Service,30000,17,28,1,Active,
2023-11-15,CON-0266,Standard,Retail,8000,2,16,6,Active,
2023-01-09,CON-0267,Standard,Retail,8000,4,54,7,Active,
2023-01-01,CON-0268,Enterprise,Service,30000,19,16,2,Active,
2023-09-26,CON-0269,Enterprise,Healthcare,30000,8,37,6,Churned,Too expensive
2023-09-17,CON-0270,Standard,Retail,8000,17,35,8,Active,
2023-07-11,CON-0271,Enterprise,Retail,30000,13,56,7,Churned,Business closed
2023-12-03,CON-0272,Standard,Retail,8000,12,51,1,Active,
2023-10-07,CON-0273,Enterprise,Retail,30000,19,48,5,Churned,Switched to competitor
2023-03-11,CON-0274,Standard,Manufacturing,8000,22,30,7,Active,
2023-01-22,CON-0275,Starter,IT,3000,2,19,3,Churned,Lack of features
2023-01-19,CON-0276,Standard,Healthcare,8000,17,26,8,Active,
2023-06-19,CON-0277,Enterprise,Manufacturing,30000,10,23,0,Active,
2023-07-17,CON-0278,Standard,Retail,8000,12,28,6,Active,
2023-09-23,CON-0279,Standard,Manufacturing,8000,16,45,7,Active,
2023-04-03,CON-0280,Standard,Retail,8000,24,28,1,Active,
2023-06-01,CON-0281,Enterprise,Healthcare,30000,11,7,1,Active,
2023-06-29,CON-0282,Standard,IT,8000,20,46,6,Churned,Business closed
2023-08-11,CON-0283,Standard,Retail,8000,24,56,5,Active,
2023-09-20,CON-0284,Standard,Retail,8000,3,43,10,Active,
2023-08-13,CON-0285,Enterprise,Manufacturing,30000,1,10,9,Active,
2023-07-16,CON-0286,Starter,Manufacturing,3000,3,16,10,Active,
2023-07-09,CON-0287,Enterprise,Retail,30000,20,10,10,Active,
2023-07-23,CON-0288,Standard,IT,8000,3,37,2,Active,
2023-09-13,CON-0289,Standard,Healthcare,8000,8,8,0,Active,
2023-12-27,CON-0290,Enterprise,IT,30000,18,8,4,Active,
2023-02-07,CON-0291,Standard,Manufacturing,8000,20,19,7,Churned,Lack of features
2023-06-13,CON-0292,Standard,Manufacturing,8000,23,29,1,Active,
2023-06-03,CON-0293,Enterprise,Healthcare,30000,23,5,8,Active,
2023-03-13,CON-0294,Starter,Manufacturing,3000,12,33,3,Churned,Lack of features
2023-08-28,CON-0295,Starter,IT,3000,1,24,8,Active,
2023-09-03,CON-0296,Enterprise,Manufacturing,30000,20,57,1,Churned,Business closed
2023-11-25,CON-0297,Enterprise,IT,30000,14,53,9,Churned,Switched to competitor
2023-10-10,CON-0298,Starter,IT,3000,15,44,8,Active,
2023-01-29,CON-0299,Enterprise,Service,30000,6,50,2,Active,
2023-06-27,CON-0300,Starter,Service,3000,5,20,2,Churned,Lack of features
2023-10-10,CON-0301,Enterprise,Healthcare,30000,3,17,3,Active,
2023-09-15,CON-0302,Standard,Manufacturing,8000,21,20,9,Active,
2023-11-06,CON-0303,Enterprise,Manufacturing,30000,19,38,2,Churned,Hard to use
2023-05-16,CON-0304,Standard,Service,8000,2,53,0,Churned,Hard to use
2023-09-12,CON-0305,Enterprise,Manufacturing,30000,19,27,9,Active,
2023-12-17,CON-0306,Enterprise,Service,30000,10,42,4,Active,
2023-09-05,CON-0307,Standard,Healthcare,8000,15,5,0,Churned,Business closed
2023-06-13,CON-0308,Standard,Manufacturing,8000,11,39,2,Active,
2023-02-24,CON-0309,Enterprise,Healthcare,30000,13,9,5,Active,
2023-03-14,CON-0310,Standard,Manufacturing,8000,15,8,4,Active,
2023-03-23,CON-0311,Starter,Retail,3000,10,25,9,Active,
2023-09-13,CON-0312,Standard,Service,8000,24,21,3,Active,
2023-02-16,CON-0313,Enterprise,IT,30000,16,57,4,Active,
2023-01-25,CON-0314,Standard,Service,8000,15,16,3,Active,
2023-05-27,CON-0315,Starter,Healthcare,3000,16,39,10,Active,
2023-07-07,CON-0316,Enterprise,Retail,30000,4,28,2,Active,
2023-04-10,CON-0317,Standard,Healthcare,8000,2,26,0,Active,
2023-10-09,CON-0318,Standard,Service,8000,10,5,6,Active,
2023-07-21,CON-0319,Standard,Service,8000,22,40,1,Churned,Too expensive
2023-07-25,CON-0320,Standard,Healthcare,8000,18,24,2,Churned,Hard to use
2023-08-31,CON-0321,Enterprise,Retail,30000,2,3,2,Active,
2023-06-13,CON-0322,Enterprise,IT,30000,5,39,8,Churned,Hard to use
2023-09-17,CON-0323,Starter,IT,3000,20,48,4,Active,
2023-01-09,CON-0324,Enterprise,Service,30000,16,46,9,Active,
2023-12-19,CON-0325,Standard,Healthcare,8000,22,8,6,Active,
2023-10-24,CON-0326,Enterprise,Retail,30000,20,31,4,Active,
2023-09-26,CON-0327,Enterprise,Manufacturing,30000,24,4,9,Active,
2023-12-25,CON-0328,Enterprise,Service,30000,13,10,10,Churned,Hard to use
2023-07-31,CON-0329,Starter,Manufacturing,3000,1,29,5,Active,
2023-02-01,CON-0330,Enterprise,Manufacturing,30000,14,33,9,Active,
2023-12-06,CON-0331,Enterprise,Manufacturing,30000,17,14,8,Active,
2023-09-30,CON-0332,Standard,Service,8000,13,21,2,Active,
2023-12-21,CON-0333,Standard,Service,8000,12,44,10,Active,
2023-06-02,CON-0334,Standard,Service,8000,16,13,3,Active,
2023-09-08,CON-0335,Starter,Healthcare,3000,10,46,3,Active,
2023-10-21,CON-0336,Standard,IT,8000,12,36,4,Active,
2023-03-16,CON-0337,Enterprise,Service,30000,13,58,6,Active,
2023-08-15,CON-0338,Standard,Retail,8000,10,46,1,Active,
2023-05-19,CON-0339,Enterprise,Healthcare,30000,24,31,3,Churned,Hard to use
2023-05-03,CON-0340,Enterprise,Healthcare,30000,5,7,9,Active,
2023-01-27,CON-0341,Starter,Retail,3000,22,58,8,Churned,Lack of features
2023-01-03,CON-0342,Starter,IT,3000,11,46,7,Churned,Lack of features
2023-04-13,CON-0343,Enterprise,Manufacturing,30000,14,42,7,Active,
2023-02-15,CON-0344,Standard,Healthcare,8000,10,42,0,Active,
2023-03-31,CON-0345,Enterprise,Service,30000,8,35,0,Active,
2023-04-06,CON-0346,Standard,Manufacturing,8000,2,54,6,Active,
2023-02-24,CON-0347,Enterprise,Healthcare,30000,2,1,4,Active,
2023-03-10,CON-0348,Standard,Healthcare,8000,15,42,8,Active,
2023-08-23,CON-0349,Enterprise,IT,30000,9,13,1,Active,
2023-06-01,CON-0350,Enterprise,Healthcare,30000,23,12,0,Active,
2023-08-07,CON-0351,Enterprise,Manufacturing,30000,6,40,10,Active,
2023-09-02,CON-0352,Enterprise,Healthcare,30000,3,26,10,Churned,Lack of features
2023-06-18,CON-0353,Standard,Manufacturing,8000,1,17,6,Churned,Switched to competitor
2023-07-04,CON-0354,Standard,Service,8000,24,37,0,Active,
2023-03-23,CON-0355,Enterprise,Manufacturing,30000,2,43,1,Active,
2023-11-24,CON-0356,Standard,Service,8000,23,50,4,Active,
2023-09-02,CON-0357,Standard,Healthcare,8000,20,15,3,Active,
2023-10-09,CON-0358,Starter,IT,3000,24,39,5,Active,
2023-12-15,CON-0359,Standard,Service,8000,22,53,3,Active,
2023-02-09,CON-0360,Enterprise,Retail,30000,17,29,8,Active,
2023-04-14,CON-0361,Enterprise,Retail,30000,2,54,8,Active,
2023-08-15,CON-0362,Enterprise,Service,30000,5,11,5,Active,
2023-08-17,CON-0363,Starter,Manufacturing,3000,23,38,7,Churned,Hard to use
2023-01-30,CON-0364,Starter,IT,3000,5,33,6,Active,
2023-07-22,CON-0365,Enterprise,IT,30000,22,52,4,Active,
2023-06-26,CON-0366,Standard,Retail,8000,24,14,9,Churned,Business closed
2023-08-30,CON-0367,Enterprise,Retail,30000,18,4,1,Active,
2023-11-27,CON-0368,Starter,Healthcare,3000,14,12,2,Active,
2023-12-16,CON-0369,Standard,Healthcare,8000,13,29,6,Active,
2023-07-21,CON-0370,Enterprise,Service,30000,5,42,5,Churned,Hard to use
2023-06-02,CON-0371,Enterprise,Manufacturing,30000,24,15,0,Active,
2023-05-07,CON-0372,Standard,Service,8000,14,35,6,Active,
2023-02-27,CON-0373,Standard,Healthcare,8000,5,18,3,Active,
2023-02-21,CON-0374,Starter,IT,3000,20,50,0,Churned,Too expensive
2023-01-25,CON-0375,Enterprise,Retail,30000,15,39,10,Active,
2023-01-29,CON-0376,Starter,Retail,3000,13,29,3,Active,
