invoice_no,invoice_date,client_code,invoice_amount,received_amount,received_date,payment_type,variance_amount,variance_rate,match_status,source_file
INV-2024010045,2024-01-09,CLI-010,4712122.0,4712122.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010046,2024-01-23,CLI-005,1876207.0,1876207.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010047,2024-01-19,CLI-018,2680707.0,2680707.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010048,2024-01-02,CLI-016,4505408.0,4505408.0,2024-01-27,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010049,2024-01-02,CLI-003,624798.0,510735.0,2024-01-25,手形,-114063.0,-0.1826,差異,01_請求データ_A_202401.csv
INV-2024010050,2024-01-28,CLI-013,4828783.0,4828783.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010051,2024-01-19,CLI-002,3566713.0,3566713.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010052,2024-01-19,CLI-017,2237461.0,2237461.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010053,2024-01-22,CLI-011,3370092.0,3370092.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010054,2024-01-22,CLI-010,658535.0,658535.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010055,2024-01-15,CLI-019,664555.0,0.0,,手形,-664555.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010056,2024-01-07,CLI-009,2977698.0,2977698.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010057,2024-01-08,CLI-010,4606842.0,4606842.0,2024-01-26,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010058,2024-01-10,CLI-017,4702341.0,4702341.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010059,2024-01-22,CLI-005,947882.0,947882.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010060,2024-01-18,CLI-009,1816889.0,1816889.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010061,2024-01-11,CLI-009,2156557.0,2156557.0,2024-01-24,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010062,2024-01-03,CLI-014,419826.0,415197.0,2024-01-28,銀行振込,-4629.0,-0.011,差異,01_請求データ_A_202401.csv
INV-2024010063,2024-01-21,CLI-006,4677830.0,4677830.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010064,2024-01-14,CLI-001,1300357.0,1300357.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010065,2024-01-02,CLI-019,3655312.0,3655312.0,2024-01-20,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010066,2024-01-02,CLI-012,384662.0,280539.0,2024-01-18,銀行振込,-104123.0,-0.2707,差異,01_請求データ_A_202401.csv
INV-2024010067,2024-01-22,CLI-004,4746643.0,4746643.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010068,2024-01-20,CLI-005,2035896.0,2214677.0,2024-01-28,銀行振込,178781.0,0.0878,過払,01_請求データ_A_202401.csv
INV-2024010069,2024-01-14,CLI-006,2836573.0,2836573.0,2024-01-21,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010070,2024-01-26,CLI-008,956771.0,956771.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010071,2024-01-28,CLI-016,3911303.0,3911303.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010072,2024-01-10,CLI-008,1670090.0,1670090.0,2024-01-24,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010073,2024-01-11,CLI-003,2391470.0,0.0,,口座振替,-2391470.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010074,2024-01-21,CLI-013,4548103.0,4548103.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010075,2024-01-01,CLI-009,2276893.0,2276893.0,2024-01-11,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010076,2024-01-04,CLI-014,2681316.0,2681316.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010077,2024-01-20,CLI-004,4886771.0,4886771.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010078,2024-01-09,CLI-014,4566862.0,4566862.0,2024-01-17,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010079,2024-01-24,CLI-007,636982.0,636982.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010080,2024-01-11,CLI-011,1095432.0,1095432.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010081,2024-01-10,CLI-010,2786220.0,2786220.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010082,2024-01-23,CLI-018,3576959.0,3576959.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010083,2024-01-13,CLI-006,2574550.0,2574550.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010084,2024-01-18,CLI-010,3656163.0,3656163.0,2024-01-25,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010085,2024-01-20,CLI-011,3759105.0,3759105.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010086,2024-01-07,CLI-016,1473474.0,1473474.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010087,2024-01-03,CLI-017,2861762.0,2861762.0,2024-01-19,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010088,2024-01-27,CLI-010,1720422.0,1720422.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010089,2024-01-01,CLI-008,660927.0,0.0,,口座振替,-660927.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010090,2024-01-14,CLI-019,3271044.0,3271044.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010091,2024-01-13,CLI-005,96513.0,96513.0,2024-01-27,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010092,2024-01-25,CLI-008,4394944.0,4394944.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010093,2024-01-02,CLI-008,1068029.0,1122585.0,2024-01-26,口座振替,54556.0,0.0511,過払,01_請求データ_A_202401.csv
INV-2024010094,2024-01-22,CLI-018,3762574.0,3762574.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010095,2024-01-27,CLI-017,4645883.0,4645883.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010096,2024-01-06,CLI-016,2123997.0,2123997.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010097,2024-01-09,CLI-016,2353490.0,2353490.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010098,2024-01-03,CLI-010,2867293.0,2867293.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010099,2024-01-18,CLI-005,3263132.0,3263132.0,2024-01-27,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010100,2024-01-05,CLI-007,3469191.0,3469191.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010101,2024-01-18,CLI-014,3574419.0,3574419.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010102,2024-01-25,CLI-001,4879240.0,4292217.0,2024-01-28,銀行振込,-587023.0,-0.1203,差異,01_請求データ_A_202401.csv
INV-2024010103,2024-01-12,CLI-013,3565005.0,2972915.0,2024-01-28,手形,-592090.0,-0.1661,差異,01_請求データ_A_202401.csv
INV-2024010104,2024-01-18,CLI-008,2339547.0,2339547.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010105,2024-01-16,CLI-013,3441654.0,3441654.0,2024-01-23,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010106,2024-01-06,CLI-005,4530553.0,0.0,,銀行振込,-4530553.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010107,2024-01-13,CLI-019,754202.0,754202.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010108,2024-01-14,CLI-015,2232349.0,2232349.0,2024-01-25,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010109,2024-01-11,CLI-015,3230341.0,3230341.0,2024-01-24,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010110,2024-01-25,CLI-009,3995219.0,3932810.0,2024-01-28,手形,-62409.0,-0.0156,差異,01_請求データ_A_202401.csv
INV-2024010111,2024-01-02,CLI-008,387709.0,387709.0,2024-01-20,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010112,2024-01-08,CLI-001,2051060.0,2051060.0,2024-01-21,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010113,2024-01-16,CLI-004,1878419.0,1878419.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010114,2024-01-23,CLI-012,1010771.0,1010771.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010115,2024-01-10,CLI-019,2666887.0,2666887.0,2024-01-20,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010116,2024-01-22,CLI-013,1713710.0,1742568.0,2024-01-28,手形,28858.0,0.0168,過払,01_請求データ_A_202401.csv
INV-2024010117,2024-01-27,CLI-008,2579858.0,2579858.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010118,2024-01-20,CLI-019,2962556.0,2962556.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010119,2024-01-14,CLI-012,2912454.0,2912454.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010120,2024-01-28,CLI-016,3088253.0,3088253.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010121,2024-01-27,CLI-005,4426728.0,4426728.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010122,2024-01-09,CLI-018,3949643.0,3949643.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010123,2024-01-27,CLI-019,2109362.0,2109362.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010124,2024-01-09,CLI-008,4830245.0,4830245.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010125,2024-01-22,CLI-011,2776416.0,2776416.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010126,2024-01-16,CLI-012,2904969.0,2904969.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010127,2024-01-20,CLI-009,4383783.0,4383783.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010128,2024-01-03,CLI-014,2065983.0,2065983.0,2024-01-17,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010129,2024-01-16,CLI-016,194646.0,194646.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010130,2024-01-10,CLI-013,2618642.0,2618642.0,2024-01-24,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010131,2024-01-19,CLI-016,2933646.0,2933646.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010132,2024-01-24,CLI-011,3856291.0,3856291.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010133,2024-01-10,CLI-008,1665514.0,1665514.0,2024-01-25,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010134,2024-01-04,CLI-018,1603149.0,0.0,,銀行振込,-1603149.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010135,2024-01-07,CLI-016,4995813.0,4995813.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010136,2024-01-20,CLI-004,2535095.0,2342504.0,2024-01-28,銀行振込,-192591.0,-0.076,差異,01_請求データ_A_202401.csv
INV-2024010137,2024-01-10,CLI-018,431813.0,431813.0,2024-01-17,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010138,2024-01-18,CLI-005,4167788.0,4167788.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010139,2024-01-28,CLI-019,4065745.0,4065745.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010140,2024-01-11,CLI-002,4057482.0,4057482.0,2024-01-23,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010141,2024-01-27,CLI-013,4890404.0,4890404.0,2024-01-28,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010142,2024-01-22,CLI-005,4771440.0,4771440.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010143,2024-01-03,CLI-004,3541120.0,3541120.0,2024-01-17,手形,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010144,2024-01-20,CLI-008,3240842.0,3240842.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010145,2024-01-15,CLI-019,2611715.0,0.0,,手形,-2611715.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010146,2024-01-20,CLI-020,882431.0,0.0,,銀行振込,-882431.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010147,2024-01-21,CLI-009,1367490.0,1367490.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010148,2024-01-06,CLI-003,3476893.0,3476893.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010149,2024-01-23,CLI-016,1991763.0,1991763.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010150,2024-01-23,CLI-015,2008100.0,2008100.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010151,2024-01-26,CLI-019,1709427.0,1709427.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010152,2024-01-04,CLI-008,2278286.0,2278286.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010153,2024-01-03,CLI-006,4824854.0,4824854.0,2024-01-11,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010154,2024-01-15,CLI-015,3426486.0,3426486.0,2024-01-25,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010155,2024-01-17,CLI-016,384376.0,384376.0,2024-01-28,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010156,2024-01-24,CLI-020,816105.0,816105.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010157,2024-01-22,CLI-019,2310822.0,0.0,,手形,-2310822.0,-1.0,未入金,01_請求データ_A_202401.csv
INV-2024010158,2024-01-02,CLI-016,3759689.0,3759689.0,2024-01-14,口座振替,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010159,2024-01-06,CLI-014,4174894.0,4174894.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV-2024010160,2024-01-16,CLI-014,927447.0,927447.0,2024-01-28,銀行振込,0.0,0.0,一致,01_請求データ_A_202401.csv
INV000161,2024-01-11,CLI-016,3409236.0,3409236.0,2024-01-28,手形,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000162,2024-01-02,CLI-003,2761817.0,2761817.0,2024-01-23,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000163,2024-01-25,CLI-017,59655.0,47681.0,2024-01-28,手形,-11974.0,-0.2007,差異,02_invoice_data_B_202401.csv
INV000164,2024-01-15,CLI-002,3084825.0,3084825.0,2024-01-28,手形,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000165,2024-01-25,CLI-015,1757570.0,1757570.0,2024-01-28,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000166,2024-01-18,CLI-010,4116057.0,4116057.0,2024-01-28,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000167,2024-01-01,CLI-020,1378572.0,1378572.0,2024-01-28,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000168,2024-01-18,CLI-018,1934925.0,1934925.0,2024-01-25,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000169,2024-01-15,CLI-005,2498312.0,2498312.0,2024-01-25,手形,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000170,2024-01-23,CLI-014,4011266.0,3687630.0,2024-01-28,手形,-323636.0,-0.0807,差異,02_invoice_data_B_202401.csv
INV000171,2024-01-05,CLI-007,4313433.0,4646284.0,2024-01-24,銀行振込,332851.0,0.0772,過払,02_invoice_data_B_202401.csv
INV000172,2024-01-28,CLI-009,3530789.0,3530789.0,2024-01-28,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000173,2024-01-26,CLI-009,2422625.0,1888304.0,2024-01-28,手形,-534321.0,-0.2206,差異,02_invoice_data_B_202401.csv
INV000174,2024-01-19,CLI-016,3795911.0,3165075.0,2024-01-28,口座振替,-630836.0,-0.1662,差異,02_invoice_data_B_202401.csv
INV000175,2024-01-11,CLI-018,2749264.0,2749264.0,2024-01-28,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000176,2024-01-23,CLI-019,3495831.0,3495831.0,2024-01-28,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000177,2024-01-11,CLI-016,3247998.0,3247998.0,2024-01-28,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000178,2024-01-22,CLI-005,360543.0,360543.0,2024-01-28,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000179,2024-01-17,CLI-011,3743556.0,3597871.0,2024-01-28,口座振替,-145685.0,-0.0389,差異,02_invoice_data_B_202401.csv
INV000180,2024-01-01,CLI-005,1344875.0,1344875.0,2024-01-28,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000181,2024-01-16,CLI-011,3384331.0,3384331.0,2024-01-28,手形,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000182,2024-01-03,CLI-018,2706346.0,2706346.0,2024-01-20,手形,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000183,2024-01-23,CLI-018,623954.0,623954.0,2024-01-28,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000184,2024-01-21,CLI-010,808156.0,0.0,,口座振替,-808156.0,-1.0,未入金,02_invoice_data_B_202401.csv
INV000185,2024-01-04,CLI-004,2562103.0,2562103.0,2024-01-28,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000186,2024-01-02,CLI-002,3194394.0,3194394.0,2024-01-19,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000187,2024-01-05,CLI-017,1560426.0,1560426.0,2024-01-19,銀行振込,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000188,2024-01-06,CLI-020,2070226.0,1750742.0,2024-01-15,手形,-319484.0,-0.1543,差異,02_invoice_data_B_202401.csv
INV000189,2024-01-05,CLI-015,3905156.0,3905156.0,2024-01-19,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000190,2024-01-22,CLI-015,4635197.0,4747451.0,2024-01-28,口座振替,112254.0,0.0242,過払,02_invoice_data_B_202401.csv
INV000191,2024-01-12,CLI-010,3609361.0,3609361.0,2024-01-28,手形,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000192,2024-01-09,CLI-010,3277040.0,3277040.0,2024-01-28,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000193,2024-01-04,CLI-013,4871871.0,4871871.0,2024-01-18,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
INV000194,2024-01-23,CLI-001,3370259.0,0.0,,口座振替,-3370259.0,-1.0,未入金,02_invoice_data_B_202401.csv
INV000195,2024-01-01,CLI-002,4216850.0,4575094.0,2024-01-26,口座振替,358244.0,0.085,過払,02_invoice_data_B_202401.csv
INV000196,2024-01-25,CLI-020,1887143.0,1519869.0,2024-01-28,手形,-367274.0,-0.1946,差異,02_invoice_data_B_202401.csv
INV000197,2024-01-09,CLI-005,380700.0,380700.0,2024-01-28,口座振替,0.0,0.0,一致,02_invoice_data_B_202401.csv
