物件ID,物件名,エリア,物件タイプ,賃料(円),管理費(円),入居状況,入居開始日,退去日,管理コスト(円),修繕費(円)
P-渋0022,渋谷-3LDK-022,渋谷区,3LDK,364000,25000,入居中,2023/03/01,,24383,0
P-渋0023,渋谷-2LDK-023,渋谷区,2LDK,187000,14000,入居中,2023/04/01,,6927,0
P-渋0024,渋谷-1DK-024,渋谷区,1DK,140000,5000,入居中,2022/08/01,,16584,0
P-渋0025,渋谷-2LDK-025,渋谷区,2LDK,246000,15000,入居中,2022/01/01,,13641,0
P-渋0026,渋谷-3LDK-026,渋谷区,3LDK,363000,11500,入居中,2022/02/01,,13316,0
P-渋0027,渋谷-1LDK-027,渋谷区,1LDK,177000,10500,入居中,2023/07/01,,7068,0
P-渋0028,渋谷-1K-028,渋谷区,1K,97000,5500,入居中,2023/06/01,,11937,55754
P-渋0029,渋谷-1DK-029,渋谷区,1DK,139000,4500,入居中,2022/02/01,,10516,0
P-渋0030,渋谷-2LDK-030,渋谷区,2LDK,237000,12500,入居中,2021/10/01,,21151,0
P-渋0031,渋谷-1LDK-031,渋谷区,1LDK,160000,4500,入居中,2023/04/01,,12273,0
P-渋0032,渋谷-1LDK-032,渋谷区,1LDK,168000,5500,入居中,2023/09/01,,18319,0
P-渋0033,渋谷-1DK-033,渋谷区,1DK,136000,9000,入居中,2021/03/01,,11413,0
P-渋0034,渋谷-1DK-034,渋谷区,1DK,101000,5500,入居中,2022/11/01,,15936,0
P-渋0035,渋谷-1LDK-035,渋谷区,1LDK,152000,11500,入居中,2021/11/01,,17696,0
P-渋0036,渋谷-1K-036,渋谷区,1K,117000,4000,入居中,2021/02/01,,15663,0
P-渋0037,渋谷-1K-037,渋谷区,1K,115000,7500,入居中,2023/06/01,,21912,0
P-渋0038,渋谷-2LDK-038,渋谷区,2LDK,211000,14000,募集中,,2024/01/20,11711,0
P-渋0039,渋谷-1K-039,渋谷区,1K,106000,7000,入居中,2021/01/01,,12599,0
P-渋0040,渋谷-1LDK-040,渋谷区,1LDK,138000,9500,入居中,2021/08/01,,22838,0
P-渋0041,渋谷-1LDK-041,渋谷区,1LDK,191000,7500,入居中,2021/06/01,,10610,0
P-渋0042,渋谷-3LDK-042,渋谷区,3LDK,325000,12000,入居中,2021/01/01,,23687,0
P-渋0043,渋谷-1LDK-043,渋谷区,1LDK,177000,6000,入居中,2022/05/01,,10930,0
P-渋0044,渋谷-1K-044,渋谷区,1K,87000,6000,入居中,2023/05/01,,5502,0
P-渋0045,渋谷-2LDK-045,渋谷区,2LDK,192000,14500,入居中,2022/06/01,,6617,0
P-渋0046,渋谷-3LDK-046,渋谷区,3LDK,349000,27000,空室,,2024/01/10,15420,0
P-渋0047,渋谷-1K-047,渋谷区,1K,91000,5000,入居中,2023/05/01,,7964,137775
P-渋0048,渋谷-2LDK-048,渋谷区,2LDK,180000,10500,入居中,2022/06/01,,24324,0
P-渋0049,渋谷-1K-049,渋谷区,1K,105000,3000,入居中,2023/06/01,,20695,78948
P-渋0050,渋谷-3LDK-050,渋谷区,3LDK,284000,16000,入居中,2022/04/01,,20302,0
P-渋0051,渋谷-1LDK-051,渋谷区,1LDK,158000,7500,入居中,2022/04/01,,23529,0
P-渋0052,渋谷-3LDK-052,渋谷区,3LDK,318000,13000,入居中,2021/11/01,,10373,0
P-渋0053,渋谷-1LDK-053,渋谷区,1LDK,137000,4500,入居中,2021/04/01,,14508,131053
P-渋0054,渋谷-3LDK-054,渋谷区,3LDK,388000,29500,入居中,2022/02/01,,7877,0
P-渋0055,渋谷-1DK-055,渋谷区,1DK,122000,3500,空室,,2024/01/10,7309,63119
P-渋0056,渋谷-1K-056,渋谷区,1K,86000,5000,入居中,2023/11/01,,15319,0
P-渋0057,渋谷-1K-057,渋谷区,1K,100000,7000,入居中,2023/03/01,,20853,174692
P-渋0058,渋谷-1DK-058,渋谷区,1DK,111000,6500,空室,,2024/01/10,9987,0
P-渋0059,渋谷-1LDK-059,渋谷区,1LDK,130000,7000,空室,,2024/01/10,12472,45864
P-渋0060,渋谷-1K-060,渋谷区,1K,113000,8500,入居中,2021/03/01,,18787,0
