勤務日,記録ID,スタッフ種別,診療科,スタッフID,予定時間,実働時間,欠勤フラグ,欠勤理由,残業時間
2024/01/10,ATT-0066,看護師,外科,STAFF-01,8.0,7.2,0,,0.0
2024/01/09,ATT-0067,医師,小児科,STAFF-06,8.0,7.2,0,,0.0
2024/01/18,ATT-0068,薬剤師,内科,STAFF-02,8.0,6.1,0,,0.0
2024/01/19,ATT-0069,薬剤師,内科,STAFF-02,8.0,6.8,0,,0.0
2024/01/11,ATT-0070,事務,救急,STAFF-09,8.0,11.2,0,,3.2
2024/01/07,ATT-0071,薬剤師,内科,STAFF-12,8.0,8.2,0,,0.2
2024/01/18,ATT-0072,看護師,小児科,STAFF-07,8.0,0.0,1,有給休暇,0.0
2024/01/11,ATT-0073,薬剤師,内科,STAFF-12,8.0,8.1,0,,0.1
2024/01/14,ATT-0074,薬剤師,整形外科,STAFF-12,8.0,5.0,0,,0.0
2024/01/14,ATT-0075,事務,外科,STAFF-10,8.0,7.2,0,,0.0
2024/01/01,ATT-0076,薬剤師,小児科,STAFF-04,8.0,8.6,0,,0.6
2024/01/11,ATT-0077,事務,整形外科,STAFF-08,8.0,8.1,0,,0.1
2024/01/06,ATT-0078,医師,小児科,STAFF-09,8.0,9.0,0,,1.0
2024/01/03,ATT-0079,看護師,小児科,STAFF-04,8.0,5.2,0,,0.0
2024/01/02,ATT-0080,看護師,整形外科,STAFF-10,8.0,4.6,0,,0.0
2024/01/14,ATT-0081,看護師,整形外科,STAFF-08,8.0,5.2,0,,0.0
2024/01/01,ATT-0082,医師,整形外科,STAFF-04,8.0,11.7,0,,3.7
2024/01/17,ATT-0083,事務,内科,STAFF-09,8.0,10.8,0,,2.8
2024/01/15,ATT-0084,看護師,整形外科,STAFF-11,8.0,8.5,0,,0.5
2024/01/11,ATT-0085,事務,救急,STAFF-12,8.0,7.4,0,,0.0
2024/01/18,ATT-0086,事務,外科,STAFF-12,8.0,7.6,0,,0.0
2024/01/08,ATT-0087,薬剤師,救急,STAFF-08,8.0,6.2,0,,0.0
2024/01/03,ATT-0088,薬剤師,外科,STAFF-05,8.0,11.1,0,,3.1
2024/01/03,ATT-0089,看護師,外科,STAFF-04,8.0,5.2,0,,0.0
2024/01/07,ATT-0090,医師,整形外科,STAFF-07,8.0,7.7,0,,0.0
2024/01/02,ATT-0091,看護師,整形外科,STAFF-07,8.0,8.7,0,,0.7
2024/01/01,ATT-0092,事務,整形外科,STAFF-01,8.0,6.4,0,,0.0
2024/01/13,ATT-0093,事務,救急,STAFF-12,8.0,10.4,0,,2.4
2024/01/08,ATT-0094,事務,外科,STAFF-05,8.0,4.2,0,,0.0
2024/01/11,ATT-0095,事務,外科,STAFF-08,8.0,11.8,0,,3.8
2024/01/18,ATT-0096,医師,整形外科,STAFF-10,8.0,4.2,0,,0.0
2024/01/14,ATT-0097,看護師,整形外科,STAFF-03,8.0,0.0,1,私用,0.0
2024/01/11,ATT-0098,看護師,整形外科,STAFF-06,8.0,11.0,0,,3.0
2024/01/09,ATT-0099,事務,小児科,STAFF-02,8.0,10.0,0,,2.0
2024/01/02,ATT-0100,薬剤師,外科,STAFF-11,8.0,0.0,1,有給休暇,0.0
2024/01/02,ATT-0101,医師,外科,STAFF-04,8.0,9.0,0,,1.0
2024/01/08,ATT-0102,看護師,整形外科,STAFF-11,8.0,11.6,0,,3.6
2024/01/15,ATT-0103,薬剤師,小児科,STAFF-03,8.0,11.7,0,,3.7
2024/01/04,ATT-0104,看護師,小児科,STAFF-02,8.0,11.4,0,,3.4
2024/01/19,ATT-0105,事務,整形外科,STAFF-12,8.0,8.7,0,,0.7
2024/01/08,ATT-0106,医師,小児科,STAFF-11,8.0,5.0,0,,0.0
2024/01/19,ATT-0107,医師,小児科,STAFF-09,8.0,7.0,0,,0.0
2024/01/17,ATT-0108,薬剤師,内科,STAFF-07,8.0,4.8,0,,0.0
2024/01/12,ATT-0109,事務,外科,STAFF-07,8.0,8.2,0,,0.2
2024/01/09,ATT-0110,事務,整形外科,STAFF-07,8.0,8.7,0,,0.7
2024/01/11,ATT-0111,看護師,内科,STAFF-05,8.0,6.0,0,,0.0
2024/01/15,ATT-0112,事務,小児科,STAFF-01,8.0,6.6,0,,0.0
2024/01/16,ATT-0113,看護師,小児科,STAFF-05,8.0,11.0,0,,3.0
2024/01/09,ATT-0114,医師,救急,STAFF-04,8.0,0.0,1,有給休暇,0.0
2024/01/14,ATT-0115,事務,救急,STAFF-04,8.0,9.2,0,,1.2
2024/01/16,ATT-0116,事務,内科,STAFF-02,8.0,7.2,0,,0.0
2024/01/08,ATT-0117,薬剤師,救急,STAFF-06,8.0,8.2,0,,0.2
2024/01/14,ATT-0118,薬剤師,小児科,STAFF-12,8.0,6.5,0,,0.0
2024/01/08,ATT-0119,医師,外科,STAFF-06,8.0,8.3,0,,0.3
2024/01/06,ATT-0120,看護師,外科,STAFF-12,8.0,9.8,0,,1.8
2024/01/17,ATT-0121,薬剤師,内科,STAFF-04,8.0,6.9,0,,0.0
2024/01/10,ATT-0122,医師,救急,STAFF-03,8.0,11.8,0,,3.8
2024/01/18,ATT-0123,薬剤師,外科,STAFF-11,8.0,7.9,0,,0.0
2024/01/01,ATT-0124,薬剤師,整形外科,STAFF-08,8.0,5.5,0,,0.0
2024/01/02,ATT-0125,薬剤師,整形外科,STAFF-02,8.0,7.2,0,,0.0
2024/01/03,ATT-0126,医師,外科,STAFF-03,8.0,11.6,0,,3.6
2024/01/03,ATT-0127,看護師,内科,STAFF-09,8.0,8.9,0,,0.9
2024/01/20,ATT-0128,看護師,救急,STAFF-07,8.0,7.5,0,,0.0
2024/01/19,ATT-0129,事務,小児科,STAFF-10,8.0,8.9,0,,0.9
2024/01/04,ATT-0130,看護師,外科,STAFF-05,8.0,5.3,0,,0.0
2024/01/06,ATT-0131,医師,外科,STAFF-01,8.0,9.5,0,,1.5
2024/01/16,ATT-0132,薬剤師,内科,STAFF-04,8.0,6.3,0,,0.0
2024/01/15,ATT-0133,医師,外科,STAFF-05,8.0,9.0,0,,1.0
2024/01/07,ATT-0134,事務,内科,STAFF-09,8.0,5.2,0,,0.0
2024/01/09,ATT-0135,看護師,内科,STAFF-01,8.0,6.5,0,,0.0
2024/01/19,ATT-0136,薬剤師,整形外科,STAFF-02,8.0,6.4,0,,0.0
2024/01/13,ATT-0137,薬剤師,救急,STAFF-09,8.0,4.6,0,,0.0
2024/01/02,ATT-0138,事務,小児科,STAFF-10,8.0,4.7,0,,0.0
2024/01/19,ATT-0139,医師,小児科,STAFF-10,8.0,0.0,1,体調不良,0.0
2024/01/16,ATT-0140,事務,小児科,STAFF-03,8.0,7.5,0,,0.0
2024/01/16,ATT-0141,医師,整形外科,STAFF-06,8.0,6.6,0,,0.0
2024/01/04,ATT-0142,看護師,小児科,STAFF-07,8.0,6.3,0,,0.0
2024/01/13,ATT-0143,医師,整形外科,STAFF-02,8.0,6.6,0,,0.0
2024/01/13,ATT-0144,医師,救急,STAFF-08,8.0,5.5,0,,0.0
2024/01/12,ATT-0145,事務,整形外科,STAFF-01,8.0,8.4,0,,0.4
2024/01/10,ATT-0146,事務,整形外科,STAFF-02,8.0,0.0,1,有給休暇,0.0
2024/01/20,ATT-0147,看護師,外科,STAFF-05,8.0,8.4,0,,0.4
2024/01/03,ATT-0148,看護師,内科,STAFF-08,8.0,9.2,0,,1.2
2024/01/05,ATT-0149,事務,小児科,STAFF-09,8.0,7.3,0,,0.0
2024/01/16,ATT-0150,事務,外科,STAFF-08,8.0,7.1,0,,0.0
2024/01/20,ATT-0151,看護師,内科,STAFF-05,8.0,10.8,0,,2.8
2024/01/11,ATT-0152,薬剤師,内科,STAFF-05,8.0,10.7,0,,2.7
2024/01/19,ATT-0153,事務,外科,STAFF-08,8.0,6.8,0,,0.0
2024/01/18,ATT-0154,事務,整形外科,STAFF-06,8.0,11.8,0,,3.8
2024/01/08,ATT-0155,事務,外科,STAFF-07,8.0,0.0,1,有給休暇,0.0
2024/01/16,ATT-0156,事務,整形外科,STAFF-11,8.0,9.2,0,,1.2
2024/01/05,ATT-0157,事務,内科,STAFF-03,8.0,8.7,0,,0.7
2024/01/04,ATT-0158,事務,内科,STAFF-09,8.0,4.1,0,,0.0
2024/01/05,ATT-0159,事務,外科,STAFF-02,8.0,11.8,0,,3.8
2024/01/11,ATT-0160,事務,内科,STAFF-06,8.0,10.9,0,,2.9
