出勤日,管理番号,職種区分,所属科,職員ID,所定時間,勤務時間,欠勤,不在理由,残業
2024/01/02,ATT-0366,医師,整形外科,STAFF-01,8.0,5.4,0,,0.0
2024/01/05,ATT-0367,事務,小児科,STAFF-07,8.0,11.3,0,,3.3
2024/01/13,ATT-0368,事務,内科,STAFF-11,8.0,11.0,0,,3.0
2024/01/05,ATT-0369,薬剤師,内科,STAFF-03,8.0,7.1,0,,0.0
2024/01/05,ATT-0370,看護師,内科,STAFF-01,8.0,7.7,0,,0.0
2024/01/18,ATT-0371,事務,救急,STAFF-07,8.0,6.0,0,,0.0
2024/01/12,ATT-0372,看護師,小児科,STAFF-04,8.0,9.8,0,,1.8
2024/01/04,ATT-0373,医師,整形外科,STAFF-10,8.0,11.1,0,,3.1
2024/01/01,ATT-0374,看護師,外科,STAFF-02,8.0,4.3,0,,0.0
2024/01/20,ATT-0375,医師,外科,STAFF-12,8.0,0.0,1,私用,0.0
2024/01/08,ATT-0376,看護師,内科,STAFF-03,8.0,6.3,0,,0.0
2024/01/19,ATT-0377,薬剤師,救急,STAFF-10,8.0,10.5,0,,2.5
2024/01/08,ATT-0378,薬剤師,外科,STAFF-11,8.0,7.3,0,,0.0
2024/01/09,ATT-0379,医師,救急,STAFF-10,8.0,11.3,0,,3.3
2024/01/14,ATT-0380,事務,内科,STAFF-06,8.0,9.4,0,,1.4
2024/01/17,ATT-0381,薬剤師,整形外科,STAFF-07,8.0,7.0,0,,0.0
2024/01/18,ATT-0382,事務,外科,STAFF-04,8.0,9.7,0,,1.7
2024/01/15,ATT-0383,医師,救急,STAFF-07,8.0,8.5,0,,0.5
2024/01/05,ATT-0384,事務,外科,STAFF-05,8.0,9.2,0,,1.2
2024/01/15,ATT-0385,薬剤師,内科,STAFF-09,8.0,5.5,0,,0.0
2024/01/09,ATT-0386,事務,救急,STAFF-10,8.0,0.0,1,体調不良,0.0
2024/01/07,ATT-0387,看護師,整形外科,STAFF-04,8.0,6.7,0,,0.0
2024/01/01,ATT-0388,看護師,外科,STAFF-12,8.0,12.0,0,,4.0
2024/01/16,ATT-0389,看護師,救急,STAFF-12,8.0,11.3,0,,3.3
2024/01/18,ATT-0390,薬剤師,小児科,STAFF-07,8.0,9.2,0,,1.2
2024/01/10,ATT-0391,薬剤師,小児科,STAFF-09,8.0,7.7,0,,0.0
2024/01/16,ATT-0392,薬剤師,外科,STAFF-06,8.0,4.4,0,,0.0
2024/01/08,ATT-0393,看護師,内科,STAFF-05,8.0,8.7,0,,0.7
2024/01/14,ATT-0394,薬剤師,外科,STAFF-04,8.0,7.0,0,,0.0
2024/01/08,ATT-0395,事務,救急,STAFF-11,8.0,6.7,0,,0.0
2024/01/16,ATT-0396,事務,整形外科,STAFF-03,8.0,6.8,0,,0.0
2024/01/05,ATT-0397,事務,外科,STAFF-09,8.0,11.7,0,,3.7
2024/01/17,ATT-0398,医師,内科,STAFF-11,8.0,0.0,1,体調不良,0.0
2024/01/14,ATT-0399,看護師,外科,STAFF-02,8.0,4.1,0,,0.0
2024/01/17,ATT-0400,事務,小児科,STAFF-01,8.0,9.3,0,,1.3
2024/01/20,ATT-0401,事務,整形外科,STAFF-01,8.0,0.0,1,有給休暇,0.0
2024/01/14,ATT-0402,医師,内科,STAFF-09,8.0,8.3,0,,0.3
2024/01/10,ATT-0403,医師,救急,STAFF-12,8.0,10.4,0,,2.4
2024/01/06,ATT-0404,医師,内科,STAFF-09,8.0,5.5,0,,0.0
2024/01/17,ATT-0405,薬剤師,小児科,STAFF-05,8.0,4.6,0,,0.0
2024/01/13,ATT-0406,事務,救急,STAFF-04,8.0,5.8,0,,0.0
2024/01/03,ATT-0407,医師,内科,STAFF-07,8.0,8.4,0,,0.4
2024/01/02,ATT-0408,医師,外科,STAFF-02,8.0,7.5,0,,0.0
2024/01/11,ATT-0409,医師,救急,STAFF-01,8.0,11.2,0,,3.2
2024/01/19,ATT-0410,事務,小児科,STAFF-01,8.0,9.5,0,,1.5
2024/01/09,ATT-0411,医師,外科,STAFF-06,8.0,0.0,1,体調不良,0.0
2024/01/19,ATT-0412,看護師,整形外科,STAFF-02,8.0,8.5,0,,0.5
2024/01/19,ATT-0413,事務,救急,STAFF-06,8.0,9.9,0,,1.9
2024/01/03,ATT-0414,薬剤師,内科,STAFF-02,8.0,10.7,0,,2.7
2024/01/11,ATT-0415,事務,小児科,STAFF-01,8.0,10.3,0,,2.3
2024/01/15,ATT-0416,事務,外科,STAFF-06,8.0,7.0,0,,0.0
2024/01/06,ATT-0417,事務,内科,STAFF-10,8.0,6.0,0,,0.0
2024/01/03,ATT-0418,医師,小児科,STAFF-03,8.0,10.3,0,,2.3
2024/01/05,ATT-0419,事務,小児科,STAFF-06,8.0,4.0,0,,0.0
2024/01/10,ATT-0420,事務,小児科,STAFF-05,8.0,4.7,0,,0.0
2024/01/14,ATT-0421,事務,救急,STAFF-09,8.0,4.8,0,,0.0
2024/01/03,ATT-0422,薬剤師,救急,STAFF-02,8.0,10.3,0,,2.3
2024/01/13,ATT-0423,医師,小児科,STAFF-07,8.0,4.7,0,,0.0
2024/01/18,ATT-0424,看護師,救急,STAFF-09,8.0,7.0,0,,0.0
2024/01/05,ATT-0425,薬剤師,小児科,STAFF-05,8.0,4.5,0,,0.0
2024/01/14,ATT-0426,薬剤師,整形外科,STAFF-05,8.0,4.6,0,,0.0
2024/01/09,ATT-0427,看護師,整形外科,STAFF-10,8.0,7.7,0,,0.0
2024/01/05,ATT-0428,薬剤師,内科,STAFF-07,8.0,9.0,0,,1.0
2024/01/11,ATT-0429,事務,小児科,STAFF-07,8.0,10.9,0,,2.9
2024/01/20,ATT-0430,看護師,小児科,STAFF-06,8.0,9.6,0,,1.6
2024/01/16,ATT-0431,薬剤師,外科,STAFF-07,8.0,6.3,0,,0.0
2024/01/16,ATT-0432,看護師,小児科,STAFF-07,8.0,10.3,0,,2.3
2024/01/12,ATT-0433,医師,救急,STAFF-04,8.0,8.4,0,,0.4
2024/01/18,ATT-0434,医師,整形外科,STAFF-12,8.0,10.4,0,,2.4
2024/01/03,ATT-0435,事務,整形外科,STAFF-03,8.0,5.9,0,,0.0
2024/01/05,ATT-0436,事務,整形外科,STAFF-02,8.0,8.8,0,,0.8
2024/01/19,ATT-0437,事務,救急,STAFF-09,8.0,11.0,0,,3.0
2024/01/14,ATT-0438,医師,小児科,STAFF-12,8.0,8.3,0,,0.3
2024/01/03,ATT-0439,医師,外科,STAFF-11,8.0,5.3,0,,0.0
2024/01/20,ATT-0440,医師,救急,STAFF-11,8.0,7.2,0,,0.0
2024/01/11,ATT-0441,事務,内科,STAFF-01,8.0,0.0,1,体調不良,0.0
2024/01/17,ATT-0442,看護師,整形外科,STAFF-06,8.0,10.2,0,,2.2
2024/01/19,ATT-0443,看護師,小児科,STAFF-01,8.0,6.4,0,,0.0
2024/01/03,ATT-0444,医師,外科,STAFF-06,8.0,7.6,0,,0.0
2024/01/07,ATT-0445,事務,小児科,STAFF-08,8.0,0.0,1,有給休暇,0.0
2024/01/15,ATT-0446,薬剤師,内科,STAFF-05,8.0,0.0,1,有給休暇,0.0
2024/01/04,ATT-0447,医師,小児科,STAFF-11,8.0,10.4,0,,2.4
2024/01/08,ATT-0448,看護師,救急,STAFF-03,8.0,7.4,0,,0.0
2024/01/15,ATT-0449,看護師,整形外科,STAFF-11,8.0,9.1,0,,1.1
2024/01/14,ATT-0450,事務,内科,STAFF-12,8.0,5.6,0,,0.0
2024/01/19,ATT-0451,事務,整形外科,STAFF-01,8.0,5.6,0,,0.0
2024/01/03,ATT-0452,医師,救急,STAFF-03,8.0,5.6,0,,0.0
2024/01/04,ATT-0453,薬剤師,整形外科,STAFF-09,8.0,6.5,0,,0.0
2024/01/13,ATT-0454,事務,救急,STAFF-02,8.0,10.8,0,,2.8
2024/01/20,ATT-0455,看護師,小児科,STAFF-10,8.0,9.4,0,,1.4
2024/01/11,ATT-0456,医師,外科,STAFF-05,8.0,7.0,0,,0.0
2024/01/05,ATT-0457,事務,整形外科,STAFF-10,8.0,7.1,0,,0.0
2024/01/06,ATT-0458,事務,救急,STAFF-12,8.0,11.4,0,,3.4
2024/01/06,ATT-0459,看護師,整形外科,STAFF-05,8.0,6.5,0,,0.0
2024/01/15,ATT-0460,医師,小児科,STAFF-01,8.0,5.6,0,,0.0
2024/01/13,ATT-0461,事務,整形外科,STAFF-11,8.0,9.7,0,,1.7
2024/01/15,ATT-0462,事務,外科,STAFF-02,8.0,10.4,0,,2.4
2024/01/08,ATT-0463,薬剤師,内科,STAFF-05,8.0,6.3,0,,0.0
2024/01/15,ATT-0464,事務,救急,STAFF-09,8.0,4.9,0,,0.0
2024/01/18,ATT-0465,薬剤師,救急,STAFF-01,8.0,7.5,0,,0.0
2024/01/07,ATT-0466,事務,内科,STAFF-12,8.0,10.0,0,,2.0
2024/01/10,ATT-0467,医師,整形外科,STAFF-05,8.0,10.5,0,,2.5
2024/01/15,ATT-0468,医師,外科,STAFF-04,8.0,8.7,0,,0.7
2024/01/12,ATT-0469,事務,外科,STAFF-10,8.0,5.7,0,,0.0
2024/01/07,ATT-0470,医師,救急,STAFF-06,8.0,8.8,0,,0.8
2024/01/06,ATT-0471,薬剤師,小児科,STAFF-05,8.0,11.6,0,,3.6
2024/01/17,ATT-0472,医師,外科,STAFF-07,8.0,11.9,0,,3.9
2024/01/05,ATT-0473,看護師,外科,STAFF-03,8.0,10.6,0,,2.6
2024/01/13,ATT-0474,事務,外科,STAFF-10,8.0,9.0,0,,1.0
2024/01/13,ATT-0475,事務,内科,STAFF-11,8.0,10.2,0,,2.2
2024/01/13,ATT-0476,薬剤師,小児科,STAFF-08,8.0,6.6,0,,0.0
2024/01/01,ATT-0477,医師,整形外科,STAFF-11,8.0,6.9,0,,0.0
2024/01/03,ATT-0478,事務,外科,STAFF-07,8.0,8.0,0,,0.0
2024/01/11,ATT-0479,薬剤師,小児科,STAFF-09,8.0,8.5,0,,0.5
2024/01/16,ATT-0480,薬剤師,内科,STAFF-01,8.0,0.0,1,私用,0.0
