日付,社員ID,氏名,部門,出勤時刻,退勤時刻,休憩(分),有給フラグ
2024/01/26,EMP-142,社員003,開発部,09:30,19:21,60,0
2024/01/29,EMP-142,社員003,開発部,08:26,19:48,60,0
2024/01/30,EMP-142,社員003,開発部,09:14,17:36,60,0
2024/01/31,EMP-142,社員003,開発部,08:52,17:46,60,0
2024/01/01,EMP-113,社員004,開発部,09:06,20:30,60,0
2024/01/02,EMP-113,社員004,開発部,09:04,19:33,60,0
2024/01/03,EMP-113,社員004,開発部,09:09,19:25,60,0
2024/01/04,EMP-113,社員004,開発部,08:52,19:28,60,0
2024/01/05,EMP-113,社員004,開発部,09:00,17:30,60,1
2024/01/08,EMP-113,社員004,開発部,08:36,20:49,60,0
2024/01/09,EMP-113,社員004,開発部,09:24,17:24,60,0
2024/01/10,EMP-113,社員004,開発部,08:55,21:26,60,0
2024/01/11,EMP-113,社員004,開発部,08:05,20:20,60,0
2024/01/12,EMP-113,社員004,開発部,09:19,18:56,60,0
2024/01/15,EMP-113,社員004,開発部,09:23,22:26,60,0
2024/01/16,EMP-113,社員004,開発部,08:46,21:47,60,0
2024/01/17,EMP-113,社員004,開発部,08:25,19:59,60,0
2024/01/18,EMP-113,社員004,開発部,08:49,19:06,60,0
2024/01/19,EMP-113,社員004,開発部,09:09,21:28,60,0
2024/01/22,EMP-113,社員004,開発部,08:01,21:55,60,0
2024/01/23,EMP-113,社員004,開発部,09:27,21:35,60,0
2024/01/24,EMP-113,社員004,開発部,08:37,22:33,60,0
2024/01/25,EMP-113,社員004,開発部,09:15,19:28,60,0
2024/01/26,EMP-113,社員004,開発部,08:19,20:22,60,0
2024/01/29,EMP-113,社員004,開発部,09:30,18:00,60,0
2024/01/30,EMP-113,社員004,開発部,08:50,21:12,60,0
2024/01/31,EMP-113,社員004,開発部,09:07,22:53,60,0
2024/01/01,EMP-958,社員005,開発部,08:33,19:51,60,0
2024/01/02,EMP-958,社員005,開発部,09:13,19:11,60,0
2024/01/03,EMP-958,社員005,開発部,09:19,22:12,60,0
2024/01/04,EMP-958,社員005,開発部,08:11,18:17,60,0
2024/01/05,EMP-958,社員005,開発部,08:14,19:31,60,0
2024/01/08,EMP-958,社員005,開発部,09:11,19:21,60,0
2024/01/09,EMP-958,社員005,開発部,08:03,22:04,60,0
2024/01/10,EMP-958,社員005,開発部,09:26,19:07,60,0
2024/01/11,EMP-958,社員005,開発部,09:24,17:47,60,0
2024/01/12,EMP-958,社員005,開発部,08:33,17:30,60,0
2024/01/15,EMP-958,社員005,開発部,09:05,17:47,60,0
2024/01/16,EMP-958,社員005,開発部,09:15,17:23,60,0
2024/01/17,EMP-958,社員005,開発部,09:00,17:30,60,1
2024/01/18,EMP-958,社員005,開発部,08:25,17:02,60,0
2024/01/19,EMP-958,社員005,開発部,08:23,17:10,60,0
2024/01/22,EMP-958,社員005,開発部,09:29,19:03,60,0
2024/01/23,EMP-958,社員005,開発部,08:08,21:35,60,0
2024/01/24,EMP-958,社員005,開発部,09:23,22:22,60,0
2024/01/25,EMP-958,社員005,開発部,08:31,19:18,60,0
2024/01/26,EMP-958,社員005,開発部,08:34,22:17,60,0
2024/01/29,EMP-958,社員005,開発部,08:04,22:18,60,0
2024/01/30,EMP-958,社員005,開発部,09:00,19:24,60,0
2024/01/31,EMP-958,社員005,開発部,09:24,18:46,60,0
2024/01/01,EMP-692,社員006,開発部,08:33,19:31,60,0
2024/01/02,EMP-692,社員006,開発部,09:10,18:41,60,0
2024/01/03,EMP-692,社員006,開発部,08:02,17:11,60,0
2024/01/04,EMP-692,社員006,開発部,09:06,17:02,60,0
2024/01/05,EMP-692,社員006,開発部,09:16,19:44,60,0
2024/01/08,EMP-692,社員006,開発部,09:00,17:30,60,1
2024/01/09,EMP-692,社員006,開発部,09:29,17:29,60,0
2024/01/10,EMP-692,社員006,開発部,09:26,18:50,60,0
2024/01/11,EMP-692,社員006,開発部,09:16,17:46,60,0
2024/01/12,EMP-692,社員006,開発部,08:33,17:06,60,0
2024/01/15,EMP-692,社員006,開発部,08:12,19:42,60,0
2024/01/16,EMP-692,社員006,開発部,08:35,19:35,60,0
2024/01/17,EMP-692,社員006,開発部,09:21,18:44,60,0
2024/01/18,EMP-692,社員006,開発部,08:50,17:35,60,0
2024/01/19,EMP-692,社員006,開発部,08:34,19:28,60,0
2024/01/22,EMP-692,社員006,開発部,09:27,18:26,60,0
2024/01/23,EMP-692,社員006,開発部,09:19,17:36,60,0
2024/01/24,EMP-692,社員006,開発部,09:11,18:28,60,0
2024/01/26,EMP-692,社員006,開発部,09:19,17:33,60,0
2024/01/29,EMP-692,社員006,開発部,08:19,17:13,60,0
2024/01/30,EMP-692,社員006,開発部,09:29,19:32,60,0
2024/01/31,EMP-692,社員006,開発部,08:06,17:29,60,0
2024/01/01,EMP-146,社員007,開発部,08:14,21:05,60,0
2024/01/02,EMP-146,社員007,開発部,08:46,21:50,60,0
2024/01/03,EMP-146,社員007,開発部,08:38,17:46,60,0
2024/01/04,EMP-146,社員007,開発部,08:58,18:56,60,0
2024/01/05,EMP-146,社員007,開発部,08:55,19:41,60,0
2024/01/08,EMP-146,社員007,開発部,09:01,19:20,60,0
2024/01/09,EMP-146,社員007,開発部,08:09,22:28,60,0
2024/01/10,EMP-146,社員007,開発部,08:14,22:09,60,0
2024/01/11,EMP-146,社員007,開発部,08:35,19:25,60,0
2024/01/12,EMP-146,社員007,開発部,08:48,20:31,60,0
2024/01/15,EMP-146,社員007,開発部,08:15,22:20,60,0
2024/01/16,EMP-146,社員007,開発部,08:42,21:22,60,0
2024/01/17,EMP-146,社員007,開発部,08:49,21:39,60,0
2024/01/18,EMP-146,社員007,開発部,08:28,20:12,60,0
2024/01/19,EMP-146,社員007,開発部,08:07,17:39,60,0
2024/01/22,EMP-146,社員007,開発部,09:00,19:19,60,0
2024/01/23,EMP-146,社員007,開発部,08:47,20:34,60,0
2024/01/24,EMP-146,社員007,開発部,09:19,17:44,60,0
2024/01/26,EMP-146,社員007,開発部,08:16,21:12,60,0
2024/01/29,EMP-146,社員007,開発部,08:29,17:04,60,0
2024/01/30,EMP-146,社員007,開発部,09:27,21:55,60,0
2024/01/31,EMP-146,社員007,開発部,09:16,17:57,60,0
2024/01/01,EMP-486,社員008,開発部,08:12,19:29,60,0
2024/01/02,EMP-486,社員008,開発部,08:15,19:19,60,0
2024/01/03,EMP-486,社員008,開発部,08:01,18:43,60,0
2024/01/04,EMP-486,社員008,開発部,08:32,18:51,60,0
2024/01/05,EMP-486,社員008,開発部,09:28,17:35,60,0
2024/01/08,EMP-486,社員008,開発部,09:28,18:42,60,0
2024/01/09,EMP-486,社員008,開発部,08:26,17:36,60,0
2024/01/10,EMP-486,社員008,開発部,09:14,19:08,60,0
2024/01/11,EMP-486,社員008,開発部,08:55,17:19,60,0
2024/01/12,EMP-486,社員008,開発部,08:27,17:41,60,0
2024/01/15,EMP-486,社員008,開発部,09:02,19:34,60,0
2024/01/16,EMP-486,社員008,開発部,09:00,17:30,60,1
2024/01/17,EMP-486,社員008,開発部,09:30,18:19,60,0
2024/01/18,EMP-486,社員008,開発部,09:04,17:06,60,0
2024/01/19,EMP-486,社員008,開発部,09:19,19:39,60,0
2024/01/22,EMP-486,社員008,開発部,08:22,17:44,60,0
2024/01/23,EMP-486,社員008,開発部,09:22,19:23,60,0
2024/01/24,EMP-486,社員008,開発部,09:04,17:12,60,0
2024/01/25,EMP-486,社員008,開発部,08:59,18:26,60,0
2024/01/26,EMP-486,社員008,開発部,08:48,17:04,60,0
2024/01/29,EMP-486,社員008,開発部,09:27,19:31,60,0
2024/01/30,EMP-486,社員008,開発部,09:00,17:30,60,1
2024/01/31,EMP-486,社員008,開発部,09:23,18:25,60,0
2024/01/01,EMP-660,社員009,開発部,08:33,17:28,60,0
2024/01/02,EMP-660,社員009,開発部,08:33,19:25,60,0
2024/01/03,EMP-660,社員009,開発部,09:16,19:03,60,0
2024/01/04,EMP-660,社員009,開発部,09:24,18:29,60,0
2024/01/05,EMP-660,社員009,開発部,08:44,19:57,60,0
2024/01/08,EMP-660,社員009,開発部,09:02,19:32,60,0
2024/01/09,EMP-660,社員009,開発部,08:25,18:20,60,0
2024/01/10,EMP-660,社員009,開発部,08:56,18:05,60,0
2024/01/11,EMP-660,社員009,開発部,08:45,19:07,60,0
2024/01/12,EMP-660,社員009,開発部,09:02,19:45,60,0
2024/01/15,EMP-660,社員009,開発部,09:00,17:30,60,1
2024/01/16,EMP-660,社員009,開発部,09:18,19:55,60,0
2024/01/17,EMP-660,社員009,開発部,08:49,19:03,60,0
2024/01/18,EMP-660,社員009,開発部,09:09,19:11,60,0
2024/01/19,EMP-660,社員009,開発部,08:00,19:48,60,0
2024/01/22,EMP-660,社員009,開発部,09:17,17:38,60,0
2024/01/23,EMP-660,社員009,開発部,09:14,18:28,60,0
2024/01/24,EMP-660,社員009,開発部,08:56,19:17,60,0
2024/01/25,EMP-660,社員009,開発部,08:03,17:09,60,0
2024/01/26,EMP-660,社員009,開発部,08:54,17:42,60,0
2024/01/29,EMP-660,社員009,開発部,09:29,17:03,60,0
2024/01/30,EMP-660,社員009,開発部,08:43,18:39,60,0
2024/01/31,EMP-660,社員009,開発部,08:29,19:37,60,0
2024/01/01,EMP-134,社員010,開発部,09:11,17:48,60,0
2024/01/02,EMP-134,社員010,開発部,09:15,21:21,60,0
2024/01/03,EMP-134,社員010,開発部,08:39,19:30,60,0
2024/01/04,EMP-134,社員010,開発部,09:13,18:16,60,0
2024/01/05,EMP-134,社員010,開発部,09:29,22:33,60,0
2024/01/08,EMP-134,社員010,開発部,08:56,19:18,60,0
2024/01/10,EMP-134,社員010,開発部,08:47,19:26,60,0
2024/01/11,EMP-134,社員010,開発部,08:00,19:18,60,0
2024/01/12,EMP-134,社員010,開発部,09:16,19:07,60,0
2024/01/15,EMP-134,社員010,開発部,08:53,21:53,60,0
2024/01/16,EMP-134,社員010,開発部,09:25,20:30,60,0
2024/01/17,EMP-134,社員010,開発部,09:14,18:59,60,0
2024/01/18,EMP-134,社員010,開発部,09:18,18:35,60,0
2024/01/19,EMP-134,社員010,開発部,09:25,18:04,60,0
2024/01/22,EMP-134,社員010,開発部,08:21,19:34,60,0
2024/01/23,EMP-134,社員010,開発部,09:05,21:45,60,0
2024/01/24,EMP-134,社員010,開発部,09:13,20:23,60,0
2024/01/25,EMP-134,社員010,開発部,08:33,19:23,60,0
2024/01/26,EMP-134,社員010,開発部,08:28,22:57,60,0
2024/01/29,EMP-134,社員010,開発部,09:23,18:49,60,0
2024/01/30,EMP-134,社員010,開発部,08:52,19:43,60,0
2024/01/31,EMP-134,社員010,開発部,08:29,19:00,60,0
2024/01/01,EMP-385,社員011,開発部,08:21,19:06,60,0
2024/01/02,EMP-385,社員011,開発部,09:00,21:40,60,0
2024/01/03,EMP-385,社員011,開発部,08:18,21:49,60,0
2024/01/04,EMP-385,社員011,開発部,08:10,19:39,60,0
2024/01/05,EMP-385,社員011,開発部,09:17,20:45,60,0
2024/01/08,EMP-385,社員011,開発部,08:04,21:34,60,0
2024/01/09,EMP-385,社員011,開発部,09:28,17:24,60,0
2024/01/10,EMP-385,社員011,開発部,08:45,22:39,60,0
2024/01/11,EMP-385,社員011,開発部,08:45,19:05,60,0
2024/01/12,EMP-385,社員011,開発部,09:18,22:06,60,0
2024/01/15,EMP-385,社員011,開発部,09:15,20:09,60,0
2024/01/16,EMP-385,社員011,開発部,09:12,21:50,60,0
2024/01/17,EMP-385,社員011,開発部,09:00,19:22,60,0
2024/01/18,EMP-385,社員011,開発部,09:24,20:32,60,0
2024/01/19,EMP-385,社員011,開発部,08:20,19:50,60,0
2024/01/22,EMP-385,社員011,開発部,09:07,19:10,60,0
2024/01/23,EMP-385,社員011,開発部,09:06,19:27,60,0
2024/01/24,EMP-385,社員011,開発部,09:17,17:42,60,0
2024/01/25,EMP-385,社員011,開発部,09:03,22:20,60,0
2024/01/26,EMP-385,社員011,開発部,08:19,17:38,60,0
2024/01/29,EMP-385,社員011,開発部,09:10,19:05,60,0
2024/01/30,EMP-385,社員011,開発部,08:48,20:28,60,0
2024/01/31,EMP-385,社員011,開発部,09:06,21:19,60,0
2024/01/01,EMP-893,社員012,開発部,09:22,18:05,60,0
2024/01/02,EMP-893,社員012,開発部,09:27,17:54,60,0
2024/01/03,EMP-893,社員012,開発部,08:00,19:35,60,0
2024/01/04,EMP-893,社員012,開発部,09:27,17:15,60,0
2024/01/05,EMP-893,社員012,開発部,09:22,18:25,60,0
2024/01/08,EMP-893,社員012,開発部,08:30,17:12,60,0
2024/01/09,EMP-893,社員012,開発部,09:26,18:09,60,0
2024/01/10,EMP-893,社員012,開発部,08:08,17:04,60,0
2024/01/11,EMP-893,社員012,開発部,09:21,18:08,60,0
2024/01/12,EMP-893,社員012,開発部,09:27,18:57,60,0
2024/01/15,EMP-893,社員012,開発部,09:19,17:29,60,0
2024/01/16,EMP-893,社員012,開発部,09:12,18:14,60,0
2024/01/17,EMP-893,社員012,開発部,09:27,19:15,60,0
2024/01/18,EMP-893,社員012,開発部,09:01,17:36,60,0
2024/01/19,EMP-893,社員012,開発部,09:30,19:05,60,0
2024/01/22,EMP-893,社員012,開発部,09:14,19:05,60,0
2024/01/23,EMP-893,社員012,開発部,08:30,19:47,60,0
2024/01/24,EMP-893,社員012,開発部,09:19,17:57,60,0
2024/01/25,EMP-893,社員012,開発部,09:14,19:57,60,0
2024/01/26,EMP-893,社員012,開発部,09:11,18:18,60,0
2024/01/29,EMP-893,社員012,開発部,09:23,19:16,60,0
2024/01/30,EMP-893,社員012,開発部,08:36,17:42,60,0
2024/01/31,EMP-893,社員012,開発部,08:18,18:05,60,0
2024/01/01,EMP-122,社員013,開発部,09:04,18:54,60,0
2024/01/02,EMP-122,社員013,開発部,08:58,20:42,60,0
2024/01/03,EMP-122,社員013,開発部,09:25,18:11,60,0
2024/01/04,EMP-122,社員013,開発部,09:02,19:59,60,0
2024/01/05,EMP-122,社員013,開発部,09:24,22:46,60,0
2024/01/08,EMP-122,社員013,開発部,09:01,17:03,60,0
2024/01/09,EMP-122,社員013,開発部,09:15,19:14,60,0
2024/01/10,EMP-122,社員013,開発部,09:08,22:00,60,0
2024/01/11,EMP-122,社員013,開発部,09:21,19:06,60,0
2024/01/12,EMP-122,社員013,開発部,09:19,18:21,60,0
2024/01/15,EMP-122,社員013,開発部,09:20,22:49,60,0
2024/01/16,EMP-122,社員013,開発部,08:33,20:20,60,0
2024/01/17,EMP-122,社員013,開発部,08:00,19:43,60,0
2024/01/18,EMP-122,社員013,開発部,09:08,19:39,60,0
2024/01/19,EMP-122,社員013,開発部,08:38,19:07,60,0
2024/01/22,EMP-122,社員013,開発部,09:21,19:36,60,0
2024/01/23,EMP-122,社員013,開発部,08:44,21:29,60,0
2024/01/24,EMP-122,社員013,開発部,09:29,18:44,60,0
2024/01/25,EMP-122,社員013,開発部,09:08,19:17,60,0
2024/01/26,EMP-122,社員013,開発部,09:01,21:11,60,0
2024/01/29,EMP-122,社員013,開発部,08:39,22:06,60,0
2024/01/30,EMP-122,社員013,開発部,08:39,18:45,60,0
2024/01/31,EMP-122,社員013,開発部,08:36,18:01,60,0
2024/01/01,EMP-255,社員014,開発部,08:42,20:44,60,0
2024/01/02,EMP-255,社員014,開発部,08:32,18:30,60,0
2024/01/03,EMP-255,社員014,開発部,08:34,22:44,60,0
2024/01/04,EMP-255,社員014,開発部,09:10,18:03,60,0
2024/01/05,EMP-255,社員014,開発部,08:23,21:05,60,0
2024/01/08,EMP-255,社員014,開発部,09:20,19:24,60,0
2024/01/09,EMP-255,社員014,開発部,09:28,21:31,60,0
2024/01/10,EMP-255,社員014,開発部,08:08,19:46,60,0
2024/01/11,EMP-255,社員014,開発部,09:02,19:19,60,0
2024/01/12,EMP-255,社員014,開発部,09:30,17:21,60,0
2024/01/15,EMP-255,社員014,開発部,08:25,22:43,60,0
2024/01/16,EMP-255,社員014,開発部,08:59,20:31,60,0
2024/01/17,EMP-255,社員014,開発部,08:15,17:00,60,0
2024/01/18,EMP-255,社員014,開発部,09:26,18:39,60,0
2024/01/19,EMP-255,社員014,開発部,08:07,20:04,60,0
2024/01/22,EMP-255,社員014,開発部,09:10,20:20,60,0
2024/01/23,EMP-255,社員014,開発部,08:37,19:07,60,0
2024/01/24,EMP-255,社員014,開発部,08:44,20:28,60,0
2024/01/25,EMP-255,社員014,開発部,08:06,19:39,60,0
2024/01/26,EMP-255,社員014,開発部,09:02,20:59,60,0
2024/01/29,EMP-255,社員014,開発部,09:13,18:44,60,0
2024/01/30,EMP-255,社員014,開発部,09:16,20:11,60,0
2024/01/31,EMP-255,社員014,開発部,08:45,19:40,60,0
2024/01/01,EMP-264,社員015,開発部,08:12,19:39,60,0
2024/01/02,EMP-264,社員015,開発部,08:29,19:13,60,0
2024/01/03,EMP-264,社員015,開発部,08:43,18:31,60,0
2024/01/04,EMP-264,社員015,開発部,08:03,18:13,60,0
2024/01/05,EMP-264,社員015,開発部,09:01,19:59,60,0
2024/01/08,EMP-264,社員015,開発部,08:31,19:57,60,0
2024/01/09,EMP-264,社員015,開発部,09:13,21:14,60,0
2024/01/10,EMP-264,社員015,開発部,08:15,17:24,60,0
2024/01/11,EMP-264,社員015,開発部,09:01,17:13,60,0
2024/01/12,EMP-264,社員015,開発部,09:11,20:40,60,0
2024/01/15,EMP-264,社員015,開発部,09:04,19:17,60,0
2024/01/16,EMP-264,社員015,開発部,09:13,21:14,60,0
2024/01/17,EMP-264,社員015,開発部,08:36,17:05,60,0
2024/01/18,EMP-264,社員015,開発部,09:00,17:30,60,1
2024/01/19,EMP-264,社員015,開発部,08:15,20:57,60,0
2024/01/22,EMP-264,社員015,開発部,08:26,17:30,60,0
2024/01/23,EMP-264,社員015,開発部,09:16,19:28,60,0
2024/01/24,EMP-264,社員015,開発部,08:44,17:08,60,0
2024/01/25,EMP-264,社員015,開発部,08:01,21:10,60,0
2024/01/26,EMP-264,社員015,開発部,08:29,20:55,60,0
2024/01/29,EMP-264,社員015,開発部,09:20,19:55,60,0
2024/01/30,EMP-264,社員015,開発部,09:16,22:48,60,0
2024/01/31,EMP-264,社員015,開発部,08:50,19:56,60,0
2024/01/01,EMP-227,社員016,開発部,09:28,17:07,60,0
2024/01/02,EMP-227,社員016,開発部,08:23,18:11,60,0
2024/01/03,EMP-227,社員016,開発部,08:08,18:15,60,0
2024/01/04,EMP-227,社員016,開発部,08:48,19:48,60,0
2024/01/05,EMP-227,社員016,開発部,09:16,19:27,60,0
2024/01/08,EMP-227,社員016,開発部,09:14,18:32,60,0
2024/01/09,EMP-227,社員016,開発部,09:14,19:23,60,0
2024/01/10,EMP-227,社員016,開発部,08:12,18:05,60,0
2024/01/11,EMP-227,社員016,開発部,09:30,17:06,60,0
2024/01/12,EMP-227,社員016,開発部,08:31,17:55,60,0
2024/01/15,EMP-227,社員016,開発部,08:18,18:43,60,0
2024/01/16,EMP-227,社員016,開発部,09:13,18:47,60,0
2024/01/17,EMP-227,社員016,開発部,08:01,17:53,60,0
2024/01/18,EMP-227,社員016,開発部,09:18,18:41,60,0
2024/01/19,EMP-227,社員016,開発部,09:14,18:36,60,0
2024/01/22,EMP-227,社員016,開発部,08:50,18:14,60,0
2024/01/23,EMP-227,社員016,開発部,08:09,18:18,60,0
2024/01/24,EMP-227,社員016,開発部,08:45,19:18,60,0
2024/01/25,EMP-227,社員016,開発部,09:00,17:30,60,1
2024/01/26,EMP-227,社員016,開発部,08:28,18:23,60,0
2024/01/29,EMP-227,社員016,開発部,08:42,18:22,60,0
2024/01/30,EMP-227,社員016,開発部,08:34,18:07,60,0
2024/01/31,EMP-227,社員016,開発部,09:24,17:29,60,0
