property_id,property_name,area,property_type,cost_category,occurrence_date,cost_amount,vendor_name,is_urgent
P027,港区戸建て027号,港区,戸建て,定期修繕,2024-01-31,767542,ABC修繕,False
P027,港区戸建て027号,港区,戸建て,設備点検,2024-01-10,72850,フジ設備管理,False
P028,品川区マンション028号,品川区,マンション,清掃費,2024-01-20,53021,ABC修繕,False
P028,品川区マンション028号,品川区,マンション,定期修繕,2024-01-29,665610,ハウスケア,False
P028,品川区マンション028号,品川区,マンション,緊急修繕,2024-01-21,1193278,グリーン清掃,False
P028,品川区マンション028号,品川区,マンション,定期修繕,2024-01-10,369452,ハウスケア,False
P028,品川区マンション028号,品川区,マンション,清掃費,2024-01-14,68684,東和修繕,False
P028,品川区マンション028号,品川区,マンション,緊急修繕,2024-01-18,321528,鈴木メンテナンス,False
P028,品川区マンション028号,品川区,マンション,定期修繕,2024-01-23,336574,ニッケン建設,False
P028,品川区マンション028号,品川区,マンション,清掃費,2024-01-03,77942,鈴木メンテナンス,False
P028,品川区マンション028号,品川区,マンション,清掃費,2024-01-10,31824,グリーン清掃,False
P029,目黒区アパート029号,目黒区,アパート,設備点検,2024-01-04,69015,フジ設備管理,False
P029,目黒区アパート029号,目黒区,アパート,管理費,2024-01-12,171704,ハウスケア,False
P029,目黒区アパート029号,目黒区,アパート,緊急修繕,2024-01-24,936258,山田建設,True
P029,目黒区アパート029号,目黒区,アパート,管理費,2024-01-09,129787,サンライズ不動産管理,False
P029,目黒区アパート029号,目黒区,アパート,管理費,2024-01-12,75478,ABC修繕,False
P029,目黒区アパート029号,目黒区,アパート,設備点検,2024-01-20,57781,ミドリ建築,False
P029,目黒区アパート029号,目黒区,アパート,清掃費,2024-01-12,78629,フジ設備管理,False
P029,目黒区アパート029号,目黒区,アパート,設備点検,2024-01-21,94935,スターハウス,False
P029,目黒区アパート029号,目黒区,アパート,定期修繕,2024-01-15,535037,フジ設備管理,False
P029,目黒区アパート029号,目黒区,アパート,管理費,2024-01-20,178279,スターハウス,False
P029,目黒区アパート029号,目黒区,アパート,清掃費,2024-01-30,66666,山田建設,False
P029,目黒区アパート029号,目黒区,アパート,緊急修繕,2024-01-11,535647,ABC修繕,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,定期修繕,2024-01-04,772875,フジ設備管理,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,設備点検,2024-01-22,42799,山田建設,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,緊急修繕,2024-01-17,590800,クリーンプロ,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,設備点検,2024-01-31,66896,鈴木メンテナンス,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,設備点検,2024-01-12,67152,スターハウス,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,定期修繕,2024-01-13,344316,田中設備,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,定期修繕,2024-01-06,724932,山田建設,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,緊急修繕,2024-01-04,383432,関東メンテ,False
P030,渋谷区テナントビル030号,渋谷区,テナントビル,緊急修繕,2024-01-27,445946,ニッケン建設,True
P030,渋谷区テナントビル030号,渋谷区,テナントビル,管理費,2024-01-15,84551,山田建設,False
P031,新宿区戸建て031号,新宿区,戸建て,設備点検,2024-01-25,117812,鈴木メンテナンス,False
P031,新宿区戸建て031号,新宿区,戸建て,清掃費,2024-01-08,96039,ABC修繕,False
P031,新宿区戸建て031号,新宿区,戸建て,設備点検,2024-01-11,45683,東和修繕,False
P031,新宿区戸建て031号,新宿区,戸建て,設備点検,2024-01-06,79535,サンライズ不動産管理,False
P031,新宿区戸建て031号,新宿区,戸建て,管理費,2024-01-02,65945,サンライズ不動産管理,False
P031,新宿区戸建て031号,新宿区,戸建て,清掃費,2024-01-23,85872,フジ設備管理,False
P031,新宿区戸建て031号,新宿区,戸建て,管理費,2024-01-17,178521,東和修繕,False
P031,新宿区戸建て031号,新宿区,戸建て,清掃費,2024-01-24,39632,ハウスケア,False
P031,新宿区戸建て031号,新宿区,戸建て,管理費,2024-01-15,134439,スターハウス,False
P031,新宿区戸建て031号,新宿区,戸建て,定期修繕,2024-01-25,168872,東京管理サービス,False
P032,港区マンション032号,港区,マンション,設備点検,2024-01-20,134481,ニッケン建設,False
P032,港区マンション032号,港区,マンション,定期修繕,2024-01-19,550961,サンライズ不動産管理,False
P032,港区マンション032号,港区,マンション,定期修繕,2024-01-23,533914,田中設備,False
P032,港区マンション032号,港区,マンション,清掃費,2024-01-12,82262,ミドリ建築,False
P032,港区マンション032号,港区,マンション,管理費,2024-01-19,131932,ミドリ建築,False
P032,港区マンション032号,港区,マンション,緊急修繕,2024-01-10,614542,東京管理サービス,False
P032,港区マンション032号,港区,マンション,清掃費,2024-01-16,38799,鈴木メンテナンス,False
P032,港区マンション032号,港区,マンション,管理費,2024-01-14,74439,ミドリ建築,False
P032,港区マンション032号,港区,マンション,管理費,2024-01-25,147687,クリーンプロ,False
P032,港区マンション032号,港区,マンション,定期修繕,2024-01-04,683397,山田建設,False
P033,品川区アパート033号,品川区,アパート,設備点検,2024-01-30,67884,東京管理サービス,False
P033,品川区アパート033号,品川区,アパート,清掃費,2024-01-18,59392,ニッケン建設,False
P033,品川区アパート033号,品川区,アパート,管理費,2024-01-21,141780,ニッケン建設,False
P033,品川区アパート033号,品川区,アパート,設備点検,2024-01-13,88176,鈴木メンテナンス,False
P033,品川区アパート033号,品川区,アパート,緊急修繕,2024-01-28,554289,ニッケン建設,False
P033,品川区アパート033号,品川区,アパート,設備点検,2024-01-30,140588,ニッケン建設,False
P033,品川区アパート033号,品川区,アパート,設備点検,2024-01-14,120422,フジ設備管理,False
P033,品川区アパート033号,品川区,アパート,設備点検,2024-01-29,43441,スターハウス,False
P033,品川区アパート033号,品川区,アパート,緊急修繕,2024-01-02,140719,東和修繕,True
P033,品川区アパート033号,品川区,アパート,緊急修繕,2024-01-09,792663,東京管理サービス,False
P033,品川区アパート033号,品川区,アパート,定期修繕,2024-01-10,693830,フジ設備管理,False
P033,品川区アパート033号,品川区,アパート,清掃費,2024-01-04,39120,東京管理サービス,False
P034,目黒区テナントビル034号,目黒区,テナントビル,設備点検,2024-01-03,51135,ハウスケア,False
P034,目黒区テナントビル034号,目黒区,テナントビル,管理費,2024-01-17,90784,東京管理サービス,False
P034,目黒区テナントビル034号,目黒区,テナントビル,設備点検,2024-01-12,46522,フジ設備管理,False
P034,目黒区テナントビル034号,目黒区,テナントビル,管理費,2024-01-15,121330,サンライズ不動産管理,False
P034,目黒区テナントビル034号,目黒区,テナントビル,清掃費,2024-01-05,93656,スターハウス,False
P034,目黒区テナントビル034号,目黒区,テナントビル,清掃費,2024-01-10,84287,グリーン清掃,False
P034,目黒区テナントビル034号,目黒区,テナントビル,定期修繕,2024-01-11,637234,鈴木メンテナンス,False
P034,目黒区テナントビル034号,目黒区,テナントビル,緊急修繕,2024-01-30,981594,フジ設備管理,True
P035,渋谷区戸建て035号,渋谷区,戸建て,清掃費,2024-01-16,53028,東京管理サービス,False
P035,渋谷区戸建て035号,渋谷区,戸建て,清掃費,2024-01-21,99806,東和修繕,False
P035,渋谷区戸建て035号,渋谷区,戸建て,定期修繕,2024-01-02,624563,関東メンテ,False
P035,渋谷区戸建て035号,渋谷区,戸建て,緊急修繕,2024-01-13,231153,東和修繕,False
P035,渋谷区戸建て035号,渋谷区,戸建て,管理費,2024-01-19,164352,山田建設,False
P035,渋谷区戸建て035号,渋谷区,戸建て,清掃費,2024-01-01,40205,ニッケン建設,False
P035,渋谷区戸建て035号,渋谷区,戸建て,緊急修繕,2024-01-10,980274,東和修繕,False
P035,渋谷区戸建て035号,渋谷区,戸建て,清掃費,2024-01-07,67947,鈴木メンテナンス,False
P035,渋谷区戸建て035号,渋谷区,戸建て,清掃費,2024-01-05,32733,田中設備,False
P035,渋谷区戸建て035号,渋谷区,戸建て,定期修繕,2024-01-08,748151,サンライズ不動産管理,False
P035,渋谷区戸建て035号,渋谷区,戸建て,緊急修繕,2024-01-11,264821,鈴木メンテナンス,False
P035,渋谷区戸建て035号,渋谷区,戸建て,定期修繕,2024-01-01,556839,スターハウス,False
