管理番号,建物名,地区,種別,費目,計上日,金額,業者,緊急対応
P043,品川区戸建て043号,品川区,戸建て,清掃費,2024年01月25日,53652,関東メンテ,False
P043,品川区戸建て043号,品川区,戸建て,緊急修繕,2024年01月14日,753629,田中設備,True
P043,品川区戸建て043号,品川区,戸建て,緊急修繕,2024年01月13日,722768,東和修繕,False
P043,品川区戸建て043号,品川区,戸建て,清掃費,2024年01月14日,51842,東和修繕,False
P043,品川区戸建て043号,品川区,戸建て,清掃費,2024年01月30日,76077,サンライズ不動産管理,False
P043,品川区戸建て043号,品川区,戸建て,管理費,2024年01月11日,142421,スターハウス,False
P044,目黒区マンション044号,目黒区,マンション,清掃費,2024年01月09日,34561,東京管理サービス,False
P044,目黒区マンション044号,目黒区,マンション,管理費,2024年01月31日,111864,クリーンプロ,False
P044,目黒区マンション044号,目黒区,マンション,緊急修繕,2024年01月30日,839484,スターハウス,False
P044,目黒区マンション044号,目黒区,マンション,管理費,2024年01月03日,90222,フジ設備管理,False
P044,目黒区マンション044号,目黒区,マンション,清掃費,2024年01月20日,78623,田中設備,False
P044,目黒区マンション044号,目黒区,マンション,清掃費,2024年01月12日,40077,スターハウス,False
P044,目黒区マンション044号,目黒区,マンション,定期修繕,2024年01月25日,655178,田中設備,False
P044,目黒区マンション044号,目黒区,マンション,清掃費,2024年01月22日,71207,フジ設備管理,False
P044,目黒区マンション044号,目黒区,マンション,緊急修繕,2024年01月30日,603473,山田建設,False
P044,目黒区マンション044号,目黒区,マンション,定期修繕,2024年01月05日,623285,関東メンテ,False
P044,目黒区マンション044号,目黒区,マンション,清掃費,2024年01月19日,45435,グリーン清掃,False
P045,渋谷区アパート045号,渋谷区,アパート,管理費,2024年01月22日,133778,フジ設備管理,False
P045,渋谷区アパート045号,渋谷区,アパート,緊急修繕,2024年01月07日,216187,グリーン清掃,False
P045,渋谷区アパート045号,渋谷区,アパート,緊急修繕,2024年01月19日,410312,ハウスケア,False
P045,渋谷区アパート045号,渋谷区,アパート,定期修繕,2024年01月22日,479052,関東メンテ,False
P045,渋谷区アパート045号,渋谷区,アパート,定期修繕,2024年01月31日,227257,ABC修繕,False
P045,渋谷区アパート045号,渋谷区,アパート,定期修繕,2024年01月07日,348235,クリーンプロ,False
P045,渋谷区アパート045号,渋谷区,アパート,清掃費,2024年01月05日,33445,田中設備,False
P045,渋谷区アパート045号,渋谷区,アパート,設備点検,2024年01月03日,115009,田中設備,False
P045,渋谷区アパート045号,渋谷区,アパート,清掃費,2024年01月06日,47009,スターハウス,False
P045,渋谷区アパート045号,渋谷区,アパート,管理費,2024年01月23日,67235,グリーン清掃,False
P046,新宿区テナントビル046号,新宿区,テナントビル,設備点検,2024年01月31日,123859,スターハウス,False
P046,新宿区テナントビル046号,新宿区,テナントビル,定期修繕,2024年01月23日,235300,ミドリ建築,False
P046,新宿区テナントビル046号,新宿区,テナントビル,設備点検,2024年01月17日,47263,ニッケン建設,False
P046,新宿区テナントビル046号,新宿区,テナントビル,管理費,2024年01月24日,185817,東京管理サービス,False
P046,新宿区テナントビル046号,新宿区,テナントビル,緊急修繕,2024年01月26日,425310,ハウスケア,True
P046,新宿区テナントビル046号,新宿区,テナントビル,定期修繕,2024年01月03日,462831,関東メンテ,False
P046,新宿区テナントビル046号,新宿区,テナントビル,緊急修繕,2024年01月31日,245381,フジ設備管理,False
P046,新宿区テナントビル046号,新宿区,テナントビル,設備点検,2024年01月20日,75972,東京管理サービス,False
P046,新宿区テナントビル046号,新宿区,テナントビル,緊急修繕,2024年01月14日,1198784,フジ設備管理,True
P046,新宿区テナントビル046号,新宿区,テナントビル,定期修繕,2024年01月22日,720556,スターハウス,False
P046,新宿区テナントビル046号,新宿区,テナントビル,定期修繕,2024年01月11日,279516,フジ設備管理,False
P047,港区戸建て047号,港区,戸建て,管理費,2024年01月23日,180557,ハウスケア,False
P047,港区戸建て047号,港区,戸建て,設備点検,2024年01月19日,77967,フジ設備管理,False
P047,港区戸建て047号,港区,戸建て,緊急修繕,2024年01月27日,1092808,クリーンプロ,False
P047,港区戸建て047号,港区,戸建て,清掃費,2024年01月18日,68985,サンライズ不動産管理,False
P047,港区戸建て047号,港区,戸建て,管理費,2024年01月26日,65705,東京管理サービス,False
P047,港区戸建て047号,港区,戸建て,清掃費,2024年01月01日,84476,サンライズ不動産管理,False
P047,港区戸建て047号,港区,戸建て,清掃費,2024年01月02日,56741,田中設備,False
P047,港区戸建て047号,港区,戸建て,設備点検,2024年01月20日,58830,田中設備,False
P047,港区戸建て047号,港区,戸建て,緊急修繕,2024年01月18日,804294,東京管理サービス,False
P047,港区戸建て047号,港区,戸建て,緊急修繕,2024年01月21日,1159991,田中設備,False
P047,港区戸建て047号,港区,戸建て,定期修繕,2024年01月24日,589131,鈴木メンテナンス,False
P047,港区戸建て047号,港区,戸建て,緊急修繕,2024年01月13日,1022871,鈴木メンテナンス,False
P048,品川区マンション048号,品川区,マンション,緊急修繕,2024年01月09日,478110,サンライズ不動産管理,False
P048,品川区マンション048号,品川区,マンション,設備点検,2024年01月12日,101186,サンライズ不動産管理,False
P048,品川区マンション048号,品川区,マンション,緊急修繕,2024年01月20日,1123061,ミドリ建築,True
P048,品川区マンション048号,品川区,マンション,設備点検,2024年01月08日,99930,ABC修繕,False
P048,品川区マンション048号,品川区,マンション,定期修繕,2024年01月27日,711680,田中設備,False
P048,品川区マンション048号,品川区,マンション,管理費,2024年01月05日,63248,グリーン清掃,False
P048,品川区マンション048号,品川区,マンション,清掃費,2024年01月11日,91680,グリーン清掃,False
P048,品川区マンション048号,品川区,マンション,設備点検,2024年01月18日,41071,ニッケン建設,False
P049,目黒区アパート049号,目黒区,アパート,設備点検,2024年01月14日,77827,鈴木メンテナンス,False
P049,目黒区アパート049号,目黒区,アパート,清掃費,2024年01月28日,96093,サンライズ不動産管理,False
P049,目黒区アパート049号,目黒区,アパート,設備点検,2024年01月23日,76663,ニッケン建設,False
P049,目黒区アパート049号,目黒区,アパート,設備点検,2024年01月24日,129181,スターハウス,False
P049,目黒区アパート049号,目黒区,アパート,管理費,2024年01月12日,83728,鈴木メンテナンス,False
P049,目黒区アパート049号,目黒区,アパート,清掃費,2024年01月13日,78915,クリーンプロ,False
P049,目黒区アパート049号,目黒区,アパート,緊急修繕,2024年01月18日,846732,ABC修繕,False
P049,目黒区アパート049号,目黒区,アパート,設備点検,2024年01月07日,106731,ミドリ建築,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,緊急修繕,2024年01月02日,785426,関東メンテ,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,設備点検,2024年01月02日,104205,東和修繕,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,設備点検,2024年01月23日,79294,サンライズ不動産管理,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,管理費,2024年01月25日,146562,田中設備,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,管理費,2024年01月17日,159193,スターハウス,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,緊急修繕,2024年01月05日,135883,グリーン清掃,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,設備点検,2024年01月28日,115711,ABC修繕,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,管理費,2024年01月05日,175946,東京管理サービス,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,設備点検,2024年01月29日,122447,東和修繕,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,設備点検,2024年01月10日,141529,ニッケン建設,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,清掃費,2024年01月13日,49369,ニッケン建設,False
P050,渋谷区テナントビル050号,渋谷区,テナントビル,定期修繕,2024年01月20日,133104,スターハウス,False
