claim_date,claim_id,dept,insurance_type,patient_count,total_points,claim_amount,reduction_amount,payment_status,net_amount,reduction_rate,is_returned,collection_flag,source_file
2024-01-01,CLM-0029,皮膚科,後期高齢,24,2304,23040,29,支払済み,23011,0.0012586805555555556,0,回収済み,claims_styleA_202401.csv
2024-01-02,CLM-0030,外科,社保,12,3206,32060,290,支払済み,31770,0.009045539613225203,0,回収済み,claims_styleA_202401.csv
2024-01-09,CLM-0031,小児科,社保,44,1583,15830,1481,審査中,14349,0.09355653821857234,0,未回収,claims_styleA_202401.csv
2024-01-19,CLM-0032,皮膚科,国保,25,4374,43740,3334,支払済み,40406,0.07622313671696387,0,回収済み,claims_styleA_202401.csv
2024-01-04,CLM-0033,小児科,国保,37,3867,38670,1912,審査中,36758,0.04944401344711663,0,未回収,claims_styleA_202401.csv
2024-01-02,CLM-0034,内科,社保,35,3279,32790,3279,審査中,29511,0.1,0,未回収,claims_styleA_202401.csv
2024-01-08,CLM-0035,外科,社保,44,4175,41750,1148,支払済み,40602,0.027497005988023952,0,回収済み,claims_styleA_202401.csv
2024-01-09,CLM-0036,小児科,社保,14,4130,41300,802,支払済み,40498,0.019418886198547217,0,回収済み,claims_styleA_202401.csv
2024-01-18,CLM-0037,内科,社保,25,1862,18620,832,支払済み,17788,0.04468313641245972,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0038,小児科,社保,20,3604,36040,8,返戈,36032,0.00022197558268590456,1,未回収,claims_styleA_202401.csv
2024-01-09,CLM-0039,小児科,国保,37,4486,44860,1268,支払済み,43592,0.0282657155595185,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0040,内科,後期高齢,44,999,9990,765,支払済み,9225,0.07657657657657657,0,回収済み,claims_styleA_202401.csv
2024-01-02,CLM-0041,皮膚科,国保,42,4850,48500,1289,支払済み,47211,0.026577319587628864,0,回収済み,claims_styleA_202401.csv
2024-01-17,CLM-0042,内科,社保,14,1056,10560,481,支払済み,10079,0.04554924242424242,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0043,外科,後期高齢,48,825,8250,634,支払済み,7616,0.07684848484848485,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0044,皮膚科,後期高齢,30,2636,26360,836,支払済み,25524,0.03171471927162367,0,回収済み,claims_styleA_202401.csv
2024-01-11,CLM-0045,外科,国保,35,1572,15720,1375,支払済み,14345,0.08746819338422392,0,回収済み,claims_styleA_202401.csv
2024-01-15,CLM-0046,整形外科,社保,10,4254,42540,819,支払済み,41721,0.0192524682651622,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0047,皮膚科,国保,18,3359,33590,281,審査中,33309,0.008365584995534385,0,未回収,claims_styleA_202401.csv
2024-01-12,CLM-0048,整形外科,社保,38,4950,49500,2478,支払済み,47022,0.05006060606060606,0,回収済み,claims_styleA_202401.csv
2024-01-17,CLM-0049,内科,後期高齢,45,2952,29520,2717,支払済み,26803,0.09203929539295393,0,回収済み,claims_styleA_202401.csv
2024-01-05,CLM-0050,整形外科,社保,16,1773,17730,557,支払済み,17173,0.03141567963902989,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0051,整形外科,社保,50,2662,26620,2070,支払済み,24550,0.0777610818933133,0,回収済み,claims_styleA_202401.csv
2024-01-02,CLM-0052,内科,後期高齢,37,2766,27660,180,支払済み,27480,0.006507592190889371,0,回収済み,claims_styleA_202401.csv
2024-01-05,CLM-0053,整形外科,社保,38,4003,40030,2297,支払済み,37733,0.05738196352735449,0,回収済み,claims_styleA_202401.csv
2024-01-03,CLM-0054,外科,後期高齢,12,3524,35240,2385,支払済み,32855,0.06767877412031782,0,回収済み,claims_styleA_202401.csv
2024-01-14,CLM-0055,外科,社保,29,3487,34870,3260,返戈,31610,0.09349010610840264,1,未回収,claims_styleA_202401.csv
2024-01-02,CLM-0056,整形外科,社保,25,1342,13420,724,審査中,12696,0.053949329359165424,0,未回収,claims_styleA_202401.csv
2024-01-14,CLM-0057,皮膚科,後期高齢,19,2439,24390,665,返戈,23725,0.027265272652726526,1,未回収,claims_styleA_202401.csv
2024-01-06,CLM-0058,小児科,社保,21,3221,32210,3204,審査中,29006,0.09947221359826142,0,未回収,claims_styleA_202401.csv
2024-01-08,CLM-0059,整形外科,社保,16,3633,36330,3572,支払済み,32758,0.09832094687586017,0,回収済み,claims_styleA_202401.csv
2024-01-16,CLM-0060,外科,社保,39,3364,33640,1250,審査中,32390,0.037158145065398336,0,未回収,claims_styleA_202401.csv
2024-01-08,CLM-0061,外科,社保,22,3764,37640,1344,支払済み,36296,0.035706695005313496,0,回収済み,claims_styleA_202401.csv
2024-01-03,CLM-0062,整形外科,国保,42,3774,37740,2783,返戈,34957,0.0737413884472708,1,未回収,claims_styleA_202401.csv
2024-01-18,CLM-0063,整形外科,社保,17,2639,26390,731,支払済み,25659,0.027699886320575975,0,回収済み,claims_styleA_202401.csv
2024-01-09,CLM-0064,内科,社保,48,4059,40590,1415,支払済み,39175,0.03486080315348608,0,回収済み,claims_styleA_202401.csv
2024-01-11,CLM-0065,小児科,後期高齢,42,1447,14470,788,審査中,13682,0.05445749827228749,0,未回収,claims_styleA_202401.csv
2024-01-07,CLM-0066,整形外科,社保,37,513,5130,201,支払済み,4929,0.0391812865497076,0,回収済み,claims_styleA_202401.csv
2024-01-03,CLM-0067,整形外科,後期高齢,30,1520,15200,1474,審査中,13726,0.09697368421052631,0,未回収,claims_styleA_202401.csv
2024-01-17,CLM-0068,整形外科,後期高齢,36,3172,31720,1648,支払済み,30072,0.051954602774274904,0,回収済み,claims_styleA_202401.csv
2024-01-18,CLM-0069,外科,社保,36,3605,36050,2774,支払済み,33276,0.07694868238557559,0,回収済み,claims_styleA_202401.csv
2024-01-06,CLM-0070,皮膚科,後期高齢,29,3826,38260,2244,審査中,36016,0.058651332984840564,0,未回収,claims_styleA_202401.csv
2024-01-10,CLM-0071,整形外科,社保,37,3139,31390,1904,支払済み,29486,0.06065625995539981,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0072,皮膚科,国保,20,1194,11940,581,支払済み,11359,0.04865996649916248,0,回収済み,claims_styleA_202401.csv
2024-01-20,CLM-0073,整形外科,社保,25,3042,30420,920,審査中,29500,0.030243261012491782,0,未回収,claims_styleA_202401.csv
2024-01-05,CLM-0074,内科,社保,25,4392,43920,596,支払済み,43324,0.013570127504553733,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0075,外科,後期高齢,34,4549,45490,3273,支払済み,42217,0.07194987909430645,0,回収済み,claims_styleA_202401.csv
2024-01-01,CLM-0076,内科,国保,24,1940,19400,1646,返戈,17754,0.08484536082474227,1,未回収,claims_styleA_202401.csv
2024-01-17,CLM-0077,小児科,社保,45,2541,25410,497,支払済み,24913,0.01955922865013774,0,回収済み,claims_styleA_202401.csv
2024-01-15,CLM-0078,皮膚科,後期高齢,48,3099,30990,3093,審査中,27897,0.09980638915779283,0,未回収,claims_styleA_202401.csv
2024-01-20,CLM-0079,皮膚科,国保,45,4152,41520,1303,支払済み,40217,0.03138246628131021,0,回収済み,claims_styleA_202401.csv
2024-01-16,CLM-0080,小児科,国保,25,2771,27710,2135,支払済み,25575,0.07704799711295561,0,回収済み,claims_styleA_202401.csv
2024-01-08,CLM-0081,整形外科,国保,14,2840,28400,960,支払済み,27440,0.03380281690140845,0,回収済み,claims_styleA_202401.csv
2024-01-11,CLM-0082,皮膚科,社保,18,1735,17350,473,支払済み,16877,0.027262247838616714,0,回収済み,claims_styleA_202401.csv
2024-01-05,CLM-0083,外科,社保,36,3839,38390,1355,支払済み,37035,0.035295649908830426,0,回収済み,claims_styleA_202401.csv
2024-01-14,CLM-0084,内科,社保,36,3690,36900,3153,支払済み,33747,0.08544715447154472,0,回収済み,claims_styleA_202401.csv
2024-01-01,CLM-0085,皮膚科,国保,40,548,5480,360,支払済み,5120,0.06569343065693431,0,回収済み,claims_styleA_202401.csv
2024-01-13,CLM-0086,小児科,後期高齢,44,2306,23060,1999,支払済み,21061,0.08668690372940156,0,回収済み,claims_styleA_202401.csv
2024-01-14,CLM-0087,小児科,社保,34,3253,32530,2739,支払済み,29791,0.0841992007377805,0,回収済み,claims_styleA_202401.csv
2024-01-13,CLM-0088,外科,国保,18,4875,48750,220,審査中,48530,0.0045128205128205125,0,未回収,claims_styleA_202401.csv
2024-01-19,CLM-0089,皮膚科,後期高齢,11,1187,11870,877,支払済み,10993,0.07388374052232519,0,回収済み,claims_styleA_202401.csv
2024-01-15,CLM-0090,外科,社保,26,3605,36050,1340,支払済み,34710,0.037170596393897366,0,回収済み,claims_styleA_202401.csv
2024-01-11,CLM-0091,整形外科,国保,27,3953,39530,1033,審査中,38497,0.026132051606374905,0,未回収,claims_styleA_202401.csv
2024-01-16,CLM-0092,内科,後期高齢,44,926,9260,358,支払済み,8902,0.038660907127429804,0,回収済み,claims_styleA_202401.csv
2024-01-03,CLM-0093,内科,社保,25,2133,21330,83,支払済み,21247,0.003891233005157056,0,回収済み,claims_styleA_202401.csv
2024-01-08,CLM-0094,外科,国保,17,2285,22850,1904,支払済み,20946,0.08332603938730854,0,回収済み,claims_styleA_202401.csv
2024-01-12,CLM-0095,外科,後期高齢,48,1438,14380,335,返戈,14045,0.02329624478442281,1,未回収,claims_styleA_202401.csv
2024-01-04,CLM-0096,皮膚科,社保,29,3574,35740,1624,審査中,34116,0.04543928371572468,0,未回収,claims_styleA_202401.csv
2024-01-07,CLM-0097,内科,後期高齢,50,2489,24890,417,支払済み,24473,0.016753716351948573,0,回収済み,claims_styleA_202401.csv
2024-01-10,CLM-0098,皮膚科,社保,46,836,8360,355,支払済み,8005,0.042464114832535885,0,回収済み,claims_styleA_202401.csv
2024-01-12,CLM-0099,内科,後期高齢,31,603,6030,430,審査中,5600,0.07131011608623548,0,未回収,claims_styleA_202401.csv
2024-01-04,CLM-0100,小児科,国保,50,4266,42660,1253,支払済み,41407,0.02937177684013127,0,回収済み,claims_styleA_202401.csv
2024-01-17,CLM-0101,整形外科,後期高齢,44,4460,44600,3808,支払済み,40792,0.0853811659192825,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0102,整形外科,国保,25,1209,12090,571,審査中,11519,0.04722911497105046,0,未回収,claims_styleA_202401.csv
2024-01-08,CLM-0103,小児科,後期高齢,49,3604,36040,1377,支払済み,34663,0.03820754716981132,0,回収済み,claims_styleA_202401.csv
2024-01-11,CLM-0104,外科,国保,23,3406,34060,3267,支払済み,30793,0.09591896652965355,0,回収済み,claims_styleA_202401.csv
2024-01-09,CLM-0105,皮膚科,後期高齢,27,583,5830,529,審査中,5301,0.09073756432246999,0,未回収,claims_styleA_202401.csv
2024-01-03,CLM-0106,外科,後期高齢,36,4502,45020,1968,支払済み,43052,0.04371390493114172,0,回収済み,claims_styleA_202401.csv
2024-01-16,CLM-0107,小児科,社保,15,2910,29100,907,支払済み,28193,0.031168384879725085,0,回収済み,claims_styleA_202401.csv
2024-01-08,CLM-0108,整形外科,後期高齢,47,3523,35230,1938,支払済み,33292,0.05500993471473176,0,回収済み,claims_styleA_202401.csv
2024-01-12,CLM-0109,小児科,後期高齢,45,3209,32090,1441,支払済み,30649,0.04490495481458398,0,回収済み,claims_styleA_202401.csv
2024-01-09,CLM-0110,整形外科,国保,24,1488,14880,1477,支払済み,13403,0.09926075268817204,0,回収済み,claims_styleA_202401.csv
2024-01-04,CLM-0111,皮膚科,後期高齢,21,2069,20690,886,支払済み,19804,0.042822619623006285,0,回収済み,claims_styleA_202401.csv
2024-01-09,CLM-0112,皮膚科,後期高齢,48,2818,28180,411,審査中,27769,0.014584811923349893,0,未回収,claims_styleA_202401.csv
2024-01-10,CLM-0113,外科,国保,21,2976,29760,57,支払済み,29703,0.0019153225806451612,0,回収済み,claims_styleA_202401.csv
2024-01-05,CLM-0114,整形外科,社保,13,2893,28930,2856,審査中,26074,0.09872105081230556,0,未回収,claims_styleA_202401.csv
2024-01-16,CLM-0115,内科,社保,46,2829,28290,1922,支払済み,26368,0.06793920113114174,0,回収済み,claims_styleA_202401.csv
2024-01-11,CLM-0116,外科,社保,26,4413,44130,934,審査中,43196,0.02116474053931566,0,未回収,claims_styleA_202401.csv
2024-01-13,CLM-0117,小児科,社保,46,939,9390,155,支払済み,9235,0.01650692225772098,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0118,整形外科,社保,25,1470,14700,1142,審査中,13558,0.07768707482993198,0,未回収,claims_styleA_202401.csv
2024-01-20,CLM-0119,皮膚科,後期高齢,24,4780,47800,3116,支払済み,44684,0.06518828451882845,0,回収済み,claims_styleA_202401.csv
2024-01-15,CLM-0120,整形外科,後期高齢,37,3001,30010,2329,支払済み,27681,0.07760746417860713,0,回収済み,claims_styleA_202401.csv
2024-01-20,CLM-0121,内科,社保,50,2228,22280,1083,支払済み,21197,0.04860861759425494,0,回収済み,claims_styleA_202401.csv
2024-01-06,CLM-0122,外科,社保,45,1114,11140,320,支払済み,10820,0.02872531418312388,0,回収済み,claims_styleA_202401.csv
2024-01-15,CLM-0123,皮膚科,国保,28,767,7670,237,支払済み,7433,0.03089960886571056,0,回収済み,claims_styleA_202401.csv
2024-01-10,CLM-0124,小児科,社保,24,2667,26670,2560,支払済み,24110,0.09598800149981253,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0125,小児科,社保,44,2341,23410,610,審査中,22800,0.026057240495514736,0,未回収,claims_styleA_202401.csv
2024-01-05,CLM-0126,内科,社保,20,3019,30190,2437,支払済み,27753,0.08072209340841338,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0127,整形外科,国保,17,4339,43390,2491,支払済み,40899,0.05740954136897903,0,回収済み,claims_styleA_202401.csv
2024-01-09,CLM-0128,皮膚科,後期高齢,41,4086,40860,329,支払済み,40531,0.008051884483602546,0,回収済み,claims_styleA_202401.csv
2024-01-14,CLM-0129,整形外科,後期高齢,26,711,7110,93,支払済み,7017,0.013080168776371307,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0130,皮膚科,社保,27,829,8290,781,審査中,7509,0.09420989143546442,0,未回収,claims_styleA_202401.csv
2024-01-16,CLM-0131,皮膚科,後期高齢,38,2778,27780,743,返戈,27037,0.026745860331173505,1,未回収,claims_styleA_202401.csv
2024-01-14,CLM-0132,小児科,社保,40,3350,33500,1672,支払済み,31828,0.04991044776119403,0,回収済み,claims_styleA_202401.csv
2024-01-04,CLM-0133,外科,国保,36,4558,45580,2361,支払済み,43219,0.051799034664326456,0,回収済み,claims_styleA_202401.csv
2024-01-13,CLM-0134,皮膚科,社保,39,1221,12210,644,支払済み,11566,0.052743652743652746,0,回収済み,claims_styleA_202401.csv
2024-01-04,CLM-0135,小児科,後期高齢,10,4944,49440,3784,支払済み,45656,0.07653721682847897,0,回収済み,claims_styleA_202401.csv
2024-01-07,CLM-0136,皮膚科,国保,49,4583,45830,3621,審査中,42209,0.0790093825005455,0,未回収,claims_styleA_202401.csv
2024-01-07,CLM-0137,整形外科,後期高齢,18,2859,28590,1794,審査中,26796,0.0627492130115425,0,未回収,claims_styleA_202401.csv
2024-01-16,CLM-0138,内科,社保,50,2460,24600,648,支払済み,23952,0.026341463414634145,0,回収済み,claims_styleA_202401.csv
2024-01-01,CLM-0139,皮膚科,国保,15,2340,23400,464,支払済み,22936,0.01982905982905983,0,回収済み,claims_styleA_202401.csv
2024-01-04,CLM-0140,外科,国保,28,4668,46680,2239,支払済み,44441,0.04796486718080548,0,回収済み,claims_styleA_202401.csv
2024-01-16,CLM-0141,小児科,社保,39,1684,16840,785,支払済み,16055,0.04661520190023753,0,回収済み,claims_styleA_202401.csv
2024-01-20,CLM-0142,皮膚科,後期高齢,18,1071,10710,565,審査中,10145,0.052754435107376284,0,未回収,claims_styleA_202401.csv
2024-01-14,CLM-0143,整形外科,後期高齢,27,521,5210,289,支払済み,4921,0.05547024952015355,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0144,皮膚科,後期高齢,41,1717,17170,914,支払済み,16256,0.053232382061735584,0,回収済み,claims_styleA_202401.csv
2024-01-12,CLM-0145,整形外科,後期高齢,44,3590,35900,1865,審査中,34035,0.051949860724233986,0,未回収,claims_styleA_202401.csv
2024-01-07,CLM-0146,外科,後期高齢,34,2413,24130,1682,支払済み,22448,0.06970576046415251,0,回収済み,claims_styleA_202401.csv
2024-01-16,CLM-0147,小児科,国保,19,4557,45570,303,支払済み,45267,0.0066491112574061885,0,回収済み,claims_styleA_202401.csv
2024-01-19,CLM-0148,整形外科,社保,38,1316,13160,1077,審査中,12083,0.08183890577507599,0,未回収,claims_styleA_202401.csv
2024-01-01,CLM-0149,外科,国保,19,1112,11120,961,審査中,10159,0.08642086330935252,0,未回収,claims_styleA_202401.csv
2024-01-09,CLM-0150,整形外科,後期高齢,35,1157,11570,672,審査中,10898,0.05808124459809853,0,未回収,claims_styleA_202401.csv
2024-01-18,CLM-0151,小児科,国保,50,4497,44970,4432,支払済み,40538,0.09855459195018902,0,回収済み,claims_styleA_202401.csv
2024-01-03,CLM-0152,外科,後期高齢,28,2363,23630,370,支払済み,23260,0.015658061785865426,0,回収済み,claims_styleA_202401.csv
2024-01-04,CLM-0153,内科,国保,20,2953,29530,118,支払済み,29412,0.003995936335929563,0,回収済み,claims_styleA_202401.csv
2024-01-02,CLM-0154,整形外科,国保,33,4028,40280,596,支払済み,39684,0.014796425024826216,0,回収済み,claims_styleA_202401.csv
2024-01-14,CLM-0155,皮膚科,後期高齢,21,1892,18920,358,支払済み,18562,0.018921775898520083,0,回収済み,claims_styleA_202401.csv
2024-01-13,CLM-0156,皮膚科,後期高齢,25,4576,45760,1172,支払済み,44588,0.025611888111888113,0,回収済み,claims_styleA_202401.csv
2024-01-09,CLM-0157,小児科,国保,10,4311,43110,2356,支払済み,40754,0.05465089306425423,0,回収済み,claims_styleA_202401.csv
2024-01-06,CLM-0158,内科,国保,32,2950,29500,2617,返戈,26883,0.08871186440677967,1,未回収,claims_styleA_202401.csv
2024-01-09,CLM-0159,小児科,国保,22,3651,36510,3495,支払済み,33015,0.09572719802793755,0,回収済み,claims_styleA_202401.csv
2024-01-08,CLM-0160,小児科,後期高齢,32,2923,29230,2864,支払済み,26366,0.09798152582962709,0,回収済み,claims_styleA_202401.csv
2024-01-13,CLM-0161,整形外科,社保,46,901,9010,620,支払済み,8390,0.06881243063263041,0,回収済み,claims_styleB_202401.csv
2024-01-10,CLM-0162,外科,後期高齢,32,2294,22940,778,支払済み,22162,0.03391455972101133,0,回収済み,claims_styleB_202401.csv
2024-01-05,CLM-0163,内科,後期高齢,12,3030,30300,1805,支払済み,28495,0.05957095709570957,0,回収済み,claims_styleB_202401.csv
2024-01-12,CLM-0164,外科,社保,28,3176,31760,3061,支払済み,28699,0.09637909319899245,0,回収済み,claims_styleB_202401.csv
2024-01-07,CLM-0165,外科,後期高齢,33,4848,48480,4110,審査中,44370,0.08477722772277228,0,未回収,claims_styleB_202401.csv
2024-01-06,CLM-0166,整形外科,国保,28,3274,32740,471,支払済み,32269,0.014386072083078802,0,回収済み,claims_styleB_202401.csv
2024-01-03,CLM-0167,外科,社保,35,3496,34960,369,審査中,34591,0.010554919908466819,0,未回収,claims_styleB_202401.csv
2024-01-01,CLM-0168,整形外科,後期高齢,17,4225,42250,3019,支払済み,39231,0.07145562130177514,0,回収済み,claims_styleB_202401.csv
2024-01-09,CLM-0169,皮膚科,国保,50,3543,35430,443,支払済み,34987,0.012503528083545018,0,回収済み,claims_styleB_202401.csv
2024-01-16,CLM-0170,内科,後期高齢,45,3187,31870,2498,支払済み,29372,0.0783809224976467,0,回収済み,claims_styleB_202401.csv
2024-01-03,CLM-0171,小児科,後期高齢,29,3844,38440,477,支払済み,37963,0.01240894901144641,0,回収済み,claims_styleB_202401.csv
2024-01-02,CLM-0172,整形外科,国保,17,1296,12960,480,審査中,12480,0.037037037037037035,0,未回収,claims_styleB_202401.csv
2024-01-05,CLM-0173,小児科,国保,33,4925,49250,3433,支払済み,45817,0.06970558375634518,0,回収済み,claims_styleB_202401.csv
2024-01-05,CLM-0174,小児科,後期高齢,16,4508,45080,3343,審査中,41737,0.07415705412599823,0,未回収,claims_styleB_202401.csv
2024-01-09,CLM-0175,内科,後期高齢,33,2279,22790,1816,支払済み,20974,0.07968407196138658,0,回収済み,claims_styleB_202401.csv
2024-01-08,CLM-0176,整形外科,社保,33,4960,49600,2938,支払済み,46662,0.059233870967741936,0,回収済み,claims_styleB_202401.csv
2024-01-09,CLM-0177,外科,社保,39,1250,12500,434,支払済み,12066,0.03472,0,回収済み,claims_styleB_202401.csv
2024-01-20,CLM-0178,内科,社保,31,2495,24950,515,審査中,24435,0.02064128256513026,0,未回収,claims_styleB_202401.csv
2024-01-07,CLM-0179,内科,後期高齢,23,2269,22690,954,支払済み,21736,0.042044953724107534,0,回収済み,claims_styleB_202401.csv
2024-01-05,CLM-0180,皮膚科,社保,27,1685,16850,266,支払済み,16584,0.01578635014836795,0,回収済み,claims_styleB_202401.csv
2024-01-06,CLM-0181,内科,後期高齢,11,1579,15790,30,支払済み,15760,0.0018999366687777073,0,回収済み,claims_styleB_202401.csv
2024-01-08,CLM-0182,皮膚科,国保,11,1927,19270,543,支払済み,18727,0.02817851582771147,0,回収済み,claims_styleB_202401.csv
2024-01-14,CLM-0183,皮膚科,社保,14,4401,44010,3672,審査中,40338,0.0834355828220859,0,未回収,claims_styleB_202401.csv
2024-01-17,CLM-0184,皮膚科,社保,38,4627,46270,1814,審査中,44456,0.03920466825156689,0,未回収,claims_styleB_202401.csv
2024-01-02,CLM-0185,皮膚科,国保,39,755,7550,62,返戈,7488,0.008211920529801325,1,未回収,claims_styleB_202401.csv
2024-01-13,CLM-0186,小児科,後期高齢,16,4516,45160,3633,支払済み,41527,0.08044729849424269,0,回収済み,claims_styleB_202401.csv
2024-01-03,CLM-0187,整形外科,後期高齢,19,1038,10380,258,支払済み,10122,0.02485549132947977,0,回収済み,claims_styleB_202401.csv
2024-01-19,CLM-0188,皮膚科,後期高齢,30,3620,36200,2446,支払済み,33754,0.06756906077348067,0,回収済み,claims_styleB_202401.csv
2024-01-15,CLM-0189,皮膚科,後期高齢,37,1312,13120,234,審査中,12886,0.017835365853658535,0,未回収,claims_styleB_202401.csv
2024-01-18,CLM-0190,外科,国保,38,2371,23710,1694,支払済み,22016,0.07144664698439478,0,回収済み,claims_styleB_202401.csv
2024-01-15,CLM-0191,小児科,国保,16,3060,30600,1748,支払済み,28852,0.05712418300653595,0,回収済み,claims_styleB_202401.csv
2024-01-09,CLM-0192,整形外科,社保,40,1049,10490,186,審査中,10304,0.01773117254528122,0,未回収,claims_styleB_202401.csv
2024-01-03,CLM-0193,小児科,社保,33,1565,15650,1139,支払済み,14511,0.07277955271565495,0,回収済み,claims_styleB_202401.csv
2024-01-18,CLM-0194,皮膚科,国保,17,3865,38650,1448,審査中,37202,0.037464424320827944,0,未回収,claims_styleB_202401.csv
2024-01-14,CLM-0195,内科,国保,48,3059,30590,1440,支払済み,29150,0.04707420725727362,0,回収済み,claims_styleB_202401.csv
2024-01-17,CLM-0196,外科,社保,40,2337,23370,443,支払済み,22927,0.018955926401369276,0,回収済み,claims_styleB_202401.csv
2024-01-18,CLM-0197,整形外科,社保,27,2352,23520,1757,審査中,21763,0.07470238095238095,0,未回収,claims_styleB_202401.csv
2024-01-20,CLM-0198,皮膚科,後期高齢,45,715,7150,623,審査中,6527,0.08713286713286714,0,未回収,claims_styleB_202401.csv
2024-01-09,CLM-0199,内科,社保,27,3031,30310,1391,支払済み,28919,0.04589244473771033,0,回収済み,claims_styleB_202401.csv
2024-01-06,CLM-0200,外科,後期高齢,35,1070,10700,290,支払済み,10410,0.027102803738317756,0,回収済み,claims_styleB_202401.csv
