日付,品番,品名,分類,売数,在庫,発注点,入荷量,リード日数
2023/11/07,P-C001,Tシャツ L,衣料,5,134,36,0,3
2023/11/08,P-C001,Tシャツ L,衣料,5,129,36,0,3
2023/11/09,P-C001,Tシャツ L,衣料,6,123,36,0,3
2023/11/10,P-C001,Tシャツ L,衣料,8,115,36,0,3
2023/11/11,P-C001,Tシャツ L,衣料,13,102,36,0,3
2023/11/12,P-C001,Tシャツ L,衣料,12,90,36,0,3
2023/11/13,P-C001,Tシャツ L,衣料,6,84,36,0,3
2023/11/14,P-C001,Tシャツ L,衣料,8,76,36,0,3
2023/11/15,P-C001,Tシャツ L,衣料,9,67,36,0,3
2023/11/16,P-C001,Tシャツ L,衣料,8,59,36,0,3
2023/11/17,P-C001,Tシャツ L,衣料,8,51,36,0,3
2023/11/18,P-C001,Tシャツ L,衣料,14,37,36,0,3
2023/11/19,P-C001,Tシャツ L,衣料,10,139,36,112,3
2023/11/20,P-C001,Tシャツ L,衣料,7,132,36,0,3
2023/11/21,P-C001,Tシャツ L,衣料,6,126,36,0,3
2023/11/22,P-C001,Tシャツ L,衣料,5,121,36,0,3
2023/11/23,P-C001,Tシャツ L,衣料,5,116,36,0,3
2023/11/24,P-C001,Tシャツ L,衣料,10,106,36,0,3
2023/11/25,P-C001,Tシャツ L,衣料,10,96,36,0,3
2023/11/26,P-C001,Tシャツ L,衣料,15,81,36,0,3
2023/11/27,P-C001,Tシャツ L,衣料,5,76,36,0,3
2023/11/28,P-C001,Tシャツ L,衣料,4,72,36,0,3
2023/11/29,P-C001,Tシャツ L,衣料,8,64,36,0,3
2023/11/30,P-C001,Tシャツ L,衣料,10,54,36,0,3
2023/12/01,P-C001,Tシャツ L,衣料,9,45,36,0,3
2023/12/02,P-C001,Tシャツ L,衣料,12,145,36,112,3
2023/12/03,P-C001,Tシャツ L,衣料,7,138,36,0,3
2023/12/04,P-C001,Tシャツ L,衣料,5,133,36,0,3
2023/12/05,P-C001,Tシャツ L,衣料,4,129,36,0,3
2023/12/06,P-C001,Tシャツ L,衣料,4,125,36,0,3
2023/12/07,P-C001,Tシャツ L,衣料,7,118,36,0,3
2023/12/08,P-C001,Tシャツ L,衣料,5,113,36,0,3
2023/12/09,P-C001,Tシャツ L,衣料,9,104,36,0,3
2023/12/10,P-C001,Tシャツ L,衣料,9,95,36,0,3
2023/12/11,P-C001,Tシャツ L,衣料,5,90,36,0,3
2023/12/12,P-C001,Tシャツ L,衣料,7,83,36,0,3
2023/12/13,P-C001,Tシャツ L,衣料,7,76,36,0,3
2023/12/14,P-C001,Tシャツ L,衣料,9,67,36,0,3
2023/12/15,P-C001,Tシャツ L,衣料,10,57,36,0,3
2023/12/16,P-C001,Tシャツ L,衣料,13,44,36,0,3
2023/12/17,P-C001,Tシャツ L,衣料,10,146,36,112,3
2023/12/18,P-C001,Tシャツ L,衣料,7,139,36,0,3
2023/12/19,P-C001,Tシャツ L,衣料,7,132,36,0,3
2023/12/20,P-C001,Tシャツ L,衣料,7,125,36,0,3
2023/12/21,P-C001,Tシャツ L,衣料,7,118,36,0,3
2023/12/22,P-C001,Tシャツ L,衣料,8,110,36,0,3
2023/12/23,P-C001,Tシャツ L,衣料,10,100,36,0,3
2023/12/24,P-C001,Tシャツ L,衣料,11,89,36,0,3
2023/12/25,P-C001,Tシャツ L,衣料,6,83,36,0,3
2023/12/26,P-C001,Tシャツ L,衣料,5,78,36,0,3
2023/12/27,P-C001,Tシャツ L,衣料,6,72,36,0,3
2023/12/28,P-C001,Tシャツ L,衣料,5,67,36,0,3
2023/12/29,P-C001,Tシャツ L,衣料,10,57,36,0,3
2023/12/30,P-C001,Tシャツ L,衣料,11,46,36,0,3
2023/12/31,P-C001,Tシャツ L,衣料,9,37,36,0,3
2023/10/01,P-C002,ソックス 3足,衣料,10,101,36,0,3
2023/10/02,P-C002,ソックス 3足,衣料,4,97,36,0,3
2023/10/03,P-C002,ソックス 3足,衣料,8,89,36,0,3
2023/10/04,P-C002,ソックス 3足,衣料,6,83,36,0,3
2023/10/05,P-C002,ソックス 3足,衣料,7,76,36,0,3
2023/10/06,P-C002,ソックス 3足,衣料,9,67,36,0,3
2023/10/07,P-C002,ソックス 3足,衣料,13,54,36,0,3
2023/10/08,P-C002,ソックス 3足,衣料,11,43,36,0,3
2023/10/09,P-C002,ソックス 3足,衣料,5,38,36,0,3
2023/10/10,P-C002,ソックス 3足,衣料,7,143,36,112,3
2023/10/11,P-C002,ソックス 3足,衣料,6,137,36,0,3
2023/10/12,P-C002,ソックス 3足,衣料,11,126,36,0,3
2023/10/13,P-C002,ソックス 3足,衣料,9,117,36,0,3
2023/10/14,P-C002,ソックス 3足,衣料,8,109,36,0,3
2023/10/15,P-C002,ソックス 3足,衣料,11,98,36,0,3
2023/10/16,P-C002,ソックス 3足,衣料,10,88,36,0,3
2023/10/17,P-C002,ソックス 3足,衣料,9,79,36,0,3
2023/10/18,P-C002,ソックス 3足,衣料,10,69,36,0,3
2023/10/19,P-C002,ソックス 3足,衣料,6,63,36,0,3
2023/10/20,P-C002,ソックス 3足,衣料,11,52,36,0,3
2023/10/21,P-C002,ソックス 3足,衣料,10,42,36,0,3
2023/10/22,P-C002,ソックス 3足,衣料,11,143,36,112,3
2023/10/23,P-C002,ソックス 3足,衣料,5,138,36,0,3
2023/10/24,P-C002,ソックス 3足,衣料,5,133,36,0,3
2023/10/25,P-C002,ソックス 3足,衣料,6,127,36,0,3
2023/10/26,P-C002,ソックス 3足,衣料,9,118,36,0,3
2023/10/27,P-C002,ソックス 3足,衣料,10,108,36,0,3
2023/10/28,P-C002,ソックス 3足,衣料,12,96,36,0,3
2023/10/29,P-C002,ソックス 3足,衣料,9,87,36,0,3
2023/10/30,P-C002,ソックス 3足,衣料,6,81,36,0,3
2023/10/31,P-C002,ソックス 3足,衣料,5,76,36,0,3
2023/11/01,P-C002,ソックス 3足,衣料,8,68,36,0,3
2023/11/02,P-C002,ソックス 3足,衣料,9,59,36,0,3
2023/11/03,P-C002,ソックス 3足,衣料,11,48,36,0,3
2023/11/04,P-C002,ソックス 3足,衣料,10,38,36,0,3
2023/11/05,P-C002,ソックス 3足,衣料,6,144,36,112,3
2023/11/06,P-C002,ソックス 3足,衣料,4,140,36,0,3
2023/11/07,P-C002,ソックス 3足,衣料,9,131,36,0,3
2023/11/08,P-C002,ソックス 3足,衣料,6,125,36,0,3
2023/11/09,P-C002,ソックス 3足,衣料,6,119,36,0,3
2023/11/10,P-C002,ソックス 3足,衣料,12,107,36,0,3
2023/11/11,P-C002,ソックス 3足,衣料,14,93,36,0,3
2023/11/12,P-C002,ソックス 3足,衣料,11,82,36,0,3
2023/11/13,P-C002,ソックス 3足,衣料,6,76,36,0,3
2023/11/14,P-C002,ソックス 3足,衣料,6,70,36,0,3
2023/11/15,P-C002,ソックス 3足,衣料,7,63,36,0,3
2023/11/16,P-C002,ソックス 3足,衣料,10,53,36,0,3
2023/11/17,P-C002,ソックス 3足,衣料,10,43,36,0,3
2023/11/18,P-C002,ソックス 3足,衣料,13,142,36,112,3
2023/11/19,P-C002,ソックス 3足,衣料,13,129,36,0,3
2023/11/20,P-C002,ソックス 3足,衣料,5,124,36,0,3
2023/11/21,P-C002,ソックス 3足,衣料,8,116,36,0,3
2023/11/22,P-C002,ソックス 3足,衣料,7,109,36,0,3
2023/11/23,P-C002,ソックス 3足,衣料,3,106,36,0,3
2023/11/24,P-C002,ソックス 3足,衣料,6,100,36,0,3
2023/11/25,P-C002,ソックス 3足,衣料,10,90,36,0,3
2023/11/26,P-C002,ソックス 3足,衣料,12,78,36,0,3
2023/11/27,P-C002,ソックス 3足,衣料,7,71,36,0,3
2023/11/28,P-C002,ソックス 3足,衣料,7,64,36,0,3
2023/11/29,P-C002,ソックス 3足,衣料,10,54,36,0,3
2023/11/30,P-C002,ソックス 3足,衣料,5,49,36,0,3
2023/12/01,P-C002,ソックス 3足,衣料,9,40,36,0,3
2023/12/02,P-C002,ソックス 3足,衣料,12,140,36,112,3
2023/12/03,P-C002,ソックス 3足,衣料,10,130,36,0,3
2023/12/04,P-C002,ソックス 3足,衣料,7,123,36,0,3
2023/12/05,P-C002,ソックス 3足,衣料,4,119,36,0,3
2023/12/06,P-C002,ソックス 3足,衣料,9,110,36,0,3
2023/12/07,P-C002,ソックス 3足,衣料,6,104,36,0,3
2023/12/08,P-C002,ソックス 3足,衣料,12,92,36,0,3
2023/12/09,P-C002,ソックス 3足,衣料,11,81,36,0,3
2023/12/10,P-C002,ソックス 3足,衣料,12,69,36,0,3
2023/12/11,P-C002,ソックス 3足,衣料,7,62,36,0,3
2023/12/12,P-C002,ソックス 3足,衣料,6,56,36,0,3
2023/12/13,P-C002,ソックス 3足,衣料,6,50,36,0,3
2023/12/14,P-C002,ソックス 3足,衣料,8,42,36,0,3
2023/12/15,P-C002,ソックス 3足,衣料,10,144,36,112,3
2023/12/16,P-C002,ソックス 3足,衣料,10,134,36,0,3
2023/12/17,P-C002,ソックス 3足,衣料,10,124,36,0,3
2023/12/18,P-C002,ソックス 3足,衣料,6,118,36,0,3
2023/12/19,P-C002,ソックス 3足,衣料,10,108,36,0,3
2023/12/20,P-C002,ソックス 3足,衣料,7,101,36,0,3
2023/12/21,P-C002,ソックス 3足,衣料,10,91,36,0,3
2023/12/22,P-C002,ソックス 3足,衣料,9,82,36,0,3
2023/12/23,P-C002,ソックス 3足,衣料,12,70,36,0,3
2023/12/24,P-C002,ソックス 3足,衣料,9,61,36,0,3
2023/12/25,P-C002,ソックス 3足,衣料,6,55,36,0,3
2023/12/26,P-C002,ソックス 3足,衣料,7,48,36,0,3
2023/12/27,P-C002,ソックス 3足,衣料,10,38,36,0,3
2023/12/28,P-C002,ソックス 3足,衣料,8,142,36,112,3
2023/12/29,P-C002,ソックス 3足,衣料,11,131,36,0,3
2023/12/30,P-C002,ソックス 3足,衣料,13,118,36,0,3
2023/12/31,P-C002,ソックス 3足,衣料,13,105,36,0,3
2023/10/01,P-C003,インナー M,衣料,10,85,36,0,3
2023/10/02,P-C003,インナー M,衣料,5,80,36,0,3
2023/10/03,P-C003,インナー M,衣料,4,76,36,0,3
2023/10/04,P-C003,インナー M,衣料,11,65,36,0,3
2023/10/05,P-C003,インナー M,衣料,9,56,36,0,3
2023/10/06,P-C003,インナー M,衣料,9,47,36,0,3
2023/10/07,P-C003,インナー M,衣料,14,145,36,112,3
2023/10/08,P-C003,インナー M,衣料,12,133,36,0,3
2023/10/09,P-C003,インナー M,衣料,10,123,36,0,3
2023/10/10,P-C003,インナー M,衣料,4,119,36,0,3
2023/10/11,P-C003,インナー M,衣料,7,112,36,0,3
2023/10/12,P-C003,インナー M,衣料,7,105,36,0,3
2023/10/13,P-C003,インナー M,衣料,6,99,36,0,3
2023/10/14,P-C003,インナー M,衣料,13,86,36,0,3
2023/10/15,P-C003,インナー M,衣料,10,76,36,0,3
2023/10/16,P-C003,インナー M,衣料,8,68,36,0,3
2023/10/17,P-C003,インナー M,衣料,10,58,36,0,3
2023/10/18,P-C003,インナー M,衣料,7,51,36,0,3
2023/10/19,P-C003,インナー M,衣料,7,44,36,0,3
2023/10/20,P-C003,インナー M,衣料,9,147,36,112,3
2023/10/21,P-C003,インナー M,衣料,13,134,36,0,3
2023/10/22,P-C003,インナー M,衣料,10,124,36,0,3
2023/10/23,P-C003,インナー M,衣料,6,118,36,0,3
2023/10/24,P-C003,インナー M,衣料,8,110,36,0,3
2023/10/25,P-C003,インナー M,衣料,8,102,36,0,3
2023/10/26,P-C003,インナー M,衣料,4,98,36,0,3
2023/10/27,P-C003,インナー M,衣料,7,91,36,0,3
2023/10/28,P-C003,インナー M,衣料,14,77,36,0,3
2023/10/29,P-C003,インナー M,衣料,12,65,36,0,3
2023/10/30,P-C003,インナー M,衣料,6,59,36,0,3
2023/10/31,P-C003,インナー M,衣料,6,53,36,0,3
2023/11/01,P-C003,インナー M,衣料,7,46,36,0,3
2023/11/02,P-C003,インナー M,衣料,9,37,36,0,3
2023/11/03,P-C003,インナー M,衣料,7,142,36,112,3
2023/11/04,P-C003,インナー M,衣料,11,131,36,0,3
2023/11/05,P-C003,インナー M,衣料,11,120,36,0,3
2023/11/06,P-C003,インナー M,衣料,7,113,36,0,3
2023/11/07,P-C003,インナー M,衣料,7,106,36,0,3
2023/11/08,P-C003,インナー M,衣料,5,101,36,0,3
2023/11/09,P-C003,インナー M,衣料,8,93,36,0,3
2023/11/10,P-C003,インナー M,衣料,11,82,36,0,3
2023/11/11,P-C003,インナー M,衣料,13,69,36,0,3
2023/11/12,P-C003,インナー M,衣料,11,58,36,0,3
2023/11/13,P-C003,インナー M,衣料,7,51,36,0,3
2023/11/14,P-C003,インナー M,衣料,5,46,36,0,3
2023/11/15,P-C003,インナー M,衣料,7,39,36,0,3
2023/11/16,P-C003,インナー M,衣料,10,141,36,112,3
2023/11/17,P-C003,インナー M,衣料,9,132,36,0,3
2023/11/18,P-C003,インナー M,衣料,11,121,36,0,3
2023/11/19,P-C003,インナー M,衣料,10,111,36,0,3
2023/11/20,P-C003,インナー M,衣料,7,104,36,0,3
2023/11/21,P-C003,インナー M,衣料,6,98,36,0,3
2023/11/22,P-C003,インナー M,衣料,8,90,36,0,3
2023/11/23,P-C003,インナー M,衣料,9,81,36,0,3
2023/11/24,P-C003,インナー M,衣料,11,70,36,0,3
2023/11/25,P-C003,インナー M,衣料,14,56,36,0,3
2023/11/26,P-C003,インナー M,衣料,13,43,36,0,3
2023/11/27,P-C003,インナー M,衣料,6,37,36,0,3
2023/11/28,P-C003,インナー M,衣料,5,144,36,112,3
2023/11/29,P-C003,インナー M,衣料,7,137,36,0,3
2023/11/30,P-C003,インナー M,衣料,7,130,36,0,3
2023/12/01,P-C003,インナー M,衣料,8,122,36,0,3
2023/12/02,P-C003,インナー M,衣料,11,111,36,0,3
2023/12/03,P-C003,インナー M,衣料,11,100,36,0,3
2023/12/04,P-C003,インナー M,衣料,6,94,36,0,3
2023/12/05,P-C003,インナー M,衣料,6,88,36,0,3
2023/12/06,P-C003,インナー M,衣料,9,79,36,0,3
2023/12/07,P-C003,インナー M,衣料,8,71,36,0,3
2023/12/08,P-C003,インナー M,衣料,14,57,36,0,3
2023/12/09,P-C003,インナー M,衣料,13,44,36,0,3
2023/12/10,P-C003,インナー M,衣料,11,145,36,112,3
2023/12/11,P-C003,インナー M,衣料,7,138,36,0,3
2023/12/12,P-C003,インナー M,衣料,7,131,36,0,3
2023/12/13,P-C003,インナー M,衣料,8,123,36,0,3
2023/12/14,P-C003,インナー M,衣料,11,112,36,0,3
2023/12/15,P-C003,インナー M,衣料,8,104,36,0,3
2023/12/16,P-C003,インナー M,衣料,14,90,36,0,3
2023/12/17,P-C003,インナー M,衣料,12,78,36,0,3
2023/12/18,P-C003,インナー M,衣料,5,73,36,0,3
2023/12/19,P-C003,インナー M,衣料,8,65,36,0,3
2023/12/20,P-C003,インナー M,衣料,10,55,36,0,3
2023/12/21,P-C003,インナー M,衣料,7,48,36,0,3
2023/12/22,P-C003,インナー M,衣料,10,38,36,0,3
2023/12/23,P-C003,インナー M,衣料,10,140,36,112,3
2023/12/24,P-C003,インナー M,衣料,10,130,36,0,3
2023/12/25,P-C003,インナー M,衣料,9,121,36,0,3
2023/12/26,P-C003,インナー M,衣料,6,115,36,0,3
2023/12/27,P-C003,インナー M,衣料,6,109,36,0,3
2023/12/28,P-C003,インナー M,衣料,8,101,36,0,3
2023/12/29,P-C003,インナー M,衣料,9,92,36,0,3
2023/12/30,P-C003,インナー M,衣料,12,80,36,0,3
2023/12/31,P-C003,インナー M,衣料,13,67,36,0,3
2023/10/01,P-C004,ハンカチ,衣料,9,89,36,0,3
2023/10/02,P-C004,ハンカチ,衣料,7,82,36,0,3
2023/10/03,P-C004,ハンカチ,衣料,8,74,36,0,3
2023/10/04,P-C004,ハンカチ,衣料,9,65,36,0,3
2023/10/05,P-C004,ハンカチ,衣料,6,59,36,0,3
2023/10/06,P-C004,ハンカチ,衣料,11,48,36,0,3
2023/10/07,P-C004,ハンカチ,衣料,10,38,36,0,3
2023/10/08,P-C004,ハンカチ,衣料,14,136,36,112,3
2023/10/09,P-C004,ハンカチ,衣料,5,131,36,0,3
2023/10/10,P-C004,ハンカチ,衣料,8,123,36,0,3
2023/10/11,P-C004,ハンカチ,衣料,6,117,36,0,3
2023/10/12,P-C004,ハンカチ,衣料,11,106,36,0,3
2023/10/13,P-C004,ハンカチ,衣料,10,96,36,0,3
2023/10/14,P-C004,ハンカチ,衣料,10,86,36,0,3
2023/10/15,P-C004,ハンカチ,衣料,10,76,36,0,3
2023/10/16,P-C004,ハンカチ,衣料,8,68,36,0,3
2023/10/17,P-C004,ハンカチ,衣料,8,60,36,0,3
2023/10/18,P-C004,ハンカチ,衣料,7,53,36,0,3
2023/10/19,P-C004,ハンカチ,衣料,8,45,36,0,3
2023/10/20,P-C004,ハンカチ,衣料,11,146,36,112,3
2023/10/21,P-C004,ハンカチ,衣料,12,134,36,0,3
2023/10/22,P-C004,ハンカチ,衣料,9,125,36,0,3
2023/10/23,P-C004,ハンカチ,衣料,6,119,36,0,3
2023/10/24,P-C004,ハンカチ,衣料,7,112,36,0,3
2023/10/25,P-C004,ハンカチ,衣料,9,103,36,0,3
2023/10/26,P-C004,ハンカチ,衣料,10,93,36,0,3
2023/10/27,P-C004,ハンカチ,衣料,11,82,36,0,3
2023/10/28,P-C004,ハンカチ,衣料,12,70,36,0,3
2023/10/29,P-C004,ハンカチ,衣料,12,58,36,0,3
2023/10/30,P-C004,ハンカチ,衣料,6,52,36,0,3
2023/10/31,P-C004,ハンカチ,衣料,6,46,36,0,3
2023/11/01,P-C004,ハンカチ,衣料,6,40,36,0,3
2023/11/02,P-C004,ハンカチ,衣料,6,146,36,112,3
2023/11/03,P-C004,ハンカチ,衣料,10,136,36,0,3
2023/11/04,P-C004,ハンカチ,衣料,12,124,36,0,3
2023/11/05,P-C004,ハンカチ,衣料,12,112,36,0,3
2023/11/06,P-C004,ハンカチ,衣料,8,104,36,0,3
2023/11/07,P-C004,ハンカチ,衣料,7,97,36,0,3
2023/11/08,P-C004,ハンカチ,衣料,8,89,36,0,3
2023/11/09,P-C004,ハンカチ,衣料,8,81,36,0,3
2023/11/10,P-C004,ハンカチ,衣料,10,71,36,0,3
2023/11/11,P-C004,ハンカチ,衣料,11,60,36,0,3
2023/11/12,P-C004,ハンカチ,衣料,12,48,36,0,3
2023/11/13,P-C004,ハンカチ,衣料,8,40,36,0,3
2023/11/14,P-C004,ハンカチ,衣料,6,146,36,112,3
2023/11/15,P-C004,ハンカチ,衣料,8,138,36,0,3
2023/11/16,P-C004,ハンカチ,衣料,7,131,36,0,3
2023/11/17,P-C004,ハンカチ,衣料,9,122,36,0,3
2023/11/18,P-C004,ハンカチ,衣料,10,112,36,0,3
2023/11/19,P-C004,ハンカチ,衣料,13,99,36,0,3
2023/11/20,P-C004,ハンカチ,衣料,9,90,36,0,3
2023/11/21,P-C004,ハンカチ,衣料,8,82,36,0,3
2023/11/22,P-C004,ハンカチ,衣料,11,71,36,0,3
2023/11/23,P-C004,ハンカチ,衣料,8,63,36,0,3
2023/11/24,P-C004,ハンカチ,衣料,14,49,36,0,3
2023/11/25,P-C004,ハンカチ,衣料,12,37,36,0,3
2023/11/26,P-C004,ハンカチ,衣料,12,137,36,112,3
2023/11/27,P-C004,ハンカチ,衣料,6,131,36,0,3
2023/11/28,P-C004,ハンカチ,衣料,7,124,36,0,3
2023/11/29,P-C004,ハンカチ,衣料,9,115,36,0,3
2023/11/30,P-C004,ハンカチ,衣料,8,107,36,0,3
2023/12/01,P-C004,ハンカチ,衣料,13,94,36,0,3
2023/12/02,P-C004,ハンカチ,衣料,13,81,36,0,3
2023/12/03,P-C004,ハンカチ,衣料,12,69,36,0,3
2023/12/04,P-C004,ハンカチ,衣料,6,63,36,0,3
2023/12/05,P-C004,ハンカチ,衣料,7,56,36,0,3
2023/12/06,P-C004,ハンカチ,衣料,7,49,36,0,3
2023/12/07,P-C004,ハンカチ,衣料,7,42,36,0,3
2023/12/08,P-C004,ハンカチ,衣料,9,145,36,112,3
2023/12/09,P-C004,ハンカチ,衣料,17,128,36,0,3
2023/12/10,P-C004,ハンカチ,衣料,11,117,36,0,3
2023/12/11,P-C004,ハンカチ,衣料,5,112,36,0,3
2023/12/12,P-C004,ハンカチ,衣料,6,106,36,0,3
2023/12/13,P-C004,ハンカチ,衣料,8,98,36,0,3
2023/12/14,P-C004,ハンカチ,衣料,9,89,36,0,3
2023/12/15,P-C004,ハンカチ,衣料,11,78,36,0,3
2023/12/16,P-C004,ハンカチ,衣料,14,64,36,0,3
2023/12/17,P-C004,ハンカチ,衣料,11,53,36,0,3
2023/12/18,P-C004,ハンカチ,衣料,8,45,36,0,3
2023/12/19,P-C004,ハンカチ,衣料,5,40,36,0,3
2023/12/20,P-C004,ハンカチ,衣料,7,145,36,112,3
2023/12/21,P-C004,ハンカチ,衣料,7,138,36,0,3
2023/12/22,P-C004,ハンカチ,衣料,8,130,36,0,3
2023/12/23,P-C004,ハンカチ,衣料,14,116,36,0,3
2023/12/24,P-C004,ハンカチ,衣料,13,103,36,0,3
2023/12/25,P-C004,ハンカチ,衣料,9,94,36,0,3
2023/12/26,P-C004,ハンカチ,衣料,7,87,36,0,3
2023/12/27,P-C004,ハンカチ,衣料,9,78,36,0,3
2023/12/28,P-C004,ハンカチ,衣料,5,73,36,0,3
2023/12/29,P-C004,ハンカチ,衣料,11,62,36,0,3
2023/12/30,P-C004,ハンカチ,衣料,13,49,36,0,3
2023/12/31,P-C004,ハンカチ,衣料,13,36,36,0,3
2023/10/01,P-C005,ベルト,衣料,8,85,36,0,3
2023/10/02,P-C005,ベルト,衣料,6,79,36,0,3
2023/10/03,P-C005,ベルト,衣料,7,72,36,0,3
2023/10/04,P-C005,ベルト,衣料,8,64,36,0,3
2023/10/05,P-C005,ベルト,衣料,5,59,36,0,3
2023/10/06,P-C005,ベルト,衣料,8,51,36,0,3
2023/10/07,P-C005,ベルト,衣料,10,41,36,0,3
2023/10/08,P-C005,ベルト,衣料,10,143,36,112,3
2023/10/09,P-C005,ベルト,衣料,4,139,36,0,3
2023/10/10,P-C005,ベルト,衣料,4,135,36,0,3
2023/10/11,P-C005,ベルト,衣料,6,129,36,0,3
2023/10/12,P-C005,ベルト,衣料,8,121,36,0,3
2023/10/13,P-C005,ベルト,衣料,7,114,36,0,3
2023/10/14,P-C005,ベルト,衣料,11,103,36,0,3
2023/10/15,P-C005,ベルト,衣料,12,91,36,0,3
2023/10/16,P-C005,ベルト,衣料,5,86,36,0,3
2023/10/17,P-C005,ベルト,衣料,6,80,36,0,3
2023/10/18,P-C005,ベルト,衣料,9,71,36,0,3
2023/10/19,P-C005,ベルト,衣料,7,64,36,0,3
2023/10/20,P-C005,ベルト,衣料,8,56,36,0,3
2023/10/21,P-C005,ベルト,衣料,13,43,36,0,3
2023/10/22,P-C005,ベルト,衣料,10,145,36,112,3
2023/10/23,P-C005,ベルト,衣料,8,137,36,0,3
2023/10/24,P-C005,ベルト,衣料,7,130,36,0,3
2023/10/25,P-C005,ベルト,衣料,6,124,36,0,3
2023/10/26,P-C005,ベルト,衣料,8,116,36,0,3
2023/10/27,P-C005,ベルト,衣料,9,107,36,0,3
2023/10/28,P-C005,ベルト,衣料,13,94,36,0,3
2023/10/29,P-C005,ベルト,衣料,10,84,36,0,3
2023/10/30,P-C005,ベルト,衣料,7,77,36,0,3
2023/10/31,P-C005,ベルト,衣料,6,71,36,0,3
2023/11/01,P-C005,ベルト,衣料,8,63,36,0,3
2023/11/02,P-C005,ベルト,衣料,6,57,36,0,3
2023/11/03,P-C005,ベルト,衣料,11,46,36,0,3
2023/11/04,P-C005,ベルト,衣料,12,146,36,112,3
2023/11/05,P-C005,ベルト,衣料,8,138,36,0,3
2023/11/06,P-C005,ベルト,衣料,9,129,36,0,3
2023/11/07,P-C005,ベルト,衣料,10,119,36,0,3
2023/11/08,P-C005,ベルト,衣料,9,110,36,0,3
2023/11/09,P-C005,ベルト,衣料,10,100,36,0,3
2023/11/10,P-C005,ベルト,衣料,9,91,36,0,3
2023/11/11,P-C005,ベルト,衣料,9,82,36,0,3
2023/11/12,P-C005,ベルト,衣料,8,74,36,0,3
2023/11/13,P-C005,ベルト,衣料,7,67,36,0,3
2023/11/14,P-C005,ベルト,衣料,5,62,36,0,3
2023/11/15,P-C005,ベルト,衣料,5,57,36,0,3
2023/11/16,P-C005,ベルト,衣料,7,50,36,0,3
2023/11/17,P-C005,ベルト,衣料,10,40,36,0,3
2023/11/18,P-C005,ベルト,衣料,9,143,36,112,3
2023/11/19,P-C005,ベルト,衣料,10,133,36,0,3
2023/11/20,P-C005,ベルト,衣料,9,124,36,0,3
2023/11/21,P-C005,ベルト,衣料,4,120,36,0,3
2023/11/22,P-C005,ベルト,衣料,8,112,36,0,3
2023/11/23,P-C005,ベルト,衣料,7,105,36,0,3
2023/11/24,P-C005,ベルト,衣料,10,95,36,0,3
2023/11/25,P-C005,ベルト,衣料,13,82,36,0,3
2023/11/26,P-C005,ベルト,衣料,12,70,36,0,3
