delivery_date,delivery_id,delivery_type,area,vehicle_type,delivery_charge,fuel_cost,driver_cost,other_cost,distance_km,total_cost,gross_profit,profit_margin,cost_per_km,margin_grade,source_file
2024-01-14,DLV-0032,大型配送,関西,軽バン,5861,1091,3479,1686,198,6256,-395,-0.06739464255246545,31.595959595959595,低利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0033,同日配送,東海,軽バン,1821,2592,6905,1529,145,11026,-9205,-5.054914881933004,76.04137931034482,低利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0034,同日配送,東北,軽バン,14948,961,3561,1718,27,6240,8708,0.5825528498795826,231.11111111111111,高利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0035,大型配送,関東,4トン,5033,2571,7870,581,168,11022,-5989,-1.189946354063183,65.60714285714286,低利益,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0036,大型配送,東北,4トン,9565,1495,5136,918,181,7549,2016,0.210768426555149,41.70718232044199,普通,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0037,翌日配送,東海,2トン,3144,2951,5457,1436,90,9844,-6700,-2.1310432569974553,109.37777777777778,低利益,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0038,同日配送,九州,4トン,10224,609,3600,1601,64,5810,4414,0.43172926447574334,90.78125,高利益,delivery_cost_styleA_202401.csv
2024-01-17,DLV-0039,翌々日配送,関西,2トン,2127,1200,6027,1083,50,8310,-6183,-2.906911142454161,166.2,低利益,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0040,翌々日配送,東北,4トン,9666,232,7543,1113,179,8888,778,0.08048830953858886,49.6536312849162,低利益,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0041,翌日配送,東海,軽バン,2753,2466,4273,1057,82,7796,-5043,-1.8318198329095532,95.07317073170732,低利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0042,翌日配送,東海,軽バン,12263,2797,5162,1535,135,9494,2769,0.2258011905732692,70.32592592592593,普通,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0043,同日配送,関東,4トン,7939,1333,3361,507,95,5201,2738,0.3448797077717597,54.747368421052634,高利益,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0044,翌々日配送,関西,4トン,8239,2459,6503,1648,12,10610,-2371,-0.2877776429178298,884.1666666666666,低利益,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0045,同日配送,関西,4トン,1590,1712,7771,1631,47,11114,-9524,-5.989937106918239,236.46808510638297,低利益,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0046,翌日配送,関東,2トン,6974,363,5931,930,184,7224,-250,-0.03584743332377402,39.26086956521739,低利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0047,同日配送,東海,4トン,7658,2742,4266,984,51,7992,-334,-0.0436145207626012,156.7058823529412,低利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0048,大型配送,関東,軽バン,13067,1560,6372,1871,198,9803,3264,0.2497895461850463,49.51010101010101,普通,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0049,翌々日配送,関西,4トン,2771,1766,3317,1463,66,6546,-3775,-1.3623240707325874,99.18181818181819,低利益,delivery_cost_styleA_202401.csv
2024-01-07,DLV-0050,大型配送,東海,2トン,14443,1132,4826,548,178,6506,7937,0.5495395693415496,36.550561797752806,高利益,delivery_cost_styleA_202401.csv
2024-01-07,DLV-0051,大型配送,東海,2トン,2137,1343,5876,1813,140,9032,-6895,-3.226485727655592,64.51428571428572,低利益,delivery_cost_styleA_202401.csv
2024-01-13,DLV-0052,翌々日配送,関東,軽バン,5279,931,7756,1043,19,9730,-4451,-0.8431521121424512,512.1052631578947,低利益,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0053,大型配送,東海,4トン,13884,1484,6574,1741,140,9799,4085,0.29422356669547683,69.99285714285715,普通,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0054,大型配送,東北,軽バン,5173,381,6572,503,143,7456,-2283,-0.44132998260197176,52.13986013986014,低利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0055,翌日配送,東海,2トン,2146,2920,5704,1776,90,10400,-8254,-3.8462255358807083,115.55555555555556,低利益,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0056,翌々日配送,東北,2トン,11926,1872,5672,1324,188,8868,3058,0.2564145564313265,47.170212765957444,普通,delivery_cost_styleA_202401.csv
2024-01-10,DLV-0057,翌日配送,関西,2トン,11894,1752,4425,1760,155,7937,3957,0.33268875063057,51.20645161290322,高利益,delivery_cost_styleA_202401.csv
2024-01-10,DLV-0058,大型配送,東北,軽バン,5978,1375,4721,1380,158,7476,-1498,-0.2505854800936768,47.31645569620253,低利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0059,翌々日配送,九州,2トン,8244,2967,4750,1546,131,9263,-1019,-0.12360504609412906,70.70992366412214,低利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0060,同日配送,東海,4トン,11876,2792,5745,691,70,9228,2648,0.22297069720444593,131.82857142857142,普通,delivery_cost_styleA_202401.csv
2024-01-10,DLV-0061,翌日配送,関西,軽バン,1400,389,5005,1473,166,6867,-5467,-3.905,41.36746987951807,低利益,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0062,大型配送,九州,4トン,10431,996,6145,1512,112,8653,1778,0.17045345604448278,77.25892857142857,普通,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0063,翌日配送,関東,軽バン,13753,1941,4792,860,188,7593,6160,0.44790227586708353,40.388297872340424,高利益,delivery_cost_styleA_202401.csv
2024-01-17,DLV-0064,大型配送,関東,4トン,5082,697,6739,773,128,8209,-3127,-0.6153089334907517,64.1328125,低利益,delivery_cost_styleA_202401.csv
2024-01-17,DLV-0065,翌々日配送,九州,4トン,14353,2267,6495,1622,124,10384,3969,0.27652755521493766,83.74193548387096,普通,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0066,大型配送,九州,2トン,13317,1212,5271,1567,134,8050,5267,0.3955094991364421,60.07462686567164,高利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0067,翌々日配送,九州,軽バン,12690,1370,4920,1056,95,7346,5344,0.4211189913317573,77.32631578947368,高利益,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0068,同日配送,関西,軽バン,4788,1768,4251,1946,64,7965,-3177,-0.6635338345864662,124.453125,低利益,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0069,大型配送,九州,2トン,9890,2108,6406,627,62,9141,749,0.07573306370070779,147.43548387096774,低利益,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0070,大型配送,東北,4トン,1320,2558,6116,1476,11,10150,-8830,-6.6893939393939394,922.7272727272727,低利益,delivery_cost_styleA_202401.csv
2024-01-12,DLV-0071,翌々日配送,九州,2トン,9818,2436,7941,951,134,11328,-1510,-0.15379914442860054,84.53731343283582,低利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0072,翌々日配送,九州,2トン,1475,1792,5753,1869,183,9414,-7939,-5.382372881355932,51.442622950819676,低利益,delivery_cost_styleA_202401.csv
2024-01-13,DLV-0073,翌日配送,九州,軽バン,11195,2387,3220,1306,161,6913,4282,0.38249218401071905,42.93788819875776,高利益,delivery_cost_styleA_202401.csv
2024-01-19,DLV-0074,同日配送,関東,4トン,8022,755,6782,872,22,8409,-387,-0.04824233358264772,382.22727272727275,低利益,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0075,大型配送,東海,軽バン,8449,1538,5764,1276,81,8578,-129,-0.01526807906261096,105.90123456790124,低利益,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0076,翌々日配送,関東,2トン,1317,2409,3426,1216,67,7051,-5734,-4.353834472285497,105.23880597014926,低利益,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0077,同日配送,関東,軽バン,4266,283,4248,988,42,5519,-1253,-0.2937177684013127,131.4047619047619,低利益,delivery_cost_styleA_202401.csv
2024-01-16,DLV-0078,同日配送,東北,軽バン,8619,1249,6021,843,165,8113,506,0.05870750667130758,49.16969696969697,低利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0079,同日配送,関西,2トン,2771,2570,3210,1138,157,6918,-4147,-1.4965716347888849,44.06369426751592,低利益,delivery_cost_styleA_202401.csv
2024-01-13,DLV-0080,大型配送,関西,軽バン,10700,2769,4989,708,188,8466,2234,0.20878504672897197,45.03191489361702,普通,delivery_cost_styleA_202401.csv
2024-01-10,DLV-0081,同日配送,東北,軽バン,6688,2382,6509,1854,104,10745,-4057,-0.6066088516746412,103.3173076923077,低利益,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0082,翌々日配送,関東,2トン,14473,2207,3864,1387,102,7458,7015,0.48469564015753475,73.11764705882354,高利益,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0083,翌日配送,九州,軽バン,13022,2337,5212,1761,147,9310,3712,0.28505605897711567,63.333333333333336,普通,delivery_cost_styleA_202401.csv
2024-01-16,DLV-0084,大型配送,九州,4トン,10707,1299,5640,1002,32,7941,2766,0.258335668254413,248.15625,普通,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0085,大型配送,関西,2トン,10336,2699,6104,1188,17,9991,345,0.03337848297213622,587.7058823529412,低利益,delivery_cost_styleA_202401.csv
2024-01-16,DLV-0086,翌々日配送,関西,2トン,4475,1653,5116,1197,81,7966,-3491,-0.7801117318435754,98.34567901234568,低利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0087,翌々日配送,東北,軽バン,9464,982,3701,994,194,5677,3787,0.40014792899408286,29.262886597938145,高利益,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0088,大型配送,東北,軽バン,12314,2150,7020,1417,14,10587,1727,0.14024687347734285,756.2142857142857,普通,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0089,翌々日配送,関西,2トン,12334,1196,5508,1859,158,8563,3771,0.3057402302578239,54.19620253164557,高利益,delivery_cost_styleA_202401.csv
2024-01-12,DLV-0090,大型配送,東北,4トン,6632,1942,7508,1177,100,10627,-3995,-0.6023823884197829,106.27,低利益,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0091,翌々日配送,東海,2トン,4777,694,4577,1146,40,6417,-1640,-0.3433117019049613,160.425,低利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0092,翌日配送,関西,軽バン,13101,2183,5265,1983,160,9431,3670,0.28013128768796275,58.94375,普通,delivery_cost_styleA_202401.csv
2024-01-17,DLV-0093,翌々日配送,関東,軽バン,5853,1131,5956,867,87,7954,-2101,-0.35896121647018625,91.42528735632185,低利益,delivery_cost_styleA_202401.csv
2024-01-01,DLV-0094,翌日配送,東海,軽バン,1893,2466,5393,1928,42,9787,-7894,-4.1701003697834125,233.02380952380952,低利益,delivery_cost_styleA_202401.csv
2024-01-16,DLV-0095,同日配送,関東,4トン,5658,2122,6921,1402,97,10445,-4787,-0.8460586779780841,107.68041237113403,低利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0096,同日配送,東海,2トン,2869,467,6282,1507,28,8256,-5387,-1.8776577204600906,294.85714285714283,低利益,delivery_cost_styleA_202401.csv
2024-01-19,DLV-0097,同日配送,関西,軽バン,14289,2505,5489,674,73,8668,5621,0.3933795227097768,118.73972602739725,高利益,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0098,大型配送,東北,4トン,13955,2733,4848,1570,107,9151,4804,0.34424937298459335,85.5233644859813,高利益,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0099,大型配送,東海,4トン,8025,1450,7658,1771,25,10879,-2854,-0.3556386292834891,435.16,低利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0100,同日配送,関西,4トン,4457,1283,3665,821,71,5769,-1312,-0.294368409243886,81.25352112676056,低利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0101,同日配送,関西,軽バン,7693,2045,7864,1462,84,11371,-3678,-0.4780969712725855,135.36904761904762,低利益,delivery_cost_styleA_202401.csv
2024-01-02,DLV-0102,翌日配送,東海,4トン,5632,2059,3583,1907,69,7549,-1917,-0.34037642045454547,109.40579710144928,低利益,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0103,翌日配送,九州,軽バン,9922,1120,4220,1044,46,6384,3538,0.3565813344083854,138.7826086956522,高利益,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0104,同日配送,関西,2トン,10749,2531,5364,1399,41,9294,1455,0.13536142897013675,226.6829268292683,普通,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0105,翌々日配送,九州,2トン,9199,2411,7045,1396,30,10852,-1653,-0.17969344493966735,361.73333333333335,低利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0106,同日配送,九州,4トン,6280,2672,5051,552,33,8275,-1995,-0.3176751592356688,250.75757575757575,低利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0107,同日配送,東海,4トン,1659,917,6854,1562,176,9333,-7674,-4.625678119349005,53.02840909090909,低利益,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0108,翌々日配送,関西,4トン,8141,2800,7028,686,130,10514,-2373,-0.29148753224419605,80.87692307692308,低利益,delivery_cost_styleA_202401.csv
2024-01-12,DLV-0109,大型配送,東海,2トン,11979,628,4317,1175,115,6120,5859,0.48910593538692715,53.21739130434783,高利益,delivery_cost_styleA_202401.csv
2024-01-16,DLV-0110,翌々日配送,九州,4トン,1601,2062,3721,1144,74,6927,-5326,-3.326670830730793,93.60810810810811,低利益,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0111,同日配送,九州,4トン,14515,204,7444,1446,115,9094,5421,0.37347571477781605,79.07826086956521,高利益,delivery_cost_styleA_202401.csv
2024-01-02,DLV-0112,翌日配送,東北,2トン,11201,2241,6621,605,62,9467,1734,0.15480760646370859,152.69354838709677,普通,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0113,翌日配送,東海,2トン,12440,2185,3994,559,171,6738,5702,0.45836012861736336,39.40350877192982,高利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0114,翌日配送,関西,2トン,10024,256,7524,1335,33,9115,909,0.09068236233040702,276.2121212121212,低利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0115,同日配送,九州,軽バン,11612,830,7082,1967,84,9879,1733,0.14924216327936618,117.60714285714286,普通,delivery_cost_styleA_202401.csv
2024-01-17,DLV-0116,翌々日配送,九州,2トン,8736,1198,6741,1628,47,9567,-831,-0.09512362637362637,203.5531914893617,低利益,delivery_cost_styleA_202401.csv
2024-01-13,DLV-0117,翌日配送,東北,4トン,13227,759,3571,1065,116,5395,7832,0.5921221743403644,46.508620689655174,高利益,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0118,翌々日配送,関東,2トン,12895,1422,7808,1687,178,10917,1978,0.15339278790228772,61.331460674157306,普通,delivery_cost_styleA_202401.csv
2024-01-16,DLV-0119,翌日配送,九州,4トン,8935,1613,5723,1630,149,8966,-31,-0.0034695019585898154,60.1744966442953,低利益,delivery_cost_styleA_202401.csv
2024-01-13,DLV-0120,大型配送,東海,軽バン,12427,1178,7684,1284,69,10146,2281,0.18355194334915909,147.04347826086956,普通,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0121,同日配送,東海,4トン,8749,1761,6162,1859,176,9782,-1033,-0.1180706366441879,55.57954545454545,低利益,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0122,大型配送,関東,軽バン,9229,2617,5719,705,122,9041,188,0.020370571026113338,74.10655737704919,低利益,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0123,大型配送,関東,4トン,3361,1879,4264,653,130,6796,-3435,-1.0220172567688188,52.276923076923076,低利益,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0124,翌々日配送,東北,4トン,7512,2861,3657,1172,182,7690,-178,-0.02369542066027689,42.252747252747255,低利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0125,大型配送,東海,4トン,12775,2198,7432,573,168,10203,2572,0.2013307240704501,60.732142857142854,普通,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0126,翌日配送,東海,軽バン,13235,570,6555,701,172,7826,5409,0.4086890819795995,45.5,高利益,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0127,大型配送,関西,4トン,5906,318,3376,1164,24,4858,1048,0.17744666440907553,202.41666666666666,普通,delivery_cost_styleA_202401.csv
2024-01-10,DLV-0128,翌々日配送,東海,2トン,3385,1200,7351,1343,154,9894,-6509,-1.9228951255539144,64.24675324675324,低利益,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0129,翌日配送,関西,軽バン,10985,1766,4972,1519,159,8257,2728,0.24833864360491578,51.930817610062896,普通,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0130,翌日配送,九州,4トン,5161,2082,5091,1865,12,9038,-3877,-0.7512110056190661,753.1666666666666,低利益,delivery_cost_styleA_202401.csv
2024-01-15,DLV-0131,翌々日配送,東北,軽バン,2210,2009,5830,1703,86,9542,-7332,-3.3176470588235296,110.95348837209302,低利益,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0132,翌々日配送,九州,2トン,4263,1775,6958,718,70,9451,-5188,-1.2169833450621628,135.0142857142857,低利益,delivery_cost_styleA_202401.csv
2024-01-13,DLV-0133,翌々日配送,東北,2トン,12456,1409,3179,1848,111,6436,6020,0.4833012202954399,57.98198198198198,高利益,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0134,同日配送,東北,4トン,13751,400,7967,1517,83,9884,3867,0.28121591157006764,119.08433734939759,普通,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0135,翌々日配送,関西,4トン,4115,2743,5053,1888,194,9684,-5569,-1.3533414337788578,49.91752577319588,低利益,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0136,同日配送,関東,2トン,13920,2005,3273,1686,103,6964,6956,0.49971264367816093,67.6116504854369,高利益,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0137,同日配送,東海,2トン,13246,1901,4438,911,43,7250,5996,0.45266495545825153,168.6046511627907,高利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0138,翌々日配送,東北,4トン,5465,873,5105,1486,85,7464,-1999,-0.3657822506861848,87.81176470588235,低利益,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0139,同日配送,九州,軽バン,3306,1124,6255,1641,103,9020,-5714,-1.7283726557773744,87.57281553398059,低利益,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0140,大型配送,関東,2トン,9791,706,6725,1254,182,8685,1106,0.11296088244305995,47.71978021978022,普通,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0141,大型配送,東海,軽バン,12056,1157,6862,551,168,8570,3486,0.2891506303915063,51.01190476190476,普通,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0142,翌々日配送,東北,軽バン,11611,458,6803,1935,87,9196,2415,0.20799242098010506,105.70114942528735,普通,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0143,同日配送,関西,軽バン,1609,1446,7035,737,34,9218,-7609,-4.729024238657551,271.11764705882354,低利益,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0144,翌日配送,九州,2トン,7078,2946,7425,1358,160,11729,-4651,-0.6571065272675897,73.30625,低利益,delivery_cost_styleA_202401.csv
2024-01-05,DLV-0145,大型配送,関東,2トン,11086,1871,5291,567,186,7729,3357,0.30281436045462745,41.553763440860216,高利益,delivery_cost_styleA_202401.csv
2024-01-12,DLV-0146,翌日配送,九州,2トン,4868,1685,3813,1904,104,7402,-2534,-0.5205423171733772,71.17307692307692,低利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0147,翌々日配送,関東,2トン,5520,977,4000,1431,33,6408,-888,-0.1608695652173913,194.1818181818182,低利益,delivery_cost_styleA_202401.csv
2024-01-07,DLV-0148,同日配送,関東,2トン,4990,715,7625,920,27,9260,-4270,-0.8557114228456913,342.962962962963,低利益,delivery_cost_styleA_202401.csv
2024-01-18,DLV-0149,翌日配送,東北,軽バン,14321,1154,5691,802,162,7647,6674,0.46602890859576845,47.2037037037037,高利益,delivery_cost_styleA_202401.csv
2024-01-01,DLV-0150,翌々日配送,関西,軽バン,9850,1226,4429,725,179,6380,3470,0.3522842639593909,35.642458100558656,高利益,delivery_cost_styleA_202401.csv
2024-01-01,DLV-0151,翌日配送,関東,2トン,13943,1174,7823,1163,14,10160,3783,0.2713189414042889,725.7142857142857,普通,delivery_cost_styleA_202401.csv
2024-01-06,DLV-0152,翌々日配送,関東,軽バン,13152,1924,7309,732,200,9965,3187,0.2423205596107056,49.825,普通,delivery_cost_styleA_202401.csv
2024-01-03,DLV-0153,大型配送,九州,2トン,9408,2631,3893,1425,138,7949,1459,0.15508078231292516,57.60144927536232,普通,delivery_cost_styleA_202401.csv
2024-01-08,DLV-0154,同日配送,東北,2トン,8504,2835,3255,624,132,6714,1790,0.21048918156161806,50.86363636363637,普通,delivery_cost_styleA_202401.csv
2024-01-13,DLV-0155,大型配送,関東,2トン,12671,2016,3602,665,92,6283,6388,0.5041433193907348,68.29347826086956,高利益,delivery_cost_styleA_202401.csv
2024-01-20,DLV-0156,翌日配送,関東,軽バン,5505,2757,7795,1623,192,12175,-6670,-1.2116257947320617,63.411458333333336,低利益,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0157,大型配送,東北,4トン,5831,2058,7141,1739,120,10938,-5107,-0.8758360487051964,91.15,低利益,delivery_cost_styleA_202401.csv
2024-01-04,DLV-0158,同日配送,東北,4トン,4522,1961,6699,967,115,9627,-5105,-1.1289252543122512,83.71304347826087,低利益,delivery_cost_styleA_202401.csv
2024-01-11,DLV-0159,大型配送,九州,2トン,12953,589,5560,1374,90,7523,5430,0.4192079055045163,83.58888888888889,高利益,delivery_cost_styleA_202401.csv
2024-01-09,DLV-0160,翌々日配送,関西,4トン,8770,474,3747,674,33,4895,3875,0.4418472063854048,148.33333333333334,高利益,delivery_cost_styleA_202401.csv
2024-01-14,DLV-0161,同日配送,東海,軽バン,10115,445,7804,1650,153,9899,216,0.021354424122590213,64.69934640522875,低利益,delivery_cost_styleB_202401.csv
2024-01-11,DLV-0162,同日配送,九州,2トン,11900,1932,3421,1089,163,6442,5458,0.45865546218487396,39.52147239263804,高利益,delivery_cost_styleB_202401.csv
2024-01-10,DLV-0163,翌々日配送,関東,4トン,9313,1071,4267,1844,133,7182,2131,0.22881992913132182,54.0,普通,delivery_cost_styleB_202401.csv
