contract_no,customer_code,insurance_type,start_date,end_date,annual_premium,agent_name,days_to_expiry,renewal_status,contract_years,source_file
CN-2024000137,CUST-034,医療保険,2018-09-18,2023-09-17,1897269.0,高橋,-137,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000138,CUST-062,損害保険,2023-03-11,2024-03-10,1205193.0,鈴木,38,警告,1.0,01_契約データ_A_202401.csv
CN-2024000139,CUST-058,生命保険,2022-07-07,2023-07-07,296344.0,高橋,-209,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000140,CUST-075,医療保険,2020-03-13,2024-03-12,1800542.0,高橋,40,警告,4.0,01_契約データ_A_202401.csv
CN-2024000141,CUST-117,損害保険,2022-02-16,2024-02-16,449738.0,高橋,15,緊急,2.0,01_契約データ_A_202401.csv
CN-2024000142,CUST-018,医療保険,2023-10-05,2025-10-04,762770.0,高橋,611,正常,2.0,01_契約データ_A_202401.csv
CN-2024000143,CUST-001,医療保険,2022-10-04,2025-10-03,1806314.0,鈴木,610,正常,3.0,01_契約データ_A_202401.csv
CN-2024000144,CUST-039,年金保険,2020-04-15,2024-04-14,1065737.0,伊藤,73,警告,4.0,01_契約データ_A_202401.csv
CN-2024000145,CUST-097,年金保険,2019-02-19,2024-02-18,1873686.0,鈴木,17,緊急,5.0,01_契約データ_A_202401.csv
CN-2024000146,CUST-147,年金保険,2021-02-08,2023-02-08,1845189.0,佐藤,-358,期限切れ,2.0,01_契約データ_A_202401.csv
CN-2024000147,CUST-122,年金保険,2021-03-06,2024-03-05,1441856.0,高橋,33,警告,3.0,01_契約データ_A_202401.csv
CN-2024000148,CUST-127,生命保険,2022-04-14,2024-04-13,1103380.0,佐藤,72,警告,2.0,01_契約データ_A_202401.csv
CN-2024000149,CUST-113,生命保険,2024-04-06,2025-04-06,1959334.0,伊藤,430,正常,1.0,01_契約データ_A_202401.csv
CN-2024000150,CUST-105,損害保険,2022-02-24,2024-02-24,1034593.0,田中,23,緊急,2.0,01_契約データ_A_202401.csv
CN-2024000151,CUST-102,生命保険,2021-03-20,2024-03-19,1837489.0,鈴木,47,警告,3.0,01_契約データ_A_202401.csv
CN-2024000152,CUST-082,年金保険,2020-04-07,2024-04-06,125285.0,伊藤,65,警告,4.0,01_契約データ_A_202401.csv
CN-2024000153,CUST-059,生命保険,2021-03-19,2024-03-18,256450.0,高橋,46,警告,3.0,01_契約データ_A_202401.csv
CN-2024000154,CUST-114,損害保険,2023-04-18,2024-04-17,1944617.0,鈴木,76,警告,1.0,01_契約データ_A_202401.csv
CN-2024000155,CUST-076,医療保険,2022-08-18,2023-08-18,953215.0,鈴木,-167,期限切れ,1.0,01_契約データ_A_202401.csv
CN-2024000156,CUST-145,損害保険,2019-05-06,2023-05-05,417147.0,佐藤,-272,期限切れ,4.0,01_契約データ_A_202401.csv
CN-2024000157,CUST-062,年金保険,2018-07-21,2023-07-20,350139.0,伊藤,-196,期限切れ,5.0,01_契約データ_A_202401.csv
CN-2024000158,CUST-118,医療保険,2020-03-11,2023-03-11,1935147.0,田中,-327,期限切れ,3.0,01_契約データ_A_202401.csv
CN-2024000159,CUST-041,生命保険,2020-02-22,2025-02-20,774703.0,高橋,385,正常,5.0,01_契約データ_A_202401.csv
CN-2024000160,CUST-065,年金保険,2021-03-05,2025-03-04,467788.0,鈴木,397,正常,4.0,01_契約データ_A_202401.csv
CON000161,CUST-061,年金保険,2024-09-08,2025-09-08,802791.0,伊藤,585,正常,1.0,02_contract_data_B_202401.csv
CON000162,CUST-006,年金保険,2021-04-17,2024-04-16,66982.0,鈴木,75,警告,3.0,02_contract_data_B_202401.csv
CON000163,CUST-128,医療保険,2023-04-16,2024-04-15,1323107.0,佐藤,74,警告,1.0,02_contract_data_B_202401.csv
CON000164,CUST-065,損害保険,2022-12-13,2024-12-12,1944574.0,田中,315,正常,2.0,02_contract_data_B_202401.csv
CON000165,CUST-113,生命保険,2021-03-06,2024-03-05,815169.0,伊藤,33,警告,3.0,02_contract_data_B_202401.csv
CON000166,CUST-084,年金保険,2021-03-09,2024-03-08,471097.0,佐藤,36,警告,3.0,02_contract_data_B_202401.csv
CON000167,CUST-136,医療保険,2020-04-30,2023-04-30,588905.0,佐藤,-277,期限切れ,3.0,02_contract_data_B_202401.csv
CON000168,CUST-087,生命保険,2022-09-08,2025-09-07,207914.0,高橋,584,正常,3.0,02_contract_data_B_202401.csv
CON000169,CUST-143,医療保険,2019-10-09,2023-10-08,1708180.0,田中,-116,期限切れ,4.0,02_contract_data_B_202401.csv
CON000170,CUST-032,年金保険,2019-02-10,2024-02-09,1461023.0,鈴木,8,緊急,5.0,02_contract_data_B_202401.csv
CON000171,CUST-098,医療保険,2019-03-21,2024-03-19,1465234.0,田中,47,警告,5.0,02_contract_data_B_202401.csv
CON000172,CUST-144,医療保険,2019-01-20,2024-01-19,514240.0,伊藤,-13,期限切れ,5.0,02_contract_data_B_202401.csv
CON000173,CUST-078,年金保険,2020-04-13,2024-04-12,343133.0,田中,71,警告,4.0,02_contract_data_B_202401.csv
CON000174,CUST-127,生命保険,2021-01-12,2024-01-12,542411.0,田中,-20,期限切れ,3.0,02_contract_data_B_202401.csv
CON000175,CUST-117,医療保険,2020-09-18,2024-09-17,928972.0,伊藤,229,正常,4.0,02_contract_data_B_202401.csv
CON000176,CUST-107,生命保険,2022-04-19,2024-04-18,1341116.0,高橋,77,警告,2.0,02_contract_data_B_202401.csv
CON000177,CUST-009,医療保険,2021-03-03,2024-03-02,979841.0,佐藤,30,緊急,3.0,02_contract_data_B_202401.csv
CON000178,CUST-026,医療保険,2021-02-08,2024-02-08,1940994.0,伊藤,7,緊急,3.0,02_contract_data_B_202401.csv
CON000179,CUST-102,医療保険,2024-05-04,2025-05-04,306187.0,佐藤,458,正常,1.0,02_contract_data_B_202401.csv
CON000180,CUST-055,生命保険,2024-08-10,2025-08-10,1700027.0,田中,556,正常,1.0,02_contract_data_B_202401.csv
CON000181,CUST-053,生命保険,2019-02-06,2024-02-05,484440.0,伊藤,4,緊急,5.0,02_contract_data_B_202401.csv
CON000182,CUST-085,損害保険,2022-04-25,2024-04-24,55946.0,伊藤,83,警告,2.0,02_contract_data_B_202401.csv
CON000183,CUST-139,医療保険,2021-11-18,2023-11-18,280532.0,佐藤,-75,期限切れ,2.0,02_contract_data_B_202401.csv
CON000184,CUST-004,医療保険,2022-03-05,2024-03-04,1284914.0,佐藤,32,警告,2.0,02_contract_data_B_202401.csv
CON000185,CUST-014,損害保険,2021-02-06,2024-02-06,1153281.0,高橋,5,緊急,3.0,02_contract_data_B_202401.csv
CON000186,CUST-115,医療保険,2019-12-31,2023-12-30,1295007.0,伊藤,-33,期限切れ,4.0,02_contract_data_B_202401.csv
CON000187,CUST-012,医療保険,2021-05-19,2023-05-19,1399183.0,高橋,-258,期限切れ,2.0,02_contract_data_B_202401.csv
CON000188,CUST-103,年金保険,2020-07-04,2024-07-03,1078168.0,田中,153,正常,4.0,02_contract_data_B_202401.csv
CON000189,CUST-021,医療保険,2023-04-01,2024-03-31,361078.0,伊藤,59,警告,1.0,02_contract_data_B_202401.csv
CON000190,CUST-150,医療保険,2018-09-14,2023-09-13,1302821.0,高橋,-141,期限切れ,5.0,02_contract_data_B_202401.csv
CON000191,CUST-111,生命保険,2019-02-16,2024-02-15,1838435.0,田中,14,緊急,5.0,02_contract_data_B_202401.csv
CON000192,CUST-056,年金保険,2019-04-30,2024-04-28,1912461.0,高橋,87,警告,5.0,02_contract_data_B_202401.csv
CON000193,CUST-103,年金保険,2019-08-12,2023-08-11,705461.0,田中,-174,期限切れ,4.0,02_contract_data_B_202401.csv
CON000194,CUST-096,損害保険,2021-02-22,2024-02-22,190788.0,高橋,21,緊急,3.0,02_contract_data_B_202401.csv
CON000195,CUST-111,生命保険,2022-12-19,2023-12-19,1752403.0,鈴木,-44,期限切れ,1.0,02_contract_data_B_202401.csv
CON000196,CUST-144,医療保険,2019-01-02,2024-01-01,911528.0,田中,-31,期限切れ,5.0,02_contract_data_B_202401.csv
CON000197,CUST-014,医療保険,2020-02-23,2024-02-22,705252.0,伊藤,21,緊急,4.0,02_contract_data_B_202401.csv
CON000198,CUST-055,損害保険,2019-02-20,2024-02-19,520275.0,高橋,18,緊急,5.0,02_contract_data_B_202401.csv
CON000199,CUST-095,生命保険,2020-04-26,2025-04-25,1253974.0,鈴木,449,正常,5.0,02_contract_data_B_202401.csv
CON000200,CUST-143,生命保険,2018-06-27,2023-06-26,1998430.0,伊藤,-220,期限切れ,5.0,02_contract_data_B_202401.csv
CON000201,CUST-008,損害保険,2021-04-17,2024-04-16,1523666.0,鈴木,75,警告,3.0,02_contract_data_B_202401.csv
CON000202,CUST-090,生命保険,2021-05-01,2024-04-30,1874234.0,佐藤,89,警告,3.0,02_contract_data_B_202401.csv
CON000203,CUST-018,損害保険,2019-03-02,2023-03-01,242429.0,田中,-337,期限切れ,4.0,02_contract_data_B_202401.csv
CON000204,CUST-108,年金保険,2020-03-17,2024-03-16,380111.0,鈴木,44,警告,4.0,02_contract_data_B_202401.csv
CON000205,CUST-146,生命保険,2021-02-24,2024-02-24,376274.0,田中,23,緊急,3.0,02_contract_data_B_202401.csv
