入館日,予約ID,部屋種別,泊数,宿泊者数,料金,状態,解約理由
2024/01/09,RES-0393,ダブル,3,4,35000,宿泊済み,
2024/01/18,RES-0394,ダブル,5,1,39000,キャンセル,他のホテルに変更
2024/01/02,RES-0395,スイート,2,3,58000,宿泊済み,
2024/01/09,RES-0396,ダブル,3,1,32000,キャンセル,他のホテルに変更
2024/01/18,RES-0397,ツイン,5,2,23000,キャンセル,料金が高い
2024/01/08,RES-0398,ツイン,5,1,33000,宿泊済み,
2024/01/08,RES-0399,ツイン,5,1,22000,キャンセル,予定変更
2024/01/16,RES-0400,シングル,3,4,19000,キャンセル,予定変更
2024/01/14,RES-0401,ツイン,5,1,20000,宿泊済み,
2024/01/11,RES-0402,スイート,2,4,58000,キャンセル,料金が高い
2024/01/18,RES-0403,シングル,5,1,11000,宿泊済み,
2024/01/02,RES-0404,シングル,4,2,10000,キャンセル,他のホテルに変更
2024/01/01,RES-0405,スイート,3,2,42000,宿泊済み,
2024/01/15,RES-0406,ダブル,3,1,27000,キャンセル,天候不良
2024/01/09,RES-0407,スイート,5,2,69000,宿泊済み,
2024/01/15,RES-0408,ツイン,3,1,20000,宿泊済み,
2024/01/10,RES-0409,ダブル,1,2,28000,キャンセル,天候不良
2024/01/13,RES-0410,ツイン,5,2,35000,宿泊済み,
2024/01/04,RES-0411,スイート,1,3,65000,宿泊済み,
2024/01/08,RES-0412,ツイン,4,2,25000,ノーショウ,予定変更
2024/01/09,RES-0413,ダブル,2,4,32000,ノーショウ,料金が高い
2024/01/12,RES-0414,ダブル,3,1,38000,宿泊済み,
2024/01/10,RES-0415,ツイン,1,1,29000,宿泊済み,
2024/01/04,RES-0416,ツイン,5,4,24000,宿泊済み,
2024/01/08,RES-0417,ダブル,5,3,25000,宿泊済み,
2024/01/20,RES-0418,ツイン,2,4,29000,宿泊済み,
2024/01/18,RES-0419,ダブル,5,4,33000,宿泊済み,
2024/01/17,RES-0420,ツイン,5,2,17000,キャンセル,他のホテルに変更
2024/01/02,RES-0421,ダブル,5,1,21000,キャンセル,天候不良
2024/01/17,RES-0422,ツイン,2,2,25000,キャンセル,他のホテルに変更
2024/01/03,RES-0423,シングル,5,2,15000,宿泊済み,
2024/01/17,RES-0424,スイート,4,1,48000,宿泊済み,
2024/01/18,RES-0425,スイート,5,4,43000,宿泊済み,
2024/01/09,RES-0426,スイート,1,3,65000,宿泊済み,
2024/01/02,RES-0427,シングル,5,2,9000,宿泊済み,
2024/01/02,RES-0428,スイート,1,3,74000,キャンセル,予定変更
2024/01/06,RES-0429,スイート,3,1,66000,宿泊済み,
2024/01/15,RES-0430,ツイン,3,4,27000,宿泊済み,
2024/01/05,RES-0431,スイート,1,4,74000,宿泊済み,
2024/01/13,RES-0432,ダブル,2,1,35000,キャンセル,天候不良
2024/01/10,RES-0433,ツイン,1,2,15000,宿泊済み,
2024/01/08,RES-0434,スイート,5,4,64000,宿泊済み,
2024/01/09,RES-0435,ツイン,3,4,19000,宿泊済み,
2024/01/20,RES-0436,ツイン,1,1,28000,宿泊済み,
2024/01/04,RES-0437,シングル,2,2,9000,宿泊済み,
2024/01/02,RES-0438,シングル,5,4,18000,キャンセル,体調不良
2024/01/18,RES-0439,シングル,4,4,11000,宿泊済み,
2024/01/10,RES-0440,ツイン,2,1,31000,宿泊済み,
2024/01/11,RES-0441,ツイン,5,3,34000,宿泊済み,
2024/01/08,RES-0442,ツイン,2,3,31000,ノーショウ,他のホテルに変更
2024/01/19,RES-0443,ダブル,1,3,35000,宿泊済み,
2024/01/02,RES-0444,ツイン,5,4,30000,宿泊済み,
2024/01/14,RES-0445,ダブル,5,4,28000,キャンセル,他のホテルに変更
2024/01/18,RES-0446,ツイン,4,3,20000,キャンセル,他のホテルに変更
2024/01/15,RES-0447,ツイン,3,2,19000,ノーショウ,予定変更
2024/01/05,RES-0448,スイート,5,4,73000,キャンセル,他のホテルに変更
2024/01/03,RES-0449,ツイン,2,3,25000,宿泊済み,
2024/01/07,RES-0450,スイート,1,3,74000,宿泊済み,
2024/01/20,RES-0451,シングル,4,3,18000,キャンセル,天候不良
2024/01/19,RES-0452,シングル,2,1,20000,宿泊済み,
2024/01/10,RES-0453,ツイン,2,4,25000,宿泊済み,
2024/01/04,RES-0454,シングル,2,2,19000,キャンセル,他のホテルに変更
2024/01/18,RES-0455,ツイン,4,2,22000,宿泊済み,
2024/01/18,RES-0456,ダブル,4,3,32000,宿泊済み,
2024/01/17,RES-0457,ダブル,3,3,29000,宿泊済み,
2024/01/11,RES-0458,スイート,1,4,70000,宿泊済み,
2024/01/02,RES-0459,ツイン,3,3,28000,宿泊済み,
2024/01/18,RES-0460,ツイン,1,2,23000,宿泊済み,
2024/01/11,RES-0461,スイート,2,3,52000,宿泊済み,
2024/01/16,RES-0462,ツイン,5,4,22000,宿泊済み,
2024/01/16,RES-0463,ダブル,4,3,38000,宿泊済み,
2024/01/05,RES-0464,スイート,3,2,50000,宿泊済み,
2024/01/17,RES-0465,スイート,5,2,43000,ノーショウ,予定変更
2024/01/05,RES-0466,シングル,1,1,14000,宿泊済み,
2024/01/07,RES-0467,ツイン,2,1,15000,宿泊済み,
2024/01/20,RES-0468,スイート,1,3,79000,キャンセル,他のホテルに変更
2024/01/18,RES-0469,スイート,1,1,74000,宿泊済み,
2024/01/09,RES-0470,スイート,1,1,73000,ノーショウ,天候不良
2024/01/14,RES-0471,ダブル,5,1,40000,宿泊済み,
2024/01/05,RES-0472,ツイン,1,1,31000,ノーショウ,体調不良
2024/01/13,RES-0473,ツイン,3,3,23000,宿泊済み,
2024/01/19,RES-0474,シングル,4,3,15000,キャンセル,体調不良
2024/01/02,RES-0475,ツイン,1,3,35000,宿泊済み,
2024/01/18,RES-0476,シングル,4,4,14000,ノーショウ,他のホテルに変更
2024/01/16,RES-0477,シングル,2,1,9000,宿泊済み,
2024/01/17,RES-0478,スイート,5,3,46000,宿泊済み,
2024/01/19,RES-0479,シングル,2,2,19000,ノーショウ,他のホテルに変更
2024/01/09,RES-0480,ダブル,1,1,39000,宿泊済み,
