InvoiceNo,InvoiceDate,ClientCode,InvoiceAmount,ReceivedAmount,ReceivedDate,PaymentType
INV000248,2024-01-22,CLI-002,509544,509544,2024-01-28,BankTransfer
INV000249,2024-01-07,CLI-007,2193452,2193452,2024-01-23,DirectDebit
INV000250,2024-01-11,CLI-001,3662596,3662596,2024-01-21,BankTransfer
INV000251,2024-01-05,CLI-018,4246504,4246504,2024-01-24,Bill
INV000252,2024-01-27,CLI-012,404857,404857,2024-01-28,DirectDebit
INV000253,2024-01-01,CLI-003,4879817,4223519,2024-01-22,DirectDebit
INV000254,2024-01-23,CLI-014,3447657,3447657,2024-01-28,BankTransfer
INV000255,2024-01-11,CLI-020,3085440,3085440,2024-01-23,BankTransfer
INV000256,2024-01-14,CLI-008,3409216,3409216,2024-01-24,Bill
INV000257,2024-01-03,CLI-010,1908681,1908681,2024-01-22,DirectDebit
INV000258,2024-01-25,CLI-003,1006524,1006524,2024-01-28,Bill
INV000259,2024-01-17,CLI-012,1288912,1288912,2024-01-28,BankTransfer
INV000260,2024-01-04,CLI-009,1332364,1332364,2024-01-15,Bill
INV000261,2024-01-03,CLI-016,4778955,4778955,2024-01-15,Bill
INV000262,2024-01-15,CLI-019,2761267,2761267,2024-01-28,Bill
INV000263,2024-01-11,CLI-015,3759510,3759510,2024-01-22,Bill
INV000264,2024-01-10,CLI-019,4305850,4305850,2024-01-25,BankTransfer
INV000265,2024-01-10,CLI-015,3143195,3143195,2024-01-28,DirectDebit
INV000266,2024-01-03,CLI-003,4303593,4303593,2024-01-28,DirectDebit
INV000267,2024-01-15,CLI-018,394123,0,,DirectDebit
INV000268,2024-01-26,CLI-007,4039865,4039865,2024-01-28,Bill
INV000269,2024-01-05,CLI-015,2930964,2930964,2024-01-13,Bill
INV000270,2024-01-03,CLI-006,3722182,3722182,2024-01-26,DirectDebit
INV000271,2024-01-17,CLI-020,3177709,3177709,2024-01-28,DirectDebit
INV000272,2024-01-13,CLI-011,489273,489273,2024-01-28,Bill
INV000273,2024-01-21,CLI-003,4730534,4730534,2024-01-28,Bill
INV000274,2024-01-13,CLI-009,1311422,1311422,2024-01-28,DirectDebit
INV000275,2024-01-03,CLI-005,2652412,2909941,2024-01-28,Bill
INV000276,2024-01-22,CLI-005,760674,760674,2024-01-28,DirectDebit
INV000277,2024-01-18,CLI-011,4465707,4300024,2024-01-28,Bill
INV000278,2024-01-14,CLI-012,2640956,2640956,2024-01-28,BankTransfer
INV000279,2024-01-07,CLI-016,1203981,1203981,2024-01-24,BankTransfer
INV000280,2024-01-03,CLI-004,4577925,4577925,2024-01-19,Bill
INV000281,2024-01-17,CLI-011,1149319,938763,2024-01-25,BankTransfer
INV000282,2024-01-06,CLI-020,1438643,1123375,2024-01-18,BankTransfer
INV000283,2024-01-14,CLI-008,2440148,0,,Bill
INV000284,2024-01-26,CLI-008,2646004,2646004,2024-01-28,DirectDebit
INV000285,2024-01-27,CLI-012,4835024,4835024,2024-01-28,DirectDebit
INV000286,2024-01-15,CLI-013,3561981,3561981,2024-01-28,BankTransfer
INV000287,2024-01-27,CLI-020,2147178,2147178,2024-01-28,BankTransfer
INV000288,2024-01-21,CLI-012,910585,910585,2024-01-28,Bill
INV000289,2024-01-28,CLI-004,1394797,1394797,2024-01-28,DirectDebit
INV000290,2024-01-15,CLI-005,819349,586278,2024-01-28,BankTransfer
INV000291,2024-01-27,CLI-012,3530407,3582632,2024-01-28,Bill
INV000292,2024-01-12,CLI-013,3194995,0,,BankTransfer
INV000293,2024-01-01,CLI-004,2862619,2177021,2024-01-18,BankTransfer
INV000294,2024-01-02,CLI-016,1214277,1214277,2024-01-18,Bill
INV000295,2024-01-16,CLI-020,714593,714593,2024-01-28,BankTransfer
INV000296,2024-01-09,CLI-005,4477268,4477268,2024-01-22,DirectDebit
INV000297,2024-01-04,CLI-008,450551,450551,2024-01-20,BankTransfer
INV000298,2024-01-14,CLI-020,979943,979943,2024-01-28,DirectDebit
INV000299,2024-01-20,CLI-001,4873847,4873847,2024-01-28,BankTransfer
INV000300,2024-01-23,CLI-010,3009635,3009635,2024-01-28,BankTransfer
