伝票番号,発行日,取引先CD,請求額,受領額,受取日,決済方法
DEN-2024010337,2024/01/06,CLI-008,4402830,4402830,2024/01/23,自動振替
DEN-2024010338,2024/01/28,CLI-009,4670792,4670792,2024/01/28,自動振替
DEN-2024010339,2024/01/05,CLI-010,833734,833734,2024/01/28,約束手形
DEN-2024010340,2024/01/21,CLI-019,1343475,1377610,2024/01/28,約束手形
DEN-2024010341,2024/01/24,CLI-011,4777970,4673112,2024/01/28,振込
DEN-2024010342,2024/01/03,CLI-019,1818388,1818388,2024/01/11,約束手形
DEN-2024010343,2024/01/14,CLI-001,4626635,4626635,2024/01/28,自動振替
DEN-2024010344,2024/01/21,CLI-016,3456551,3456551,2024/01/28,自動振替
DEN-2024010345,2024/01/15,CLI-002,3536487,3536487,2024/01/24,自動振替
DEN-2024010346,2024/01/15,CLI-011,2672132,2672132,2024/01/28,約束手形
DEN-2024010347,2024/01/11,CLI-012,1146945,0,,自動振替
DEN-2024010348,2024/01/17,CLI-004,3963055,3963055,2024/01/28,振込
DEN-2024010349,2024/01/09,CLI-008,474507,474507,2024/01/28,自動振替
DEN-2024010350,2024/01/13,CLI-014,1389657,1389657,2024/01/28,自動振替
DEN-2024010351,2024/01/19,CLI-011,1386661,1386661,2024/01/28,自動振替
DEN-2024010352,2024/01/17,CLI-016,4222244,4151644,2024/01/28,自動振替
DEN-2024010353,2024/01/17,CLI-008,3010298,3010298,2024/01/28,振込
DEN-2024010354,2024/01/02,CLI-016,3997568,3997568,2024/01/18,自動振替
DEN-2024010355,2024/01/18,CLI-004,2268559,2268559,2024/01/25,約束手形
DEN-2024010356,2024/01/12,CLI-012,479141,479141,2024/01/28,約束手形
DEN-2024010357,2024/01/18,CLI-012,666829,666829,2024/01/28,自動振替
DEN-2024010358,2024/01/17,CLI-018,1046659,1046659,2024/01/28,振込
DEN-2024010359,2024/01/04,CLI-012,2894453,2894453,2024/01/23,約束手形
DEN-2024010360,2024/01/12,CLI-007,3417078,3417078,2024/01/23,約束手形
DEN-2024010361,2024/01/02,CLI-002,2843747,2843747,2024/01/10,自動振替
DEN-2024010362,2024/01/17,CLI-005,4374375,4374375,2024/01/28,振込
DEN-2024010363,2024/01/11,CLI-011,2560159,2560159,2024/01/28,約束手形
DEN-2024010364,2024/01/11,CLI-017,4772150,4772150,2024/01/28,自動振替
DEN-2024010365,2024/01/16,CLI-012,969429,969429,2024/01/23,自動振替
DEN-2024010366,2024/01/19,CLI-001,2277430,2277430,2024/01/28,約束手形
DEN-2024010367,2024/01/26,CLI-019,480798,480798,2024/01/28,約束手形
DEN-2024010368,2024/01/16,CLI-017,3239267,3239267,2024/01/28,振込
DEN-2024010369,2024/01/27,CLI-008,971870,971870,2024/01/28,振込
DEN-2024010370,2024/01/01,CLI-011,3514160,3514160,2024/01/22,約束手形
DEN-2024010371,2024/01/07,CLI-017,4006113,4006113,2024/01/27,約束手形
DEN-2024010372,2024/01/24,CLI-005,4755059,4755059,2024/01/28,自動振替
DEN-2024010373,2024/01/22,CLI-017,1502759,1502759,2024/01/28,自動振替
DEN-2024010374,2024/01/18,CLI-018,2267630,2267630,2024/01/28,約束手形
DEN-2024010375,2024/01/16,CLI-008,2553992,2553992,2024/01/28,振込
DEN-2024010376,2024/01/10,CLI-007,4152055,4152055,2024/01/26,自動振替
DEN-2024010377,2024/01/16,CLI-018,2343928,2428077,2024/01/28,約束手形
DEN-2024010378,2024/01/22,CLI-013,3359578,2528656,2024/01/28,振込
DEN-2024010379,2024/01/10,CLI-010,712946,0,,自動振替
DEN-2024010380,2024/01/15,CLI-009,1845051,1845051,2024/01/28,振込
DEN-2024010381,2024/01/27,CLI-009,2328526,2380579,2024/01/28,約束手形
DEN-2024010382,2024/01/24,CLI-008,4504698,4504698,2024/01/28,振込
DEN-2024010383,2024/01/21,CLI-002,2820703,2820703,2024/01/28,約束手形
DEN-2024010384,2024/01/16,CLI-005,4666691,4666691,2024/01/26,振込
DEN-2024010385,2024/01/14,CLI-016,1723157,1723157,2024/01/28,自動振替
DEN-2024010386,2024/01/11,CLI-002,800450,855446,2024/01/27,振込
DEN-2024010387,2024/01/18,CLI-002,1518549,1590846,2024/01/28,振込
DEN-2024010388,2024/01/02,CLI-016,2478224,2478224,2024/01/21,振込
DEN-2024010389,2024/01/01,CLI-019,2860536,2860536,2024/01/17,自動振替
DEN-2024010390,2024/01/15,CLI-018,1175750,1175750,2024/01/28,約束手形
DEN-2024010391,2024/01/15,CLI-007,2823979,2662664,2024/01/28,自動振替
DEN-2024010392,2024/01/21,CLI-006,2877901,2877901,2024/01/28,自動振替
DEN-2024010393,2024/01/19,CLI-007,3451499,3451499,2024/01/28,自動振替
DEN-2024010394,2024/01/17,CLI-003,850148,850148,2024/01/28,振込
DEN-2024010395,2024/01/05,CLI-011,107295,110886,2024/01/27,振込
DEN-2024010396,2024/01/15,CLI-011,4855643,4855643,2024/01/28,振込
DEN-2024010397,2024/01/09,CLI-012,571136,571136,2024/01/28,約束手形
DEN-2024010398,2024/01/04,CLI-010,4265447,4265447,2024/01/25,約束手形
DEN-2024010399,2024/01/25,CLI-004,2524954,2524954,2024/01/28,自動振替
DEN-2024010400,2024/01/20,CLI-008,4061280,0,,振込
DEN-2024010401,2024/01/15,CLI-020,4657312,4657312,2024/01/28,自動振替
DEN-2024010402,2024/01/25,CLI-007,736777,736777,2024/01/28,約束手形
DEN-2024010403,2024/01/15,CLI-012,4782590,4782590,2024/01/28,振込
DEN-2024010404,2024/01/02,CLI-017,4551831,4551831,2024/01/26,振込
DEN-2024010405,2024/01/06,CLI-017,1773032,1773032,2024/01/23,約束手形
DEN-2024010406,2024/01/19,CLI-003,3786979,2860985,2024/01/28,自動振替
DEN-2024010407,2024/01/05,CLI-014,534331,534331,2024/01/28,約束手形
DEN-2024010408,2024/01/15,CLI-010,3371458,3371458,2024/01/28,自動振替
DEN-2024010409,2024/01/27,CLI-007,429918,429918,2024/01/28,自動振替
DEN-2024010410,2024/01/12,CLI-003,555460,555460,2024/01/28,振込
DEN-2024010411,2024/01/16,CLI-010,1186059,1186059,2024/01/24,約束手形
DEN-2024010412,2024/01/24,CLI-014,3258471,3258471,2024/01/28,自動振替
DEN-2024010413,2024/01/28,CLI-013,4573978,4573978,2024/01/28,振込
DEN-2024010414,2024/01/21,CLI-004,4556850,4556850,2024/01/28,自動振替
DEN-2024010415,2024/01/17,CLI-008,240717,170004,2024/01/28,自動振替
DEN-2024010416,2024/01/22,CLI-018,3231601,3231601,2024/01/28,振込
DEN-2024010417,2024/01/08,CLI-012,1631088,1631088,2024/01/28,約束手形
DEN-2024010418,2024/01/25,CLI-002,3566845,2895110,2024/01/28,振込
DEN-2024010419,2024/01/08,CLI-003,331658,331658,2024/01/21,自動振替
DEN-2024010420,2024/01/20,CLI-002,421084,421084,2024/01/28,自動振替
