請求書番号,請求日,得意先コード,請求金額,入金金額,入金日,支払区分
INV-2024010045,2024/01/09,CLI-010,4712122,4712122,2024/01/28,手形
INV-2024010046,2024/01/23,CLI-005,1876207,1876207,2024/01/28,銀行振込
INV-2024010047,2024/01/19,CLI-018,2680707,2680707,2024/01/28,銀行振込
INV-2024010048,2024/01/02,CLI-016,4505408,4505408,2024/01/27,銀行振込
INV-2024010049,2024/01/02,CLI-003,624798,510735,2024/01/25,手形
INV-2024010050,2024/01/28,CLI-013,4828783,4828783,2024/01/28,銀行振込
INV-2024010051,2024/01/19,CLI-002,3566713,3566713,2024/01/28,手形
INV-2024010052,2024/01/19,CLI-017,2237461,2237461,2024/01/28,銀行振込
INV-2024010053,2024/01/22,CLI-011,3370092,3370092,2024/01/28,銀行振込
INV-2024010054,2024/01/22,CLI-010,658535,658535,2024/01/28,銀行振込
INV-2024010055,2024/01/15,CLI-019,664555,0,,手形
INV-2024010056,2024/01/07,CLI-009,2977698,2977698,2024/01/28,銀行振込
INV-2024010057,2024/01/08,CLI-010,4606842,4606842,2024/01/26,手形
INV-2024010058,2024/01/10,CLI-017,4702341,4702341,2024/01/28,口座振替
INV-2024010059,2024/01/22,CLI-005,947882,947882,2024/01/28,手形
INV-2024010060,2024/01/18,CLI-009,1816889,1816889,2024/01/28,手形
INV-2024010061,2024/01/11,CLI-009,2156557,2156557,2024/01/24,銀行振込
INV-2024010062,2024/01/03,CLI-014,419826,415197,2024/01/28,銀行振込
INV-2024010063,2024/01/21,CLI-006,4677830,4677830,2024/01/28,手形
INV-2024010064,2024/01/14,CLI-001,1300357,1300357,2024/01/28,手形
INV-2024010065,2024/01/02,CLI-019,3655312,3655312,2024/01/20,銀行振込
INV-2024010066,2024/01/02,CLI-012,384662,280539,2024/01/18,銀行振込
INV-2024010067,2024/01/22,CLI-004,4746643,4746643,2024/01/28,口座振替
INV-2024010068,2024/01/20,CLI-005,2035896,2214677,2024/01/28,銀行振込
INV-2024010069,2024/01/14,CLI-006,2836573,2836573,2024/01/21,口座振替
INV-2024010070,2024/01/26,CLI-008,956771,956771,2024/01/28,口座振替
INV-2024010071,2024/01/28,CLI-016,3911303,3911303,2024/01/28,口座振替
INV-2024010072,2024/01/10,CLI-008,1670090,1670090,2024/01/24,口座振替
INV-2024010073,2024/01/11,CLI-003,2391470,0,,口座振替
INV-2024010074,2024/01/21,CLI-013,4548103,4548103,2024/01/28,口座振替
INV-2024010075,2024/01/01,CLI-009,2276893,2276893,2024/01/11,銀行振込
INV-2024010076,2024/01/04,CLI-014,2681316,2681316,2024/01/28,口座振替
INV-2024010077,2024/01/20,CLI-004,4886771,4886771,2024/01/28,銀行振込
INV-2024010078,2024/01/09,CLI-014,4566862,4566862,2024/01/17,手形
INV-2024010079,2024/01/24,CLI-007,636982,636982,2024/01/28,手形
INV-2024010080,2024/01/11,CLI-011,1095432,1095432,2024/01/28,手形
INV-2024010081,2024/01/10,CLI-010,2786220,2786220,2024/01/28,口座振替
INV-2024010082,2024/01/23,CLI-018,3576959,3576959,2024/01/28,手形
INV-2024010083,2024/01/13,CLI-006,2574550,2574550,2024/01/28,口座振替
INV-2024010084,2024/01/18,CLI-010,3656163,3656163,2024/01/25,手形
INV-2024010085,2024/01/20,CLI-011,3759105,3759105,2024/01/28,手形
INV-2024010086,2024/01/07,CLI-016,1473474,1473474,2024/01/28,手形
INV-2024010087,2024/01/03,CLI-017,2861762,2861762,2024/01/19,銀行振込
INV-2024010088,2024/01/27,CLI-010,1720422,1720422,2024/01/28,銀行振込
INV-2024010089,2024/01/01,CLI-008,660927,0,,口座振替
INV-2024010090,2024/01/14,CLI-019,3271044,3271044,2024/01/28,口座振替
INV-2024010091,2024/01/13,CLI-005,96513,96513,2024/01/27,銀行振込
INV-2024010092,2024/01/25,CLI-008,4394944,4394944,2024/01/28,口座振替
INV-2024010093,2024/01/02,CLI-008,1068029,1122585,2024/01/26,口座振替
INV-2024010094,2024/01/22,CLI-018,3762574,3762574,2024/01/28,手形
INV-2024010095,2024/01/27,CLI-017,4645883,4645883,2024/01/28,口座振替
INV-2024010096,2024/01/06,CLI-016,2123997,2123997,2024/01/28,手形
INV-2024010097,2024/01/09,CLI-016,2353490,2353490,2024/01/28,口座振替
INV-2024010098,2024/01/03,CLI-010,2867293,2867293,2024/01/28,口座振替
INV-2024010099,2024/01/18,CLI-005,3263132,3263132,2024/01/27,手形
INV-2024010100,2024/01/05,CLI-007,3469191,3469191,2024/01/28,口座振替
INV-2024010101,2024/01/18,CLI-014,3574419,3574419,2024/01/28,口座振替
INV-2024010102,2024/01/25,CLI-001,4879240,4292217,2024/01/28,銀行振込
INV-2024010103,2024/01/12,CLI-013,3565005,2972915,2024/01/28,手形
INV-2024010104,2024/01/18,CLI-008,2339547,2339547,2024/01/28,口座振替
INV-2024010105,2024/01/16,CLI-013,3441654,3441654,2024/01/23,手形
INV-2024010106,2024/01/06,CLI-005,4530553,0,,銀行振込
INV-2024010107,2024/01/13,CLI-019,754202,754202,2024/01/28,手形
INV-2024010108,2024/01/14,CLI-015,2232349,2232349,2024/01/25,口座振替
INV-2024010109,2024/01/11,CLI-015,3230341,3230341,2024/01/24,口座振替
INV-2024010110,2024/01/25,CLI-009,3995219,3932810,2024/01/28,手形
INV-2024010111,2024/01/02,CLI-008,387709,387709,2024/01/20,銀行振込
INV-2024010112,2024/01/08,CLI-001,2051060,2051060,2024/01/21,銀行振込
INV-2024010113,2024/01/16,CLI-004,1878419,1878419,2024/01/28,口座振替
INV-2024010114,2024/01/23,CLI-012,1010771,1010771,2024/01/28,銀行振込
INV-2024010115,2024/01/10,CLI-019,2666887,2666887,2024/01/20,手形
INV-2024010116,2024/01/22,CLI-013,1713710,1742568,2024/01/28,手形
INV-2024010117,2024/01/27,CLI-008,2579858,2579858,2024/01/28,手形
INV-2024010118,2024/01/20,CLI-019,2962556,2962556,2024/01/28,手形
INV-2024010119,2024/01/14,CLI-012,2912454,2912454,2024/01/28,銀行振込
INV-2024010120,2024/01/28,CLI-016,3088253,3088253,2024/01/28,手形
INV-2024010121,2024/01/27,CLI-005,4426728,4426728,2024/01/28,手形
INV-2024010122,2024/01/09,CLI-018,3949643,3949643,2024/01/28,口座振替
INV-2024010123,2024/01/27,CLI-019,2109362,2109362,2024/01/28,銀行振込
INV-2024010124,2024/01/09,CLI-008,4830245,4830245,2024/01/28,手形
INV-2024010125,2024/01/22,CLI-011,2776416,2776416,2024/01/28,銀行振込
INV-2024010126,2024/01/16,CLI-012,2904969,2904969,2024/01/28,口座振替
INV-2024010127,2024/01/20,CLI-009,4383783,4383783,2024/01/28,銀行振込
INV-2024010128,2024/01/03,CLI-014,2065983,2065983,2024/01/17,手形
INV-2024010129,2024/01/16,CLI-016,194646,194646,2024/01/28,銀行振込
INV-2024010130,2024/01/10,CLI-013,2618642,2618642,2024/01/24,手形
INV-2024010131,2024/01/19,CLI-016,2933646,2933646,2024/01/28,口座振替
INV-2024010132,2024/01/24,CLI-011,3856291,3856291,2024/01/28,口座振替
INV-2024010133,2024/01/10,CLI-008,1665514,1665514,2024/01/25,口座振替
INV-2024010134,2024/01/04,CLI-018,1603149,0,,銀行振込
INV-2024010135,2024/01/07,CLI-016,4995813,4995813,2024/01/28,手形
INV-2024010136,2024/01/20,CLI-004,2535095,2342504,2024/01/28,銀行振込
INV-2024010137,2024/01/10,CLI-018,431813,431813,2024/01/17,銀行振込
INV-2024010138,2024/01/18,CLI-005,4167788,4167788,2024/01/28,銀行振込
INV-2024010139,2024/01/28,CLI-019,4065745,4065745,2024/01/28,口座振替
INV-2024010140,2024/01/11,CLI-002,4057482,4057482,2024/01/23,銀行振込
INV-2024010141,2024/01/27,CLI-013,4890404,4890404,2024/01/28,手形
INV-2024010142,2024/01/22,CLI-005,4771440,4771440,2024/01/28,口座振替
INV-2024010143,2024/01/03,CLI-004,3541120,3541120,2024/01/17,手形
INV-2024010144,2024/01/20,CLI-008,3240842,3240842,2024/01/28,口座振替
INV-2024010145,2024/01/15,CLI-019,2611715,0,,手形
INV-2024010146,2024/01/20,CLI-020,882431,0,,銀行振込
INV-2024010147,2024/01/21,CLI-009,1367490,1367490,2024/01/28,銀行振込
INV-2024010148,2024/01/06,CLI-003,3476893,3476893,2024/01/28,口座振替
INV-2024010149,2024/01/23,CLI-016,1991763,1991763,2024/01/28,口座振替
INV-2024010150,2024/01/23,CLI-015,2008100,2008100,2024/01/28,口座振替
INV-2024010151,2024/01/26,CLI-019,1709427,1709427,2024/01/28,口座振替
INV-2024010152,2024/01/04,CLI-008,2278286,2278286,2024/01/28,銀行振込
INV-2024010153,2024/01/03,CLI-006,4824854,4824854,2024/01/11,口座振替
INV-2024010154,2024/01/15,CLI-015,3426486,3426486,2024/01/25,口座振替
INV-2024010155,2024/01/17,CLI-016,384376,384376,2024/01/28,口座振替
INV-2024010156,2024/01/24,CLI-020,816105,816105,2024/01/28,銀行振込
INV-2024010157,2024/01/22,CLI-019,2310822,0,,手形
INV-2024010158,2024/01/02,CLI-016,3759689,3759689,2024/01/14,口座振替
INV-2024010159,2024/01/06,CLI-014,4174894,4174894,2024/01/28,銀行振込
INV-2024010160,2024/01/16,CLI-014,927447,927447,2024/01/28,銀行振込
