contract_date,contract_id,plan,industry,monthly_fee,usage_months,login_count,support_count,status,churn_reason,ltv,is_churned,churn_risk,arpu_grade,source_file
2023-02-13,CON-0026,スタータープラン,小売,3000,8,57,9,継続,,24000,0,低リスク,低ARPU,contracts_styleA.csv
2023-03-07,CON-0027,エンタープライズプラン,IT,30000,3,49,8,継続,,90000,0,低リスク,高ARPU,contracts_styleA.csv
2023-11-07,CON-0028,エンタープライズプラン,IT,30000,18,11,4,継続,,540000,0,中リスク,高ARPU,contracts_styleA.csv
2023-07-24,CON-0029,スタンダードプラン,製造,8000,18,49,3,継続,,144000,0,低リスク,高ARPU,contracts_styleA.csv
2023-05-07,CON-0030,エンタープライズプラン,医療,30000,15,58,8,継続,,450000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-29,CON-0031,スタータープラン,小売,3000,11,2,9,継続,,33000,0,中リスク,低ARPU,contracts_styleA.csv
2023-01-17,CON-0032,スタータープラン,小売,3000,3,46,10,解約,価格が高い,9000,1,低リスク,低ARPU,contracts_styleA.csv
2023-04-20,CON-0033,スタンダードプラン,小売,8000,17,16,4,継続,,136000,0,低リスク,高ARPU,contracts_styleA.csv
2023-05-05,CON-0034,エンタープライズプラン,製造,30000,24,60,9,継続,,720000,0,低リスク,高ARPU,contracts_styleA.csv
2023-07-01,CON-0035,スタンダードプラン,IT,8000,7,7,1,継続,,56000,0,中リスク,高ARPU,contracts_styleA.csv
2023-11-27,CON-0036,スタンダードプラン,IT,8000,15,56,0,継続,,120000,0,低リスク,高ARPU,contracts_styleA.csv
2023-02-25,CON-0037,スタータープラン,小売,3000,13,47,5,継続,,39000,0,低リスク,低ARPU,contracts_styleA.csv
2023-05-23,CON-0038,スタータープラン,製造,3000,7,35,7,解約,機能不足,21000,1,低リスク,低ARPU,contracts_styleA.csv
2023-01-08,CON-0039,スタンダードプラン,製造,8000,3,29,8,解約,使いにくい,24000,1,低リスク,高ARPU,contracts_styleA.csv
2023-07-25,CON-0040,スタータープラン,製造,3000,6,27,7,継続,,18000,0,低リスク,低ARPU,contracts_styleA.csv
2023-08-21,CON-0041,スタータープラン,製造,3000,13,1,6,継続,,39000,0,中リスク,低ARPU,contracts_styleA.csv
2023-09-07,CON-0042,スタンダードプラン,IT,8000,23,47,8,継続,,184000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-05,CON-0043,スタータープラン,製造,3000,10,14,0,継続,,30000,0,中リスク,低ARPU,contracts_styleA.csv
2023-09-29,CON-0044,スタータープラン,医療,3000,2,4,9,継続,,6000,0,高リスク,低ARPU,contracts_styleA.csv
2023-12-12,CON-0045,スタータープラン,小売,3000,17,6,2,解約,価格が高い,51000,1,中リスク,低ARPU,contracts_styleA.csv
2023-01-21,CON-0046,スタータープラン,IT,3000,4,57,9,解約,使いにくい,12000,1,低リスク,低ARPU,contracts_styleA.csv
2023-06-11,CON-0047,エンタープライズプラン,小売,30000,14,43,9,継続,,420000,0,低リスク,高ARPU,contracts_styleA.csv
2023-03-09,CON-0048,スタンダードプラン,製造,8000,22,46,5,解約,業務終了,176000,1,低リスク,高ARPU,contracts_styleA.csv
2023-10-16,CON-0049,エンタープライズプラン,医療,30000,15,21,1,解約,使いにくい,450000,1,低リスク,高ARPU,contracts_styleA.csv
2023-06-28,CON-0050,スタータープラン,小売,3000,18,14,8,継続,,54000,0,中リスク,低ARPU,contracts_styleA.csv
2023-10-06,CON-0051,スタータープラン,製造,3000,12,19,2,継続,,36000,0,低リスク,低ARPU,contracts_styleA.csv
2023-12-08,CON-0052,エンタープライズプラン,医療,30000,20,52,10,継続,,600000,0,低リスク,高ARPU,contracts_styleA.csv
2023-02-24,CON-0053,エンタープライズプラン,医療,30000,22,7,2,継続,,660000,0,中リスク,高ARPU,contracts_styleA.csv
2023-06-25,CON-0054,エンタープライズプラン,サービス,30000,5,18,4,継続,,150000,0,低リスク,高ARPU,contracts_styleA.csv
2023-01-27,CON-0055,スタータープラン,医療,3000,17,32,4,継続,,51000,0,低リスク,低ARPU,contracts_styleA.csv
2023-03-08,CON-0056,スタータープラン,IT,3000,9,3,0,継続,,27000,0,中リスク,低ARPU,contracts_styleA.csv
2023-08-07,CON-0057,エンタープライズプラン,医療,30000,6,48,7,継続,,180000,0,低リスク,高ARPU,contracts_styleA.csv
2023-07-09,CON-0058,エンタープライズプラン,小売,30000,4,5,2,継続,,120000,0,中リスク,高ARPU,contracts_styleA.csv
2023-01-21,CON-0059,エンタープライズプラン,サービス,30000,5,28,2,解約,競合他社に移行,150000,1,低リスク,高ARPU,contracts_styleA.csv
2023-07-28,CON-0060,スタンダードプラン,製造,8000,22,16,10,解約,使いにくい,176000,1,低リスク,高ARPU,contracts_styleA.csv
2023-04-01,CON-0061,エンタープライズプラン,製造,30000,8,56,2,継続,,240000,0,低リスク,高ARPU,contracts_styleA.csv
2023-07-30,CON-0062,スタンダードプラン,小売,8000,6,48,5,継続,,48000,0,低リスク,高ARPU,contracts_styleA.csv
2023-01-20,CON-0063,エンタープライズプラン,製造,30000,9,11,1,継続,,270000,0,中リスク,高ARPU,contracts_styleA.csv
2023-04-27,CON-0064,スタンダードプラン,製造,8000,7,53,7,継続,,56000,0,低リスク,高ARPU,contracts_styleA.csv
2023-02-05,CON-0065,スタータープラン,小売,3000,22,13,6,継続,,66000,0,中リスク,低ARPU,contracts_styleA.csv
2023-10-02,CON-0066,スタンダードプラン,医療,8000,21,33,6,継続,,168000,0,低リスク,高ARPU,contracts_styleA.csv
2023-01-20,CON-0067,スタンダードプラン,小売,8000,4,57,4,解約,競合他社に移行,32000,1,低リスク,高ARPU,contracts_styleA.csv
2023-09-19,CON-0068,スタータープラン,サービス,3000,14,23,5,継続,,42000,0,低リスク,低ARPU,contracts_styleA.csv
2023-01-01,CON-0069,スタータープラン,IT,3000,19,13,4,解約,業務終了,57000,1,中リスク,低ARPU,contracts_styleA.csv
2023-02-05,CON-0070,エンタープライズプラン,サービス,30000,22,47,10,解約,業務終了,660000,1,低リスク,高ARPU,contracts_styleA.csv
2023-06-03,CON-0071,エンタープライズプラン,医療,30000,20,21,10,継続,,600000,0,低リスク,高ARPU,contracts_styleA.csv
2023-06-01,CON-0072,エンタープライズプラン,医療,30000,22,27,5,継続,,660000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-13,CON-0073,エンタープライズプラン,製造,30000,7,27,10,継続,,210000,0,低リスク,高ARPU,contracts_styleA.csv
2023-01-01,CON-0074,エンタープライズプラン,製造,30000,20,37,4,継続,,600000,0,低リスク,高ARPU,contracts_styleA.csv
2023-06-14,CON-0075,スタンダードプラン,医療,8000,7,28,9,継続,,56000,0,低リスク,高ARPU,contracts_styleA.csv
2023-03-28,CON-0076,スタンダードプラン,IT,8000,15,44,3,継続,,120000,0,低リスク,高ARPU,contracts_styleA.csv
2023-06-21,CON-0077,エンタープライズプラン,小売,30000,10,33,10,継続,,300000,0,低リスク,高ARPU,contracts_styleA.csv
2023-03-17,CON-0078,スタータープラン,製造,3000,22,20,3,継続,,66000,0,低リスク,低ARPU,contracts_styleA.csv
2023-02-07,CON-0079,スタータープラン,小売,3000,8,31,9,継続,,24000,0,低リスク,低ARPU,contracts_styleA.csv
2023-07-16,CON-0080,スタンダードプラン,IT,8000,21,37,3,継続,,168000,0,低リスク,高ARPU,contracts_styleA.csv
2023-02-24,CON-0081,スタンダードプラン,IT,8000,8,10,10,継続,,64000,0,中リスク,高ARPU,contracts_styleA.csv
2023-10-13,CON-0082,スタンダードプラン,製造,8000,6,52,8,継続,,48000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-14,CON-0083,スタータープラン,小売,3000,15,9,7,継続,,45000,0,中リスク,低ARPU,contracts_styleA.csv
2023-10-08,CON-0084,エンタープライズプラン,医療,30000,15,40,8,継続,,450000,0,低リスク,高ARPU,contracts_styleA.csv
2023-05-07,CON-0085,スタンダードプラン,製造,8000,24,56,7,継続,,192000,0,低リスク,高ARPU,contracts_styleA.csv
2023-02-09,CON-0086,エンタープライズプラン,医療,30000,17,32,10,解約,業務終了,510000,1,低リスク,高ARPU,contracts_styleA.csv
2023-10-04,CON-0087,エンタープライズプラン,医療,30000,8,18,5,継続,,240000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-28,CON-0088,スタータープラン,製造,3000,5,15,6,継続,,15000,0,低リスク,低ARPU,contracts_styleA.csv
2023-08-01,CON-0089,スタータープラン,小売,3000,14,27,5,継続,,42000,0,低リスク,低ARPU,contracts_styleA.csv
2023-01-11,CON-0090,スタータープラン,製造,3000,14,25,9,継続,,42000,0,低リスク,低ARPU,contracts_styleA.csv
2023-07-19,CON-0091,エンタープライズプラン,IT,30000,16,1,5,継続,,480000,0,中リスク,高ARPU,contracts_styleA.csv
2023-04-23,CON-0092,スタンダードプラン,サービス,8000,24,48,8,継続,,192000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-09,CON-0093,スタンダードプラン,製造,8000,9,28,7,解約,競合他社に移行,72000,1,低リスク,高ARPU,contracts_styleA.csv
2023-11-15,CON-0094,エンタープライズプラン,IT,30000,24,11,7,継続,,720000,0,中リスク,高ARPU,contracts_styleA.csv
2023-02-12,CON-0095,エンタープライズプラン,小売,30000,13,38,9,継続,,390000,0,低リスク,高ARPU,contracts_styleA.csv
2023-07-14,CON-0096,エンタープライズプラン,IT,30000,5,56,7,解約,競合他社に移行,150000,1,低リスク,高ARPU,contracts_styleA.csv
2023-07-14,CON-0097,スタンダードプラン,製造,8000,15,21,5,継続,,120000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-04,CON-0098,スタンダードプラン,IT,8000,9,54,1,継続,,72000,0,低リスク,高ARPU,contracts_styleA.csv
2023-11-30,CON-0099,スタータープラン,医療,3000,8,42,1,継続,,24000,0,低リスク,低ARPU,contracts_styleA.csv
2023-05-03,CON-0100,スタータープラン,小売,3000,8,13,0,継続,,24000,0,中リスク,低ARPU,contracts_styleA.csv
2023-08-27,CON-0101,スタータープラン,IT,3000,22,8,9,継続,,66000,0,中リスク,低ARPU,contracts_styleA.csv
2023-02-28,CON-0102,エンタープライズプラン,医療,30000,12,11,9,継続,,360000,0,中リスク,高ARPU,contracts_styleA.csv
2023-10-22,CON-0103,スタータープラン,医療,3000,4,38,0,継続,,12000,0,低リスク,低ARPU,contracts_styleA.csv
2023-02-22,CON-0104,エンタープライズプラン,IT,30000,13,46,3,解約,機能不足,390000,1,低リスク,高ARPU,contracts_styleA.csv
2023-10-17,CON-0105,エンタープライズプラン,医療,30000,22,39,1,継続,,660000,0,低リスク,高ARPU,contracts_styleA.csv
2023-09-17,CON-0106,スタータープラン,医療,3000,18,28,10,継続,,54000,0,低リスク,低ARPU,contracts_styleA.csv
2023-02-24,CON-0107,エンタープライズプラン,医療,30000,1,55,6,継続,,30000,0,低リスク,高ARPU,contracts_styleA.csv
2023-08-11,CON-0108,スタンダードプラン,医療,8000,21,58,7,継続,,168000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-03,CON-0109,スタータープラン,サービス,3000,21,18,9,継続,,63000,0,低リスク,低ARPU,contracts_styleA.csv
2023-05-06,CON-0110,スタンダードプラン,IT,8000,14,53,9,継続,,112000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-09,CON-0111,スタータープラン,医療,3000,15,16,7,継続,,45000,0,低リスク,低ARPU,contracts_styleA.csv
2023-07-01,CON-0112,スタンダードプラン,医療,8000,1,32,5,解約,機能不足,8000,1,低リスク,高ARPU,contracts_styleA.csv
2023-05-22,CON-0113,スタンダードプラン,医療,8000,9,57,9,継続,,72000,0,低リスク,高ARPU,contracts_styleA.csv
2023-09-08,CON-0114,エンタープライズプラン,小売,30000,17,13,1,解約,業務終了,510000,1,中リスク,高ARPU,contracts_styleA.csv
2023-08-18,CON-0115,エンタープライズプラン,製造,30000,23,31,10,継続,,690000,0,低リスク,高ARPU,contracts_styleA.csv
2023-06-06,CON-0116,スタータープラン,小売,3000,10,15,6,継続,,30000,0,低リスク,低ARPU,contracts_styleA.csv
2023-08-06,CON-0117,エンタープライズプラン,サービス,30000,12,31,8,継続,,360000,0,低リスク,高ARPU,contracts_styleA.csv
2023-05-09,CON-0118,エンタープライズプラン,サービス,30000,11,23,7,継続,,330000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-20,CON-0119,スタータープラン,小売,3000,24,13,5,解約,使いにくい,72000,1,中リスク,低ARPU,contracts_styleA.csv
2023-10-29,CON-0120,スタータープラン,製造,3000,7,48,7,継続,,21000,0,低リスク,低ARPU,contracts_styleA.csv
2023-07-04,CON-0121,エンタープライズプラン,サービス,30000,10,7,3,継続,,300000,0,中リスク,高ARPU,contracts_styleA.csv
2023-01-28,CON-0122,スタータープラン,医療,3000,1,46,8,解約,価格が高い,3000,1,低リスク,低ARPU,contracts_styleA.csv
2023-09-09,CON-0123,エンタープライズプラン,医療,30000,23,9,10,継続,,690000,0,中リスク,高ARPU,contracts_styleA.csv
2023-06-24,CON-0124,スタータープラン,小売,3000,19,19,7,継続,,57000,0,低リスク,低ARPU,contracts_styleA.csv
2023-07-25,CON-0125,スタータープラン,小売,3000,9,56,7,解約,価格が高い,27000,1,低リスク,低ARPU,contracts_styleA.csv
2023-10-16,CON-0126,スタンダードプラン,小売,8000,19,41,10,解約,機能不足,152000,1,低リスク,高ARPU,contracts_styleA.csv
2023-11-07,CON-0127,スタンダードプラン,小売,8000,8,8,8,継続,,64000,0,中リスク,高ARPU,contracts_styleA.csv
2023-08-15,CON-0128,エンタープライズプラン,サービス,30000,8,50,8,継続,,240000,0,低リスク,高ARPU,contracts_styleA.csv
2023-11-09,CON-0129,スタンダードプラン,サービス,8000,14,20,9,継続,,112000,0,低リスク,高ARPU,contracts_styleA.csv
2023-02-11,CON-0130,エンタープライズプラン,小売,30000,7,41,3,継続,,210000,0,低リスク,高ARPU,contracts_styleA.csv
2023-08-19,CON-0131,スタータープラン,製造,3000,6,36,1,解約,業務終了,18000,1,低リスク,低ARPU,contracts_styleA.csv
2023-12-26,CON-0132,エンタープライズプラン,サービス,30000,16,19,0,解約,競合他社に移行,480000,1,低リスク,高ARPU,contracts_styleA.csv
2023-11-17,CON-0133,スタンダードプラン,小売,8000,22,15,4,継続,,176000,0,低リスク,高ARPU,contracts_styleA.csv
2023-05-17,CON-0134,エンタープライズプラン,製造,30000,14,8,8,解約,機能不足,420000,1,中リスク,高ARPU,contracts_styleA.csv
2023-10-19,CON-0135,スタータープラン,小売,3000,2,11,4,継続,,6000,0,中リスク,低ARPU,contracts_styleA.csv
2023-05-20,CON-0136,スタンダードプラン,IT,8000,4,30,4,継続,,32000,0,低リスク,高ARPU,contracts_styleA.csv
2023-08-10,CON-0137,エンタープライズプラン,サービス,30000,16,29,1,継続,,480000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-28,CON-0138,エンタープライズプラン,医療,30000,20,17,0,解約,使いにくい,600000,1,低リスク,高ARPU,contracts_styleA.csv
2023-11-30,CON-0139,スタータープラン,医療,3000,19,3,2,継続,,57000,0,中リスク,低ARPU,contracts_styleA.csv
2023-09-09,CON-0140,スタンダードプラン,医療,8000,6,38,6,継続,,48000,0,低リスク,高ARPU,contracts_styleA.csv
2023-02-23,CON-0141,スタータープラン,IT,3000,12,27,5,継続,,36000,0,低リスク,低ARPU,contracts_styleA.csv
2023-07-25,CON-0142,スタータープラン,医療,3000,14,45,7,継続,,42000,0,低リスク,低ARPU,contracts_styleA.csv
2023-03-01,CON-0143,エンタープライズプラン,小売,30000,15,6,5,継続,,450000,0,中リスク,高ARPU,contracts_styleA.csv
2023-01-28,CON-0144,スタンダードプラン,サービス,8000,1,43,8,継続,,8000,0,低リスク,高ARPU,contracts_styleA.csv
2023-01-27,CON-0145,スタータープラン,サービス,3000,12,40,7,継続,,36000,0,低リスク,低ARPU,contracts_styleA.csv
2023-12-24,CON-0146,スタータープラン,医療,3000,18,9,4,継続,,54000,0,中リスク,低ARPU,contracts_styleA.csv
2023-12-30,CON-0147,スタンダードプラン,小売,8000,1,41,9,継続,,8000,0,低リスク,高ARPU,contracts_styleA.csv
2023-04-26,CON-0148,スタータープラン,医療,3000,18,1,8,継続,,54000,0,中リスク,低ARPU,contracts_styleA.csv
2023-05-30,CON-0149,スタータープラン,IT,3000,4,42,2,継続,,12000,0,低リスク,低ARPU,contracts_styleA.csv
2023-05-05,CON-0150,エンタープライズプラン,医療,30000,14,54,7,継続,,420000,0,低リスク,高ARPU,contracts_styleA.csv
2023-09-18,CON-0151,スタンダードプラン,サービス,8000,5,25,3,継続,,40000,0,低リスク,高ARPU,contracts_styleA.csv
2023-09-17,CON-0152,エンタープライズプラン,製造,30000,3,18,6,継続,,90000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-24,CON-0153,スタンダードプラン,小売,8000,10,47,4,継続,,80000,0,低リスク,高ARPU,contracts_styleA.csv
2023-06-20,CON-0154,エンタープライズプラン,IT,30000,5,29,8,継続,,150000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-24,CON-0155,エンタープライズプラン,サービス,30000,13,30,5,継続,,390000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-28,CON-0156,スタータープラン,サービス,3000,13,15,6,解約,業務終了,39000,1,低リスク,低ARPU,contracts_styleA.csv
2023-09-11,CON-0157,スタンダードプラン,IT,8000,22,51,10,継続,,176000,0,低リスク,高ARPU,contracts_styleA.csv
2023-08-14,CON-0158,スタータープラン,製造,3000,17,38,5,継続,,51000,0,低リスク,低ARPU,contracts_styleA.csv
2023-12-02,CON-0159,スタータープラン,サービス,3000,15,1,2,継続,,45000,0,中リスク,低ARPU,contracts_styleA.csv
2023-12-21,CON-0160,スタータープラン,小売,3000,16,51,4,継続,,48000,0,低リスク,低ARPU,contracts_styleA.csv
2023-07-14,CON-0161,スタンダードプラン,小売,8000,11,55,10,継続,,88000,0,低リスク,高ARPU,contracts_styleA.csv
2023-04-27,CON-0162,スタンダードプラン,IT,8000,18,3,9,解約,競合他社に移行,144000,1,中リスク,高ARPU,contracts_styleA.csv
2023-02-21,CON-0163,エンタープライズプラン,小売,30000,14,7,10,継続,,420000,0,中リスク,高ARPU,contracts_styleA.csv
2023-05-31,CON-0164,スタンダードプラン,製造,8000,23,20,0,解約,価格が高い,184000,1,低リスク,高ARPU,contracts_styleA.csv
2023-10-17,CON-0165,スタンダードプラン,医療,8000,14,10,3,継続,,112000,0,中リスク,高ARPU,contracts_styleA.csv
2023-07-15,CON-0166,エンタープライズプラン,製造,30000,6,12,1,継続,,180000,0,中リスク,高ARPU,contracts_styleA.csv
2023-11-23,CON-0167,エンタープライズプラン,製造,30000,16,59,9,解約,業務終了,480000,1,低リスク,高ARPU,contracts_styleA.csv
2023-08-27,CON-0168,スタンダードプラン,IT,8000,9,43,0,継続,,72000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-28,CON-0169,スタンダードプラン,サービス,8000,6,5,7,継続,,48000,0,中リスク,高ARPU,contracts_styleA.csv
2023-04-12,CON-0170,スタンダードプラン,IT,8000,23,17,7,継続,,184000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-22,CON-0171,スタンダードプラン,IT,8000,4,16,6,継続,,32000,0,低リスク,高ARPU,contracts_styleA.csv
2023-01-05,CON-0172,スタンダードプラン,医療,8000,1,54,10,継続,,8000,0,低リスク,高ARPU,contracts_styleA.csv
2023-05-27,CON-0173,エンタープライズプラン,小売,30000,20,48,7,継続,,600000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-14,CON-0174,スタータープラン,サービス,3000,12,15,10,解約,競合他社に移行,36000,1,低リスク,低ARPU,contracts_styleA.csv
2023-06-08,CON-0175,エンタープライズプラン,製造,30000,21,7,10,継続,,630000,0,中リスク,高ARPU,contracts_styleA.csv
2023-06-17,CON-0176,スタンダードプラン,小売,8000,19,24,2,解約,競合他社に移行,152000,1,低リスク,高ARPU,contracts_styleA.csv
2023-07-07,CON-0177,エンタープライズプラン,IT,30000,6,13,2,継続,,180000,0,中リスク,高ARPU,contracts_styleA.csv
2023-09-04,CON-0178,エンタープライズプラン,サービス,30000,9,54,2,継続,,270000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-13,CON-0179,スタンダードプラン,医療,8000,4,30,1,解約,機能不足,32000,1,低リスク,高ARPU,contracts_styleA.csv
2023-01-08,CON-0180,エンタープライズプラン,IT,30000,18,24,1,継続,,540000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-11,CON-0181,スタンダードプラン,サービス,8000,4,30,5,継続,,32000,0,低リスク,高ARPU,contracts_styleA.csv
2023-02-25,CON-0182,スタンダードプラン,サービス,8000,13,53,10,継続,,104000,0,低リスク,高ARPU,contracts_styleA.csv
2023-10-15,CON-0183,エンタープライズプラン,製造,30000,16,2,9,継続,,480000,0,中リスク,高ARPU,contracts_styleA.csv
2023-08-26,CON-0184,スタンダードプラン,サービス,8000,8,42,1,継続,,64000,0,低リスク,高ARPU,contracts_styleA.csv
2023-06-05,CON-0185,エンタープライズプラン,医療,30000,21,27,1,解約,価格が高い,630000,1,低リスク,高ARPU,contracts_styleA.csv
2023-07-09,CON-0186,スタンダードプラン,小売,8000,4,16,8,解約,業務終了,32000,1,低リスク,高ARPU,contracts_styleA.csv
2023-12-02,CON-0187,エンタープライズプラン,サービス,30000,14,38,2,継続,,420000,0,低リスク,高ARPU,contracts_styleA.csv
2023-04-22,CON-0188,スタータープラン,IT,3000,20,27,4,解約,競合他社に移行,60000,1,低リスク,低ARPU,contracts_styleA.csv
2023-10-06,CON-0189,スタンダードプラン,IT,8000,8,55,5,解約,競合他社に移行,64000,1,低リスク,高ARPU,contracts_styleA.csv
2023-08-21,CON-0190,エンタープライズプラン,医療,30000,2,26,4,解約,価格が高い,60000,1,低リスク,高ARPU,contracts_styleA.csv
2023-01-26,CON-0191,スタータープラン,製造,3000,21,41,9,継続,,63000,0,低リスク,低ARPU,contracts_styleA.csv
2023-04-17,CON-0192,スタンダードプラン,製造,8000,5,51,9,解約,使いにくい,40000,1,低リスク,高ARPU,contracts_styleA.csv
2023-11-02,CON-0193,エンタープライズプラン,製造,30000,8,22,2,継続,,240000,0,低リスク,高ARPU,contracts_styleA.csv
2023-03-31,CON-0194,スタータープラン,医療,3000,5,9,8,継続,,15000,0,中リスク,低ARPU,contracts_styleA.csv
2023-05-02,CON-0195,スタータープラン,小売,3000,5,1,5,継続,,15000,0,高リスク,低ARPU,contracts_styleA.csv
2023-09-27,CON-0196,エンタープライズプラン,医療,30000,1,12,4,解約,業務終了,30000,1,中リスク,高ARPU,contracts_styleA.csv
2023-02-25,CON-0197,スタータープラン,小売,3000,16,29,5,継続,,48000,0,低リスク,低ARPU,contracts_styleA.csv
2023-12-04,CON-0198,スタンダードプラン,サービス,8000,8,40,0,継続,,64000,0,低リスク,高ARPU,contracts_styleA.csv
2023-07-25,CON-0199,エンタープライズプラン,医療,30000,15,42,0,解約,業務終了,450000,1,低リスク,高ARPU,contracts_styleA.csv
2023-06-14,CON-0200,スタンダードプラン,小売,8000,16,46,7,解約,価格が高い,128000,1,低リスク,高ARPU,contracts_styleA.csv
2023-10-27,CON-0201,エンタープライズプラン,製造,30000,3,9,4,継続,,90000,0,中リスク,高ARPU,contracts_styleA.csv
2023-09-16,CON-0202,エンタープライズプラン,医療,30000,13,39,8,継続,,390000,0,低リスク,高ARPU,contracts_styleA.csv
2023-11-30,CON-0203,エンタープライズプラン,IT,30000,4,51,1,継続,,120000,0,低リスク,高ARPU,contracts_styleA.csv
2023-08-21,CON-0204,エンタープライズプラン,製造,30000,14,29,3,継続,,420000,0,低リスク,高ARPU,contracts_styleA.csv
2023-12-07,CON-0205,スタンダードプラン,IT,8000,24,7,5,継続,,192000,0,中リスク,高ARPU,contracts_styleA.csv
2023-02-17,CON-0206,スタンダードプラン,医療,8000,5,44,7,解約,価格が高い,40000,1,低リスク,高ARPU,contracts_styleA.csv
2023-10-12,CON-0207,スタンダードプラン,小売,8000,24,48,5,継続,,192000,0,低リスク,高ARPU,contracts_styleA.csv
2023-07-30,CON-0208,スタータープラン,サービス,3000,18,36,5,継続,,54000,0,低リスク,低ARPU,contracts_styleA.csv
2023-06-30,CON-0209,スタンダードプラン,IT,8000,24,4,4,継続,,192000,0,中リスク,高ARPU,contracts_styleA.csv
