日付,製品コード,製品名,工程,ロットNo,検査値,下限値,上限値,単位,検査員,判定
2024/01/12,P-012,ユニットC,組立工程,LOT-20240112-137,10.056,9.5,10.5,Nm,山田,OK
2024/01/12,P-010,アセンブリA,組立工程,LOT-20240112-422,9.292,9.5,10.5,Nm,佐藤,NG
2024/01/12,P-011,アセンブリB,組立工程,LOT-20240112-218,9.137,9.5,10.5,Nm,山田,NG
2024/01/12,P-012,ユニットC,組立工程,LOT-20240112-944,10.238,9.5,10.5,Nm,田中,OK
2024/01/15,P-012,ユニットC,組立工程,LOT-20240115-990,9.628,9.5,10.5,Nm,中村,OK
2024/01/15,P-011,アセンブリB,組立工程,LOT-20240115-523,9.053,9.5,10.5,Nm,田中,NG
2024/01/15,P-010,アセンブリA,組立工程,LOT-20240115-630,10.103,9.5,10.5,Nm,佐藤,OK
2024/01/15,P-012,ユニットC,組立工程,LOT-20240115-874,9.821,9.5,10.5,Nm,山田,OK
2024/01/15,P-012,ユニットC,組立工程,LOT-20240115-552,9.94,9.5,10.5,Nm,田中,OK
2024/01/16,P-010,アセンブリA,組立工程,LOT-20240116-373,10.41,9.5,10.5,Nm,中村,OK
2024/01/16,P-010,アセンブリA,組立工程,LOT-20240116-394,10.227,9.5,10.5,Nm,山田,OK
2024/01/16,P-012,ユニットC,組立工程,LOT-20240116-596,10.171,9.5,10.5,Nm,田中,OK
2024/01/16,P-010,アセンブリA,組立工程,LOT-20240116-745,10.089,9.5,10.5,Nm,中村,OK
2024/01/16,P-010,アセンブリA,組立工程,LOT-20240116-826,10.127,9.5,10.5,Nm,鈴木,OK
2024/01/17,P-011,アセンブリB,組立工程,LOT-20240117-664,10.127,9.5,10.5,Nm,田中,OK
2024/01/17,P-012,ユニットC,組立工程,LOT-20240117-517,10.647,9.5,10.5,Nm,田中,NG
2024/01/17,P-010,アセンブリA,組立工程,LOT-20240117-961,9.744,9.5,10.5,Nm,田中,OK
2024/01/17,P-011,アセンブリB,組立工程,LOT-20240117-220,10.346,9.5,10.5,Nm,鈴木,OK
2024/01/17,P-011,アセンブリB,組立工程,LOT-20240117-833,10.051,9.5,10.5,Nm,佐藤,OK
2024/01/18,P-012,ユニットC,組立工程,LOT-20240118-822,10.002,9.5,10.5,Nm,佐藤,OK
2024/01/18,P-011,アセンブリB,組立工程,LOT-20240118-954,9.781,9.5,10.5,Nm,山田,OK
2024/01/18,P-011,アセンブリB,組立工程,LOT-20240118-349,10.012,9.5,10.5,Nm,山田,OK
2024/01/18,P-012,ユニットC,組立工程,LOT-20240118-248,9.99,9.5,10.5,Nm,山田,OK
2024/01/18,P-010,アセンブリA,組立工程,LOT-20240118-713,9.002,9.5,10.5,Nm,中村,NG
2024/01/19,P-012,ユニットC,組立工程,LOT-20240119-239,10.002,9.5,10.5,Nm,田中,OK
2024/01/19,P-011,アセンブリB,組立工程,LOT-20240119-891,10.009,9.5,10.5,Nm,山田,OK
2024/01/19,P-011,アセンブリB,組立工程,LOT-20240119-906,9.784,9.5,10.5,Nm,中村,OK
2024/01/19,P-011,アセンブリB,組立工程,LOT-20240119-940,9.851,9.5,10.5,Nm,田中,OK
2024/01/19,P-011,アセンブリB,組立工程,LOT-20240119-843,10.102,9.5,10.5,Nm,佐藤,OK
2024/01/22,P-012,ユニットC,組立工程,LOT-20240122-693,9.643,9.5,10.5,Nm,山田,OK
2024/01/22,P-010,アセンブリA,組立工程,LOT-20240122-557,9.277,9.5,10.5,Nm,中村,NG
2024/01/22,P-011,アセンブリB,組立工程,LOT-20240122-453,10.008,9.5,10.5,Nm,佐藤,OK
2024/01/22,P-012,ユニットC,組立工程,LOT-20240122-881,9.783,9.5,10.5,Nm,中村,OK
2024/01/22,P-011,アセンブリB,組立工程,LOT-20240122-566,10.076,9.5,10.5,Nm,佐藤,OK
2024/01/23,P-010,アセンブリA,組立工程,LOT-20240123-814,10.22,9.5,10.5,Nm,鈴木,OK
2024/01/23,P-012,ユニットC,組立工程,LOT-20240123-492,9.751,9.5,10.5,Nm,鈴木,OK
2024/01/23,P-011,アセンブリB,組立工程,LOT-20240123-144,10.043,9.5,10.5,Nm,佐藤,OK
2024/01/23,P-012,ユニットC,組立工程,LOT-20240123-584,10.927,9.5,10.5,Nm,山田,NG
2024/01/23,P-011,アセンブリB,組立工程,LOT-20240123-779,9.899,9.5,10.5,Nm,鈴木,OK
2024/01/24,P-011,アセンブリB,組立工程,LOT-20240124-137,10.062,9.5,10.5,Nm,鈴木,OK
2024/01/24,P-012,ユニットC,組立工程,LOT-20240124-704,10.049,9.5,10.5,Nm,佐藤,OK
2024/01/24,P-010,アセンブリA,組立工程,LOT-20240124-995,9.772,9.5,10.5,Nm,山田,OK
2024/01/24,P-010,アセンブリA,組立工程,LOT-20240124-638,10.288,9.5,10.5,Nm,山田,OK
2024/01/24,P-010,アセンブリA,組立工程,LOT-20240124-839,10.064,9.5,10.5,Nm,鈴木,OK
2024/01/25,P-011,アセンブリB,組立工程,LOT-20240125-991,9.577,9.5,10.5,Nm,鈴木,OK
2024/01/25,P-010,アセンブリA,組立工程,LOT-20240125-580,10.006,9.5,10.5,Nm,佐藤,OK
2024/01/25,P-011,アセンブリB,組立工程,LOT-20240125-738,9.976,9.5,10.5,Nm,山田,OK
2024/01/25,P-012,ユニットC,組立工程,LOT-20240125-182,9.465,9.5,10.5,Nm,佐藤,NG
2024/01/25,P-012,ユニットC,組立工程,LOT-20240125-979,10.312,9.5,10.5,Nm,中村,OK
2024/01/26,P-011,アセンブリB,組立工程,LOT-20240126-424,9.924,9.5,10.5,Nm,山田,OK
2024/01/26,P-012,ユニットC,組立工程,LOT-20240126-136,9.821,9.5,10.5,Nm,中村,OK
2024/01/26,P-010,アセンブリA,組立工程,LOT-20240126-340,10.285,9.5,10.5,Nm,佐藤,OK
2024/01/26,P-010,アセンブリA,組立工程,LOT-20240126-864,9.933,9.5,10.5,Nm,田中,OK
2024/01/26,P-011,アセンブリB,組立工程,LOT-20240126-200,10.007,9.5,10.5,Nm,田中,OK
2024/01/29,P-011,アセンブリB,組立工程,LOT-20240129-270,9.981,9.5,10.5,Nm,佐藤,OK
2024/01/29,P-010,アセンブリA,組立工程,LOT-20240129-147,10.073,9.5,10.5,Nm,佐藤,OK
2024/01/29,P-010,アセンブリA,組立工程,LOT-20240129-400,10.17,9.5,10.5,Nm,佐藤,OK
2024/01/29,P-011,アセンブリB,組立工程,LOT-20240129-541,10.194,9.5,10.5,Nm,鈴木,OK
2024/01/29,P-010,アセンブリA,組立工程,LOT-20240129-643,9.902,9.5,10.5,Nm,山田,OK
2024/01/30,P-012,ユニットC,組立工程,LOT-20240130-798,10.006,9.5,10.5,Nm,鈴木,OK
2024/01/30,P-010,アセンブリA,組立工程,LOT-20240130-279,10.003,9.5,10.5,Nm,田中,OK
2024/01/30,P-012,ユニットC,組立工程,LOT-20240130-991,10.085,9.5,10.5,Nm,山田,OK
2024/01/30,P-012,ユニットC,組立工程,LOT-20240130-799,10.133,9.5,10.5,Nm,鈴木,OK
2024/01/30,P-011,アセンブリB,組立工程,LOT-20240130-697,9.712,9.5,10.5,Nm,鈴木,OK
2024/01/31,P-010,アセンブリA,組立工程,LOT-20240131-572,10.017,9.5,10.5,Nm,佐藤,OK
2024/01/31,P-011,アセンブリB,組立工程,LOT-20240131-361,10.166,9.5,10.5,Nm,田中,OK
2024/01/31,P-011,アセンブリB,組立工程,LOT-20240131-394,9.919,9.5,10.5,Nm,中村,OK
2024/01/31,P-010,アセンブリA,組立工程,LOT-20240131-175,9.991,9.5,10.5,Nm,山田,OK
2024/01/31,P-011,アセンブリB,組立工程,LOT-20240131-701,9.015,9.5,10.5,Nm,佐藤,NG
