Date,ProductCode,ProductName,Process,LotNo,InspectionValue,LowerLimit,UpperLimit,Unit,Inspector,Result
2024/01/09,P-004,フレームX,溶接工程,LOT-20240109-214,199.289,192.0,208.0,N,田中,OK
2024/01/10,P-006,ブラケット,溶接工程,LOT-20240110-252,200.888,192.0,208.0,N,中村,OK
2024/01/10,P-004,フレームX,溶接工程,LOT-20240110-954,194.73,192.0,208.0,N,佐藤,OK
2024/01/10,P-006,ブラケット,溶接工程,LOT-20240110-665,205.182,192.0,208.0,N,鈴木,OK
2024/01/10,P-005,フレームY,溶接工程,LOT-20240110-230,202.591,192.0,208.0,N,田中,OK
2024/01/10,P-005,フレームY,溶接工程,LOT-20240110-473,199.816,192.0,208.0,N,田中,OK
2024/01/11,P-005,フレームY,溶接工程,LOT-20240111-315,198.997,192.0,208.0,N,鈴木,OK
2024/01/11,P-006,ブラケット,溶接工程,LOT-20240111-205,201.748,192.0,208.0,N,佐藤,OK
2024/01/11,P-006,ブラケット,溶接工程,LOT-20240111-995,203.532,192.0,208.0,N,山田,OK
2024/01/11,P-006,ブラケット,溶接工程,LOT-20240111-867,205.232,192.0,208.0,N,鈴木,OK
2024/01/11,P-004,フレームX,溶接工程,LOT-20240111-985,202.484,192.0,208.0,N,鈴木,OK
2024/01/12,P-004,フレームX,溶接工程,LOT-20240112-522,200.2,192.0,208.0,N,田中,OK
2024/01/12,P-004,フレームX,溶接工程,LOT-20240112-854,202.969,192.0,208.0,N,佐藤,OK
2024/01/12,P-005,フレームY,溶接工程,LOT-20240112-921,202.347,192.0,208.0,N,鈴木,OK
2024/01/12,P-005,フレームY,溶接工程,LOT-20240112-263,200.211,192.0,208.0,N,田中,OK
2024/01/12,P-005,フレームY,溶接工程,LOT-20240112-993,202.253,192.0,208.0,N,田中,OK
2024/01/15,P-005,フレームY,溶接工程,LOT-20240115-327,202.192,192.0,208.0,N,鈴木,OK
2024/01/15,P-005,フレームY,溶接工程,LOT-20240115-458,199.799,192.0,208.0,N,佐藤,OK
2024/01/15,P-004,フレームX,溶接工程,LOT-20240115-328,198.445,192.0,208.0,N,田中,OK
2024/01/15,P-006,ブラケット,溶接工程,LOT-20240115-297,201.913,192.0,208.0,N,山田,OK
2024/01/15,P-005,フレームY,溶接工程,LOT-20240115-385,196.959,192.0,208.0,N,田中,OK
2024/01/16,P-005,フレームY,溶接工程,LOT-20240116-459,196.35,192.0,208.0,N,中村,OK
2024/01/16,P-005,フレームY,溶接工程,LOT-20240116-795,200.936,192.0,208.0,N,中村,OK
2024/01/16,P-005,フレームY,溶接工程,LOT-20240116-128,201.826,192.0,208.0,N,田中,OK
2024/01/16,P-005,フレームY,溶接工程,LOT-20240116-282,200.913,192.0,208.0,N,中村,OK
2024/01/16,P-005,フレームY,溶接工程,LOT-20240116-139,201.242,192.0,208.0,N,田中,OK
2024/01/17,P-006,ブラケット,溶接工程,LOT-20240117-544,193.81,192.0,208.0,N,佐藤,OK
2024/01/17,P-006,ブラケット,溶接工程,LOT-20240117-905,201.773,192.0,208.0,N,佐藤,OK
2024/01/17,P-005,フレームY,溶接工程,LOT-20240117-720,204.428,192.0,208.0,N,中村,OK
2024/01/17,P-004,フレームX,溶接工程,LOT-20240117-494,202.54,192.0,208.0,N,中村,OK
2024/01/17,P-004,フレームX,溶接工程,LOT-20240117-360,202.441,192.0,208.0,N,田中,OK
2024/01/18,P-006,ブラケット,溶接工程,LOT-20240118-546,200.699,192.0,208.0,N,田中,OK
2024/01/18,P-006,ブラケット,溶接工程,LOT-20240118-925,200.811,192.0,208.0,N,中村,OK
2024/01/18,P-006,ブラケット,溶接工程,LOT-20240118-836,199.557,192.0,208.0,N,鈴木,OK
2024/01/18,P-005,フレームY,溶接工程,LOT-20240118-541,201.15,192.0,208.0,N,田中,OK
2024/01/18,P-006,ブラケット,溶接工程,LOT-20240118-438,196.824,192.0,208.0,N,中村,OK
2024/01/19,P-005,フレームY,溶接工程,LOT-20240119-779,204.444,192.0,208.0,N,田中,OK
2024/01/19,P-006,ブラケット,溶接工程,LOT-20240119-407,197.533,192.0,208.0,N,中村,OK
2024/01/19,P-005,フレームY,溶接工程,LOT-20240119-782,202.533,192.0,208.0,N,山田,OK
2024/01/19,P-005,フレームY,溶接工程,LOT-20240119-512,203.987,192.0,208.0,N,佐藤,OK
2024/01/19,P-006,ブラケット,溶接工程,LOT-20240119-230,202.525,192.0,208.0,N,鈴木,OK
2024/01/22,P-005,フレームY,溶接工程,LOT-20240122-780,206.983,192.0,208.0,N,山田,OK
2024/01/22,P-006,ブラケット,溶接工程,LOT-20240122-866,193.989,192.0,208.0,N,鈴木,OK
2024/01/22,P-006,ブラケット,溶接工程,LOT-20240122-682,198.627,192.0,208.0,N,佐藤,OK
2024/01/22,P-005,フレームY,溶接工程,LOT-20240122-661,187.947,192.0,208.0,N,田中,NG
2024/01/22,P-005,フレームY,溶接工程,LOT-20240122-393,196.245,192.0,208.0,N,鈴木,OK
2024/01/23,P-005,フレームY,溶接工程,LOT-20240123-904,197.618,192.0,208.0,N,中村,OK
2024/01/23,P-006,ブラケット,溶接工程,LOT-20240123-770,201.573,192.0,208.0,N,佐藤,OK
2024/01/23,P-005,フレームY,溶接工程,LOT-20240123-552,195.762,192.0,208.0,N,山田,OK
2024/01/23,P-006,ブラケット,溶接工程,LOT-20240123-318,200.163,192.0,208.0,N,中村,OK
2024/01/23,P-005,フレームY,溶接工程,LOT-20240123-912,201.378,192.0,208.0,N,鈴木,OK
2024/01/24,P-006,ブラケット,溶接工程,LOT-20240124-186,200.415,192.0,208.0,N,佐藤,OK
2024/01/24,P-006,ブラケット,溶接工程,LOT-20240124-779,200.688,192.0,208.0,N,中村,OK
2024/01/24,P-005,フレームY,溶接工程,LOT-20240124-195,189.628,192.0,208.0,N,鈴木,NG
2024/01/24,P-006,ブラケット,溶接工程,LOT-20240124-417,202.462,192.0,208.0,N,鈴木,OK
2024/01/24,P-004,フレームX,溶接工程,LOT-20240124-250,201.564,192.0,208.0,N,田中,OK
2024/01/25,P-004,フレームX,溶接工程,LOT-20240125-350,190.371,192.0,208.0,N,山田,NG
2024/01/25,P-006,ブラケット,溶接工程,LOT-20240125-970,194.021,192.0,208.0,N,田中,OK
2024/01/25,P-005,フレームY,溶接工程,LOT-20240125-524,195.553,192.0,208.0,N,中村,OK
2024/01/25,P-004,フレームX,溶接工程,LOT-20240125-835,197.965,192.0,208.0,N,山田,OK
2024/01/25,P-005,フレームY,溶接工程,LOT-20240125-509,199.145,192.0,208.0,N,鈴木,OK
2024/01/26,P-004,フレームX,溶接工程,LOT-20240126-771,203.268,192.0,208.0,N,田中,OK
2024/01/26,P-004,フレームX,溶接工程,LOT-20240126-897,199.793,192.0,208.0,N,山田,OK
2024/01/26,P-004,フレームX,溶接工程,LOT-20240126-280,199.706,192.0,208.0,N,中村,OK
2024/01/26,P-005,フレームY,溶接工程,LOT-20240126-151,200.276,192.0,208.0,N,中村,OK
2024/01/26,P-004,フレームX,溶接工程,LOT-20240126-968,198.217,192.0,208.0,N,田中,OK
2024/01/29,P-005,フレームY,溶接工程,LOT-20240129-236,197.336,192.0,208.0,N,山田,OK
2024/01/29,P-006,ブラケット,溶接工程,LOT-20240129-643,202.411,192.0,208.0,N,中村,OK
2024/01/29,P-006,ブラケット,溶接工程,LOT-20240129-424,195.853,192.0,208.0,N,山田,OK
2024/01/29,P-006,ブラケット,溶接工程,LOT-20240129-934,196.878,192.0,208.0,N,中村,OK
2024/01/29,P-005,フレームY,溶接工程,LOT-20240129-950,186.568,192.0,208.0,N,中村,NG
2024/01/30,P-005,フレームY,溶接工程,LOT-20240130-262,198.185,192.0,208.0,N,山田,OK
2024/01/30,P-005,フレームY,溶接工程,LOT-20240130-365,196.791,192.0,208.0,N,鈴木,OK
2024/01/30,P-006,ブラケット,溶接工程,LOT-20240130-383,201.284,192.0,208.0,N,中村,OK
2024/01/30,P-005,フレームY,溶接工程,LOT-20240130-741,200.986,192.0,208.0,N,鈴木,OK
2024/01/30,P-005,フレームY,溶接工程,LOT-20240130-550,203.962,192.0,208.0,N,田中,OK
2024/01/31,P-006,ブラケット,溶接工程,LOT-20240131-392,195.569,192.0,208.0,N,鈴木,OK
2024/01/31,P-005,フレームY,溶接工程,LOT-20240131-443,199.006,192.0,208.0,N,佐藤,OK
2024/01/31,P-006,ブラケット,溶接工程,LOT-20240131-182,201.15,192.0,208.0,N,鈴木,OK
2024/01/31,P-004,フレームX,溶接工程,LOT-20240131-336,201.046,192.0,208.0,N,山田,OK
2024/01/31,P-006,ブラケット,溶接工程,LOT-20240131-256,206.231,192.0,208.0,N,鈴木,OK
