日付,製品コード,製品名,工程,ロットNo,検査値,下限値,上限値,単位,検査員,判定
2024/01/08,P-003,ギアC型,切削工程,LOT-20240108-750,50.484,49.0,51.0,mm,鈴木,OK
2024/01/09,P-003,ギアC型,切削工程,LOT-20240109-846,49.833,49.0,51.0,mm,鈴木,OK
2024/01/09,P-001,シャフトA型,切削工程,LOT-20240109-573,50.293,49.0,51.0,mm,山田,OK
2024/01/09,P-002,シャフトB型,切削工程,LOT-20240109-755,50.397,49.0,51.0,mm,中村,OK
2024/01/09,P-001,シャフトA型,切削工程,LOT-20240109-801,48.207,49.0,51.0,mm,佐藤,NG
2024/01/09,P-001,シャフトA型,切削工程,LOT-20240109-334,49.362,49.0,51.0,mm,田中,OK
2024/01/10,P-002,シャフトB型,切削工程,LOT-20240110-510,49.54,49.0,51.0,mm,佐藤,OK
2024/01/10,P-001,シャフトA型,切削工程,LOT-20240110-316,50.071,49.0,51.0,mm,中村,OK
2024/01/10,P-003,ギアC型,切削工程,LOT-20240110-422,49.786,49.0,51.0,mm,鈴木,OK
2024/01/10,P-003,ギアC型,切削工程,LOT-20240110-611,50.313,49.0,51.0,mm,山田,OK
2024/01/10,P-003,ギアC型,切削工程,LOT-20240110-569,50.228,49.0,51.0,mm,鈴木,OK
2024/01/11,P-002,シャフトB型,切削工程,LOT-20240111-242,49.818,49.0,51.0,mm,鈴木,OK
2024/01/11,P-003,ギアC型,切削工程,LOT-20240111-674,49.402,49.0,51.0,mm,中村,OK
2024/01/11,P-002,シャフトB型,切削工程,LOT-20240111-864,49.765,49.0,51.0,mm,中村,OK
2024/01/11,P-002,シャフトB型,切削工程,LOT-20240111-697,50.24,49.0,51.0,mm,山田,OK
2024/01/11,P-002,シャフトB型,切削工程,LOT-20240111-324,50.333,49.0,51.0,mm,鈴木,OK
2024/01/12,P-003,ギアC型,切削工程,LOT-20240112-605,49.788,49.0,51.0,mm,田中,OK
2024/01/12,P-001,シャフトA型,切削工程,LOT-20240112-981,49.156,49.0,51.0,mm,田中,OK
2024/01/12,P-001,シャフトA型,切削工程,LOT-20240112-742,49.339,49.0,51.0,mm,鈴木,OK
2024/01/12,P-003,ギアC型,切削工程,LOT-20240112-532,50.2,49.0,51.0,mm,中村,OK
2024/01/12,P-001,シャフトA型,切削工程,LOT-20240112-494,49.811,49.0,51.0,mm,山田,OK
2024/01/15,P-003,ギアC型,切削工程,LOT-20240115-579,49.822,49.0,51.0,mm,中村,OK
2024/01/15,P-002,シャフトB型,切削工程,LOT-20240115-666,49.533,49.0,51.0,mm,田中,OK
2024/01/15,P-003,ギアC型,切削工程,LOT-20240115-838,49.525,49.0,51.0,mm,田中,OK
2024/01/15,P-003,ギアC型,切削工程,LOT-20240115-649,50.42,49.0,51.0,mm,佐藤,OK
2024/01/15,P-003,ギアC型,切削工程,LOT-20240115-448,50.217,49.0,51.0,mm,田中,OK
2024/01/16,P-002,シャフトB型,切削工程,LOT-20240116-545,49.703,49.0,51.0,mm,鈴木,OK
2024/01/16,P-002,シャフトB型,切削工程,LOT-20240116-103,50.036,49.0,51.0,mm,佐藤,OK
2024/01/16,P-003,ギアC型,切削工程,LOT-20240116-880,50.116,49.0,51.0,mm,鈴木,OK
2024/01/16,P-003,ギアC型,切削工程,LOT-20240116-208,50.801,49.0,51.0,mm,佐藤,OK
2024/01/16,P-003,ギアC型,切削工程,LOT-20240116-619,49.488,49.0,51.0,mm,中村,OK
2024/01/17,P-001,シャフトA型,切削工程,LOT-20240117-256,50.11,49.0,51.0,mm,佐藤,OK
2024/01/17,P-001,シャフトA型,切削工程,LOT-20240117-652,50.418,49.0,51.0,mm,中村,OK
2024/01/17,P-001,シャフトA型,切削工程,LOT-20240117-713,50.732,49.0,51.0,mm,佐藤,OK
2024/01/17,P-002,シャフトB型,切削工程,LOT-20240117-119,49.68,49.0,51.0,mm,田中,OK
2024/01/17,P-002,シャフトB型,切削工程,LOT-20240117-999,49.805,49.0,51.0,mm,佐藤,OK
2024/01/18,P-001,シャフトA型,切削工程,LOT-20240118-159,50.318,49.0,51.0,mm,鈴木,OK
2024/01/18,P-003,ギアC型,切削工程,LOT-20240118-180,47.537,49.0,51.0,mm,田中,NG
2024/01/18,P-003,ギアC型,切削工程,LOT-20240118-597,50.157,49.0,51.0,mm,田中,OK
2024/01/18,P-003,ギアC型,切削工程,LOT-20240118-884,50.998,49.0,51.0,mm,鈴木,OK
2024/01/18,P-001,シャフトA型,切削工程,LOT-20240118-775,50.207,49.0,51.0,mm,山田,OK
2024/01/19,P-003,ギアC型,切削工程,LOT-20240119-269,48.934,49.0,51.0,mm,佐藤,NG
2024/01/19,P-003,ギアC型,切削工程,LOT-20240119-993,49.594,49.0,51.0,mm,中村,OK
2024/01/19,P-002,シャフトB型,切削工程,LOT-20240119-316,49.694,49.0,51.0,mm,中村,OK
2024/01/19,P-003,ギアC型,切削工程,LOT-20240119-806,47.593,49.0,51.0,mm,鈴木,NG
2024/01/19,P-003,ギアC型,切削工程,LOT-20240119-419,49.482,49.0,51.0,mm,山田,OK
2024/01/22,P-003,ギアC型,切削工程,LOT-20240122-765,49.757,49.0,51.0,mm,佐藤,OK
2024/01/22,P-002,シャフトB型,切削工程,LOT-20240122-629,50.14,49.0,51.0,mm,山田,OK
2024/01/22,P-001,シャフトA型,切削工程,LOT-20240122-353,50.065,49.0,51.0,mm,鈴木,OK
2024/01/22,P-001,シャフトA型,切削工程,LOT-20240122-446,49.75,49.0,51.0,mm,田中,OK
2024/01/22,P-003,ギアC型,切削工程,LOT-20240122-667,49.517,49.0,51.0,mm,鈴木,OK
2024/01/23,P-003,ギアC型,切削工程,LOT-20240123-325,51.064,49.0,51.0,mm,田中,NG
2024/01/23,P-001,シャフトA型,切削工程,LOT-20240123-824,50.419,49.0,51.0,mm,田中,OK
2024/01/23,P-001,シャフトA型,切削工程,LOT-20240123-169,50.466,49.0,51.0,mm,田中,OK
2024/01/23,P-002,シャフトB型,切削工程,LOT-20240123-172,49.922,49.0,51.0,mm,中村,OK
2024/01/23,P-001,シャフトA型,切削工程,LOT-20240123-385,49.673,49.0,51.0,mm,山田,OK
2024/01/24,P-001,シャフトA型,切削工程,LOT-20240124-652,49.773,49.0,51.0,mm,鈴木,OK
2024/01/24,P-003,ギアC型,切削工程,LOT-20240124-684,49.361,49.0,51.0,mm,中村,OK
2024/01/24,P-002,シャフトB型,切削工程,LOT-20240124-348,50.79,49.0,51.0,mm,山田,OK
2024/01/24,P-002,シャフトB型,切削工程,LOT-20240124-294,49.941,49.0,51.0,mm,田中,OK
2024/01/24,P-001,シャフトA型,切削工程,LOT-20240124-774,50.653,49.0,51.0,mm,山田,OK
2024/01/25,P-002,シャフトB型,切削工程,LOT-20240125-533,49.795,49.0,51.0,mm,山田,OK
2024/01/25,P-002,シャフトB型,切削工程,LOT-20240125-984,50.214,49.0,51.0,mm,田中,OK
2024/01/25,P-003,ギアC型,切削工程,LOT-20240125-769,50.092,49.0,51.0,mm,田中,OK
2024/01/25,P-001,シャフトA型,切削工程,LOT-20240125-512,49.316,49.0,51.0,mm,佐藤,OK
2024/01/25,P-001,シャフトA型,切削工程,LOT-20240125-354,50.862,49.0,51.0,mm,鈴木,OK
2024/01/26,P-001,シャフトA型,切削工程,LOT-20240126-649,49.808,49.0,51.0,mm,山田,OK
2024/01/26,P-001,シャフトA型,切削工程,LOT-20240126-532,49.446,49.0,51.0,mm,鈴木,OK
2024/01/26,P-002,シャフトB型,切削工程,LOT-20240126-573,50.322,49.0,51.0,mm,鈴木,OK
2024/01/26,P-001,シャフトA型,切削工程,LOT-20240126-553,49.997,49.0,51.0,mm,中村,OK
2024/01/26,P-001,シャフトA型,切削工程,LOT-20240126-151,50.169,49.0,51.0,mm,中村,OK
2024/01/29,P-001,シャフトA型,切削工程,LOT-20240129-195,50.045,49.0,51.0,mm,鈴木,OK
2024/01/29,P-001,シャフトA型,切削工程,LOT-20240129-516,48.975,49.0,51.0,mm,山田,NG
2024/01/29,P-002,シャフトB型,切削工程,LOT-20240129-318,49.578,49.0,51.0,mm,山田,OK
2024/01/29,P-001,シャフトA型,切削工程,LOT-20240129-268,49.561,49.0,51.0,mm,山田,OK
2024/01/29,P-001,シャフトA型,切削工程,LOT-20240129-499,50.458,49.0,51.0,mm,佐藤,OK
2024/01/30,P-002,シャフトB型,切削工程,LOT-20240130-392,50.015,49.0,51.0,mm,山田,OK
2024/01/30,P-003,ギアC型,切削工程,LOT-20240130-848,50.244,49.0,51.0,mm,中村,OK
2024/01/30,P-003,ギアC型,切削工程,LOT-20240130-835,49.836,49.0,51.0,mm,山田,OK
2024/01/30,P-001,シャフトA型,切削工程,LOT-20240130-294,50.269,49.0,51.0,mm,佐藤,OK
2024/01/30,P-001,シャフトA型,切削工程,LOT-20240130-159,49.923,49.0,51.0,mm,中村,OK
2024/01/31,P-003,ギアC型,切削工程,LOT-20240131-655,49.888,49.0,51.0,mm,田中,OK
2024/01/31,P-003,ギアC型,切削工程,LOT-20240131-421,50.088,49.0,51.0,mm,田中,OK
2024/01/31,P-001,シャフトA型,切削工程,LOT-20240131-698,50.045,49.0,51.0,mm,山田,OK
2024/01/31,P-003,ギアC型,切削工程,LOT-20240131-973,51.259,49.0,51.0,mm,中村,NG
2024/01/31,P-001,シャフトA型,切削工程,LOT-20240131-158,49.573,49.0,51.0,mm,中村,OK
