RecordDate,RecordID,StoreName,Revenue,FoodCost,LaborCost,OtherCost
2024-02-10,REC-0259,渋谷店,118037,40344,30526,30269
2024-01-11,REC-0260,銀座店,258750,103484,83288,44451
2024-02-04,REC-0261,池袋店,265374,96960,88192,14833
2024-01-16,REC-0262,池袋店,115707,45803,36359,39489
2024-03-01,REC-0263,品川店,294230,103573,83694,46130
2024-02-02,REC-0264,渋谷店,385436,130342,125952,18456
2024-03-13,REC-0265,新宿店,276816,90084,93237,18137
2024-02-25,REC-0266,品川店,321634,87790,85704,31145
2024-01-07,REC-0267,品川店,421894,119742,145447,44006
2024-03-22,REC-0268,池袋店,198923,74972,54715,46099
2024-03-19,REC-0269,銀座店,193891,52113,54344,44962
2024-01-23,REC-0270,品川店,98983,32207,26414,48053
2024-02-15,REC-0271,銀座店,130842,36070,40881,49658
2024-02-26,REC-0272,新宿店,227009,85441,69546,11859
2024-02-29,REC-0273,池袋店,92584,23777,29084,47799
2024-03-09,REC-0274,渋谷店,188755,65624,61665,37301
2024-01-30,REC-0275,渋谷店,374066,129370,112146,45754
2024-03-12,REC-0276,池袋店,201871,69905,56566,26048
2024-04-04,REC-0277,銀座店,471888,175118,137135,39723
2024-01-16,REC-0278,新宿店,88258,31180,23459,37238
2024-03-17,REC-0279,銀座店,303887,97142,86309,19415
2024-01-20,REC-0280,品川店,213883,81109,60300,32634
2024-01-09,REC-0281,新宿店,259042,69841,74359,46808
2024-01-19,REC-0282,池袋店,105670,31475,31346,27529
2024-02-22,REC-0283,渋谷店,285717,82054,74195,29019
2024-01-10,REC-0284,池袋店,251405,95439,73363,20466
2024-02-17,REC-0285,銀座店,476496,142527,146650,30494
2024-01-09,REC-0286,銀座店,149527,54497,44832,43733
2024-02-11,REC-0287,渋谷店,294745,95737,82780,11518
2024-01-22,REC-0288,池袋店,97211,38085,29216,25776
2024-01-20,REC-0289,新宿店,162797,54944,41491,28438
2024-03-24,REC-0290,新宿店,309467,105103,103450,40840
2024-02-22,REC-0291,池袋店,199814,66039,66881,38241
2024-03-18,REC-0292,渋谷店,120220,45968,38801,36427
2024-02-14,REC-0293,銀座店,241856,62105,61701,46819
2024-03-03,REC-0294,新宿店,152055,46282,42402,35319
2024-02-10,REC-0295,新宿店,314375,99830,95879,17786
2024-01-08,REC-0296,新宿店,117456,46543,33990,32222
2024-02-05,REC-0297,銀座店,342464,133849,111470,23045
2024-02-27,REC-0298,新宿店,365864,119406,109762,12969
2024-02-17,REC-0299,新宿店,70402,19047,19945,41047
2024-02-19,REC-0300,品川店,322279,102661,100108,43784
2024-02-24,REC-0301,銀座店,123285,36886,38379,20649
2024-03-07,REC-0302,銀座店,256021,102048,82933,29610
2024-03-01,REC-0303,池袋店,361282,108549,120245,44887
2024-03-08,REC-0304,銀座店,306820,109323,85903,11090
2024-01-14,REC-0305,銀座店,243125,72861,63446,37298
2024-01-02,REC-0306,新宿店,356028,105438,121005,11746
2024-02-13,REC-0307,品川店,362952,116576,125838,47910
2024-04-05,REC-0308,新宿店,352846,100254,90023,41486
2024-02-12,REC-0309,新宿店,139397,45810,44902,34916
2024-02-01,REC-0310,池袋店,127477,47580,34956,47523
2024-03-28,REC-0311,池袋店,417274,111196,105108,30558
2024-03-09,REC-0312,池袋店,269561,73513,86003,36894
2024-03-06,REC-0313,銀座店,313097,114670,107095,14081
2024-01-19,REC-0314,品川店,420029,113707,113716,31302
2024-03-27,REC-0315,新宿店,397197,127800,114266,21349
2024-03-20,REC-0316,渋谷店,290996,112562,82710,33218
2024-02-19,REC-0317,渋谷店,404349,147910,130237,27325
2024-01-12,REC-0318,池袋店,369855,119325,127871,28284
2024-01-25,REC-0319,銀座店,342598,100989,117904,29504
2024-02-08,REC-0320,新宿店,454317,133274,122996,42047
