日付,管理番号,店舗,売上高,原材料費,労務費,諸経費
2024/01/18,REC-0426,新宿店,137022,46919,45009,23562
2024/03/30,REC-0427,品川店,472282,122275,134638,28421
2024/02/26,REC-0428,池袋店,362925,120061,102477,29178
2024/01/02,REC-0429,新宿店,201693,67750,69632,43712
2024/01/05,REC-0430,品川店,406148,151199,107043,36974
2024/03/08,REC-0431,銀座店,81082,32341,27300,18315
2024/01/19,REC-0432,池袋店,417749,158707,114867,31108
2024/03/03,REC-0433,渋谷店,484363,139076,161949,35736
2024/03/31,REC-0434,品川店,306617,83193,96044,37146
2024/02/10,REC-0435,品川店,246698,78400,77305,16101
2024/03/12,REC-0436,渋谷店,261209,85504,72569,34187
2024/02/01,REC-0437,銀座店,288391,113204,81536,10162
2024/01/03,REC-0438,渋谷店,455869,171896,118213,40044
2024/04/05,REC-0439,品川店,382839,133848,109423,14150
2024/01/09,REC-0440,池袋店,467164,154240,126967,38157
2024/03/26,REC-0441,池袋店,482457,135945,133569,28585
2024/02/13,REC-0442,池袋店,227080,75412,59735,41807
2024/02/28,REC-0443,新宿店,463298,139712,147446,13172
2024/01/10,REC-0444,品川店,74087,19628,24329,40119
2024/02/21,REC-0445,品川店,58536,15724,19654,38920
2024/03/20,REC-0446,池袋店,289346,72365,100056,23259
2024/03/09,REC-0447,新宿店,411020,158822,139013,29783
2024/01/29,REC-0448,新宿店,133349,50827,45026,16117
2024/02/01,REC-0449,新宿店,393192,119556,101538,20847
2024/03/20,REC-0450,新宿店,77151,23874,21644,25344
2024/02/11,REC-0451,品川店,275040,95802,88114,10071
2024/03/04,REC-0452,新宿店,161894,52052,42621,24823
2024/02/04,REC-0453,銀座店,322338,113462,80883,32516
2024/02/13,REC-0454,渋谷店,478400,128253,160758,18662
2024/03/03,REC-0455,銀座店,300452,78305,86622,16712
2024/01/25,REC-0456,新宿店,104107,30920,35198,18986
2024/01/10,REC-0457,池袋店,250656,91744,81542,18725
2024/02/17,REC-0458,渋谷店,386370,154138,102111,44767
2024/02/01,REC-0459,渋谷店,345326,86770,108778,38842
2024/01/08,REC-0460,銀座店,234123,83901,73235,19920
2024/02/19,REC-0461,品川店,265854,91031,78224,24237
2024/01/22,REC-0462,新宿店,95449,36699,25198,18071
2024/02/18,REC-0463,池袋店,359106,129099,102400,38140
2024/01/27,REC-0464,品川店,214890,79221,59047,15521
2024/03/18,REC-0465,品川店,180110,59978,55834,49819
2024/02/09,REC-0466,品川店,199380,73141,63611,29768
2024/02/05,REC-0467,品川店,157712,51676,47463,35673
2024/03/28,REC-0468,新宿店,204949,71102,67301,25685
2024/03/04,REC-0469,銀座店,309463,95278,84826,48923
2024/03/30,REC-0470,銀座店,87230,28719,30335,33664
2024/04/03,REC-0471,品川店,215922,58255,72567,47249
2024/03/03,REC-0472,品川店,270653,82498,86147,40868
2024/01/29,REC-0473,池袋店,453894,118443,140133,10903
2024/01/04,REC-0474,渋谷店,187460,52931,64159,36081
2024/02/09,REC-0475,池袋店,315609,92464,101393,37225
2024/02/12,REC-0476,渋谷店,272075,96660,70261,45164
2024/03/29,REC-0477,池袋店,331886,113640,92180,30310
2024/01/12,REC-0478,新宿店,91430,29869,24715,20182
2024/03/26,REC-0479,品川店,331222,99039,102229,14332
2024/01/08,REC-0480,新宿店,212618,75437,68674,25639
