記録日,記録ID,店舗名,売上,食材費,人件費,その他経費
2024/01/26,REC-0069,池袋店,293727,92622,94903,27589
2024/02/21,REC-0070,池袋店,218980,82721,72936,15679
2024/02/05,REC-0071,池袋店,196238,75010,53845,40455
2024/02/05,REC-0072,渋谷店,348765,119120,100409,11880
2024/03/04,REC-0073,銀座店,309158,116751,82911,23901
2024/02/16,REC-0074,渋谷店,236030,87254,67040,49069
2024/02/06,REC-0075,渋谷店,417622,159538,127616,43857
2024/01/03,REC-0076,新宿店,150168,39470,48355,42019
2024/01/02,REC-0077,新宿店,341072,124056,108822,42166
2024/02/22,REC-0078,新宿店,284972,105137,73894,24522
2024/02/19,REC-0079,品川店,262022,92695,73528,48112
2024/02/10,REC-0080,新宿店,243472,78151,73794,37885
2024/03/05,REC-0081,銀座店,441084,146686,125788,39736
2024/01/21,REC-0082,渋谷店,192038,56841,52436,22621
2024/03/04,REC-0083,品川店,215438,57722,65404,22133
2024/01/06,REC-0084,新宿店,150422,42487,44888,48639
2024/01/16,REC-0085,池袋店,448567,147441,124836,16588
2024/01/28,REC-0086,品川店,486537,135801,132702,21759
2024/01/07,REC-0087,品川店,208475,52561,63254,27977
2024/03/15,REC-0088,品川店,73863,29260,22553,18275
2024/04/04,REC-0089,新宿店,384427,146185,114977,10803
2024/01/19,REC-0090,銀座店,350974,102712,104545,32328
2024/01/31,REC-0091,新宿店,146659,57904,40367,41308
2024/03/24,REC-0092,新宿店,109814,40995,31853,14855
2024/03/11,REC-0093,新宿店,352525,121415,90021,19777
2024/04/03,REC-0094,銀座店,475272,158943,133258,26265
2024/02/19,REC-0095,新宿店,112102,37409,32690,49067
2024/02/05,REC-0096,品川店,464575,159239,152180,34928
2024/03/08,REC-0097,池袋店,286199,110551,80059,48569
2024/01/18,REC-0098,渋谷店,274830,81296,85775,49952
2024/02/01,REC-0099,渋谷店,438019,116024,142914,23829
2024/01/27,REC-0100,池袋店,188750,65885,50151,21391
2024/03/16,REC-0101,新宿店,339402,88672,84941,39524
2024/03/29,REC-0102,新宿店,411429,139503,114840,25170
2024/01/08,REC-0103,銀座店,201049,71582,64395,39755
2024/02/14,REC-0104,新宿店,87318,30832,29896,48652
2024/01/14,REC-0105,品川店,396650,146992,107008,17521
2024/03/31,REC-0106,新宿店,335507,95190,88875,27408
2024/02/08,REC-0107,池袋店,483392,131161,123730,30159
2024/03/11,REC-0108,品川店,361974,131158,111097,28914
2024/02/02,REC-0109,池袋店,280242,75287,89360,36378
2024/01/07,REC-0110,新宿店,192735,62652,57700,15271
2024/03/29,REC-0111,銀座店,363543,93059,106591,31123
2024/04/03,REC-0112,渋谷店,366519,105394,94977,47696
2024/03/13,REC-0113,品川店,357821,140486,125222,27662
2024/03/03,REC-0114,池袋店,352119,90154,114659,40834
2024/03/30,REC-0115,品川店,322086,111997,110026,21894
2024/02/15,REC-0116,銀座店,356881,112554,118279,15979
2024/01/14,REC-0117,銀座店,296420,89576,83984,16855
2024/02/20,REC-0118,品川店,499699,136979,145494,42471
2024/02/27,REC-0119,銀座店,201109,70264,58330,46051
2024/01/15,REC-0120,池袋店,69239,22033,19487,31186
2024/03/27,REC-0121,品川店,110776,43814,32171,43724
2024/02/20,REC-0122,新宿店,482499,192139,152356,45559
2024/04/03,REC-0123,池袋店,292208,91165,78533,33709
2024/02/28,REC-0124,新宿店,376439,136822,117652,13382
2024/02/13,REC-0125,銀座店,156723,45458,41234,28876
2024/01/20,REC-0126,新宿店,279699,106880,83482,11891
2024/02/09,REC-0127,新宿店,380313,129812,104179,20379
2024/03/02,REC-0128,池袋店,212922,70823,64989,16108
2024/04/01,REC-0129,池袋店,167807,66927,57271,40241
2024/01/16,REC-0130,新宿店,111586,38737,29614,29127
2024/02/17,REC-0131,池袋店,316795,112719,92361,41621
2024/03/01,REC-0132,渋谷店,297579,85274,90799,35138
2024/03/08,REC-0133,新宿店,149934,58216,45103,18946
2024/02/23,REC-0134,新宿店,86600,25238,28491,37193
2024/03/11,REC-0135,銀座店,228192,89026,68634,10168
2024/03/27,REC-0136,渋谷店,198289,71167,66178,48005
2024/01/14,REC-0137,新宿店,395999,128084,104884,45296
2024/03/23,REC-0138,新宿店,303934,91717,92758,45614
2024/01/27,REC-0139,銀座店,247766,78864,69914,22363
2024/03/18,REC-0140,品川店,415690,118812,119842,36920
2024/02/01,REC-0141,新宿店,72883,21699,21667,34984
2024/03/30,REC-0142,渋谷店,252416,100527,83105,19968
2024/03/05,REC-0143,品川店,309694,122243,81333,48678
2024/01/07,REC-0144,渋谷店,224060,85244,75602,38855
2024/02/12,REC-0145,渋谷店,102277,33638,30242,19447
2024/03/16,REC-0146,渋谷店,264946,100849,91935,14903
2024/02/16,REC-0147,銀座店,296148,108754,81885,36049
2024/02/28,REC-0148,池袋店,390701,102382,110512,44971
2024/03/26,REC-0149,品川店,249234,97979,77930,41978
2024/01/05,REC-0150,渋谷店,333648,85208,85694,28833
2024/01/27,REC-0151,渋谷店,169268,61277,49662,16451
2024/02/01,REC-0152,銀座店,448652,154812,151311,39076
2024/02/26,REC-0153,品川店,137223,48590,46702,13014
2024/03/10,REC-0154,渋谷店,220065,81296,61472,34565
2024/03/05,REC-0155,渋谷店,275803,74973,83600,47088
2024/04/03,REC-0156,品川店,407459,150302,108790,15175
2024/01/30,REC-0157,品川店,369549,140659,115288,25783
2024/02/08,REC-0158,渋谷店,310920,120302,82179,40221
2024/02/02,REC-0159,銀座店,384445,110757,105927,10615
2024/03/03,REC-0160,渋谷店,471859,150894,131536,45821
