purchase_date,material_code,material_name,category,supplier,quantity,unit_price,prev_month_price,price_change_rate,total_cost,price_change_flag,source_file
2024-01-26,MAT-006,アルミ板,非鉄金属,SUP-D,40.6,354263.0,299928.0,0.18116,14383078.0,安定,style_a_material_202401.csv
2024-01-17,MAT-003,ステンレス板,鉄鋼,SUP-D,26.24,221812.0,188870.0,0.174416,5820347.0,安定,style_a_material_202401.csv
2024-01-23,MAT-020,塩酸,化学品,SUP-D,3.2,37453.0,31290.0,0.196964,119850.0,安定,style_a_material_202401.csv
2024-01-01,MAT-009,ニッケル板,非鉄金属,SUP-E,37.68,2153264.0,1860466.0,0.157379,81134988.0,安定,style_a_material_202401.csv
2024-01-11,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,16.48,79897.0,75044.0,0.064669,1316703.0,安定,style_a_material_202401.csv
2024-01-12,MAT-011,ABS樹脂,樹脂,SUP-A,5.63,250777.0,277106.0,-0.095014,1411875.0,安定,style_a_material_202401.csv
2024-01-19,MAT-014,PET樹脂,樹脂,SUP-B,12.81,218151.0,192637.0,0.132446,2794514.0,安定,style_a_material_202401.csv
2024-01-23,MAT-001,熱延鋼板,鉄鋼,SUP-C,9.78,88834.0,77259.0,0.149821,868797.0,安定,style_a_material_202401.csv
2024-01-04,MAT-006,アルミ板,非鉄金属,SUP-E,16.21,380478.0,320071.0,0.18873,6167548.0,安定,style_a_material_202401.csv
2024-01-26,MAT-010,チタン棒,非鉄金属,SUP-E,8.05,2955003.0,2422584.0,0.219773,23787774.0,急騰,style_a_material_202401.csv
2024-01-16,MAT-007,銅線,非鉄金属,SUP-B,6.97,1081852.0,1003848.0,0.077705,7540508.0,安定,style_a_material_202401.csv
2024-01-23,MAT-006,アルミ板,非鉄金属,SUP-E,10.79,372491.0,342942.0,0.086163,4019178.0,安定,style_a_material_202401.csv
2024-01-15,MAT-001,熱延鋼板,鉄鋼,SUP-E,7.42,96478.0,82388.0,0.17102,715867.0,安定,style_a_material_202401.csv
2024-01-04,MAT-016,硫酸,化学品,SUP-A,15.75,42376.0,39784.0,0.065152,667422.0,安定,style_a_material_202401.csv
2024-01-10,MAT-012,ポリプロピレン,樹脂,SUP-C,15.04,163025.0,201279.0,-0.190055,2451896.0,安定,style_a_material_202401.csv
2024-01-25,MAT-002,冷延鋼板,鉄鋼,SUP-B,32.06,76854.0,89768.0,-0.14386,2463939.0,安定,style_a_material_202401.csv
2024-01-22,MAT-003,ステンレス板,鉄鋼,SUP-A,48.35,268870.0,229175.0,0.173208,12999864.0,安定,style_a_material_202401.csv
2024-01-05,MAT-003,ステンレス板,鉄鋼,SUP-E,23.9,149623.0,185376.0,-0.192867,3575990.0,安定,style_a_material_202401.csv
2024-01-24,MAT-005,鋼管,鉄鋼,SUP-D,41.64,86525.0,96886.0,-0.10694,3602901.0,安定,style_a_material_202401.csv
2024-01-23,MAT-006,アルミ板,非鉄金属,SUP-C,30.69,324459.0,311607.0,0.041244,9957647.0,安定,style_a_material_202401.csv
2024-01-09,MAT-020,塩酸,化学品,SUP-D,19.34,32976.0,31087.0,0.060765,637756.0,安定,style_a_material_202401.csv
2024-01-31,MAT-018,エタノール,化学品,SUP-B,23.24,120087.0,134226.0,-0.105337,2790822.0,安定,style_a_material_202401.csv
2024-01-30,MAT-010,チタン棒,非鉄金属,SUP-D,41.01,1955096.0,2365159.0,-0.173377,80178487.0,安定,style_a_material_202401.csv
2024-01-23,MAT-012,ポリプロピレン,樹脂,SUP-D,8.16,163429.0,176846.0,-0.075868,1333581.0,安定,style_a_material_202401.csv
2024-01-10,MAT-015,ポリカーボネート,樹脂,SUP-A,46.13,417650.0,457003.0,-0.086111,19266194.0,安定,style_a_material_202401.csv
2024-01-15,MAT-008,亜鉛地金,非鉄金属,SUP-A,6.66,445999.0,363726.0,0.226195,2970353.0,急騰,style_a_material_202401.csv
2024-01-24,MAT-001,熱延鋼板,鉄鋼,SUP-E,29.97,76940.0,80359.0,-0.042547,2305892.0,安定,style_a_material_202401.csv
2024-01-10,MAT-008,亜鉛地金,非鉄金属,SUP-E,25.72,413389.0,362478.0,0.140453,10632365.0,安定,style_a_material_202401.csv
2024-01-31,MAT-001,熱延鋼板,鉄鋼,SUP-A,9.89,78113.0,86816.0,-0.100246,772538.0,安定,style_a_material_202401.csv
2024-01-03,MAT-002,冷延鋼板,鉄鋼,SUP-B,21.4,103571.0,81006.0,0.27856,2216419.0,急騰,style_a_material_202401.csv
2024-01-03,MAT-002,冷延鋼板,鉄鋼,SUP-C,41.84,79678.0,101483.0,-0.214864,3333728.0,急落,style_a_material_202401.csv
2024-01-11,MAT-017,水酸化ナトリウム,化学品,SUP-B,45.23,58309.0,52024.0,0.12081,2637316.0,安定,style_a_material_202401.csv
2024-01-24,MAT-016,硫酸,化学品,SUP-B,32.48,30207.0,35379.0,-0.146188,981123.0,安定,style_a_material_202401.csv
2024-01-25,MAT-005,鋼管,鉄鋼,SUP-E,26.2,91312.0,92691.0,-0.014877,2392374.0,安定,style_a_material_202401.csv
2024-01-22,MAT-016,硫酸,化学品,SUP-B,32.34,29758.0,34768.0,-0.144098,962374.0,安定,style_a_material_202401.csv
2024-01-04,MAT-014,PET樹脂,樹脂,SUP-B,21.43,195445.0,206382.0,-0.052994,4188386.0,安定,style_a_material_202401.csv
2024-01-16,MAT-004,形鋼(H鋼),鉄鋼,SUP-D,17.05,78689.0,73247.0,0.074297,1341647.0,安定,style_a_material_202401.csv
2024-01-19,MAT-014,PET樹脂,樹脂,SUP-D,47.49,202372.0,203929.0,-0.007635,9610646.0,安定,style_a_material_202401.csv
2024-01-02,MAT-002,冷延鋼板,鉄鋼,SUP-A,27.24,106529.0,100401.0,0.061035,2901850.0,安定,style_a_material_202401.csv
2024-01-04,MAT-013,ナイロン66,樹脂,SUP-C,27.1,421296.0,460301.0,-0.084738,11417122.0,安定,style_a_material_202401.csv
2024-01-09,MAT-008,亜鉛地金,非鉄金属,SUP-B,10.92,427557.0,373645.0,0.144287,4668922.0,安定,style_a_material_202401.csv
2024-01-05,MAT-018,エタノール,化学品,SUP-D,31.1,111287.0,141348.0,-0.212674,3461026.0,急落,style_a_material_202401.csv
2024-01-11,MAT-014,PET樹脂,樹脂,SUP-B,7.73,247645.0,221042.0,0.120353,1914296.0,安定,style_a_material_202401.csv
2024-01-03,MAT-015,ポリカーボネート,樹脂,SUP-B,39.35,556526.0,472268.0,0.178411,21899298.0,安定,style_a_material_202401.csv
2024-01-04,MAT-015,ポリカーボネート,樹脂,SUP-E,29.91,402590.0,519937.0,-0.225695,12041467.0,急落,style_a_material_202401.csv
2024-01-01,MAT-002,冷延鋼板,鉄鋼,SUP-E,29.05,100183.0,99284.0,0.009055,2910316.0,安定,style_a_material_202401.csv
2024-01-08,MAT-003,ステンレス板,鉄鋼,SUP-B,40.16,246616.0,237168.0,0.039837,9904099.0,安定,style_a_material_202401.csv
2024-01-22,MAT-014,PET樹脂,樹脂,SUP-D,6.87,188046.0,225182.0,-0.164915,1291876.0,安定,style_a_material_202401.csv
2024-01-02,MAT-007,銅線,非鉄金属,SUP-D,21.51,994863.0,931090.0,0.068493,21399503.0,安定,style_a_material_202401.csv
2024-01-01,MAT-006,アルミ板,非鉄金属,SUP-D,45.02,278787.0,306962.0,-0.091787,12550991.0,安定,style_a_material_202401.csv
2024-01-19,MAT-013,ナイロン66,樹脂,SUP-C,16.41,417752.0,486260.0,-0.140888,6855310.0,安定,style_a_material_202401.csv
2024-01-31,MAT-010,チタン棒,非鉄金属,SUP-D,22.46,2551235.0,2336565.0,0.091874,57300738.0,安定,style_a_material_202401.csv
2024-01-05,MAT-018,エタノール,化学品,SUP-D,46.87,119370.0,120363.0,-0.00825,5594872.0,安定,style_a_material_202401.csv
2024-01-09,MAT-007,銅線,非鉄金属,SUP-C,49.34,1024458.0,867833.0,0.180478,50546758.0,安定,style_a_material_202401.csv
2024-01-24,MAT-002,冷延鋼板,鉄鋼,SUP-E,42.68,80154.0,94436.0,-0.151235,3420973.0,安定,style_a_material_202401.csv
2024-01-02,MAT-002,冷延鋼板,鉄鋼,SUP-C,34.62,114314.0,86352.0,0.323814,3957551.0,急騰,style_a_material_202401.csv
2024-01-22,MAT-002,冷延鋼板,鉄鋼,SUP-E,23.47,95345.0,103549.0,-0.079228,2237747.0,安定,style_a_material_202401.csv
2024-01-08,MAT-017,水酸化ナトリウム,化学品,SUP-E,39.28,64089.0,53460.0,0.198822,2517416.0,安定,style_a_material_202401.csv
2024-01-03,MAT-002,冷延鋼板,鉄鋼,SUP-E,14.91,89123.0,105775.0,-0.157429,1328824.0,安定,style_a_material_202401.csv
2024-01-26,MAT-006,アルミ板,非鉄金属,SUP-A,33.62,299447.0,358115.0,-0.163824,10067408.0,安定,style_a_material_202401.csv
2024-01-17,MAT-003,ステンレス板,鉄鋼,SUP-B,2.42,194960.0,227436.0,-0.142792,471803.0,安定,style_a_material_202401.csv
2024-01-10,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,10.71,71343.0,67146.0,0.062506,764084.0,安定,style_a_material_202401.csv
2024-01-02,MAT-019,アセトン,化学品,SUP-E,1.27,59514.0,87549.0,-0.320221,75583.0,急落,style_a_material_202401.csv
2024-01-18,MAT-020,塩酸,化学品,SUP-A,42.62,20014.0,30286.0,-0.339167,852997.0,急落,style_a_material_202401.csv
2024-01-23,MAT-019,アセトン,化学品,SUP-E,35.21,70590.0,86501.0,-0.18394,2485474.0,安定,style_a_material_202401.csv
2024-01-09,MAT-011,ABS樹脂,樹脂,SUP-C,7.12,279522.0,254556.0,0.098077,1990197.0,安定,style_a_material_202401.csv
2024-01-11,MAT-011,ABS樹脂,樹脂,SUP-B,42.71,243315.0,222439.0,0.09385,10391984.0,安定,style_a_material_202401.csv
2024-01-30,MAT-013,ナイロン66,樹脂,SUP-B,14.27,529748.0,444389.0,0.192082,7559504.0,安定,style_a_material_202401.csv
2024-01-15,MAT-010,チタン棒,非鉄金属,SUP-D,3.67,2095501.0,2565061.0,-0.18306,7690489.0,安定,style_a_material_202401.csv
2024-01-19,MAT-003,ステンレス板,鉄鋼,SUP-A,35.77,159024.0,190063.0,-0.163309,5688288.0,安定,style_a_material_202401.csv
2024-01-04,MAT-020,塩酸,化学品,SUP-E,49.02,32458.0,29146.0,0.113635,1591091.0,安定,style_a_material_202401.csv
2024-01-09,MAT-003,ステンレス板,鉄鋼,SUP-E,29.05,232718.0,197485.0,0.178408,6760458.0,安定,style_a_material_202401.csv
2024-01-05,MAT-017,水酸化ナトリウム,化学品,SUP-C,29.32,57589.0,54345.0,0.059693,1688509.0,安定,style_a_material_202401.csv
2024-01-10,MAT-012,ポリプロピレン,樹脂,SUP-A,8.27,188924.0,196466.0,-0.038388,1562401.0,安定,style_a_material_202401.csv
2024-01-08,MAT-012,ポリプロピレン,樹脂,SUP-C,6.84,169852.0,186399.0,-0.088772,1161788.0,安定,style_a_material_202401.csv
2024-01-31,MAT-015,ポリカーボネート,樹脂,SUP-E,21.97,523245.0,496507.0,0.053852,11495693.0,安定,style_a_material_202401.csv
2024-01-29,MAT-010,チタン棒,非鉄金属,SUP-E,21.03,2250541.0,2173758.0,0.035323,47328877.0,安定,style_a_material_202401.csv
2024-01-30,MAT-017,水酸化ナトリウム,化学品,SUP-A,2.77,43593.0,44049.0,-0.010352,120753.0,安定,style_a_material_202401.csv
2024-01-30,MAT-018,エタノール,化学品,SUP-C,29.05,141096.0,130548.0,0.080798,4098839.0,安定,style_a_material_202401.csv
2024-01-11,MAT-004,形鋼(H鋼),鉄鋼,SUP-B,32.97,88250.0,79150.0,0.114972,2909602.0,安定,style_a_material_202401.csv
2024-01-24,MAT-004,形鋼(H鋼),鉄鋼,SUP-A,22.14,73934.0,78298.0,-0.055736,1636899.0,安定,style_a_material_202401.csv
2024-01-12,MAT-005,鋼管,鉄鋼,SUP-C,37.1,112291.0,96105.0,0.16842,4165996.0,安定,style_a_material_202401.csv
2024-01-31,MAT-020,塩酸,化学品,SUP-B,26.49,28546.0,30834.0,-0.074204,756184.0,安定,style_a_material_202401.csv
2024-01-30,MAT-011,ABS樹脂,樹脂,SUP-B,25.21,223896.0,270137.0,-0.171176,5644418.0,安定,style_a_material_202401.csv
2024-01-22,MAT-009,ニッケル板,非鉄金属,SUP-E,3.72,1557810.0,1668512.0,-0.066348,5795053.0,安定,style_a_material_202401.csv
2024-01-03,MAT-009,ニッケル板,非鉄金属,SUP-A,16.38,1637197.0,2031581.0,-0.194127,26817287.0,安定,style_a_material_202401.csv
2024-01-02,MAT-014,PET樹脂,樹脂,SUP-C,42.97,190814.0,221504.0,-0.138553,8199278.0,安定,style_a_material_202401.csv
2024-01-05,MAT-001,熱延鋼板,鉄鋼,SUP-C,6.86,115537.0,97634.0,0.183368,792584.0,安定,style_a_material_202401.csv
2024-01-19,MAT-009,ニッケル板,非鉄金属,SUP-B,38.83,2111431.0,1964001.0,0.075066,81986866.0,安定,style_a_material_202401.csv
2024-01-24,MAT-018,エタノール,化学品,SUP-D,20.0,91762.0,114090.0,-0.195705,1835240.0,安定,style_a_material_202401.csv
2024-01-03,MAT-001,熱延鋼板,鉄鋼,SUP-A,26.73,81071.0,93576.0,-0.133635,2167028.0,安定,style_a_material_202401.csv
2024-01-02,MAT-005,鋼管,鉄鋼,SUP-E,49.47,125056.0,110121.0,0.135624,6186520.0,安定,style_a_material_202401.csv
2024-01-24,MAT-012,ポリプロピレン,樹脂,SUP-E,7.94,165619.0,173055.0,-0.042969,1315015.0,安定,style_a_material_202401.csv
2024-01-05,MAT-005,鋼管,鉄鋼,SUP-D,38.01,84885.0,85939.0,-0.012265,3226479.0,安定,style_a_material_202401.csv
2024-01-16,MAT-002,冷延鋼板,鉄鋼,SUP-C,9.87,69213.0,84627.0,-0.18214,683132.0,安定,style_a_material_202401.csv
2024-01-09,MAT-002,冷延鋼板,鉄鋼,SUP-C,15.31,94990.0,91815.0,0.03458,1454297.0,安定,style_a_material_202401.csv
2024-01-16,MAT-008,亜鉛地金,非鉄金属,SUP-A,5.12,497441.0,437336.0,0.137434,2546898.0,安定,style_a_material_202401.csv
2024-01-26,MAT-018,エタノール,化学品,SUP-D,32.81,119832.0,108429.0,0.105166,3931688.0,安定,style_a_material_202401.csv
2024-01-08,MAT-005,鋼管,鉄鋼,SUP-B,18.96,99077.0,105921.0,-0.064614,1878500.0,安定,style_a_material_202401.csv
2024-01-01,MAT-006,アルミ板,非鉄金属,SUP-D,24.65,365583.0,320460.0,0.140807,9011621.0,安定,style_a_material_202401.csv
2024-01-18,MAT-006,アルミ板,非鉄金属,SUP-C,45.57,347388.0,304697.0,0.14011,15830471.0,安定,style_a_material_202401.csv
2024-01-08,MAT-008,亜鉛地金,非鉄金属,SUP-C,25.44,342874.0,407218.0,-0.158009,8722715.0,安定,style_a_material_202401.csv
2024-01-02,MAT-004,形鋼(H鋼),鉄鋼,SUP-D,45.95,64654.0,74229.0,-0.128993,2970851.0,安定,style_a_material_202401.csv
2024-01-09,MAT-016,硫酸,化学品,SUP-B,10.39,24166.0,32979.0,-0.267231,251085.0,急落,style_a_material_202401.csv
2024-01-12,MAT-015,ポリカーボネート,樹脂,SUP-C,30.33,692501.0,530467.0,0.305455,21003555.0,急騰,style_a_material_202401.csv
2024-01-01,MAT-008,亜鉛地金,非鉄金属,SUP-B,49.11,448866.0,452941.0,-0.008997,22043809.0,安定,style_a_material_202401.csv
2024-01-15,MAT-007,銅線,非鉄金属,SUP-D,45.26,1259851.0,1062910.0,0.185285,57020856.0,安定,style_a_material_202401.csv
2024-01-11,MAT-009,ニッケル板,非鉄金属,SUP-A,43.47,1985644.0,1816749.0,0.092966,86315945.0,安定,style_a_material_202401.csv
2024-01-17,MAT-012,ポリプロピレン,樹脂,SUP-E,28.1,269403.0,226784.0,0.187928,7570224.0,安定,style_a_material_202401.csv
2024-01-01,MAT-018,エタノール,化学品,SUP-C,15.12,131167.0,119243.0,0.099997,1983245.0,安定,style_a_material_202401.csv
2024-01-08,MAT-004,形鋼(H鋼),鉄鋼,SUP-C,7.07,64926.0,89362.0,-0.27345,459027.0,急落,style_a_material_202401.csv
2024-01-02,MAT-019,アセトン,化学品,SUP-C,23.78,99714.0,103370.0,-0.035368,2371199.0,安定,style_a_material_202401.csv
2024-01-18,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,5.16,98563.0,87938.0,0.120824,508585.0,安定,style_a_material_202401.csv
2024-01-18,MAT-012,ポリプロピレン,樹脂,SUP-C,41.31,211026.0,174791.0,0.207305,8717484.0,急騰,style_a_material_202401.csv
2024-01-04,MAT-020,塩酸,化学品,SUP-E,34.09,34472.0,31070.0,0.109495,1175150.0,安定,style_a_material_202401.csv
2024-01-09,MAT-013,ナイロン66,樹脂,SUP-E,37.23,324355.0,395755.0,-0.180415,12075737.0,安定,style_a_material_202401.csv
2024-01-31,MAT-009,ニッケル板,非鉄金属,SUP-A,31.47,1489840.0,1858119.0,-0.1982,46885265.0,安定,style_a_material_202401.csv
2024-01-23,MAT-014,PET樹脂,樹脂,SUP-A,34.19,301654.0,226069.0,0.334345,10313550.0,急騰,style_a_material_202401.csv
2024-01-16,MAT-018,エタノール,化学品,SUP-B,12.65,129846.0,138250.0,-0.060788,1642552.0,安定,style_a_material_202401.csv
2024-01-30,MAT-014,PET樹脂,樹脂,SUP-A,15.65,192212.0,200476.0,-0.041222,3008118.0,安定,style_b_material_202401.csv
2024-01-15,MAT-011,ABS樹脂,樹脂,SUP-E,44.44,194623.0,233382.0,-0.166075,8649046.0,安定,style_b_material_202401.csv
2024-01-23,MAT-004,形鋼(H鋼),鉄鋼,SUP-C,36.16,87845.0,73235.0,0.199495,3176475.0,安定,style_b_material_202401.csv
2024-01-15,MAT-010,チタン棒,非鉄金属,SUP-D,20.99,2722494.0,2643330.0,0.029949,57145149.0,安定,style_b_material_202401.csv
2024-01-24,MAT-013,ナイロン66,樹脂,SUP-C,35.34,462755.0,483574.0,-0.043052,16353762.0,安定,style_b_material_202401.csv
2024-01-18,MAT-005,鋼管,鉄鋼,SUP-B,25.35,79036.0,83534.0,-0.053846,2003563.0,安定,style_b_material_202401.csv
2024-01-26,MAT-013,ナイロン66,樹脂,SUP-B,10.9,530746.0,409785.0,0.295182,5785131.0,急騰,style_b_material_202401.csv
2024-01-17,MAT-019,アセトン,化学品,SUP-C,21.6,105856.0,96164.0,0.100786,2286490.0,安定,style_b_material_202401.csv
2024-01-12,MAT-018,エタノール,化学品,SUP-A,14.94,105899.0,118450.0,-0.10596,1582131.0,安定,style_b_material_202401.csv
2024-01-18,MAT-010,チタン棒,非鉄金属,SUP-B,45.54,2591616.0,2362614.0,0.096927,118022193.0,安定,style_b_material_202401.csv
2024-01-29,MAT-019,アセトン,化学品,SUP-E,33.02,80636.0,89941.0,-0.103457,2662601.0,安定,style_b_material_202401.csv
2024-01-19,MAT-011,ABS樹脂,樹脂,SUP-D,8.62,227885.0,249519.0,-0.086703,1964369.0,安定,style_b_material_202401.csv
2024-01-23,MAT-015,ポリカーボネート,樹脂,SUP-B,39.81,493887.0,506367.0,-0.024646,19661641.0,安定,style_b_material_202401.csv
2024-01-30,MAT-016,硫酸,化学品,SUP-B,49.74,44164.0,39227.0,0.125857,2196717.0,安定,style_b_material_202401.csv
2024-01-23,MAT-003,ステンレス板,鉄鋼,SUP-C,39.59,189518.0,184919.0,0.02487,7503018.0,安定,style_b_material_202401.csv
2024-01-03,MAT-020,塩酸,化学品,SUP-C,32.99,27577.0,27437.0,0.005103,909765.0,安定,style_b_material_202401.csv
2024-01-10,MAT-008,亜鉛地金,非鉄金属,SUP-C,2.76,304663.0,362176.0,-0.158798,840870.0,安定,style_b_material_202401.csv
2024-01-01,MAT-007,銅線,非鉄金属,SUP-B,13.06,1181474.0,924896.0,0.277413,15430050.0,急騰,style_b_material_202401.csv
2024-01-22,MAT-002,冷延鋼板,鉄鋼,SUP-B,3.5,76181.0,79871.0,-0.046199,266634.0,安定,style_b_material_202401.csv
2024-01-19,MAT-020,塩酸,化学品,SUP-A,35.21,24965.0,27111.0,-0.079156,879018.0,安定,style_b_material_202401.csv
2024-01-09,MAT-014,PET樹脂,樹脂,SUP-E,21.41,243057.0,182830.0,0.329415,5203850.0,急騰,style_b_material_202401.csv
2024-01-17,MAT-013,ナイロン66,樹脂,SUP-D,25.9,393025.0,421141.0,-0.066761,10179348.0,安定,style_b_material_202401.csv
2024-01-29,MAT-008,亜鉛地金,非鉄金属,SUP-B,39.25,359517.0,397634.0,-0.09586,14111042.0,安定,style_b_material_202401.csv
2024-01-18,MAT-001,熱延鋼板,鉄鋼,SUP-A,12.88,83793.0,78070.0,0.073306,1079254.0,安定,style_b_material_202401.csv
2024-01-31,MAT-008,亜鉛地金,非鉄金属,SUP-B,17.21,340109.0,415057.0,-0.180573,5853276.0,安定,style_b_material_202401.csv
2024-01-02,MAT-017,水酸化ナトリウム,化学品,SUP-D,35.87,35043.0,42790.0,-0.181047,1256992.0,安定,style_b_material_202401.csv
2024-01-04,MAT-018,エタノール,化学品,SUP-B,46.02,132997.0,110399.0,0.204694,6120522.0,急騰,style_b_material_202401.csv
2024-01-19,MAT-015,ポリカーボネート,樹脂,SUP-B,31.39,538301.0,523800.0,0.027684,16897268.0,安定,style_b_material_202401.csv
2024-01-26,MAT-017,水酸化ナトリウム,化学品,SUP-E,42.62,30509.0,43144.0,-0.292856,1300294.0,急落,style_b_material_202401.csv
2024-01-26,MAT-011,ABS樹脂,樹脂,SUP-D,38.87,248673.0,275781.0,-0.098295,9665920.0,安定,style_b_material_202401.csv
2024-01-24,MAT-017,水酸化ナトリウム,化学品,SUP-D,23.27,54925.0,46006.0,0.193866,1278105.0,安定,style_b_material_202401.csv
